gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	15	5	108	0.046296296296296294	17	0	121	0.0	115	6	806	0.007444168734491315
CUFF_NC.4	1	33820	36039	+	83	111	491	0.22606924643584522	162	3	1088	0.0027573529411764708	498	11	2897	0.0037970314118053157
CUFF_NC.2	1	45074	46980	+	93	4	910	0.004395604395604396	89	5	722	0.006925207756232687	345	16	2144	0.007462686567164179
CUFF_NC.3	1	51977	52743	-	48	0	131	0.0	46	1	179	0.00558659217877095	122	2	331	0.006042296072507553
CUFF_NC.9	1	63146	64476	+	53	2	403	0.004962779156327543	54	3	435	0.006896551724137931	271	6	1501	0.003997335109926716
CUFF_NC.10	1	67285	67782	+	74	0	271	0.0	32	1	126	0.007936507936507936	101	1	311	0.003215434083601286
CUFF_NC.5	1	69606	71157	+	55	60	383	0.1566579634464752	38	4	276	0.014492753623188406	240	10	1375	0.007272727272727273
CUFF_NC.8	1	73084	73716	-	12	1	36	0.027777777777777776	39	1	117	0.008547008547008548	100	0	267	0.0
CUFF_NC.12	1	75366	76624	-	130	1	489	0.002044989775051125	59	0	199	0.0	165	4	717	0.005578800557880056
CUFF_NC.13	1	77837	78333	+	16	0	141	0.0	4	0	19	0.0	59	4	350	0.011428571428571429
CUFF_NC.6	1	86737	87289	+	35	0	81	0.0	21	0	52	0.0	58	1	123	0.008130081300813009
CUFF_NC.18	1	89402	91722	-	56	39	233	0.16738197424892703	117	2	649	0.0030816640986132513	478	10	1975	0.005063291139240506
CUFF_NC.19	1	95040	96380	-	64	79	360	0.21944444444444444	74	2	476	0.004201680672268907	282	6	1626	0.0036900369003690036
CUFF_NC.11	1	100800	101866	-	30	100	256	0.390625	41	1	496	0.0020161290322580645	205	5	1312	0.0038109756097560975
CUFF_NC.7	1	104712	105333	+	49	0	125	0.0	41	2	103	0.019417475728155338	87	2	205	0.00975609756097561
CUFF_NC.15	1	116797	118774	-	177	2	468	0.004273504273504274	93	0	239	0.0	243	2	672	0.002976190476190476
CUFF_NC.14	1	119083	119969	-	36	10	250	0.04	21	0	130	0.0	190	4	1148	0.003484320557491289
CUFF_NC.20	1	121456	123494	+	94	478	635	0.752755905511811	151	8	1106	0.007233273056057866	430	13	2406	0.005403158769742311
CUFF_NC.21	1	133006	133474	+	14	5	40	0.125	14	1	66	0.015151515151515152	77	1	211	0.004739336492890996
CUFF_NC.16	1	141174	141695	+	13	0	55	0.0	10	0	53	0.0	107	2	446	0.004484304932735426
CUFF_NC.17	1	154589	156159	+	144	3	692	0.004335260115606936	66	0	248	0.0	269	3	1004	0.00298804780876494
CUFF_NC.22	1	163277	166353	+	116	227	489	0.46421267893660534	146	5	664	0.007530120481927711	592	9	2403	0.003745318352059925
CUFF_NC.25	1	180261	180962	+	30	0	444	0.0	14	0	260	0.0	99	1	870	0.0011494252873563218
CUFF_NC.26	1	182345	182786	+	20	2	150	0.013333333333333334	9	0	66	0.0	59	2	288	0.006944444444444444
CUFF_NC.28	1	192588	193200	+	13	0	45	0.0	34	2	113	0.017699115044247787	159	3	504	0.005952380952380952
CUFF_NC.23	1	196107	196598	-	50	0	195	0.0	29	0	99	0.0	66	0	201	0.0
CUFF_NC.24	1	197887	198512	-	38	19	253	0.07509881422924901	28	0	143	0.0	141	1	649	0.0015408320493066256
CUFF_NC.27	1	210058	210613	-	31	1	139	0.007194244604316547	27	1	183	0.00546448087431694	95	2	480	0.004166666666666667
CUFF_NC.29	1	219083	221145	-	202	1	519	0.0019267822736030828	114	1	337	0.002967359050445104	344	4	966	0.004140786749482402
CUFF_NC.30	1	226848	227453	+	27	2	186	0.010752688172043012	31	0	122	0.0	133	4	664	0.006024096385542169
CUFF_NC.34	1	233075	237654	+	148	505	909	0.5555555555555556	274	6	1812	0.0033112582781456954	1042	25	6067	0.0041206527113894845
CUFF_NC.31	1	238416	239453	+	57	712	755	0.9430463576158941	41	594	786	0.7557251908396947	246	1261	3140	0.4015923566878981
CUFF_NC.32	1	254830	257455	+	105	147	923	0.15926327193932827	77	108	737	0.14654002713704206	403	437	3061	0.14276380267886313
CUFF_NC.58	1	283807	284180	-	23	0	62	0.0	15	0	35	0.0	57	1	151	0.006622516556291391
CUFF_NC.33	1	294207	295108	-	36	0	120	0.0	39	1	228	0.0043859649122807015	172	1	774	0.0012919896640826874
CUFF_NC.36	1	301346	301758	+	8	0	97	0.0	13	0	123	0.0	52	7	609	0.011494252873563218
CUFF_NC.35	1	308731	309427	+	46	1	225	0.0044444444444444444	31	1	166	0.006024096385542169	143	1	523	0.0019120458891013384
CUFF_NC.44	1	319180	319521	-	9	0	93	0.0	21	1	120	0.008333333333333333	64	0	331	0.0
CUFF_NC.37	1	341814	342849	+	41	1	182	0.005494505494505495	24	0	99	0.0	164	9	578	0.015570934256055362
CUFF_NC.43	1	347638	348472	-	26	0	97	0.0	37	0	109	0.0	186	9	851	0.010575793184488837
CUFF_NC.42	1	355746	356392	+	31	6	261	0.022988505747126436	29	0	177	0.0	116	2	598	0.0033444816053511705
CUFF_NC.39	1	358665	360498	+	102	132	449	0.29398663697104677	104	0	581	0.0	385	7	1514	0.004623513870541612
CUFF_NC.38	1	365198	366851	-	98	3	371	0.008086253369272238	79	2	349	0.0057306590257879654	215	12	952	0.012605042016806723
CUFF_NC.41	1	370226	371382	+	75	2	265	0.007547169811320755	38	1	185	0.005405405405405406	209	6	954	0.006289308176100629
CUFF_NC.40	1	371997	372411	+	28	0	131	0.0	14	0	57	0.0	67	1	263	0.0038022813688212928
CUFF_NC.57	1	392706	395717	-	173	64	767	0.08344198174706649	190	2	862	0.002320185614849188	585	13	2207	0.0058903488898957865
CUFF_NC.54	1	409235	410549	-	68	1	263	0.0038022813688212928	86	4	349	0.011461318051575931	272	3	986	0.0030425963488843813
CUFF_NC.53	1	413681	414878	+	46	22	167	0.1317365269461078	72	0	276	0.0	169	3	612	0.004901960784313725
CUFF_NC.46	1	417273	417814	-	15	1	31	0.03225806451612903	22	1	91	0.01098901098901099	87	2	254	0.007874015748031496
CUFF_NC.49	1	421746	425334	-	117	360	731	0.49247606019151846	99	69	476	0.14495798319327732	589	219	2973	0.07366296670030273
CUFF_NC.48	1	424665	425164	+	37	0	189	0.0	36	0	170	0.0	119	3	650	0.004615384615384616
