gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	0	74	0.0	19	0	88	0.0	139	1	577	0.0017331022530329288
CUFF_NC.4	1	33820	36039	+	73	21	341	0.06158357771260997	145	0	739	0.0	468	12	1949	0.0061570035915854285
CUFF_NC.2	1	45074	46980	+	87	11	554	0.019855595667870037	84	1	451	0.0022172949002217295	342	1	1639	0.0006101281269066504
CUFF_NC.3	1	51977	52743	-	43	1	139	0.007194244604316547	33	1	110	0.00909090909090909	106	1	292	0.003424657534246575
CUFF_NC.9	1	63146	64476	+	55	2	348	0.005747126436781609	50	2	311	0.006430868167202572	253	4	1175	0.003404255319148936
CUFF_NC.10	1	67285	67782	+	66	0	243	0.0	26	0	119	0.0	91	0	301	0.0
CUFF_NC.5	1	69606	71157	+	41	20	150	0.13333333333333333	27	1	101	0.009900990099009901	188	0	683	0.0
CUFF_NC.8	1	73084	73716	-	12	0	30	0.0	47	0	99	0.0	113	1	231	0.004329004329004329
CUFF_NC.12	1	75366	76624	-	127	0	435	0.0	58	0	204	0.0	162	1	590	0.001694915254237288
CUFF_NC.13	1	77837	78333	+	13	2	88	0.022727272727272728	5	0	13	0.0	48	3	156	0.019230769230769232
CUFF_NC.6	1	86737	87289	+	57	0	86	0.0	19	0	32	0.0	69	1	117	0.008547008547008548
CUFF_NC.18	1	89402	91722	-	56	1	187	0.0053475935828877	114	1	514	0.0019455252918287938	466	6	1648	0.0036407766990291263
CUFF_NC.19	1	95040	96380	-	67	2	265	0.007547169811320755	76	1	398	0.002512562814070352	273	6	1335	0.0044943820224719105
CUFF_NC.11	1	100800	101866	-	29	10	159	0.06289308176100629	34	0	260	0.0	185	4	814	0.004914004914004914
CUFF_NC.7	1	104712	105333	+	56	0	91	0.0	53	1	92	0.010869565217391304	110	0	196	0.0
CUFF_NC.15	1	116797	118774	-	199	1	618	0.0016181229773462784	97	0	273	0.0	281	3	794	0.003778337531486146
CUFF_NC.14	1	119083	119969	-	36	1	191	0.005235602094240838	21	0	109	0.0	196	2	920	0.002173913043478261
CUFF_NC.20	1	121456	123494	+	94	243	444	0.5472972972972973	150	2	687	0.002911208151382824	392	5	1684	0.0029691211401425177
CUFF_NC.21	1	133006	133474	+	10	0	34	0.0	14	1	45	0.022222222222222223	47	0	126	0.0
CUFF_NC.16	1	141174	141695	+	15	0	54	0.0	9	0	32	0.0	102	0	348	0.0
CUFF_NC.17	1	154589	156159	+	153	4	605	0.006611570247933884	70	0	235	0.0	276	2	934	0.0021413276231263384
CUFF_NC.22	1	163277	166353	+	126	150	460	0.32608695652173914	152	3	533	0.005628517823639775	566	8	1847	0.004331348132106118
CUFF_NC.25	1	180261	180962	+	46	0	313	0.0	24	0	164	0.0	136	4	793	0.005044136191677175
CUFF_NC.26	1	182345	182786	+	17	0	92	0.0	8	1	32	0.03125	42	0	153	0.0
CUFF_NC.28	1	192588	193200	+	13	0	43	0.0	28	1	96	0.010416666666666666	145	5	475	0.010526315789473684
CUFF_NC.23	1	196107	196598	-	63	0	176	0.0	34	0	87	0.0	74	1	153	0.006535947712418301
CUFF_NC.24	1	197887	198512	-	35	1	158	0.006329113924050633	30	1	103	0.009708737864077669	130	1	460	0.002173913043478261
CUFF_NC.27	1	210058	210613	-	36	0	122	0.0	31	0	167	0.0	104	0	448	0.0
CUFF_NC.29	1	219083	221145	-	175	4	365	0.010958904109589041	115	1	242	0.004132231404958678	343	0	739	0.0
CUFF_NC.30	1	226848	227453	+	24	0	66	0.0	28	0	56	0.0	117	1	330	0.0030303030303030303
CUFF_NC.34	1	233075	237654	+	138	336	649	0.5177195685670262	254	5	1298	0.003852080123266564	999	10	4380	0.00228310502283105
CUFF_NC.31	1	238416	239453	+	57	471	493	0.9553752535496958	45	287	349	0.8223495702005731	262	533	1729	0.3082706766917293
CUFF_NC.32	1	254830	257455	+	104	157	604	0.2599337748344371	81	129	486	0.2654320987654321	447	333	2311	0.14409346603202078
CUFF_NC.58	1	283807	284180	-	32	0	75	0.0	17	1	45	0.022222222222222223	75	0	169	0.0
CUFF_NC.33	1	294207	295108	-	41	0	145	0.0	44	1	189	0.005291005291005291	212	1	812	0.0012315270935960591
CUFF_NC.36	1	301346	301758	+	10	0	60	0.0	18	1	89	0.011235955056179775	68	0	414	0.0
CUFF_NC.35	1	308731	309427	+	46	0	148	0.0	32	0	131	0.0	141	1	483	0.002070393374741201
CUFF_NC.44	1	319180	319521	-	8	21	79	0.26582278481012656	20	0	143	0.0	57	2	354	0.005649717514124294
CUFF_NC.37	1	341814	342849	+	41	1	169	0.005917159763313609	29	0	106	0.0	190	1	717	0.001394700139470014
CUFF_NC.43	1	347638	348472	-	25	0	71	0.0	28	0	66	0.0	178	3	576	0.005208333333333333
CUFF_NC.42	1	355746	356392	+	41	0	163	0.0	39	0	132	0.0	154	1	470	0.002127659574468085
CUFF_NC.39	1	358665	360498	+	90	1	304	0.003289473684210526	104	1	420	0.002380952380952381	348	2	1105	0.0018099547511312218
CUFF_NC.38	1	365198	366851	-	86	3	319	0.009404388714733543	72	0	263	0.0	194	2	837	0.0023894862604540022
CUFF_NC.41	1	370226	371382	+	57	1	171	0.005847953216374269	38	1	110	0.00909090909090909	211	0	613	0.0
CUFF_NC.40	1	371997	372411	+	33	0	75	0.0	17	0	35	0.0	75	0	149	0.0
CUFF_NC.57	1	392706	395717	-	191	43	604	0.07119205298013245	183	2	649	0.0030816640986132513	501	9	1789	0.005030743432084964
CUFF_NC.54	1	409235	410549	-	69	1	213	0.004694835680751174	91	0	304	0.0	317	1	846	0.001182033096926714
CUFF_NC.53	1	413681	414878	+	51	10	156	0.0641025641025641	84	0	234	0.0	227	1	604	0.0016556291390728477
CUFF_NC.46	1	417273	417814	-	15	0	25	0.0	24	0	61	0.0	88	1	192	0.005208333333333333
CUFF_NC.49	1	421746	425334	-	96	204	466	0.43776824034334766	74	13	261	0.04980842911877394	510	110	1866	0.05894962486602358
CUFF_NC.48	1	424665	425164	+	25	0	165	0.0	25	0	141	0.0	92	3	481	0.006237006237006237
CUFF_NC.45	1	425557	426435	+	29	0	97	0.0	25	0	124	0.0	139	3	601	0.004991680532445923
CUFF_NC.47	1	435444	435889	+	8	0	24	0.0	23	0	94	0.0	64	0	221	0.0
CUFF_NC.50	1	442462	442900	+	4	0	16	0.0	8	0	33	0.0	34	0	171	0.0
CUFF_NC.52	1	446824	448464	+	60	194	340	0.5705882352941176	70	158	405	0.39012345679012345	299	128	1383	0.09255242227042661
CUFF_NC.51	1	463998	464582	+	56	0	153	0.0	33	0	96	0.0	109	0	333	0.0
CUFF_NC.55	1	482013	483177	-	71	0	291	0.0	48	2	165	0.012121212121212121	217	2	794	0.0025188916876574307
CUFF_NC.59	1	512866	513261	+	17	41	67	0.6119402985074627	12	19	57	0.3333333333333333	67	81	285	0.28421052631578947
CUFF_NC.60	1	514888	515295	+	23	0	155	0.0	19	0	119	0.0	61	2	363	0.005509641873278237
CUFF_NC.70	1	523944	530099	-	335	218	1158	0.18825561312607944	309	1	1081	0.0009250693802035153	1094	14	3268	0.004283965728274173
CUFF_NC.71	1	525592	531975	-	339	269	1213	0.22176422093981862	342	2	1286	0.0015552099533437014	1150	11	3481	0.003160011490950876
CUFF_NC.72	1	528007	534109	-	312	127	1096	0.11587591240875912	330	3	1163	0.0025795356835769563	1083	6	3284	0.0018270401948842874
CUFF_NC.62	1	538375	544045	-	144	114	916	0.12445414847161572	215	59	1234	0.04781199351701783	886	158	3682	0.042911461162411735
CUFF_NC.64	1	547818	551699	-	138	163	617	0.26418152350081037	78	13	234	0.05555555555555555	498	150	1790	0.08379888268156424
CUFF_NC.65	1	550120	550546	-	6	49	56	0.875	1	4	4	1.0	23	59	302	0.19536423841059603
CUFF_NC.68	1	556826	558761	-	85	0	251	0.0	80	0	222	0.0	351	3	1013	0.0029615004935834156
CUFF_NC.61	1	559734	560251	+	6	0	50	0.0	11	1	62	0.016129032258064516	76	4	377	0.010610079575596816
CUFF_NC.66	1	564136	564745	-	44	1	114	0.008771929824561403	39	1	97	0.010309278350515464	118	1	368	0.002717391304347826
CUFF_NC.67	1	565230	565784	-	48	0	122	0.0	30	0	72	0.0	97	2	303	0.006600660066006601
CUFF_NC.63	1	568739	570386	-	129	2	506	0.003952569169960474	79	0	269	0.0	254	4	802	0.004987531172069825
CUFF_NC.73	1	588007	589390	-	91	0	300	0.0	60	0	206	0.0	204	3	673	0.004457652303120356
CUFF_NC.76	1	591664	593419	-	90	0	416	0.0	66	0	296	0.0	276	2	861	0.0023228803716608595
CUFF_NC.74	1	594729	596073	+	49	2	150	0.013333333333333334	92	0	300	0.0	297	3	970	0.003092783505154639
CUFF_NC.75	1	597522	598135	+	24	0	96	0.0	29	0	132	0.0	74	0	303	0.0
CUFF_NC.77	1	599765	600204	+	17	7	59	0.11864406779661017	30	0	129	0.0	100	0	350	0.0
CUFF_NC.78	1	610701	611509	+	66	0	190	0.0	43	0	107	0.0	207	2	512	0.00390625
CUFF_NC.79	1	617987	619403	-	142	0	379	0.0	80	0	240	0.0	219	0	574	0.0
CUFF_NC.80	1	622046	622369	-	19	0	65	0.0	15	0	58	0.0	64	4	237	0.016877637130801686
CUFF_NC.83	1	632744	633122	-	11	0	41	0.0	18	1	67	0.014925373134328358	79	2	229	0.008733624454148471
CUFF_NC.90	1	640236	640825	-	21	96	104	0.9230769230769231	5	7	33	0.21212121212121213	94	61	265	0.23018867924528302
CUFF_NC.89	1	641448	642563	+	61	2	292	0.00684931506849315	41	0	134	0.0	240	5	834	0.005995203836930456
CUFF_NC.81	1	653973	654416	+	32	0	103	0.0	25	0	80	0.0	106	2	285	0.007017543859649123
CUFF_NC.84	1	658696	661410	+	112	1	498	0.002008032128514056	111	0	532	0.0	610	4	2638	0.001516300227445034
CUFF_NC.85	1	659555	662333	+	125	3	567	0.005291005291005291	99	0	505	0.0	622	3	2773	0.0010818608005769925
CUFF_NC.82	1	663236	663656	+	17	1	45	0.022222222222222223	21	0	54	0.0	100	1	299	0.0033444816053511705
CUFF_NC.86	1	665248	666402	+	44	2	136	0.014705882352941176	25	0	71	0.0	171	4	501	0.007984031936127744
CUFF_NC.87	1	675516	676334	-	32	2	165	0.012121212121212121	35	0	175	0.0	175	4	764	0.005235602094240838
CUFF_NC.88	1	693076	693540	-	11	0	64	0.0	17	0	85	0.0	88	0	316	0.0
CUFF_NC.91	1	705921	706616	+	39	0	255	0.0	38	0	214	0.0	144	2	752	0.0026595744680851063
CUFF_NC.93	1	731716	732702	+	45	13	446	0.02914798206278027	49	0	542	0.0	144	4	1226	0.0032626427406199023
CUFF_NC.94	1	742835	743218	-	18	7	52	0.1346153846153846	16	0	52	0.0	107	2	361	0.00554016620498615
CUFF_NC.92	1	769606	770629	-	58	1	239	0.0041841004184100415	46	0	180	0.0	213	3	916	0.0032751091703056767
CUFF_NC.96	1	792040	792527	+	13	53	57	0.9298245614035088	10	57	62	0.9193548387096774	82	132	466	0.2832618025751073
