gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	20	50	175	0.2857142857142857	23	3	161	0.018633540372670808	188	16	1457	0.01098146877144818
CUFF_NC.4	1	33820	36039	+	85	235	736	0.31929347826086957	176	8	1573	0.0050858232676414495	551	30	4228	0.007095553453169348
CUFF_NC.2	1	45074	46980	+	100	12	953	0.012591815320041973	93	4	812	0.0049261083743842365	382	11	2917	0.0037709976002742542
CUFF_NC.3	1	51977	52743	-	70	3	384	0.0078125	58	2	291	0.006872852233676976	173	2	627	0.003189792663476874
CUFF_NC.9	1	63146	64476	+	61	2	469	0.0042643923240938165	64	2	548	0.0036496350364963502	285	11	2004	0.0054890219560878245
CUFF_NC.10	1	67285	67782	+	76	3	400	0.0075	29	0	170	0.0	111	3	528	0.005681818181818182
CUFF_NC.5	1	69606	71157	+	69	63	558	0.11290322580645161	50	4	365	0.010958904109589041	338	20	2038	0.009813542688910697
CUFF_NC.8	1	73084	73716	-	19	0	77	0.0	58	1	231	0.004329004329004329	170	5	546	0.009157509157509158
CUFF_NC.12	1	75366	76624	-	162	4	1059	0.003777148253068933	85	4	531	0.007532956685499058	206	4	1184	0.0033783783783783786
CUFF_NC.13	1	77837	78333	+	25	2	236	0.00847457627118644	11	0	51	0.0	82	0	439	0.0
CUFF_NC.6	1	86737	87289	+	94	0	523	0.0	42	3	225	0.013333333333333334	118	9	623	0.014446227929373997
CUFF_NC.18	1	89402	91722	-	59	1	350	0.002857142857142857	127	2	912	0.0021929824561403508	485	20	2907	0.0068799449604403165
CUFF_NC.19	1	95040	96380	-	68	118	609	0.19376026272577998	84	2	682	0.002932551319648094	314	11	2247	0.004895416110369382
CUFF_NC.11	1	100800	101866	-	41	22	315	0.06984126984126984	50	2	492	0.0040650406504065045	254	7	1646	0.00425273390036452
CUFF_NC.7	1	104712	105333	+	67	0	328	0.0	61	3	280	0.010714285714285714	139	1	559	0.0017889087656529517
CUFF_NC.15	1	116797	118774	-	276	4	1457	0.002745367192862045	148	1	687	0.001455604075691412	368	9	1642	0.0054811205846528625
CUFF_NC.14	1	119083	119969	-	38	1	372	0.002688172043010753	23	1	237	0.004219409282700422	193	4	1423	0.0028109627547434997
CUFF_NC.20	1	121456	123494	+	108	461	753	0.6122177954847278	168	5	1265	0.003952569169960474	492	17	2928	0.005806010928961749
CUFF_NC.21	1	133006	133474	+	13	1	93	0.010752688172043012	19	2	122	0.01639344262295082	85	2	372	0.005376344086021506
CUFF_NC.16	1	141174	141695	+	10	0	73	0.0	8	0	43	0.0	109	2	464	0.004310344827586207
CUFF_NC.17	1	154589	156159	+	178	9	1249	0.007205764611689352	78	0	506	0.0	325	12	1821	0.006589785831960461
CUFF_NC.22	1	163277	166353	+	140	150	781	0.19206145966709348	172	7	950	0.007368421052631579	654	13	3169	0.0041022404544020195
CUFF_NC.25	1	180261	180962	+	40	1	449	0.0022271714922048997	20	0	215	0.0	137	6	1125	0.005333333333333333
CUFF_NC.26	1	182345	182786	+	30	1	176	0.005681818181818182	10	0	64	0.0	67	2	325	0.006153846153846154
CUFF_NC.28	1	192588	193200	+	13	0	74	0.0	32	1	181	0.0055248618784530384	154	2	697	0.0028694404591104736
CUFF_NC.23	1	196107	196598	-	57	2	460	0.004347826086956522	32	1	216	0.004629629629629629	55	3	353	0.0084985835694051
CUFF_NC.24	1	197887	198512	-	40	0	303	0.0	29	1	200	0.005	152	5	949	0.005268703898840885
CUFF_NC.27	1	210058	210613	-	37	0	280	0.0	33	2	252	0.007936507936507936	120	7	793	0.008827238335435058
CUFF_NC.29	1	219083	221145	-	261	8	1262	0.006339144215530904	160	3	752	0.003989361702127659	467	10	2275	0.004395604395604396
CUFF_NC.30	1	226848	227453	+	34	1	156	0.00641025641025641	39	1	161	0.006211180124223602	155	6	570	0.010526315789473684
CUFF_NC.34	1	233075	237654	+	154	441	944	0.4671610169491525	283	12	1844	0.006507592190889371	1030	43	6311	0.006813500237680241
CUFF_NC.31	1	238416	239453	+	71	633	673	0.9405646359583952	50	410	514	0.7976653696498055	284	745	2769	0.26905019862766344
CUFF_NC.32	1	254830	257455	+	128	67	833	0.08043217286914765	86	55	609	0.090311986863711	426	210	2200	0.09545454545454546
CUFF_NC.58	1	283807	284180	-	31	2	216	0.009259259259259259	20	2	126	0.015873015873015872	84	3	463	0.0064794816414686825
CUFF_NC.33	1	294207	295108	-	46	1	287	0.003484320557491289	50	1	356	0.0028089887640449437	241	11	1422	0.007735583684950774
CUFF_NC.36	1	301346	301758	+	10	0	64	0.0	18	1	117	0.008547008547008548	101	3	525	0.005714285714285714
CUFF_NC.35	1	308731	309427	+	51	0	278	0.0	40	2	217	0.009216589861751152	139	2	685	0.00291970802919708
CUFF_NC.44	1	319180	319521	-	7	0	105	0.0	17	0	167	0.0	42	6	419	0.014319809069212411
CUFF_NC.37	1	341814	342849	+	40	0	192	0.0	26	2	163	0.012269938650306749	163	3	607	0.004942339373970346
CUFF_NC.43	1	347638	348472	-	29	0	141	0.0	39	0	162	0.0	173	1	868	0.001152073732718894
CUFF_NC.42	1	355746	356392	+	46	2	261	0.007662835249042145	40	0	183	0.0	175	2	573	0.0034904013961605585
CUFF_NC.39	1	358665	360498	+	120	3	672	0.004464285714285714	136	5	822	0.006082725060827251	496	22	2321	0.009478672985781991
CUFF_NC.38	1	365198	366851	-	117	0	554	0.0	98	1	454	0.0022026431718061676	269	2	1208	0.0016556291390728477
CUFF_NC.41	1	370226	371382	+	82	0	402	0.0	55	0	264	0.0	225	3	1098	0.00273224043715847
CUFF_NC.40	1	371997	372411	+	32	0	148	0.0	20	0	69	0.0	93	1	305	0.003278688524590164
CUFF_NC.57	1	392706	395717	-	230	71	1220	0.05819672131147541	240	5	1293	0.0038669760247486465	723	21	3512	0.005979498861047836
CUFF_NC.54	1	409235	410549	-	86	2	529	0.003780718336483932	103	4	634	0.006309148264984227	359	7	1955	0.0035805626598465474
CUFF_NC.53	1	413681	414878	+	56	2	275	0.007272727272727273	88	3	394	0.007614213197969543	265	5	1014	0.004930966469428008
CUFF_NC.46	1	417273	417814	-	17	0	45	0.0	31	2	109	0.01834862385321101	109	2	315	0.006349206349206349
CUFF_NC.49	1	421746	425334	-	111	259	774	0.33462532299741604	92	48	549	0.08743169398907104	510	174	3045	0.05714285714285714
CUFF_NC.48	1	424665	425164	+	38	1	294	0.003401360544217687	37	1	275	0.0036363636363636364	116	7	885	0.007909604519774011
CUFF_NC.45	1	425557	426435	+	24	0	76	0.0	15	0	56	0.0	98	1	300	0.0033333333333333335
CUFF_NC.47	1	435444	435889	+	10	0	64	0.0	31	1	154	0.006493506493506494	82	3	339	0.008849557522123894
CUFF_NC.50	1	442462	442900	+	22	0	182	0.0	22	4	196	0.02040816326530612	117	2	872	0.0022935779816513763
CUFF_NC.52	1	446824	448464	+	66	11	466	0.023605150214592276	77	5	594	0.008417508417508417	322	41	1781	0.023020774845592364
CUFF_NC.51	1	463998	464582	+	74	1	409	0.0024449877750611247	41	0	229	0.0	142	4	653	0.006125574272588055
CUFF_NC.55	1	482013	483177	-	79	3	567	0.005291005291005291	47	4	322	0.012422360248447204	251	10	1520	0.006578947368421052
CUFF_NC.59	1	512866	513261	+	25	270	325	0.8307692307692308	14	75	153	0.49019607843137253	79	318	701	0.4536376604850214
CUFF_NC.60	1	514888	515295	+	25	0	221	0.0	21	1	155	0.0064516129032258064	89	2	461	0.004338394793926247
CUFF_NC.70	1	523944	530099	-	401	624	2563	0.24346468981662114	379	14	2505	0.005588822355289421	1241	36	7176	0.005016722408026756
CUFF_NC.71	1	525592	531975	-	409	692	2696	0.25667655786350146	423	12	2914	0.004118050789293068	1311	34	7365	0.00461642905634759
CUFF_NC.72	1	528007	534109	-	390	576	2510	0.2294820717131474	407	7	2746	0.0025491624180626364	1320	33	7531	0.00438188819545877
CUFF_NC.62	1	538375	544045	-	131	125	1287	0.09712509712509712	152	7	1453	0.004817618719889883	708	46	4277	0.010755202244563947
CUFF_NC.64	1	547818	551699	-	142	149	1018	0.14636542239685657	85	37	512	0.072265625	499	197	2582	0.07629744384198296
CUFF_NC.65	1	550120	550546	-	0	0	0		0	0	0		4	1	27	0.037037037037037035
CUFF_NC.68	1	556826	558761	-	113	6	447	0.013422818791946308	105	4	407	0.009828009828009828	463	9	1671	0.005385996409335727
CUFF_NC.61	1	559734	560251	+	9	0	34	0.0	11	3	51	0.058823529411764705	89	21	353	0.059490084985835696
CUFF_NC.66	1	564136	564745	-	46	2	257	0.007782101167315175	43	2	250	0.008	113	2	547	0.003656307129798903
CUFF_NC.67	1	565230	565784	-	59	2	388	0.005154639175257732	36	0	221	0.0	137	1	807	0.0012391573729863693
CUFF_NC.63	1	568739	570386	-	216	7	1328	0.005271084337349397	123	4	691	0.005788712011577424	374	13	1836	0.007080610021786492
CUFF_NC.73	1	588007	589390	-	124	4	692	0.005780346820809248	68	3	385	0.007792207792207792	236	8	1237	0.0064672594987873885
CUFF_NC.76	1	591664	593419	-	124	3	1052	0.0028517110266159697	86	5	641	0.0078003120124804995	327	6	1981	0.003028773346794548
CUFF_NC.74	1	594729	596073	+	58	3	448	0.006696428571428571	107	3	784	0.003826530612244898	337	5	2243	0.002229157378510923
CUFF_NC.75	1	597522	598135	+	30	9	265	0.033962264150943396	29	3	304	0.009868421052631578	84	4	672	0.005952380952380952
CUFF_NC.77	1	599765	600204	+	18	75	153	0.49019607843137253	32	1	259	0.003861003861003861	103	6	707	0.008486562942008486
CUFF_NC.78	1	610701	611509	+	64	3	371	0.008086253369272238	46	0	235	0.0	224	8	1053	0.007597340930674264
CUFF_NC.79	1	617987	619403	-	188	3	1171	0.0025619128949615714	101	3	658	0.004559270516717325	246	6	1411	0.004252303330970942
CUFF_NC.80	1	622046	622369	-	19	0	157	0.0	15	0	148	0.0	65	3	524	0.0057251908396946565
CUFF_NC.83	1	632744	633122	-	13	0	87	0.0	26	4	126	0.031746031746031744	96	8	536	0.014925373134328358
CUFF_NC.90	1	640236	640825	-	8	33	37	0.8918918918918919	2	2	16	0.125	31	13	101	0.12871287128712872
CUFF_NC.89	1	641448	642563	+	65	1	498	0.002008032128514056	42	2	221	0.00904977375565611	203	4	1111	0.0036003600360036
CUFF_NC.81	1	653973	654416	+	36	1	252	0.003968253968253968	32	0	198	0.0	120	2	597	0.0033500837520938024
CUFF_NC.84	1	658696	661410	+	127	9	801	0.011235955056179775	118	4	828	0.004830917874396135	659	21	4141	0.005071238831200193
CUFF_NC.85	1	659555	662333	+	137	12	879	0.013651877133105802	107	4	764	0.005235602094240838	633	18	3846	0.0046801872074883
CUFF_NC.82	1	663236	663656	+	16	0	68	0.0	19	0	75	0.0	97	3	394	0.007614213197969543
CUFF_NC.86	1	665248	666402	+	49	4	259	0.015444015444015444	27	0	120	0.0	214	8	900	0.008888888888888889
CUFF_NC.87	1	675516	676334	-	37	0	230	0.0	42	3	250	0.012	217	6	1232	0.00487012987012987
CUFF_NC.88	1	693076	693540	-	10	1	55	0.01818181818181818	15	0	62	0.0	75	2	199	0.010050251256281407
CUFF_NC.91	1	705921	706616	+	39	5	388	0.01288659793814433	37	3	327	0.009174311926605505	130	7	1041	0.0067243035542747355
CUFF_NC.93	1	731716	732702	+	47	5	681	0.007342143906020558	53	7	787	0.008894536213468869	174	3	1586	0.0018915510718789407
CUFF_NC.94	1	742835	743218	-	18	65	144	0.4513888888888889	18	1	138	0.007246376811594203	114	6	838	0.007159904534606206
CUFF_NC.92	1	769606	770629	-	59	3	492	0.006097560975609756	41	3	372	0.008064516129032258	197	16	1357	0.011790714812085483
CUFF_NC.96	1	792040	792527	+	10	119	122	0.9754098360655737	9	102	122	0.8360655737704918	49	200	473	0.42283298097251587
CUFF_NC.97	1	792753	793059	+	17	195	223	0.874439461883408	16	66	163	0.4049079754601227	66	69	584	0.11815068493150685
