gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	21	1	237	0.004219409282700422	24	2	295	0.006779661016949152	206	15	1911	0.007849293563579277
CUFF_NC.4	1	33820	36039	+	83	126	828	0.15217391304347827	160	14	1758	0.007963594994311717	564	35	5251	0.00666539706722529
CUFF_NC.2	1	45074	46980	+	110	14	1250	0.0112	104	5	1088	0.004595588235294118	487	29	4195	0.006912991656734207
CUFF_NC.3	1	51977	52743	-	70	0	434	0.0	56	3	350	0.008571428571428572	178	5	1093	0.004574565416285453
CUFF_NC.9	1	63146	64476	+	61	0	567	0.0	64	1	625	0.0016	327	15	2775	0.005405405405405406
CUFF_NC.10	1	67285	67782	+	81	5	542	0.00922509225092251	32	0	223	0.0	107	0	581	0.0
CUFF_NC.5	1	69606	71157	+	79	55	716	0.07681564245810056	54	3	465	0.0064516129032258064	390	45	3074	0.014638906961613532
CUFF_NC.8	1	73084	73716	-	17	1	103	0.009708737864077669	55	4	318	0.012578616352201259	160	18	840	0.02142857142857143
CUFF_NC.12	1	75366	76624	-	189	6	1095	0.005479452054794521	101	1	510	0.00196078431372549	271	6	1535	0.003908794788273616
CUFF_NC.13	1	77837	78333	+	35	4	422	0.009478672985781991	17	1	137	0.0072992700729927005	126	6	1209	0.004962779156327543
CUFF_NC.6	1	86737	87289	+	88	5	352	0.014204545454545454	38	3	195	0.015384615384615385	113	3	545	0.005504587155963303
CUFF_NC.18	1	89402	91722	-	70	2	570	0.0035087719298245615	146	12	1391	0.008626887131560028	597	52	5374	0.009676218831410495
CUFF_NC.19	1	95040	96380	-	73	70	651	0.10752688172043011	85	6	817	0.0073439412484700125	348	27	2911	0.009275163174166953
CUFF_NC.11	1	100800	101866	-	42	0	319	0.0	53	2	599	0.00333889816360601	278	12	2106	0.005698005698005698
CUFF_NC.7	1	104712	105333	+	77	0	282	0.0	63	2	258	0.007751937984496124	155	2	556	0.0035971223021582736
CUFF_NC.15	1	116797	118774	-	283	6	1613	0.0037197768133911966	158	5	829	0.006031363088057901	418	17	2412	0.007048092868988391
CUFF_NC.14	1	119083	119969	-	40	1	456	0.0021929824561403508	25	3	270	0.011111111111111112	237	16	2346	0.0068201193520886615
CUFF_NC.20	1	121456	123494	+	114	693	1088	0.6369485294117647	187	9	1800	0.005	545	28	4265	0.0065650644783118405
CUFF_NC.21	1	133006	133474	+	21	1	122	0.00819672131147541	25	2	180	0.011111111111111112	130	4	603	0.006633499170812604
CUFF_NC.16	1	141174	141695	+	16	0	132	0.0	11	0	107	0.0	148	3	1099	0.00272975432211101
CUFF_NC.17	1	154589	156159	+	186	8	1198	0.00667779632721202	84	2	483	0.004140786749482402	383	5	2224	0.0022482014388489208
CUFF_NC.22	1	163277	166353	+	161	218	950	0.2294736842105263	199	7	1268	0.005520504731861199	838	25	4707	0.0053112385808370514
CUFF_NC.25	1	180261	180962	+	47	1	657	0.0015220700152207	24	1	390	0.002564102564102564	162	3	1260	0.002380952380952381
CUFF_NC.26	1	182345	182786	+	30	2	228	0.008771929824561403	9	1	78	0.01282051282051282	83	9	399	0.022556390977443608
CUFF_NC.28	1	192588	193200	+	16	1	151	0.006622516556291391	34	2	295	0.006779661016949152	178	17	1555	0.010932475884244373
CUFF_NC.23	1	196107	196598	-	71	0	525	0.0	43	2	266	0.007518796992481203	109	4	590	0.006779661016949152
CUFF_NC.24	1	197887	198512	-	44	13	360	0.03611111111111111	31	1	252	0.003968253968253968	179	6	1038	0.005780346820809248
CUFF_NC.27	1	210058	210613	-	39	0	266	0.0	32	5	272	0.01838235294117647	120	25	943	0.026511134676564158
CUFF_NC.29	1	219083	221145	-	268	2	1037	0.0019286403085824494	165	5	693	0.007215007215007215	518	18	2134	0.008434864104967198
CUFF_NC.30	1	226848	227453	+	34	0	194	0.0	38	2	189	0.010582010582010581	141	5	682	0.007331378299120235
CUFF_NC.34	1	233075	237654	+	169	546	1614	0.3382899628252788	313	22	3280	0.006707317073170732	1262	87	12309	0.0070679990251035826
CUFF_NC.31	1	238416	239453	+	70	785	899	0.8731924360400445	46	522	689	0.7576197387518142	295	1174	3486	0.3367756741250717
CUFF_NC.32	1	254830	257455	+	133	170	1252	0.13578274760383385	100	117	1005	0.11641791044776119	542	369	5033	0.07331611364991059
CUFF_NC.58	1	283807	284180	-	38	2	194	0.010309278350515464	21	0	84	0.0	118	7	491	0.014256619144602852
CUFF_NC.33	1	294207	295108	-	46	1	265	0.0037735849056603774	51	1	371	0.0026954177897574125	252	7	1439	0.004864489228630994
CUFF_NC.36	1	301346	301758	+	12	3	184	0.016304347826086956	20	4	215	0.018604651162790697	105	9	1063	0.008466603951081843
CUFF_NC.35	1	308731	309427	+	54	1	375	0.0026666666666666666	43	1	305	0.003278688524590164	179	15	1145	0.013100436681222707
CUFF_NC.44	1	319180	319521	-	11	0	122	0.0	24	0	241	0.0	75	2	568	0.0035211267605633804
CUFF_NC.37	1	341814	342849	+	52	0	351	0.0	42	1	293	0.0034129692832764505	235	8	1429	0.005598320503848845
CUFF_NC.43	1	347638	348472	-	30	2	276	0.007246376811594203	42	2	377	0.005305039787798408	193	14	2188	0.006398537477148081
CUFF_NC.42	1	355746	356392	+	47	1	548	0.0018248175182481751	43	1	384	0.0026041666666666665	177	12	1657	0.00724200362100181
CUFF_NC.39	1	358665	360498	+	119	254	1051	0.241674595623216	130	10	1319	0.0075815011372251705	512	22	4085	0.005385556915544675
CUFF_NC.38	1	365198	366851	-	126	10	877	0.011402508551881414	104	7	710	0.009859154929577466	357	30	2204	0.013611615245009074
CUFF_NC.41	1	370226	371382	+	100	3	794	0.003778337531486146	63	2	451	0.004434589800443459	286	15	2656	0.005647590361445783
CUFF_NC.40	1	371997	372411	+	34	4	332	0.012048192771084338	23	9	236	0.038135593220338986	116	57	958	0.059498956158663886
CUFF_NC.57	1	392706	395717	-	236	43	1623	0.02649414664202095	259	12	1931	0.006214396685655101	749	38	5003	0.007595442734359384
CUFF_NC.54	1	409235	410549	-	88	0	610	0.0	115	1	825	0.0012121212121212121	403	8	2558	0.003127443315089914
CUFF_NC.53	1	413681	414878	+	72	3	677	0.004431314623338257	111	9	908	0.009911894273127754	309	9	2202	0.004087193460490463
CUFF_NC.46	1	417273	417814	-	14	1	56	0.017857142857142856	26	1	153	0.006535947712418301	90	4	402	0.009950248756218905
CUFF_NC.49	1	421746	425334	-	148	909	1962	0.463302752293578	117	113	1206	0.09369817578772803	799	628	9048	0.0694076038903625
CUFF_NC.48	1	424665	425164	+	38	0	347	0.0	37	2	327	0.0061162079510703364	121	7	1188	0.005892255892255892
CUFF_NC.45	1	425557	426435	+	31	1	244	0.004098360655737705	37	4	376	0.010638297872340425	194	12	1802	0.006659267480577136
CUFF_NC.47	1	435444	435889	+	12	0	85	0.0	41	2	289	0.006920415224913495	118	3	749	0.004005340453938585
CUFF_NC.50	1	442462	442900	+	22	2	208	0.009615384615384616	22	1	231	0.004329004329004329	117	14	974	0.014373716632443531
CUFF_NC.52	1	446824	448464	+	64	89	785	0.11337579617834395	81	10	689	0.01451378809869376	350	46	3228	0.014250309789343246
CUFF_NC.51	1	463998	464582	+	74	3	310	0.00967741935483871	41	1	171	0.005847953216374269	140	9	747	0.012048192771084338
CUFF_NC.55	1	482013	483177	-	87	3	557	0.005385996409335727	57	5	382	0.013089005235602094	303	13	1869	0.006955591225254147
CUFF_NC.59	1	512866	513261	+	27	136	174	0.7816091954022989	18	43	100	0.43	96	156	461	0.3383947939262473
CUFF_NC.60	1	514888	515295	+	25	1	218	0.0045871559633027525	21	1	201	0.004975124378109453	91	4	693	0.005772005772005772
CUFF_NC.70	1	523944	530099	-	403	486	2630	0.18479087452471482	396	13	2529	0.005140371688414393	1450	46	8664	0.00530932594644506
CUFF_NC.71	1	525592	531975	-	386	506	2346	0.21568627450980393	393	10	2408	0.004152823920265781	1333	33	7201	0.004582696847660047
CUFF_NC.72	1	528007	534109	-	337	129	1904	0.06775210084033613	342	11	1948	0.005646817248459959	1186	52	6356	0.008181246066708621
CUFF_NC.62	1	538375	544045	-	181	150	1893	0.07923930269413629	245	15	2590	0.005791505791505791	1195	111	9034	0.012286916094753155
CUFF_NC.64	1	547818	551699	-	177	186	1176	0.15816326530612246	108	35	643	0.05443234836702955	685	240	4427	0.05421278518183872
CUFF_NC.65	1	550120	550546	-	9	32	44	0.7272727272727273	7	25	50	0.5	38	77	261	0.2950191570881226
CUFF_NC.68	1	556826	558761	-	118	1	675	0.0014814814814814814	120	1	596	0.0016778523489932886	539	16	2606	0.0061396776669224865
CUFF_NC.61	1	559734	560251	+	10	1	107	0.009345794392523364	17	1	186	0.005376344086021506	127	15	1219	0.012305168170631665
CUFF_NC.66	1	564136	564745	-	43	0	159	0.0	40	0	153	0.0	146	3	685	0.004379562043795621
CUFF_NC.67	1	565230	565784	-	58	4	315	0.012698412698412698	34	7	194	0.03608247422680412	133	10	825	0.012121212121212121
CUFF_NC.63	1	568739	570386	-	194	3	1014	0.0029585798816568047	112	2	568	0.0035211267605633804	362	6	1700	0.0035294117647058825
CUFF_NC.73	1	588007	589390	-	133	6	693	0.008658008658008658	91	2	525	0.0038095238095238095	326	16	1975	0.00810126582278481
CUFF_NC.76	1	591664	593419	-	137	5	1107	0.004516711833785004	99	2	790	0.002531645569620253	460	19	2722	0.0069801616458486405
CUFF_NC.74	1	594729	596073	+	62	3	468	0.00641025641025641	109	7	710	0.009859154929577466	374	20	2217	0.009021199819576003
CUFF_NC.75	1	597522	598135	+	34	1	333	0.003003003003003003	43	1	336	0.002976190476190476	130	4	834	0.004796163069544364
CUFF_NC.77	1	599765	600204	+	18	58	157	0.36942675159235666	33	1	351	0.002849002849002849	116	8	1177	0.006796941376380629
CUFF_NC.78	1	610701	611509	+	68	0	375	0.0	47	1	247	0.004048582995951417	220	11	1504	0.007313829787234043
CUFF_NC.79	1	617987	619403	-	190	6	1055	0.005687203791469194	106	0	591	0.0	281	11	1485	0.007407407407407408
CUFF_NC.80	1	622046	622369	-	18	0	201	0.0	15	3	195	0.015384615384615385	82	10	795	0.012578616352201259
CUFF_NC.83	1	632744	633122	-	15	0	74	0.0	26	0	130	0.0	113	0	469	0.0
CUFF_NC.90	1	640236	640825	-	23	126	160	0.7875	5	4	60	0.06666666666666667	97	52	561	0.09269162210338681
CUFF_NC.89	1	641448	642563	+	63	1	480	0.0020833333333333333	43	3	257	0.011673151750972763	244	12	1612	0.007444168734491315
CUFF_NC.81	1	653973	654416	+	38	0	194	0.0	34	0	158	0.0	123	1	507	0.0019723865877712033
CUFF_NC.84	1	658696	661410	+	133	35	1129	0.03100088573959256	115	4	949	0.004214963119072708	712	60	5452	0.011005135730007337
CUFF_NC.85	1	659555	662333	+	144	35	1134	0.030864197530864196	101	5	751	0.006657789613848202	678	58	4746	0.012220817530552043
CUFF_NC.82	1	663236	663656	+	21	4	141	0.028368794326241134	23	1	160	0.00625	104	10	668	0.014970059880239521
CUFF_NC.86	1	665248	666402	+	59	49	436	0.11238532110091744	40	1	242	0.004132231404958678	317	7	1752	0.003995433789954338
CUFF_NC.87	1	675516	676334	-	36	0	235	0.0	41	1	273	0.003663003663003663	210	5	1367	0.0036576444769568397
CUFF_NC.88	1	693076	693540	-	14	1	108	0.009259259259259259	20	1	152	0.006578947368421052	111	0	825	0.0
CUFF_NC.91	1	705921	706616	+	46	2	446	0.004484304932735426	39	3	346	0.008670520231213872	185	9	1282	0.0070202808112324495
CUFF_NC.93	1	731716	732702	+	61	29	731	0.03967168262653899	61	6	875	0.006857142857142857	246	16	2039	0.00784698381559588
CUFF_NC.94	1	742835	743218	-	18	30	153	0.19607843137254902	16	1	140	0.007142857142857143	116	8	868	0.009216589861751152
CUFF_NC.92	1	769606	770629	-	70	2	645	0.0031007751937984496	49	2	473	0.004228329809725159	283	17	2106	0.008072174738841406
CUFF_NC.96	1	792040	792527	+	11	42	68	0.6176470588235294	8	1	43	0.023255813953488372	65	37	630	0.05873015873015873
CUFF_NC.97	1	792753	793059	+	22	3	223	0.013452914798206279	16	2	168	0.011904761904761904	71	1	558	0.0017921146953405018
CUFF_NC.95	1	813492	814238	-	40	1	408	0.0024509803921568627	39	3	313	0.009584664536741214	200	14	1627	0.008604794099569761
CUFF_NC.99	1	820959	821299	-	10	0	78	0.0	20	0	136	0.0	110	2	693	0.002886002886002886
CUFF_NC.98	1	822863	823948	+	49	18	386	0.046632124352331605	87	4	793	0.005044136191677175	275	8	1485	0.0053872053872053875
CUFF_NC.102	1	827723	828094	-	16	19	77	0.24675324675324675	24	2	126	0.015873015873015872	120	3	639	0.004694835680751174
CUFF_NC.103	1	842641	845302	+	146	9	738	0.012195121951219513	158	9	817	0.011015911872705019	751	37	3932	0.009409969481180062
CUFF_NC.104	1	843756	844262	+	38	2	108	0.018518518518518517	31	0	94	0.0	146	3	454	0.006607929515418502
CUFF_NC.101	1	852139	854239	-	205	8	1167	0.006855184233076264	162	6	981	0.0061162079510703364	451	19	2265	0.008388520971302429
CUFF_NC.100	1	866098	866818	+	26	2	292	0.00684931506849315	31	4	382	0.010471204188481676	133	5	1090	0.0045871559633027525
CUFF_NC.105	1	871636	872739	-	93	2	686	0.0029154518950437317	73	1	605	0.001652892561983471	302	8	1753	0.004563605248146035
CUFF_NC.109	1	882129	882853	+	19	87	221	0.3936651583710407	39	0	375	0.0	175	8	991	0.008072653884964682
CUFF_NC.118	1	905255	905896	+	32	3	178	0.016853932584269662	32	5	195	0.02564102564102564	168	10	955	0.010471204188481676
CUFF_NC.108	1	923855	924181	-	14	1	71	0.014084507042253521	5	0	19	0.0	68	7	329	0.02127659574468085
CUFF_NC.107	1	930609	932087	+	91	4	718	0.005571030640668524	59	4	445	0.008988764044943821	331	19	2123	0.008949599623174752
CUFF_NC.110	1	941685	942629	+	34	2	317	0.006309148264984227	61	1	681	0.0014684287812041115	211	14	1870	0.0074866310160427805
CUFF_NC.117	1	948980	949396	+	12	0	88	0.0	31	0	251	0.0	113	1	815	0.001226993865030675
CUFF_NC.111	1	957115	958329	+	108	5	828	0.006038647342995169	77	2	577	0.0034662045060658577	289	18	2083	0.008641382621219395
CUFF_NC.112	1	959892	960676	+	31	0	354	0.0	25	4	261	0.01532567049808429	207	14	2123	0.00659444182760245
CUFF_NC.113	1	967645	968734	+	122	3	574	0.005226480836236934	64	5	268	0.018656716417910446	216	19	1029	0.0184645286686103
CUFF_NC.116	1	976096	978048	+	92	3	989	0.003033367037411527	53	2	423	0.004728132387706856	397	12	3300	0.0036363636363636364
CUFF_NC.115	1	979746	980312	+	35	229	330	0.693939393939394	54	3	555	0.005405405405405406	165	4	1375	0.002909090909090909
CUFF_NC.114	1	982543	983713	+	88	1	488	0.0020491803278688526	66	0	350	0.0	300	5	1458	0.003429355281207133
CUFF_NC.127	1	1028278	1029016	+	96	1	518	0.0019305019305019305	79	1	399	0.002506265664160401	182	7	947	0.007391763463569166
CUFF_NC.120	1	1047139	1048124	+	52	220	322	0.6832298136645962	75	4	516	0.007751937984496124	287	11	1813	0.006067291781577496
CUFF_NC.121	1	1057787	1059407	-	114	40	845	0.047337278106508875	127	2	896	0.002232142857142857	433	8	2748	0.002911208151382824
CUFF_NC.122	1	1100093	1100559	-	28	1	162	0.006172839506172839	29	1	135	0.007407407407407408	122	0	605	0.0
CUFF_NC.126	1	1115138	1115771	-	24	22	167	0.1317365269461078	38	3	267	0.011235955056179775	176	3	1041	0.002881844380403458
CUFF_NC.125	1	1120224	1122526	+	151	10	1236	0.008090614886731391	85	4	598	0.006688963210702341	521	29	3627	0.007995588640749932
CUFF_NC.141	1	1145855	1148889	+	107	3	670	0.004477611940298508	101	2	742	0.0026954177897574125	685	48	4407	0.010891763104152484
CUFF_NC.123	1	1167552	1168870	+	102	4	719	0.005563282336578581	95	4	651	0.006144393241167435	306	5	1882	0.002656748140276302
CUFF_NC.124	1	1176545	1177625	+	70	0	432	0.0	70	1	462	0.0021645021645021645	286	6	1834	0.003271537622682661
CUFF_NC.128	1	1185672	1187044	+	86	385	723	0.5325034578146611	106	7	880	0.007954545454545454	372	15	2835	0.005291005291005291
CUFF_NC.130	1	1194178	1196948	+	48	44	274	0.16058394160583941	33	34	155	0.21935483870967742	333	272	1754	0.15507411630558723
CUFF_NC.131	1	1195443	1196953	-	29	3	148	0.02027027027027027	14	2	49	0.04081632653061224	174	16	838	0.01909307875894988
CUFF_NC.129	1	1198032	1198475	-	24	2	327	0.0061162079510703364	21	1	305	0.003278688524590164	117	9	1208	0.0074503311258278145
CUFF_NC.134	1	1212386	1213136	+	51	2	466	0.004291845493562232	43	2	350	0.005714285714285714	181	3	1311	0.002288329519450801
CUFF_NC.135	1	1214728	1215425	+	16	0	215	0.0	38	0	413	0.0	164	7	1594	0.00439146800501882
CUFF_NC.132	1	1231501	1232254	-	13	0	59	0.0	52	2	253	0.007905138339920948	184	6	1116	0.005376344086021506
CUFF_NC.133	1	1236419	1239190	-	238	1	1269	0.0007880220646178094	155	4	972	0.00411522633744856	682	21	3820	0.00549738219895288
CUFF_NC.136	1	1242530	1243500	-	35	5	317	0.015772870662460567	41	6	435	0.013793103448275862	215	20	1602	0.012484394506866416
CUFF_NC.138	1	1246683	1249246	+	109	8	841	0.009512485136741973	131	9	973	0.009249743062692703	623	36	3885	0.009266409266409266
CUFF_NC.139	1	1252201	1253127	+	36	3	252	0.011904761904761904	73	4	506	0.007905138339920948	232	16	1399	0.01143674052894925
CUFF_NC.140	1	1253977	1254637	+	28	7	141	0.04964539007092199	65	0	337	0.0	153	2	721	0.0027739251040221915
CUFF_NC.137	1	1279334	1279806	-	27	0	103	0.0	26	0	228	0.0	120	2	655	0.0030534351145038168
CUFF_NC.143	1	1288800	1291233	+	121	234	986	0.23732251521298176	119	30	866	0.03464203233256351	567	188	4334	0.04337794185509922
CUFF_NC.142	1	1300905	1301321	+	52	1	242	0.004132231404958678	35	2	128	0.015625	106	2	418	0.004784688995215311
CUFF_NC.144	1	1338408	1339261	+	34	2	337	0.005934718100890208	16	2	178	0.011235955056179775	216	17	2359	0.0072064434082238235
CUFF_NC.145	1	1341365	1342417	+	68	180	713	0.25245441795231416	79	4	786	0.005089058524173028	271	11	2102	0.005233111322549952
CUFF_NC.146	1	1345141	1345873	-	34	129	259	0.4980694980694981	56	5	431	0.01160092807424594	193	18	1461	0.012320328542094456
CUFF_NC.147	1	1346969	1347375	-	40	278	348	0.7988505747126436	31	2	284	0.007042253521126761	104	11	966	0.011387163561076604
CUFF_NC.148	1	1356182	1357078	+	36	40	235	0.1702127659574468	63	6	441	0.013605442176870748	284	14	1454	0.009628610729023384
CUFF_NC.149	1	1369036	1370535	+	75	415	769	0.5396618985695709	110	12	1063	0.011288805268109126	402	25	3668	0.006815703380588877
CUFF_NC.152	1	1418604	1420049	+	54	1	344	0.0029069767441860465	106	4	653	0.006125574272588055	353	14	2193	0.006383948928408573
CUFF_NC.150	1	1429441	1429889	-	28	0	287	0.0	25	1	296	0.0033783783783783786	113	5	666	0.0075075075075075074
CUFF_NC.151	1	1435272	1437739	+	286	13	1853	0.007015650296815974	161	4	1057	0.003784295175023652	604	26	4073	0.006383501104836729
CUFF_NC.161	1	1441785	1442836	+	73	1024	1104	0.927536231884058	39	410	596	0.6879194630872483	278	782	3383	0.23115577889447236
CUFF_NC.153	1	1457821	1459000	+	76	2	420	0.004761904761904762	88	3	456	0.006578947368421052	328	3	1517	0.001977587343441002
CUFF_NC.154	1	1461160	1461849	-	18	1	159	0.006289308176100629	23	3	227	0.013215859030837005	213	13	1660	0.00783132530120482
CUFF_NC.155	1	1469492	1470729	-	161	5	1246	0.0040128410914927765	80	8	624	0.01282051282051282	268	12	1690	0.007100591715976331
CUFF_NC.156	1	1479969	1481012	-	41	5	500	0.01	38	2	475	0.004210526315789474	249	26	2957	0.00879269529928982
