gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	11	14	53	0.2641509433962264	13	0	36	0.0	98	2	359	0.005571030640668524
CUFF_NC.4	1	33820	36039	+	75	62	294	0.2108843537414966	154	1	671	0.0014903129657228018	441	7	1599	0.004377736085053158
CUFF_NC.2	1	45074	46980	+	85	2	393	0.005089058524173028	76	0	288	0.0	270	3	959	0.0031282586027111575
CUFF_NC.3	1	51977	52743	-	57	1	95	0.010526315789473684	44	1	97	0.010309278350515464	122	1	192	0.005208333333333333
CUFF_NC.9	1	63146	64476	+	45	0	299	0.0	45	0	326	0.0	200	5	1035	0.004830917874396135
CUFF_NC.10	1	67285	67782	+	57	2	210	0.009523809523809525	19	0	89	0.0	74	0	221	0.0
CUFF_NC.5	1	69606	71157	+	33	9	111	0.08108108108108109	26	1	101	0.009900990099009901	152	2	539	0.0037105751391465678
CUFF_NC.8	1	73084	73716	-	12	1	21	0.047619047619047616	51	0	85	0.0	127	0	195	0.0
CUFF_NC.12	1	75366	76624	-	126	0	320	0.0	54	0	120	0.0	142	1	345	0.002898550724637681
CUFF_NC.13	1	77837	78333	+	30	0	135	0.0	14	0	19	0.0	96	1	250	0.004
CUFF_NC.6	1	86737	87289	+	50	0	127	0.0	24	0	59	0.0	55	0	144	0.0
CUFF_NC.18	1	89402	91722	-	41	0	116	0.0	94	1	319	0.003134796238244514	365	6	983	0.006103763987792472
CUFF_NC.19	1	95040	96380	-	62	56	230	0.24347826086956523	73	1	307	0.003257328990228013	243	4	885	0.004519774011299435
CUFF_NC.11	1	100800	101866	-	40	26	183	0.14207650273224043	45	0	283	0.0	233	3	887	0.0033821871476888386
CUFF_NC.7	1	104712	105333	+	47	1	79	0.012658227848101266	46	0	72	0.0	113	1	160	0.00625
CUFF_NC.15	1	116797	118774	-	226	2	506	0.003952569169960474	116	1	246	0.0040650406504065045	304	1	620	0.0016129032258064516
CUFF_NC.14	1	119083	119969	-	30	0	125	0.0	17	0	69	0.0	118	0	362	0.0
