gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	20	2	112	0.017857142857142856	23	2	140	0.014285714285714285	219	5	1038	0.004816955684007707
CUFF_NC.4	1	33820	36039	+	91	50	571	0.08756567425569177	186	3	1255	0.002390438247011952	615	13	3393	0.0038314176245210726
CUFF_NC.2	1	45074	46980	+	105	1	809	0.0012360939431396785	99	1	678	0.0014749262536873156	428	12	2582	0.004647560030983733
CUFF_NC.3	1	51977	52743	-	68	2	261	0.007662835249042145	52	1	194	0.005154639175257732	156	1	544	0.001838235294117647
CUFF_NC.9	1	63146	64476	+	62	1	425	0.002352941176470588	60	1	450	0.0022222222222222222	304	12	1675	0.007164179104477612
CUFF_NC.10	1	67285	67782	+	65	0	281	0.0	23	0	132	0.0	96	0	324	0.0
CUFF_NC.5	1	69606	71157	+	44	5	240	0.020833333333333332	32	0	189	0.0	241	9	1074	0.008379888268156424
CUFF_NC.8	1	73084	73716	-	14	0	56	0.0	53	0	186	0.0	167	2	526	0.0038022813688212928
CUFF_NC.12	1	75366	76624	-	165	4	765	0.00522875816993464	77	0	346	0.0	211	5	962	0.005197505197505198
CUFF_NC.13	1	77837	78333	+	21	1	212	0.0047169811320754715	13	0	42	0.0	73	2	347	0.005763688760806916
CUFF_NC.6	1	86737	87289	+	88	2	261	0.007662835249042145	40	0	117	0.0	115	2	347	0.005763688760806916
CUFF_NC.18	1	89402	91722	-	51	0	215	0.0	100	3	640	0.0046875	416	8	1992	0.004016064257028112
CUFF_NC.19	1	95040	96380	-	75	72	408	0.17647058823529413	88	1	510	0.00196078431372549	359	9	1797	0.005008347245409015
CUFF_NC.11	1	100800	101866	-	38	2	238	0.008403361344537815	44	1	385	0.0025974025974025974	241	5	1287	0.003885003885003885
CUFF_NC.7	1	104712	105333	+	68	1	219	0.0045662100456621	61	0	198	0.0	138	3	376	0.007978723404255319
CUFF_NC.15	1	116797	118774	-	275	6	1269	0.004728132387706856	151	2	615	0.0032520325203252032	417	7	1621	0.00431832202344232
CUFF_NC.14	1	119083	119969	-	40	1	300	0.0033333333333333335	26	0	183	0.0	227	4	1291	0.003098373353989156
CUFF_NC.20	1	121456	123494	+	102	287	544	0.5275735294117647	162	3	942	0.0031847133757961785	456	14	2235	0.006263982102908278
CUFF_NC.21	1	133006	133474	+	13	0	53	0.0	20	0	82	0.0	79	0	223	0.0
CUFF_NC.16	1	141174	141695	+	16	0	68	0.0	10	0	51	0.0	147	4	592	0.006756756756756757
CUFF_NC.17	1	154589	156159	+	179	7	951	0.007360672975814932	73	0	370	0.0	310	3	1418	0.0021156558533145277
CUFF_NC.22	1	163277	166353	+	150	65	667	0.09745127436281859	184	6	798	0.007518796992481203	759	9	2905	0.003098106712564544
CUFF_NC.25	1	180261	180962	+	44	2	460	0.004347826086956522	23	1	266	0.0037593984962406013	145	4	982	0.004073319755600814
CUFF_NC.26	1	182345	182786	+	26	0	116	0.0	10	1	42	0.023809523809523808	69	2	198	0.010101010101010102
CUFF_NC.28	1	192588	193200	+	15	0	74	0.0	31	1	146	0.00684931506849315	158	6	728	0.008241758241758242
CUFF_NC.23	1	196107	196598	-	73	0	368	0.0	41	1	191	0.005235602094240838	114	1	339	0.0029498525073746312
CUFF_NC.24	1	197887	198512	-	45	3	248	0.012096774193548387	31	0	153	0.0	166	4	754	0.005305039787798408
