gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	19	0	174	0.0	25	3	185	0.016216216216216217	214	7	1575	0.0044444444444444444
CUFF_NC.4	1	33820	36039	+	90	162	902	0.17960088691796008	188	10	1904	0.005252100840336135	613	35	5261	0.006652727618323513
CUFF_NC.2	1	45074	46980	+	107	39	1183	0.03296703296703297	100	5	1004	0.0049800796812749	430	18	3896	0.004620123203285421
CUFF_NC.3	1	51977	52743	-	67	1	458	0.002183406113537118	55	0	371	0.0	175	4	834	0.004796163069544364
CUFF_NC.9	1	63146	64476	+	55	5	580	0.008620689655172414	64	2	688	0.0029069767441860465	282	8	2410	0.0033195020746887966
CUFF_NC.10	1	67285	67782	+	78	3	593	0.00505902192242833	32	1	245	0.004081632653061225	110	5	747	0.006693440428380187
CUFF_NC.5	1	69606	71157	+	67	104	566	0.18374558303886926	46	14	392	0.03571428571428571	333	18	2278	0.007901668129938543
CUFF_NC.8	1	73084	73716	-	20	1	125	0.008	61	1	373	0.002680965147453083	185	9	870	0.010344827586206896
CUFF_NC.12	1	75366	76624	-	190	9	1709	0.0052662375658279695	103	2	784	0.002551020408163265	273	4	1848	0.0021645021645021645
CUFF_NC.13	1	77837	78333	+	31	0	219	0.0	14	2	63	0.031746031746031744	106	6	494	0.012145748987854251
CUFF_NC.6	1	86737	87289	+	93	1	713	0.001402524544179523	40	2	321	0.006230529595015576	108	4	858	0.004662004662004662
CUFF_NC.18	1	89402	91722	-	68	14	506	0.02766798418972332	139	7	1178	0.005942275042444821	574	13	3988	0.003259779338014042
CUFF_NC.19	1	95040	96380	-	73	144	735	0.19591836734693877	87	5	801	0.006242197253433208	355	10	2693	0.003713330857779428
CUFF_NC.11	1	100800	101866	-	41	3	401	0.007481296758104738	48	3	483	0.006211180124223602	249	8	1915	0.004177545691906005
CUFF_NC.7	1	104712	105333	+	72	5	554	0.009025270758122744	64	5	488	0.010245901639344262	139	5	923	0.005417118093174431
CUFF_NC.15	1	116797	118774	-	281	15	2458	0.006102522375915379	147	2	1147	0.0017436791630340018	390	14	2784	0.005028735632183908
CUFF_NC.14	1	119083	119969	-	37	0	321	0.0	24	0	208	0.0	201	9	1397	0.006442376521116679
CUFF_NC.20	1	121456	123494	+	117	490	936	0.5235042735042735	181	16	1444	0.0110803324099723	511	11	3560	0.003089887640449438
CUFF_NC.21	1	133006	133474	+	17	0	92	0.0	24	0	135	0.0	114	2	479	0.0041753653444676405
CUFF_NC.16	1	141174	141695	+	15	1	82	0.012195121951219513	11	0	62	0.0	136	7	616	0.011363636363636364
CUFF_NC.17	1	154589	156159	+	191	8	1825	0.004383561643835616	85	4	758	0.005277044854881266	382	13	3202	0.004059962523422861
CUFF_NC.22	1	163277	166353	+	155	518	1179	0.4393553859202714	192	6	1437	0.0041753653444676405	798	25	5092	0.004909662215239591
CUFF_NC.25	1	180261	180962	+	41	2	500	0.004	19	0	216	0.0	138	13	1290	0.010077519379844961
CUFF_NC.26	1	182345	182786	+	32	0	245	0.0	11	0	66	0.0	89	1	391	0.0025575447570332483
CUFF_NC.28	1	192588	193200	+	16	1	144	0.006944444444444444	35	2	299	0.006688963210702341	178	9	1188	0.007575757575757576
CUFF_NC.23	1	196107	196598	-	63	4	452	0.008849557522123894	37	1	242	0.004132231404958678	77	3	478	0.006276150627615063
CUFF_NC.24	1	197887	198512	-	42	84	427	0.19672131147540983	26	3	275	0.01090909090909091	161	4	1260	0.0031746031746031746
CUFF_NC.27	1	210058	210613	-	40	3	435	0.006896551724137931	30	0	334	0.0	123	4	1197	0.003341687552213868
CUFF_NC.29	1	219083	221145	-	268	9	2239	0.00401965163019205	169	4	1332	0.003003003003003003	505	17	3778	0.004499735309687666
CUFF_NC.30	1	226848	227453	+	36	0	188	0.0	39	1	249	0.004016064257028112	160	4	834	0.004796163069544364
CUFF_NC.34	1	233075	237654	+	163	638	1304	0.4892638036809816	295	17	2509	0.006775607811877242	1147	47	8578	0.005479132664956867
CUFF_NC.31	1	238416	239453	+	70	531	581	0.9139414802065404	53	331	433	0.7644341801385681	294	536	2299	0.23314484558503698
CUFF_NC.32	1	254830	257455	+	138	161	1005	0.16019900497512438	95	68	713	0.09537166900420757	493	168	3049	0.05510003279763857
CUFF_NC.58	1	283807	284180	-	33	3	288	0.010416666666666666	17	0	143	0.0	78	0	516	0.0
CUFF_NC.33	1	294207	295108	-	45	7	388	0.01804123711340206	46	5	473	0.010570824524312896	209	7	1671	0.004189108318372232
CUFF_NC.36	1	301346	301758	+	9	0	36	0.0	18	0	96	0.0	86	5	474	0.010548523206751054
CUFF_NC.35	1	308731	309427	+	57	3	375	0.008	47	1	299	0.0033444816053511705	194	2	1115	0.0017937219730941704
CUFF_NC.44	1	319180	319521	-	11	0	108	0.0	21	0	204	0.0	75	4	544	0.007352941176470588
CUFF_NC.37	1	341814	342849	+	51	2	286	0.006993006993006993	42	0	222	0.0	226	6	1063	0.005644402634054563
CUFF_NC.43	1	347638	348472	-	26	1	176	0.005681818181818182	40	1	223	0.004484304932735426	180	3	919	0.003264417845484222
CUFF_NC.42	1	355746	356392	+	47	1	358	0.002793296089385475	41	1	305	0.003278688524590164	170	2	815	0.00245398773006135
CUFF_NC.39	1	358665	360498	+	121	481	1125	0.4275555555555556	136	7	1280	0.00546875	508	19	3988	0.004764292878635908
CUFF_NC.38	1	365198	366851	-	119	6	837	0.007168458781362007	100	2	706	0.0028328611898017	270	3	1505	0.0019933554817275745
CUFF_NC.41	1	370226	371382	+	96	4	680	0.0058823529411764705	60	3	419	0.007159904534606206	268	5	1614	0.0030978934324659233
CUFF_NC.40	1	371997	372411	+	33	1	251	0.00398406374501992	23	0	167	0.0	111	12	634	0.01892744479495268
CUFF_NC.57	1	392706	395717	-	243	324	1645	0.19696048632218846	263	10	1800	0.005555555555555556	780	29	4936	0.0058752025931928685
CUFF_NC.54	1	409235	410549	-	89	4	784	0.00510204081632653	114	7	968	0.007231404958677686	396	13	3003	0.004329004329004329
CUFF_NC.53	1	413681	414878	+	72	2	706	0.0028328611898017	110	4	1043	0.003835091083413231	321	13	2346	0.005541346973572037
CUFF_NC.46	1	417273	417814	-	14	11	74	0.14864864864864866	28	0	193	0.0	113	0	553	0.0
