gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	18	2	127	0.015748031496062992	21	2	151	0.013245033112582781	202	15	1064	0.014097744360902255
CUFF_NC.4	1	33820	36039	+	79	132	564	0.23404255319148937	174	2	1259	0.0015885623510722795	523	11	3291	0.003342449103615922
CUFF_NC.2	1	45074	46980	+	101	2	845	0.002366863905325444	98	4	689	0.005805515239477504	424	15	2447	0.006129955046996322
CUFF_NC.3	1	51977	52743	-	67	1	304	0.003289473684210526	56	0	269	0.0	164	1	769	0.0013003901170351106
CUFF_NC.9	1	63146	64476	+	48	8	450	0.017777777777777778	53	5	482	0.01037344398340249	245	12	1781	0.00673778775968557
CUFF_NC.10	1	67285	67782	+	71	1	328	0.003048780487804878	28	0	147	0.0	100	0	374	0.0
CUFF_NC.5	1	69606	71157	+	75	0	516	0.0	47	0	327	0.0	361	7	2173	0.0032213529682466636
CUFF_NC.8	1	73084	73716	-	13	0	66	0.0	50	1	197	0.005076142131979695	149	2	454	0.004405286343612335
CUFF_NC.12	1	75366	76624	-	167	1	607	0.0016474464579901153	88	2	281	0.0071174377224199285	213	4	975	0.0041025641025641026
CUFF_NC.13	1	77837	78333	+	33	1	357	0.0028011204481792717	15	0	102	0.0	107	2	932	0.002145922746781116
CUFF_NC.6	1	86737	87289	+	76	0	241	0.0	38	1	97	0.010309278350515464	103	2	374	0.0053475935828877
CUFF_NC.18	1	89402	91722	-	68	1	341	0.002932551319648094	135	1	943	0.0010604453870625664	556	8	3208	0.0024937655860349127
CUFF_NC.19	1	95040	96380	-	72	109	503	0.21669980119284293	86	1	632	0.0015822784810126582	336	1	2204	0.00045372050816696913
CUFF_NC.11	1	100800	101866	-	39	4	204	0.0196078431372549	44	0	370	0.0	234	3	1100	0.0027272727272727275
