gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	22	5	149	0.03355704697986577	23	0	136	0.0	189	1	917	0.0010905125408942203
CUFF_NC.4	1	33820	36039	+	84	93	536	0.17350746268656717	173	8	1187	0.006739679865206402	554	10	3326	0.003006614552014432
CUFF_NC.2	1	45074	46980	+	86	4	602	0.006644518272425249	83	0	496	0.0	367	7	1681	0.004164187983343248
CUFF_NC.3	1	51977	52743	-	57	0	243	0.0	48	2	209	0.009569377990430622	151	1	572	0.0017482517482517483
CUFF_NC.9	1	63146	64476	+	51	1	439	0.002277904328018223	53	0	407	0.0	247	3	1543	0.0019442644199611147
CUFF_NC.10	1	67285	67782	+	55	1	244	0.004098360655737705	23	0	103	0.0	84	1	269	0.0037174721189591076
CUFF_NC.5	1	69606	71157	+	54	18	325	0.055384615384615386	35	1	208	0.004807692307692308	289	3	1588	0.001889168765743073
CUFF_NC.8	1	73084	73716	-	19	0	56	0.0	55	1	168	0.005952380952380952	165	0	429	0.0
CUFF_NC.12	1	75366	76624	-	162	2	647	0.0030911901081916537	85	0	315	0.0	189	2	780	0.002564102564102564
CUFF_NC.13	1	77837	78333	+	20	1	180	0.005555555555555556	9	0	44	0.0	59	0	319	0.0
CUFF_NC.6	1	86737	87289	+	68	0	176	0.0	25	0	62	0.0	74	1	151	0.006622516556291391
CUFF_NC.18	1	89402	91722	-	60	2	293	0.006825938566552901	127	6	835	0.00718562874251497	535	8	2895	0.002763385146804836
CUFF_NC.19	1	95040	96380	-	68	6	380	0.015789473684210527	78	2	491	0.004073319755600814	294	5	1661	0.0030102347983142685
CUFF_NC.11	1	100800	101866	-	37	3	215	0.013953488372093023	45	0	347	0.0	245	1	1164	0.000859106529209622
CUFF_NC.7	1	104712	105333	+	56	0	132	0.0	53	0	122	0.0	132	0	277	0.0
CUFF_NC.15	1	116797	118774	-	224	1	773	0.00129366106080207	127	2	385	0.005194805194805195	316	2	1149	0.0017406440382941688
CUFF_NC.14	1	119083	119969	-	35	2	280	0.007142857142857143	22	0	145	0.0	199	3	1250	0.0024
CUFF_NC.20	1	121456	123494	+	103	441	629	0.7011128775834659	164	3	1068	0.0028089887640449437	436	16	2389	0.006697362913352867
CUFF_NC.21	1	133006	133474	+	19	22	86	0.2558139534883721	22	1	121	0.008264462809917356	113	1	349	0.0028653295128939827
CUFF_NC.16	1	141174	141695	+	16	1	85	0.011764705882352941	11	0	67	0.0	148	3	735	0.004081632653061225
CUFF_NC.17	1	154589	156159	+	138	2	632	0.0031645569620253164	63	0	218	0.0	257	1	930	0.001075268817204301
CUFF_NC.22	1	163277	166353	+	137	225	623	0.3611556982343499	168	6	793	0.007566204287515763	688	11	2845	0.003866432337434095
CUFF_NC.25	1	180261	180962	+	45	2	406	0.0049261083743842365	20	2	185	0.010810810810810811	128	4	909	0.0044004400440044
CUFF_NC.26	1	182345	182786	+	29	1	158	0.006329113924050633	12	0	73	0.0	90	1	381	0.0026246719160104987
CUFF_NC.28	1	192588	193200	+	13	0	61	0.0	25	0	135	0.0	149	1	684	0.0014619883040935672
CUFF_NC.23	1	196107	196598	-	53	1	212	0.0047169811320754715	30	1	117	0.008547008547008548	63	0	180	0.0
CUFF_NC.24	1	197887	198512	-	40	22	204	0.10784313725490197	28	1	146	0.00684931506849315	145	2	586	0.0034129692832764505
CUFF_NC.27	1	210058	210613	-	40	0	200	0.0	35	0	225	0.0	134	0	678	0.0
CUFF_NC.29	1	219083	221145	-	226	1	653	0.0015313935681470138	132	1	386	0.0025906735751295338	406	7	1228	0.005700325732899023
CUFF_NC.30	1	226848	227453	+	34	0	182	0.0	35	0	125	0.0	160	0	641	0.0
CUFF_NC.34	1	233075	237654	+	149	551	998	0.5521042084168337	281	7	1972	0.0035496957403651115	1103	21	7001	0.0029995714897871734
CUFF_NC.31	1	238416	239453	+	70	596	646	0.9226006191950464	53	429	515	0.8330097087378641	304	992	2887	0.34360928299272603
CUFF_NC.32	1	254830	257455	+	115	101	831	0.12154031287605295	80	44	627	0.07017543859649122	476	242	3124	0.07746478873239436
CUFF_NC.58	1	283807	284180	-	34	0	112	0.0	18	0	70	0.0	110	2	329	0.0060790273556231
CUFF_NC.33	1	294207	295108	-	38	0	158	0.0	44	1	236	0.00423728813559322	213	2	935	0.0021390374331550803
CUFF_NC.36	1	301346	301758	+	9	0	95	0.0	18	0	146	0.0	101	3	703	0.004267425320056899
CUFF_NC.35	1	308731	309427	+	52	1	208	0.004807692307692308	38	0	154	0.0	169	1	589	0.001697792869269949
CUFF_NC.44	1	319180	319521	-	7	0	83	0.0	22	0	113	0.0	57	1	329	0.00303951367781155
CUFF_NC.37	1	341814	342849	+	50	0	284	0.0	39	3	209	0.014354066985645933	225	3	1270	0.002362204724409449
CUFF_NC.43	1	347638	348472	-	29	0	138	0.0	34	1	154	0.006493506493506494	180	3	913	0.0032858707557502738
CUFF_NC.42	1	355746	356392	+	44	0	259	0.0	41	2	178	0.011235955056179775	155	5	768	0.006510416666666667
CUFF_NC.39	1	358665	360498	+	115	226	552	0.40942028985507245	133	3	663	0.004524886877828055	487	6	2119	0.002831524303916942
CUFF_NC.38	1	365198	366851	-	92	0	454	0.0	72	1	433	0.0023094688221709007	200	2	1118	0.0017889087656529517
CUFF_NC.41	1	370226	371382	+	99	3	386	0.007772020725388601	62	1	223	0.004484304932735426	273	7	1310	0.0053435114503816794
CUFF_NC.40	1	371997	372411	+	33	1	189	0.005291005291005291	22	3	150	0.02	102	62	579	0.1070811744386874
CUFF_NC.57	1	392706	395717	-	200	119	826	0.1440677966101695	221	5	930	0.005376344086021506	651	7	2437	0.002872384078785392
CUFF_NC.54	1	409235	410549	-	82	0	323	0.0	101	1	401	0.0024937655860349127	331	1	1168	0.0008561643835616438
CUFF_NC.53	1	413681	414878	+	64	30	374	0.08021390374331551	98	1	515	0.001941747572815534	278	5	1213	0.004122011541632316
CUFF_NC.46	1	417273	417814	-	14	0	57	0.0	29	0	174	0.0	117	1	511	0.0019569471624266144
CUFF_NC.49	1	421746	425334	-	141	537	1038	0.5173410404624278	105	93	627	0.14832535885167464	731	452	4602	0.09821816601477619
