gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	14	0	117	0.0	18	0	133	0.0	131	3	886	0.003386004514672686
CUFF_NC.4	1	33820	36039	+	81	54	495	0.10909090909090909	170	2	1136	0.0017605633802816902	529	15	2978	0.005036937541974479
CUFF_NC.2	1	45074	46980	+	95	5	652	0.007668711656441718	92	1	510	0.00196078431372549	404	5	1764	0.002834467120181406
CUFF_NC.3	1	51977	52743	-	62	0	190	0.0	47	0	172	0.0	130	4	484	0.008264462809917356
CUFF_NC.9	1	63146	64476	+	55	0	483	0.0	62	1	583	0.0017152658662092624	263	7	2033	0.003443187407771766
CUFF_NC.10	1	67285	67782	+	58	2	337	0.005934718100890208	25	0	133	0.0	79	0	325	0.0
CUFF_NC.5	1	69606	71157	+	67	74	490	0.1510204081632653	41	1	289	0.0034602076124567475	329	6	1822	0.003293084522502744
CUFF_NC.8	1	73084	73716	-	16	7	46	0.15217391304347827	50	1	135	0.007407407407407408	144	0	366	0.0
CUFF_NC.12	1	75366	76624	-	180	5	670	0.007462686567164179	94	0	320	0.0	249	5	981	0.0050968399592252805
CUFF_NC.13	1	77837	78333	+	23	0	280	0.0	8	0	69	0.0	62	3	527	0.0056925996204933585
CUFF_NC.6	1	86737	87289	+	77	0	198	0.0	36	0	90	0.0	95	0	254	0.0
CUFF_NC.18	1	89402	91722	-	64	6	245	0.024489795918367346	130	6	717	0.008368200836820083	522	11	2304	0.004774305555555556
CUFF_NC.19	1	95040	96380	-	66	127	418	0.3038277511961722	77	2	524	0.003816793893129771	287	9	1807	0.004980630879911455
CUFF_NC.11	1	100800	101866	-	32	3	152	0.019736842105263157	41	1	331	0.0030211480362537764	216	5	1025	0.004878048780487805
CUFF_NC.7	1	104712	105333	+	74	2	215	0.009302325581395349	65	0	193	0.0	152	4	377	0.010610079575596816
CUFF_NC.15	1	116797	118774	-	272	0	1057	0.0	147	3	472	0.006355932203389831	387	2	1504	0.0013297872340425532
CUFF_NC.14	1	119083	119969	-	39	1	318	0.0031446540880503146	25	1	199	0.005025125628140704	194	6	1314	0.0045662100456621
CUFF_NC.20	1	121456	123494	+	105	547	716	0.7639664804469274	167	2	1170	0.0017094017094017094	443	7	2542	0.0027537372147915028
CUFF_NC.21	1	133006	133474	+	18	5	73	0.0684931506849315	20	0	93	0.0	91	3	282	0.010638297872340425
CUFF_NC.16	1	141174	141695	+	16	0	61	0.0	11	1	65	0.015384615384615385	139	1	567	0.001763668430335097
CUFF_NC.17	1	154589	156159	+	175	5	930	0.005376344086021506	80	2	334	0.005988023952095809	357	5	1396	0.0035816618911174787
CUFF_NC.22	1	163277	166353	+	156	299	730	0.4095890410958904	189	1	932	0.001072961373390558	778	9	3408	0.002640845070422535
CUFF_NC.25	1	180261	180962	+	40	3	475	0.00631578947368421	21	0	239	0.0	134	5	1104	0.004528985507246377
CUFF_NC.26	1	182345	182786	+	10	1	121	0.008264462809917356	5	0	28	0.0	30	0	171	0.0
CUFF_NC.28	1	192588	193200	+	14	2	63	0.031746031746031744	31	1	141	0.0070921985815602835	141	9	621	0.014492753623188406
CUFF_NC.23	1	196107	196598	-	63	1	304	0.003289473684210526	37	0	134	0.0	81	3	298	0.010067114093959731
CUFF_NC.24	1	197887	198512	-	43	48	241	0.1991701244813278	29	0	136	0.0	150	3	731	0.004103967168262654
CUFF_NC.27	1	210058	210613	-	37	0	200	0.0	31	0	234	0.0	117	7	680	0.010294117647058823
CUFF_NC.29	1	219083	221145	-	226	0	792	0.0	147	2	549	0.0036429872495446266	420	7	1657	0.004224502112251056
CUFF_NC.30	1	226848	227453	+	29	0	159	0.0	36	0	112	0.0	145	1	575	0.0017391304347826088
CUFF_NC.34	1	233075	237654	+	166	464	974	0.47638603696098564	299	3	1793	0.0016731734523145567	1147	26	6183	0.0042050784408863015
CUFF_NC.31	1	238416	239453	+	66	674	713	0.9453015427769986	50	428	563	0.7602131438721137	284	792	2785	0.2843806104129264
CUFF_NC.32	1	254830	257455	+	120	240	915	0.26229508196721313	83	86	682	0.12609970674486803	460	286	3237	0.08835341365461848
CUFF_NC.58	1	283807	284180	-	33	0	114	0.0	18	0	54	0.0	82	0	211	0.0
CUFF_NC.33	1	294207	295108	-	45	0	187	0.0	46	1	247	0.004048582995951417	230	4	1054	0.003795066413662239
CUFF_NC.36	1	301346	301758	+	10	0	83	0.0	17	1	154	0.006493506493506494	83	3	613	0.004893964110929853
CUFF_NC.35	1	308731	309427	+	51	1	329	0.00303951367781155	41	3	251	0.01195219123505976	176	13	922	0.014099783080260303
CUFF_NC.44	1	319180	319521	-	7	0	103	0.0	20	0	181	0.0	48	2	426	0.004694835680751174
CUFF_NC.37	1	341814	342849	+	53	0	340	0.0	40	1	241	0.004149377593360996	238	4	1310	0.0030534351145038168
CUFF_NC.43	1	347638	348472	-	26	0	136	0.0	37	1	167	0.005988023952095809	185	6	991	0.006054490413723511
CUFF_NC.42	1	355746	356392	+	44	2	343	0.0058309037900874635	40	1	239	0.0041841004184100415	164	6	954	0.006289308176100629
CUFF_NC.39	1	358665	360498	+	119	344	708	0.4858757062146893	130	5	881	0.0056753688989784334	473	9	2525	0.0035643564356435645
CUFF_NC.38	1	365198	366851	-	108	3	528	0.005681818181818182	88	0	447	0.0	251	3	1279	0.0023455824863174357
CUFF_NC.41	1	370226	371382	+	93	0	401	0.0	56	0	242	0.0	258	5	1229	0.0040683482506102524
CUFF_NC.40	1	371997	372411	+	34	0	214	0.0	24	1	152	0.006578947368421052	120	16	543	0.029465930018416207
CUFF_NC.57	1	392706	395717	-	228	73	993	0.07351460221550855	244	2	1132	0.0017667844522968198	703	3	2926	0.0010252904989747095
CUFF_NC.54	1	409235	410549	-	86	1	354	0.002824858757062147	111	4	509	0.007858546168958742	390	3	1457	0.002059025394646534
CUFF_NC.53	1	413681	414878	+	69	2	434	0.004608294930875576	104	8	601	0.013311148086522463	286	13	1380	0.009420289855072464
CUFF_NC.46	1	417273	417814	-	15	0	45	0.0	30	1	152	0.006578947368421052	90	4	418	0.009569377990430622
CUFF_NC.49	1	421746	425334	-	139	476	931	0.5112781954887218	108	47	528	0.08901515151515152	686	272	4037	0.06737676492444884
CUFF_NC.48	1	424665	425164	+	38	0	219	0.0	37	0	182	0.0	121	4	754	0.005305039787798408
CUFF_NC.45	1	425557	426435	+	30	1	143	0.006993006993006993	30	1	238	0.004201680672268907	159	1	933	0.0010718113612004287
CUFF_NC.47	1	435444	435889	+	9	0	46	0.0	31	1	174	0.005747126436781609	70	2	370	0.005405405405405406
CUFF_NC.50	1	442462	442900	+	18	0	132	0.0	19	1	156	0.00641025641025641	93	4	640	0.00625
CUFF_NC.52	1	446824	448464	+	62	0	378	0.0	70	1	379	0.002638522427440633	295	8	1421	0.005629838142153413
CUFF_NC.51	1	463998	464582	+	66	0	226	0.0	34	0	130	0.0	143	0	496	0.0
