gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	21	1	142	0.007042253521126761	22	0	128	0.0	179	3	934	0.0032119914346895075
CUFF_NC.4	1	33820	36039	+	65	86	518	0.16602316602316602	142	6	1194	0.005025125628140704	431	12	3092	0.0038809831824062097
CUFF_NC.2	1	45074	46980	+	74	2	692	0.002890173410404624	76	1	543	0.001841620626151013	287	3	1684	0.0017814726840855108
CUFF_NC.3	1	51977	52743	-	57	0	127	0.0	52	0	127	0.0	131	0	357	0.0
CUFF_NC.9	1	63146	64476	+	44	0	360	0.0	47	1	366	0.00273224043715847	217	6	1427	0.004204625087596356
CUFF_NC.10	1	67285	67782	+	49	0	209	0.0	20	0	97	0.0	59	0	237	0.0
CUFF_NC.5	1	69606	71157	+	39	3	274	0.010948905109489052	26	2	187	0.0106951871657754	224	7	1173	0.005967604433077579
CUFF_NC.8	1	73084	73716	-	16	0	35	0.0	45	0	121	0.0	117	2	248	0.008064516129032258
CUFF_NC.12	1	75366	76624	-	158	2	548	0.0036496350364963502	80	1	287	0.003484320557491289	185	4	753	0.005312084993359893
CUFF_NC.13	1	77837	78333	+	11	0	135	0.0	7	0	29	0.0	29	1	221	0.004524886877828055
CUFF_NC.6	1	86737	87289	+	58	0	91	0.0	25	1	44	0.022727272727272728	69	0	102	0.0
CUFF_NC.18	1	89402	91722	-	61	1	239	0.0041841004184100415	127	4	773	0.00517464424320828	512	14	2443	0.0057306590257879654
CUFF_NC.19	1	95040	96380	-	60	2	360	0.005555555555555556	72	0	520	0.0	247	5	1714	0.0029171528588098016
CUFF_NC.11	1	100800	101866	-	38	0	228	0.0	41	2	400	0.005	208	0	1178	0.0
CUFF_NC.7	1	104712	105333	+	56	0	132	0.0	47	1	110	0.00909090909090909	93	0	246	0.0
CUFF_NC.15	1	116797	118774	-	218	3	801	0.003745318352059925	115	0	361	0.0	291	1	1077	0.0009285051067780873
CUFF_NC.14	1	119083	119969	-	32	2	311	0.006430868167202572	20	0	166	0.0	173	3	1331	0.002253944402704733
CUFF_NC.20	1	121456	123494	+	94	581	708	0.8206214689265536	152	2	1148	0.0017421602787456446	387	3	2423	0.0012381345439537762
CUFF_NC.21	1	133006	133474	+	10	0	39	0.0	14	0	65	0.0	44	0	164	0.0
CUFF_NC.16	1	141174	141695	+	16	0	59	0.0	11	1	52	0.019230769230769232	119	2	487	0.004106776180698152
CUFF_NC.17	1	154589	156159	+	130	1	679	0.0014727540500736377	61	0	242	0.0	265	3	1045	0.0028708133971291866
CUFF_NC.22	1	163277	166353	+	114	99	477	0.20754716981132076	138	1	545	0.001834862385321101	577	6	1986	0.0030211480362537764
CUFF_NC.25	1	180261	180962	+	38	2	507	0.0039447731755424065	19	0	258	0.0	117	2	1052	0.0019011406844106464
CUFF_NC.26	1	182345	182786	+	30	0	146	0.0	9	0	56	0.0	67	2	298	0.006711409395973154
CUFF_NC.28	1	192588	193200	+	14	0	58	0.0	32	0	140	0.0	172	1	654	0.0015290519877675841
CUFF_NC.23	1	196107	196598	-	47	0	148	0.0	24	0	66	0.0	48	1	131	0.007633587786259542
CUFF_NC.24	1	197887	198512	-	30	1	102	0.00980392156862745	25	1	92	0.010869565217391304	89	3	241	0.012448132780082987
CUFF_NC.27	1	210058	210613	-	34	0	148	0.0	28	0	160	0.0	107	1	499	0.002004008016032064
CUFF_NC.29	1	219083	221145	-	196	1	523	0.0019120458891013384	118	1	367	0.0027247956403269754	377	2	1175	0.001702127659574468
CUFF_NC.30	1	226848	227453	+	21	0	83	0.0	29	0	85	0.0	128	3	312	0.009615384615384616
CUFF_NC.34	1	233075	237654	+	135	401	827	0.4848851269649335	251	4	1603	0.002495321272613849	1001	21	5761	0.0036452004860267314
CUFF_NC.31	1	238416	239453	+	59	569	603	0.9436152570480929	48	425	497	0.8551307847082495	239	848	2275	0.37274725274725273
CUFF_NC.32	1	254830	257455	+	104	190	905	0.20994475138121546	73	147	770	0.19090909090909092	392	437	3245	0.13466872110939906
CUFF_NC.58	1	283807	284180	-	33	0	108	0.0	19	0	69	0.0	76	0	217	0.0
CUFF_NC.33	1	294207	295108	-	40	0	182	0.0	46	0	274	0.0	207	5	1037	0.0048216007714561235
CUFF_NC.36	1	301346	301758	+	8	0	94	0.0	12	1	176	0.005681818181818182	62	2	726	0.0027548209366391185
CUFF_NC.35	1	308731	309427	+	52	1	207	0.004830917874396135	44	3	191	0.015706806282722512	159	3	568	0.00528169014084507
CUFF_NC.44	1	319180	319521	-	11	1	90	0.011111111111111112	15	0	136	0.0	51	2	336	0.005952380952380952
CUFF_NC.37	1	341814	342849	+	46	4	326	0.012269938650306749	40	1	235	0.00425531914893617	223	7	1173	0.005967604433077579
CUFF_NC.43	1	347638	348472	-	27	0	132	0.0	35	1	125	0.008	161	4	880	0.004545454545454545
CUFF_NC.42	1	355746	356392	+	33	0	272	0.0	32	0	185	0.0	153	3	723	0.004149377593360996
CUFF_NC.39	1	358665	360498	+	100	137	472	0.2902542372881356	105	8	611	0.01309328968903437	394	4	1696	0.0023584905660377358
CUFF_NC.38	1	365198	366851	-	96	1	375	0.0026666666666666666	74	1	279	0.0035842293906810036	186	5	1141	0.0043821209465381246
CUFF_NC.41	1	370226	371382	+	69	1	344	0.0029069767441860465	38	0	222	0.0	197	4	1145	0.0034934497816593887
CUFF_NC.40	1	371997	372411	+	28	0	162	0.0	12	0	79	0.0	64	1	323	0.0030959752321981426
CUFF_NC.57	1	392706	395717	-	175	58	690	0.08405797101449275	183	1	811	0.0012330456226880395	514	11	2132	0.005159474671669793
CUFF_NC.54	1	409235	410549	-	79	2	281	0.0071174377224199285	91	2	358	0.00558659217877095	303	3	1053	0.002849002849002849
CUFF_NC.53	1	413681	414878	+	51	0	211	0.0	80	0	287	0.0	224	4	715	0.005594405594405594
CUFF_NC.46	1	417273	417814	-	10	0	16	0.0	23	0	78	0.0	88	0	237	0.0
CUFF_NC.49	1	421746	425334	-	119	408	829	0.49215922798552475	91	55	430	0.12790697674418605	550	279	3239	0.08613769682000617
