gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	0	131	0.0	18	0	129	0.0	145	4	885	0.004519774011299435
CUFF_NC.4	1	33820	36039	+	76	105	627	0.1674641148325359	165	5	1351	0.003700962250185048	516	14	3541	0.003953685399604632
CUFF_NC.2	1	45074	46980	+	86	5	782	0.00639386189258312	84	2	630	0.0031746031746031746	348	4	2215	0.0018058690744920992
CUFF_NC.3	1	51977	52743	-	57	1	241	0.004149377593360996	44	1	205	0.004878048780487805	127	1	522	0.0019157088122605363
CUFF_NC.9	1	63146	64476	+	56	0	398	0.0	53	1	443	0.002257336343115124	276	5	1843	0.0027129679869777536
CUFF_NC.10	1	67285	67782	+	66	0	385	0.0	22	2	176	0.011363636363636364	82	0	437	0.0
CUFF_NC.5	1	69606	71157	+	50	51	318	0.16037735849056603	31	10	232	0.04310344827586207	225	12	1537	0.007807417046193884
CUFF_NC.8	1	73084	73716	-	17	0	45	0.0	56	0	160	0.0	156	0	444	0.0
CUFF_NC.12	1	75366	76624	-	140	1	634	0.0015772870662460567	59	1	308	0.003246753246753247	165	6	811	0.007398273736128237
CUFF_NC.13	1	77837	78333	+	16	2	174	0.011494252873563218	12	1	47	0.02127659574468085	55	2	357	0.0056022408963585435
CUFF_NC.6	1	86737	87289	+	86	1	220	0.004545454545454545	34	0	83	0.0	98	1	257	0.0038910505836575876
CUFF_NC.18	1	89402	91722	-	66	25	359	0.06963788300835655	137	8	903	0.008859357696566999	541	15	3135	0.004784688995215311
CUFF_NC.19	1	95040	96380	-	66	109	437	0.2494279176201373	80	1	615	0.0016260162601626016	274	8	1856	0.004310344827586207
CUFF_NC.11	1	100800	101866	-	38	1	310	0.0032258064516129032	50	1	430	0.002325581395348837	271	9	1538	0.005851755526657998
CUFF_NC.7	1	104712	105333	+	68	0	177	0.0	56	1	158	0.006329113924050633	112	0	337	0.0
CUFF_NC.15	1	116797	118774	-	222	0	893	0.0	119	0	429	0.0	346	7	1253	0.00558659217877095
CUFF_NC.14	1	119083	119969	-	36	3	382	0.007853403141361256	25	0	217	0.0	207	10	1589	0.0062932662051604785
CUFF_NC.20	1	121456	123494	+	109	519	740	0.7013513513513514	163	2	1120	0.0017857142857142857	493	10	2594	0.0038550501156515036
CUFF_NC.21	1	133006	133474	+	15	2	55	0.03636363636363636	18	0	84	0.0	81	2	275	0.007272727272727273
CUFF_NC.16	1	141174	141695	+	17	0	91	0.0	11	0	84	0.0	142	4	686	0.0058309037900874635
CUFF_NC.17	1	154589	156159	+	151	7	899	0.00778642936596218	67	1	334	0.0029940119760479044	308	4	1329	0.0030097817908201654
CUFF_NC.22	1	163277	166353	+	144	175	769	0.22756827048114434	181	5	999	0.005005005005005005	786	19	3646	0.005211190345584202
CUFF_NC.25	1	180261	180962	+	42	2	479	0.0041753653444676405	18	1	250	0.004	110	5	1073	0.004659832246039142
CUFF_NC.26	1	182345	182786	+	26	0	179	0.0	9	0	66	0.0	66	1	306	0.0032679738562091504
CUFF_NC.28	1	192588	193200	+	16	1	80	0.0125	34	0	168	0.0	176	6	786	0.007633587786259542
CUFF_NC.23	1	196107	196598	-	60	0	258	0.0	33	1	124	0.008064516129032258	88	1	231	0.004329004329004329
CUFF_NC.24	1	197887	198512	-	46	31	299	0.10367892976588629	31	0	178	0.0	177	7	912	0.007675438596491228
CUFF_NC.27	1	210058	210613	-	38	1	212	0.0047169811320754715	35	0	242	0.0	124	1	725	0.001379310344827586
CUFF_NC.29	1	219083	221145	-	233	5	724	0.006906077348066298	143	0	452	0.0	431	6	1477	0.004062288422477996
CUFF_NC.30	1	226848	227453	+	20	0	42	0.0	29	2	88	0.022727272727272728	118	0	238	0.0
CUFF_NC.34	1	233075	237654	+	161	610	1066	0.5722326454033771	295	14	2049	0.006832601268911664	1169	32	6952	0.004602991944764097
CUFF_NC.31	1	238416	239453	+	65	521	577	0.902946273830156	54	433	540	0.8018518518518518	275	922	2592	0.3557098765432099
CUFF_NC.32	1	254830	257455	+	125	258	1090	0.23669724770642203	88	181	837	0.2162485065710872	463	402	3352	0.11992840095465394
CUFF_NC.58	1	283807	284180	-	31	1	106	0.009433962264150943	19	0	60	0.0	85	0	248	0.0
CUFF_NC.33	1	294207	295108	-	45	0	180	0.0	46	2	283	0.007067137809187279	219	4	1066	0.00375234521575985
CUFF_NC.36	1	301346	301758	+	7	1	63	0.015873015873015872	12	0	113	0.0	73	2	601	0.0033277870216306157
CUFF_NC.35	1	308731	309427	+	37	2	210	0.009523809523809525	26	0	155	0.0	104	2	447	0.0044742729306487695
CUFF_NC.44	1	319180	319521	-	7	1	89	0.011235955056179775	17	1	181	0.0055248618784530384	44	1	410	0.0024390243902439024
CUFF_NC.37	1	341814	342849	+	37	2	233	0.008583690987124463	26	1	153	0.006535947712418301	183	3	839	0.003575685339690107
CUFF_NC.43	1	347638	348472	-	30	2	183	0.01092896174863388	39	1	202	0.0049504950495049506	190	1	947	0.0010559662090813093
CUFF_NC.42	1	355746	356392	+	43	0	264	0.0	37	0	178	0.0	143	1	636	0.0015723270440251573
CUFF_NC.39	1	358665	360498	+	119	95	584	0.16267123287671234	128	3	635	0.004724409448818898	474	13	1926	0.006749740394600207
CUFF_NC.38	1	365198	366851	-	104	4	541	0.0073937153419593345	85	0	454	0.0	236	9	1223	0.007358953393295176
CUFF_NC.41	1	370226	371382	+	77	1	428	0.002336448598130841	45	0	280	0.0	249	5	1403	0.003563791874554526
CUFF_NC.40	1	371997	372411	+	30	1	140	0.007142857142857143	15	0	68	0.0	67	0	307	0.0
CUFF_NC.57	1	392706	395717	-	215	91	940	0.09680851063829787	228	6	1096	0.005474452554744526	653	11	2934	0.003749147920927062
CUFF_NC.54	1	409235	410549	-	78	1	408	0.0024509803921568627	91	0	548	0.0	300	7	1594	0.00439146800501882
CUFF_NC.53	1	413681	414878	+	60	2	435	0.004597701149425287	97	2	648	0.0030864197530864196	238	7	1478	0.004736129905277402
CUFF_NC.46	1	417273	417814	-	13	0	45	0.0	22	0	160	0.0	68	1	402	0.0024875621890547263
CUFF_NC.49	1	421746	425334	-	114	179	597	0.2998324958123953	95	30	475	0.06315789473684211	562	175	2723	0.06426735218508997
