gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	12	6	151	0.039735099337748346	15	0	149	0.0	117	2	1007	0.0019860973187686196
CUFF_NC.4	1	33820	36039	+	74	111	566	0.196113074204947	152	3	1280	0.00234375	463	5	3200	0.0015625
CUFF_NC.2	1	45074	46980	+	92	4	755	0.005298013245033113	81	3	595	0.005042016806722689	333	5	2010	0.0024875621890547263
CUFF_NC.3	1	51977	52743	-	57	1	192	0.005208333333333333	45	0	210	0.0	121	2	537	0.0037243947858473
CUFF_NC.9	1	63146	64476	+	42	0	489	0.0	48	1	605	0.001652892561983471	231	3	1798	0.0016685205784204673
CUFF_NC.10	1	67285	67782	+	59	0	380	0.0	25	0	164	0.0	69	0	451	0.0
CUFF_NC.5	1	69606	71157	+	60	50	423	0.1182033096926714	40	4	280	0.014285714285714285	272	5	1625	0.003076923076923077
CUFF_NC.8	1	73084	73716	-	11	0	54	0.0	32	0	145	0.0	94	3	334	0.008982035928143712
CUFF_NC.12	1	75366	76624	-	96	0	487	0.0	45	1	204	0.004901960784313725	102	0	699	0.0
CUFF_NC.13	1	77837	78333	+	20	0	256	0.0	8	0	53	0.0	51	1	483	0.002070393374741201
CUFF_NC.6	1	86737	87289	+	71	0	163	0.0	37	0	102	0.0	87	0	222	0.0
CUFF_NC.18	1	89402	91722	-	55	1	283	0.0035335689045936395	118	1	882	0.0011337868480725624	448	4	2486	0.0016090104585679806
CUFF_NC.19	1	95040	96380	-	55	0	347	0.0	74	0	538	0.0	286	5	1921	0.0026028110359187923
CUFF_NC.11	1	100800	101866	-	38	6	238	0.025210084033613446	43	1	484	0.002066115702479339	208	5	1398	0.00357653791130186
CUFF_NC.7	1	104712	105333	+	57	0	97	0.0	48	0	82	0.0	88	0	169	0.0
CUFF_NC.15	1	116797	118774	-	174	2	713	0.002805049088359046	94	0	283	0.0	231	2	860	0.002325581395348837
CUFF_NC.14	1	119083	119969	-	36	1	401	0.0024937655860349127	22	1	246	0.0040650406504065045	182	3	1721	0.0017431725740848344
CUFF_NC.20	1	121456	123494	+	82	511	708	0.7217514124293786	136	6	1210	0.0049586776859504135	354	7	2762	0.0025343953656770456
CUFF_NC.21	1	133006	133474	+	13	0	55	0.0	15	0	75	0.0	65	0	204	0.0
CUFF_NC.16	1	141174	141695	+	13	0	62	0.0	10	0	42	0.0	103	0	450	0.0
CUFF_NC.17	1	154589	156159	+	110	0	745	0.0	51	0	253	0.0	234	1	1056	0.000946969696969697
CUFF_NC.22	1	163277	166353	+	131	121	525	0.23047619047619047	159	1	697	0.0014347202295552368	661	4	2453	0.0016306563391765185
CUFF_NC.25	1	180261	180962	+	43	1	558	0.0017921146953405018	19	0	277	0.0	123	6	1240	0.004838709677419355
CUFF_NC.26	1	182345	182786	+	26	1	193	0.0051813471502590676	10	0	74	0.0	63	0	345	0.0
CUFF_NC.28	1	192588	193200	+	14	0	58	0.0	28	0	109	0.0	155	0	576	0.0
CUFF_NC.23	1	196107	196598	-	48	0	151	0.0	25	1	72	0.013888888888888888	42	0	123	0.0
CUFF_NC.24	1	197887	198512	-	37	15	254	0.05905511811023622	24	0	152	0.0	136	0	759	0.0
CUFF_NC.27	1	210058	210613	-	33	0	207	0.0	28	0	227	0.0	107	1	684	0.0014619883040935672
CUFF_NC.29	1	219083	221145	-	176	1	447	0.0022371364653243847	90	1	290	0.0034482758620689655	269	2	1067	0.0018744142455482662
CUFF_NC.30	1	226848	227453	+	26	0	116	0.0	31	0	95	0.0	93	0	305	0.0
CUFF_NC.34	1	233075	237654	+	138	554	997	0.555667001003009	262	7	1926	0.0036344755970924196	1005	21	6721	0.0031245350394286564
CUFF_NC.31	1	238416	239453	+	59	631	690	0.9144927536231884	41	487	593	0.821247892074199	244	1351	3044	0.4438239159001314
CUFF_NC.32	1	254830	257455	+	105	183	965	0.18963730569948187	74	130	759	0.1712779973649539	370	521	3345	0.15575485799701047
CUFF_NC.58	1	283807	284180	-	28	1	72	0.013888888888888888	18	0	40	0.0	61	0	143	0.0
CUFF_NC.33	1	294207	295108	-	41	0	156	0.0	47	0	234	0.0	199	1	931	0.0010741138560687433
CUFF_NC.36	1	301346	301758	+	8	0	95	0.0	12	0	139	0.0	53	2	660	0.0030303030303030303
CUFF_NC.35	1	308731	309427	+	42	0	228	0.0	25	0	181	0.0	111	1	596	0.0016778523489932886
CUFF_NC.44	1	319180	319521	-	7	0	107	0.0	16	0	178	0.0	44	0	449	0.0
CUFF_NC.37	1	341814	342849	+	39	0	257	0.0	25	0	145	0.0	170	1	797	0.0012547051442910915
CUFF_NC.43	1	347638	348472	-	23	2	135	0.014814814814814815	28	0	111	0.0	117	3	701	0.0042796005706134095
CUFF_NC.42	1	355746	356392	+	37	0	348	0.0	34	1	228	0.0043859649122807015	130	2	576	0.003472222222222222
CUFF_NC.39	1	358665	360498	+	104	29	416	0.06971153846153846	103	0	536	0.0	373	6	1356	0.004424778761061947
CUFF_NC.38	1	365198	366851	-	76	0	429	0.0	59	1	289	0.0034602076124567475	124	3	1083	0.002770083102493075
CUFF_NC.41	1	370226	371382	+	78	0	348	0.0	46	0	215	0.0	225	2	1256	0.0015923566878980893
CUFF_NC.40	1	371997	372411	+	24	0	152	0.0	10	1	76	0.013157894736842105	65	0	356	0.0
CUFF_NC.57	1	392706	395717	-	180	89	772	0.11528497409326424	182	2	894	0.0022371364653243847	540	7	2435	0.002874743326488706
CUFF_NC.54	1	409235	410549	-	61	2	274	0.0072992700729927005	77	0	368	0.0	241	0	983	0.0
CUFF_NC.53	1	413681	414878	+	47	0	206	0.0	78	0	294	0.0	205	2	771	0.0025940337224383916
CUFF_NC.46	1	417273	417814	-	9	0	21	0.0	22	0	86	0.0	65	0	224	0.0
CUFF_NC.49	1	421746	425334	-	118	313	768	0.4075520833333333	92	56	458	0.1222707423580786	557	243	3062	0.07935989549314174
CUFF_NC.48	1	424665	425164	+	38	1	268	0.0037313432835820895	35	0	230	0.0	114	1	775	0.0012903225806451613
CUFF_NC.45	1	425557	426435	+	30	0	116	0.0	28	0	134	0.0	151	1	801	0.0012484394506866417
CUFF_NC.47	1	435444	435889	+	9	0	38	0.0	31	0	204	0.0	81	0	496	0.0
CUFF_NC.50	1	442462	442900	+	11	0	59	0.0	11	0	109	0.0	40	0	335	0.0
CUFF_NC.52	1	446824	448464	+	66	21	478	0.043933054393305436	75	2	498	0.004016064257028112	315	1	1604	0.0006234413965087282
CUFF_NC.51	1	463998	464582	+	50	0	145	0.0	31	0	83	0.0	81	0	237	0.0
CUFF_NC.55	1	482013	483177	-	58	1	363	0.0027548209366391185	34	0	203	0.0	159	2	958	0.0020876826722338203
CUFF_NC.59	1	512866	513261	+	28	279	368	0.7581521739130435	18	101	229	0.4410480349344978	98	418	914	0.4573304157549234
CUFF_NC.60	1	514888	515295	+	13	0	141	0.0	14	0	114	0.0	58	2	338	0.005917159763313609
CUFF_NC.70	1	523944	530099	-	327	554	1852	0.2991360691144708	320	6	1739	0.0034502587694077054	1000	9	4664	0.0019296740994854203
CUFF_NC.71	1	525592	531975	-	328	694	1957	0.3546244251405212	349	9	2025	0.0044444444444444444	1011	17	4936	0.0034440842787682334
CUFF_NC.72	1	528007	534109	-	318	546	1708	0.319672131147541	352	7	1867	0.003749330476700589	1020	19	4833	0.0039313056072832605
CUFF_NC.62	1	538375	544045	-	151	131	1353	0.09682187730968218	200	122	1767	0.0690435766836446	815	260	5018	0.05181347150259067
CUFF_NC.64	1	547818	551699	-	144	262	940	0.27872340425531916	74	27	300	0.09	491	274	2333	0.11744534933561937
CUFF_NC.65	1	550120	550546	-	9	44	47	0.9361702127659575	1	0	1	0.0	33	59	271	0.2177121771217712
CUFF_NC.68	1	556826	558761	-	87	0	286	0.0	78	1	250	0.004	320	5	1019	0.004906771344455349
CUFF_NC.61	1	559734	560251	+	8	0	55	0.0	13	0	80	0.0	93	2	501	0.003992015968063872
CUFF_NC.66	1	564136	564745	-	28	0	114	0.0	26	0	95	0.0	75	1	368	0.002717391304347826
CUFF_NC.67	1	565230	565784	-	42	0	138	0.0	23	0	66	0.0	85	0	325	0.0
CUFF_NC.63	1	568739	570386	-	154	3	806	0.0037220843672456576	84	0	406	0.0	272	1	1194	0.0008375209380234506
CUFF_NC.73	1	588007	589390	-	98	3	405	0.007407407407407408	60	1	277	0.0036101083032490976	220	5	1063	0.004703668861712135
CUFF_NC.76	1	591664	593419	-	94	0	794	0.0	59	2	493	0.004056795131845842	217	4	1370	0.00291970802919708
CUFF_NC.74	1	594729	596073	+	48	28	290	0.09655172413793103	81	1	443	0.002257336343115124	268	1	1221	0.000819000819000819
CUFF_NC.75	1	597522	598135	+	20	1	166	0.006024096385542169	26	0	213	0.0	53	0	403	0.0
CUFF_NC.77	1	599765	600204	+	15	17	82	0.2073170731707317	23	2	187	0.0106951871657754	80	3	532	0.005639097744360902
CUFF_NC.78	1	610701	611509	+	46	0	188	0.0	34	0	106	0.0	173	4	741	0.005398110661268556
CUFF_NC.79	1	617987	619403	-	137	0	568	0.0	79	1	359	0.002785515320334262	187	1	842	0.0011876484560570072
CUFF_NC.80	1	622046	622369	-	17	0	103	0.0	15	0	105	0.0	78	2	503	0.003976143141153081
CUFF_NC.83	1	632744	633122	-	6	0	26	0.0	11	0	37	0.0	38	0	201	0.0
CUFF_NC.90	1	640236	640825	-	24	200	222	0.9009009009009009	5	26	98	0.2653061224489796	98	122	636	0.1918238993710692
CUFF_NC.89	1	641448	642563	+	46	0	447	0.0	32	0	187	0.0	153	3	1258	0.0023847376788553257
CUFF_NC.81	1	653973	654416	+	31	0	167	0.0	21	1	124	0.008064516129032258	84	0	358	0.0
CUFF_NC.84	1	658696	661410	+	108	9	651	0.013824884792626729	103	2	692	0.002890173410404624	591	6	3529	0.001700198356474922
CUFF_NC.85	1	659555	662333	+	114	10	659	0.015174506828528073	93	1	643	0.0015552099533437014	550	6	3445	0.0017416545718432512
CUFF_NC.82	1	663236	663656	+	22	5	55	0.09090909090909091	21	1	55	0.01818181818181818	102	0	252	0.0
CUFF_NC.86	1	665248	666402	+	47	2	204	0.00980392156862745	29	1	119	0.008403361344537815	227	0	710	0.0
CUFF_NC.87	1	675516	676334	-	24	0	119	0.0	29	0	137	0.0	146	1	605	0.001652892561983471
CUFF_NC.88	1	693076	693540	-	10	1	110	0.00909090909090909	16	0	112	0.0	78	1	453	0.002207505518763797
CUFF_NC.91	1	705921	706616	+	38	0	413	0.0	35	1	301	0.0033222591362126247	123	1	1044	0.0009578544061302681
CUFF_NC.93	1	731716	732702	+	41	34	672	0.050595238095238096	46	2	775	0.0025806451612903226	138	3	1569	0.0019120458891013384
