gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	22	45	119	0.37815126050420167	25	1	113	0.008849557522123894	216	2	874	0.002288329519450801
CUFF_NC.4	1	33820	36039	+	82	94	523	0.17973231357552583	172	0	1215	0.0	555	9	3458	0.0026026604973973396
CUFF_NC.2	1	45074	46980	+	99	3	703	0.004267425320056899	91	2	559	0.0035778175313059034	408	8	2130	0.003755868544600939
CUFF_NC.3	1	51977	52743	-	66	0	240	0.0	56	1	235	0.00425531914893617	158	3	684	0.0043859649122807015
CUFF_NC.9	1	63146	64476	+	63	2	550	0.0036363636363636364	68	2	565	0.0035398230088495575	337	5	2292	0.002181500872600349
CUFF_NC.10	1	67285	67782	+	57	0	358	0.0	27	1	139	0.007194244604316547	86	3	378	0.007936507936507936
CUFF_NC.5	1	69606	71157	+	79	48	499	0.09619238476953908	51	1	310	0.0032258064516129032	371	10	2118	0.004721435316336166
CUFF_NC.8	1	73084	73716	-	16	0	46	0.0	44	1	152	0.006578947368421052	155	1	502	0.00199203187250996
CUFF_NC.12	1	75366	76624	-	161	0	595	0.0	86	0	288	0.0	225	2	1035	0.001932367149758454
CUFF_NC.13	1	77837	78333	+	27	0	266	0.0	13	0	63	0.0	111	0	554	0.0
CUFF_NC.6	1	86737	87289	+	74	0	134	0.0	37	0	86	0.0	88	1	192	0.005208333333333333
CUFF_NC.18	1	89402	91722	-	65	0	358	0.0	139	4	927	0.004314994606256742	558	14	3346	0.0041841004184100415
CUFF_NC.19	1	95040	96380	-	69	20	308	0.06493506493506493	82	0	390	0.0	319	2	1341	0.0014914243102162564
CUFF_NC.11	1	100800	101866	-	35	0	232	0.0	47	1	374	0.00267379679144385	265	4	1165	0.0034334763948497852
CUFF_NC.7	1	104712	105333	+	74	1	173	0.005780346820809248	67	2	161	0.012422360248447204	163	2	392	0.00510204081632653
CUFF_NC.15	1	116797	118774	-	253	0	1087	0.0	135	1	546	0.0018315018315018315	381	2	1533	0.001304631441617743
CUFF_NC.14	1	119083	119969	-	38	0	345	0.0	25	0	196	0.0	230	4	1571	0.002546148949713558
CUFF_NC.20	1	121456	123494	+	104	269	590	0.4559322033898305	167	3	1072	0.002798507462686567	507	14	2881	0.004859423811176675
CUFF_NC.21	1	133006	133474	+	18	1	67	0.014925373134328358	25	1	99	0.010101010101010102	112	0	383	0.0
CUFF_NC.16	1	141174	141695	+	16	1	84	0.011904761904761904	11	2	67	0.029850746268656716	148	14	690	0.020289855072463767
CUFF_NC.17	1	154589	156159	+	166	2	823	0.002430133657351154	75	1	318	0.0031446540880503146	279	2	1116	0.0017921146953405018
CUFF_NC.22	1	163277	166353	+	149	18	624	0.028846153846153848	174	3	756	0.003968253968253968	763	7	2709	0.002583979328165375
CUFF_NC.25	1	180261	180962	+	47	2	494	0.004048582995951417	23	0	255	0.0	133	2	1159	0.001725625539257981
CUFF_NC.26	1	182345	182786	+	23	1	165	0.006060606060606061	9	1	72	0.013888888888888888	61	1	391	0.0025575447570332483
CUFF_NC.28	1	192588	193200	+	15	0	70	0.0	35	2	128	0.015625	163	13	806	0.016129032258064516
CUFF_NC.23	1	196107	196598	-	66	0	262	0.0	34	0	131	0.0	95	0	308	0.0
CUFF_NC.24	1	197887	198512	-	31	15	84	0.17857142857142858	25	2	80	0.025	102	1	237	0.004219409282700422
CUFF_NC.27	1	210058	210613	-	37	0	187	0.0	31	1	222	0.0045045045045045045	118	5	609	0.008210180623973728
CUFF_NC.29	1	219083	221145	-	222	0	667	0.0	144	0	486	0.0	445	4	1625	0.0024615384615384616
CUFF_NC.30	1	226848	227453	+	35	0	217	0.0	37	1	167	0.005988023952095809	150	4	868	0.004608294930875576
CUFF_NC.34	1	233075	237654	+	148	361	908	0.3975770925110132	284	11	1830	0.006010928961748634	1137	43	6946	0.006190613302620213
CUFF_NC.31	1	238416	239453	+	66	674	724	0.930939226519337	49	392	540	0.725925925925926	296	1137	3124	0.3639564660691421
CUFF_NC.32	1	254830	257455	+	125	155	859	0.18044237485448195	86	115	707	0.16265912305516267	450	177	3226	0.05486670799752015
CUFF_NC.58	1	283807	284180	-	29	2	69	0.028985507246376812	17	0	41	0.0	70	0	157	0.0
CUFF_NC.33	1	294207	295108	-	43	0	192	0.0	44	0	229	0.0	245	5	1186	0.0042158516020236085
CUFF_NC.36	1	301346	301758	+	9	0	105	0.0	19	1	151	0.006622516556291391	96	5	759	0.006587615283267457
CUFF_NC.35	1	308731	309427	+	48	1	218	0.0045871559633027525	40	1	176	0.005681818181818182	136	2	529	0.003780718336483932
CUFF_NC.44	1	319180	319521	-	11	0	81	0.0	17	0	104	0.0	58	2	283	0.007067137809187279
CUFF_NC.37	1	341814	342849	+	45	0	261	0.0	35	1	172	0.005813953488372093	195	6	1209	0.004962779156327543
CUFF_NC.43	1	347638	348472	-	29	0	132	0.0	31	0	140	0.0	187	6	774	0.007751937984496124
CUFF_NC.42	1	355746	356392	+	45	0	247	0.0	40	1	187	0.0053475935828877	192	3	838	0.003579952267303103
CUFF_NC.39	1	358665	360498	+	115	0	415	0.0	137	2	545	0.003669724770642202	517	4	1798	0.002224694104560623
CUFF_NC.38	1	365198	366851	-	104	0	544	0.0	86	2	442	0.004524886877828055	262	6	1361	0.00440852314474651
CUFF_NC.41	1	370226	371382	+	92	1	402	0.0024875621890547263	59	0	246	0.0	266	3	1212	0.0024752475247524753
CUFF_NC.40	1	371997	372411	+	22	1	137	0.0072992700729927005	12	0	68	0.0	73	1	332	0.0030120481927710845
CUFF_NC.57	1	392706	395717	-	207	29	790	0.03670886075949367	244	7	987	0.0070921985815602835	734	24	2709	0.008859357696566999
CUFF_NC.54	1	409235	410549	-	80	1	274	0.0036496350364963502	101	1	357	0.0028011204481792717	345	1	1094	0.0009140767824497258
CUFF_NC.53	1	413681	414878	+	61	1	206	0.0048543689320388345	99	0	345	0.0	271	1	970	0.0010309278350515464
