gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	8	9	29	0.3103448275862069	6	0	12	0.0	56	1	149	0.006711409395973154
CUFF_NC.4	1	33820	36039	+	52	112	252	0.4444444444444444	92	4	525	0.007619047619047619	270	4	1128	0.0035460992907801418
CUFF_NC.2	1	45074	46980	+	70	13	387	0.03359173126614987	61	0	270	0.0	211	4	814	0.004914004914004914
CUFF_NC.3	1	51977	52743	-	51	0	72	0.0	31	0	48	0.0	66	0	94	0.0
CUFF_NC.9	1	63146	64476	+	40	1	174	0.005747126436781609	38	0	153	0.0	136	1	396	0.0025252525252525255
CUFF_NC.10	1	67285	67782	+	52	0	185	0.0	22	0	81	0.0	66	2	151	0.013245033112582781
CUFF_NC.5	1	69606	71157	+	40	17	135	0.1259259259259259	24	0	74	0.0	122	3	339	0.008849557522123894
CUFF_NC.8	1	73084	73716	-	10	0	13	0.0	26	0	35	0.0	61	0	76	0.0
CUFF_NC.12	1	75366	76624	-	118	1	391	0.0025575447570332483	52	0	193	0.0	110	1	392	0.002551020408163265
CUFF_NC.13	1	77837	78333	+	10	0	35	0.0	1	0	1	0.0	18	0	47	0.0
CUFF_NC.6	1	86737	87289	+	73	1	176	0.005681818181818182	31	1	76	0.013157894736842105	73	1	153	0.006535947712418301
CUFF_NC.18	1	89402	91722	-	30	0	66	0.0	70	2	208	0.009615384615384616	201	1	565	0.0017699115044247787
CUFF_NC.19	1	95040	96380	-	41	80	184	0.43478260869565216	50	1	254	0.003937007874015748	144	0	568	0.0
CUFF_NC.11	1	100800	101866	-	20	1	81	0.012345679012345678	27	0	221	0.0	113	2	493	0.004056795131845842
CUFF_NC.7	1	104712	105333	+	38	0	95	0.0	33	1	89	0.011235955056179775	62	0	145	0.0
