gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	22	38	158	0.24050632911392406	23	4	153	0.026143790849673203	204	6	1102	0.0054446460980036296
CUFF_NC.4	1	33820	36039	+	84	139	542	0.2564575645756458	170	4	1214	0.0032948929159802307	538	12	3124	0.0038412291933418692
CUFF_NC.2	1	45074	46980	+	87	0	717	0.0	85	3	565	0.005309734513274336	355	8	1904	0.004201680672268907
CUFF_NC.3	1	51977	52743	-	59	0	213	0.0	48	1	186	0.005376344086021506	149	6	565	0.010619469026548672
CUFF_NC.9	1	63146	64476	+	58	2	465	0.004301075268817204	60	0	542	0.0	278	6	1801	0.003331482509716824
CUFF_NC.10	1	67285	67782	+	56	0	258	0.0	22	1	119	0.008403361344537815	82	3	315	0.009523809523809525
CUFF_NC.5	1	69606	71157	+	49	16	287	0.05574912891986063	32	1	192	0.005208333333333333	244	9	1225	0.007346938775510204
CUFF_NC.8	1	73084	73716	-	16	1	58	0.017241379310344827	48	1	143	0.006993006993006993	137	1	375	0.0026666666666666666
CUFF_NC.12	1	75366	76624	-	126	1	420	0.002380952380952381	69	2	216	0.009259259259259259	184	2	598	0.0033444816053511705
CUFF_NC.13	1	77837	78333	+	17	0	141	0.0	8	0	31	0.0	36	1	247	0.004048582995951417
CUFF_NC.6	1	86737	87289	+	66	1	171	0.005847953216374269	19	0	50	0.0	82	1	234	0.004273504273504274
CUFF_NC.18	1	89402	91722	-	64	10	311	0.03215434083601286	130	8	843	0.009489916963226572	526	12	2754	0.004357298474945534
CUFF_NC.19	1	95040	96380	-	70	25	373	0.06702412868632708	84	1	524	0.0019083969465648854	315	5	1758	0.002844141069397042
CUFF_NC.11	1	100800	101866	-	28	1	229	0.004366812227074236	38	2	420	0.004761904761904762	195	5	1218	0.004105090311986864
CUFF_NC.7	1	104712	105333	+	69	0	182	0.0	58	1	146	0.00684931506849315	111	0	310	0.0
CUFF_NC.15	1	116797	118774	-	252	1	877	0.0011402508551881414	130	0	395	0.0	361	4	1190	0.0033613445378151263
CUFF_NC.14	1	119083	119969	-	36	0	316	0.0	22	0	154	0.0	207	4	1271	0.003147128245476003
CUFF_NC.20	1	121456	123494	+	95	489	665	0.7353383458646616	163	5	1104	0.004528985507246377	424	8	2318	0.003451251078515962
CUFF_NC.21	1	133006	133474	+	16	9	53	0.16981132075471697	20	0	71	0.0	110	1	342	0.0029239766081871343
CUFF_NC.16	1	141174	141695	+	15	0	62	0.0	11	0	54	0.0	136	4	498	0.008032128514056224
CUFF_NC.17	1	154589	156159	+	158	0	709	0.0	68	0	235	0.0	285	4	960	0.004166666666666667
CUFF_NC.22	1	163277	166353	+	140	216	619	0.34894991922455576	172	3	714	0.004201680672268907	659	17	2583	0.006581494386372435
CUFF_NC.25	1	180261	180962	+	39	4	481	0.008316008316008316	20	2	297	0.006734006734006734	130	8	963	0.008307372793354102
CUFF_NC.26	1	182345	182786	+	14	1	128	0.0078125	7	0	43	0.0	41	2	199	0.010050251256281407
CUFF_NC.28	1	192588	193200	+	15	0	69	0.0	29	1	152	0.006578947368421052	152	3	683	0.004392386530014641
CUFF_NC.23	1	196107	196598	-	61	1	145	0.006896551724137931	38	0	82	0.0	89	1	195	0.005128205128205128
CUFF_NC.24	1	197887	198512	-	35	14	212	0.0660377358490566	21	0	127	0.0	122	1	655	0.0015267175572519084
CUFF_NC.27	1	210058	210613	-	36	1	215	0.004651162790697674	31	1	206	0.0048543689320388345	110	2	643	0.003110419906687403
CUFF_NC.29	1	219083	221145	-	227	3	531	0.005649717514124294	144	2	353	0.0056657223796034	431	1	1279	0.0007818608287724785
CUFF_NC.30	1	226848	227453	+	23	0	63	0.0	25	1	86	0.011627906976744186	93	0	177	0.0
CUFF_NC.34	1	233075	237654	+	152	479	1023	0.4682306940371456	277	6	1886	0.003181336161187699	1089	22	6504	0.0033825338253382535
CUFF_NC.31	1	238416	239453	+	67	686	713	0.9621318373071529	47	464	586	0.7918088737201365	278	1317	3305	0.3984871406959153
CUFF_NC.32	1	254830	257455	+	122	123	996	0.12349397590361445	82	94	700	0.13428571428571429	425	391	3292	0.11877278250303766
CUFF_NC.58	1	283807	284180	-	37	0	105	0.0	22	1	68	0.014705882352941176	113	1	248	0.004032258064516129
CUFF_NC.33	1	294207	295108	-	37	0	140	0.0	37	0	250	0.0	187	5	954	0.005241090146750524
CUFF_NC.36	1	301346	301758	+	5	0	102	0.0	11	0	158	0.0	60	4	691	0.005788712011577424
CUFF_NC.35	1	308731	309427	+	48	0	281	0.0	38	1	208	0.004807692307692308	151	4	594	0.006734006734006734
CUFF_NC.44	1	319180	319521	-	11	0	117	0.0	24	2	190	0.010526315789473684	79	2	504	0.003968253968253968
CUFF_NC.37	1	341814	342849	+	47	2	295	0.006779661016949152	36	1	204	0.004901960784313725	205	8	1107	0.007226738934056007
CUFF_NC.43	1	347638	348472	-	26	0	136	0.0	33	0	147	0.0	146	2	894	0.0022371364653243847
