gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	13	2	139	0.014388489208633094	18	0	135	0.0	151	3	1126	0.0026642984014209592
CUFF_NC.4	1	33820	36039	+	66	99	569	0.17398945518453426	144	1	1264	0.0007911392405063291	445	11	3225	0.0034108527131782944
CUFF_NC.2	1	45074	46980	+	87	32	870	0.0367816091954023	74	3	692	0.004335260115606936	286	6	2383	0.002517834662190516
CUFF_NC.3	1	51977	52743	-	30	0	109	0.0	34	0	112	0.0	90	0	349	0.0
CUFF_NC.9	1	63146	64476	+	45	0	429	0.0	49	1	466	0.002145922746781116	211	5	1679	0.0029779630732578916
CUFF_NC.10	1	67285	67782	+	58	1	445	0.0022471910112359553	20	1	181	0.0055248618784530384	76	0	418	0.0
CUFF_NC.5	1	69606	71157	+	64	18	474	0.0379746835443038	44	0	292	0.0	277	0	1435	0.0
CUFF_NC.8	1	73084	73716	-	18	1	53	0.018867924528301886	60	1	161	0.006211180124223602	159	0	378	0.0
CUFF_NC.12	1	75366	76624	-	136	2	659	0.0030349013657056147	79	0	292	0.0	152	2	723	0.0027662517289073307
CUFF_NC.13	1	77837	78333	+	25	1	317	0.0031545741324921135	12	0	74	0.0	91	3	638	0.004702194357366771
CUFF_NC.6	1	86737	87289	+	82	0	208	0.0	35	2	98	0.02040816326530612	94	0	252	0.0
CUFF_NC.18	1	89402	91722	-	58	0	254	0.0	125	1	783	0.001277139208173691	426	4	2263	0.0017675651789659744
CUFF_NC.19	1	95040	96380	-	65	153	523	0.2925430210325048	80	3	620	0.004838709677419355	274	2	2008	0.00099601593625498
CUFF_NC.11	1	100800	101866	-	27	1	286	0.0034965034965034965	35	0	471	0.0	161	1	1416	0.0007062146892655367
CUFF_NC.7	1	104712	105333	+	47	0	110	0.0	42	0	99	0.0	98	0	228	0.0
CUFF_NC.15	1	116797	118774	-	228	1	1038	0.0009633911368015414	118	1	450	0.0022222222222222222	281	3	1139	0.0026338893766461808
CUFF_NC.14	1	119083	119969	-	38	2	353	0.0056657223796034	24	0	192	0.0	198	5	1265	0.003952569169960474
CUFF_NC.20	1	121456	123494	+	96	538	763	0.7051114023591087	150	0	1246	0.0	391	7	2603	0.002689204763734153
CUFF_NC.21	1	133006	133474	+	17	0	62	0.0	18	0	78	0.0	77	0	202	0.0
CUFF_NC.16	1	141174	141695	+	13	0	69	0.0	11	0	56	0.0	119	2	541	0.0036968576709796672
CUFF_NC.17	1	154589	156159	+	156	1	994	0.001006036217303823	70	0	359	0.0	313	2	1336	0.0014970059880239522
CUFF_NC.22	1	163277	166353	+	137	353	774	0.4560723514211886	160	3	917	0.003271537622682661	638	6	2991	0.0020060180541624875
CUFF_NC.25	1	180261	180962	+	42	1	494	0.0020242914979757085	18	0	247	0.0	127	4	956	0.0041841004184100415
CUFF_NC.26	1	182345	182786	+	20	0	119	0.0	8	1	44	0.022727272727272728	37	1	201	0.004975124378109453
CUFF_NC.28	1	192588	193200	+	13	0	58	0.0	32	0	124	0.0	148	3	525	0.005714285714285714
CUFF_NC.23	1	196107	196598	-	60	0	327	0.0	36	0	138	0.0	70	0	263	0.0
CUFF_NC.24	1	197887	198512	-	38	6	229	0.026200873362445413	26	1	129	0.007751937984496124	159	2	704	0.002840909090909091
CUFF_NC.27	1	210058	210613	-	30	0	223	0.0	26	0	203	0.0	106	3	652	0.004601226993865031
CUFF_NC.29	1	219083	221145	-	221	0	678	0.0	125	1	431	0.002320185614849188	372	1	1305	0.0007662835249042146
CUFF_NC.30	1	226848	227453	+	23	2	61	0.03278688524590164	32	0	79	0.0	91	0	187	0.0
CUFF_NC.34	1	233075	237654	+	150	543	954	0.5691823899371069	245	3	1650	0.0018181818181818182	946	10	5853	0.0017085255424568598
CUFF_NC.31	1	238416	239453	+	65	595	623	0.9550561797752809	55	515	600	0.8583333333333333	276	1201	2933	0.4094783498124787
CUFF_NC.32	1	254830	257455	+	118	83	708	0.1172316384180791	81	75	627	0.11961722488038277	407	328	2031	0.16149679960610536
CUFF_NC.58	1	283807	284180	-	30	0	87	0.0	17	1	60	0.016666666666666666	74	0	207	0.0
CUFF_NC.33	1	294207	295108	-	41	0	211	0.0	45	2	354	0.005649717514124294	205	3	1156	0.0025951557093425604
CUFF_NC.36	1	301346	301758	+	6	0	75	0.0	12	0	142	0.0	65	2	678	0.0029498525073746312
CUFF_NC.35	1	308731	309427	+	52	0	322	0.0	38	0	219	0.0	138	1	706	0.00141643059490085
CUFF_NC.44	1	319180	319521	-	11	0	120	0.0	19	1	193	0.0051813471502590676	56	0	475	0.0
CUFF_NC.37	1	341814	342849	+	41	0	238	0.0	27	0	136	0.0	159	3	743	0.004037685060565276
CUFF_NC.43	1	347638	348472	-	26	0	129	0.0	33	1	138	0.007246376811594203	145	2	790	0.002531645569620253
CUFF_NC.42	1	355746	356392	+	38	0	334	0.0	30	0	220	0.0	130	0	622	0.0
CUFF_NC.39	1	358665	360498	+	111	298	696	0.4281609195402299	119	3	879	0.0034129692832764505	428	1	2277	0.0004391743522178305
CUFF_NC.38	1	365198	366851	-	103	1	539	0.0018552875695732839	86	3	467	0.006423982869379015	211	0	1002	0.0
CUFF_NC.41	1	370226	371382	+	75	0	349	0.0	47	0	217	0.0	225	1	1090	0.0009174311926605505
CUFF_NC.40	1	371997	372411	+	24	0	135	0.0	15	0	70	0.0	63	1	256	0.00390625
CUFF_NC.57	1	392706	395717	-	188	114	943	0.12089077412513255	184	2	1194	0.0016750418760469012	531	6	2813	0.002132954141485958
