gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	20	45	152	0.29605263157894735	22	2	146	0.0136986301369863	181	8	1227	0.006519967400162999
CUFF_NC.4	1	33820	36039	+	89	180	859	0.20954598370197905	178	9	1831	0.004915346805024577	567	22	4902	0.00448796409628723
CUFF_NC.2	1	45074	46980	+	91	4	1028	0.0038910505836575876	89	6	907	0.006615214994487321	340	13	3264	0.003982843137254902
CUFF_NC.3	1	51977	52743	-	68	2	527	0.003795066413662239	52	1	333	0.003003003003003003	128	5	644	0.007763975155279503
CUFF_NC.9	1	63146	64476	+	61	1	496	0.0020161290322580645	55	0	532	0.0	273	7	1911	0.003663003663003663
CUFF_NC.10	1	67285	67782	+	64	2	499	0.004008016032064128	24	1	205	0.004878048780487805	92	4	711	0.005625879043600563
CUFF_NC.5	1	69606	71157	+	56	29	307	0.09446254071661238	37	4	239	0.016736401673640166	263	5	1423	0.0035137034434293743
CUFF_NC.8	1	73084	73716	-	16	0	110	0.0	56	1	407	0.002457002457002457	163	3	974	0.003080082135523614
CUFF_NC.12	1	75366	76624	-	178	6	1711	0.0035067212156633548	89	2	768	0.0026041666666666665	215	5	1790	0.002793296089385475
CUFF_NC.13	1	77837	78333	+	19	0	170	0.0	7	0	31	0.0	62	0	293	0.0
CUFF_NC.6	1	86737	87289	+	93	9	1232	0.007305194805194805	39	1	482	0.002074688796680498	105	2	1333	0.0015003750937734434
CUFF_NC.18	1	89402	91722	-	46	0	349	0.0	99	3	804	0.0037313432835820895	384	13	2706	0.004804138950480414
CUFF_NC.19	1	95040	96380	-	72	200	849	0.23557126030624265	90	6	939	0.006389776357827476	331	12	3011	0.003985386914646297
CUFF_NC.11	1	100800	101866	-	41	1	396	0.0025252525252525255	47	4	496	0.008064516129032258	236	13	1732	0.007505773672055427
CUFF_NC.7	1	104712	105333	+	74	2	712	0.0028089887640449437	64	4	609	0.006568144499178982	131	6	1090	0.005504587155963303
CUFF_NC.15	1	116797	118774	-	268	15	3042	0.004930966469428008	139	4	1651	0.0024227740763173833	348	11	3391	0.0032438808611029196
CUFF_NC.14	1	119083	119969	-	33	39	365	0.10684931506849316	21	1	206	0.0048543689320388345	153	5	1171	0.004269854824935952
CUFF_NC.20	1	121456	123494	+	112	876	1142	0.7670753064798599	179	8	1734	0.00461361014994233	489	28	4110	0.006812652068126521
CUFF_NC.21	1	133006	133474	+	19	0	135	0.0	25	0	152	0.0	92	5	435	0.011494252873563218
CUFF_NC.16	1	141174	141695	+	15	1	65	0.015384615384615385	9	0	53	0.0	121	1	463	0.0021598272138228943
CUFF_NC.17	1	154589	156159	+	178	8	1924	0.004158004158004158	77	3	815	0.0036809815950920245	331	11	2936	0.003746594005449591
CUFF_NC.22	1	163277	166353	+	153	273	1339	0.20388349514563106	194	3	1546	0.0019404915912031048	741	25	5038	0.004962286621675268
CUFF_NC.25	1	180261	180962	+	40	0	429	0.0	18	0	189	0.0	127	4	938	0.0042643923240938165
CUFF_NC.26	1	182345	182786	+	14	0	70	0.0	7	0	27	0.0	50	0	154	0.0
CUFF_NC.28	1	192588	193200	+	14	0	106	0.0	31	1	201	0.004975124378109453	138	6	770	0.007792207792207792
CUFF_NC.23	1	196107	196598	-	66	4	735	0.005442176870748299	38	2	402	0.004975124378109453	93	3	686	0.004373177842565598
CUFF_NC.24	1	197887	198512	-	40	3	380	0.007894736842105263	27	1	236	0.00423728813559322	140	8	1165	0.0068669527896995704
CUFF_NC.27	1	210058	210613	-	42	0	343	0.0	36	1	291	0.003436426116838488	139	3	1088	0.0027573529411764708
CUFF_NC.29	1	219083	221145	-	267	5	2521	0.0019833399444664813	164	7	1436	0.004874651810584958	483	14	4085	0.003427172582619339
CUFF_NC.30	1	226848	227453	+	31	0	244	0.0	34	2	260	0.007692307692307693	119	2	772	0.0025906735751295338
CUFF_NC.34	1	233075	237654	+	161	511	1300	0.3930769230769231	283	12	2291	0.005237887385421213	1071	38	7188	0.0052865887590428495
CUFF_NC.31	1	238416	239453	+	69	637	671	0.9493293591654247	57	566	658	0.8601823708206687	296	902	2894	0.3116793365583967
CUFF_NC.32	1	254830	257455	+	124	44	822	0.0535279805352798	86	45	614	0.0732899022801303	411	134	2369	0.056563951034191644
CUFF_NC.58	1	283807	284180	-	34	2	295	0.006779661016949152	19	1	157	0.006369426751592357	96	2	567	0.003527336860670194
CUFF_NC.33	1	294207	295108	-	45	3	400	0.0075	45	4	504	0.007936507936507936	226	7	1807	0.00387382401770891
CUFF_NC.36	1	301346	301758	+	10	0	66	0.0	18	0	156	0.0	90	4	647	0.0061823802163833074
CUFF_NC.35	1	308731	309427	+	54	5	457	0.010940919037199124	45	5	348	0.014367816091954023	171	4	1118	0.0035778175313059034
CUFF_NC.44	1	319180	319521	-	12	0	98	0.0	26	1	194	0.005154639175257732	84	3	460	0.006521739130434782
CUFF_NC.37	1	341814	342849	+	36	1	244	0.004098360655737705	20	0	163	0.0	152	2	759	0.002635046113306983
CUFF_NC.43	1	347638	348472	-	28	1	197	0.005076142131979695	33	2	200	0.01	147	2	893	0.0022396416573348264
CUFF_NC.42	1	355746	356392	+	43	2	363	0.005509641873278237	39	1	295	0.003389830508474576	126	4	789	0.005069708491761723
CUFF_NC.39	1	358665	360498	+	128	71	1145	0.06200873362445415	144	6	1385	0.004332129963898917	520	15	3983	0.0037660055234747677
CUFF_NC.38	1	365198	366851	-	118	7	990	0.007070707070707071	99	1	817	0.0012239902080783353	258	7	1483	0.004720161834120027
CUFF_NC.41	1	370226	371382	+	84	1	689	0.001451378809869376	55	2	445	0.0044943820224719105	231	12	1567	0.007657945118059987
CUFF_NC.40	1	371997	372411	+	33	1	294	0.003401360544217687	19	3	141	0.02127659574468085	78	2	526	0.0038022813688212928
CUFF_NC.57	1	392706	395717	-	244	202	1752	0.11529680365296803	248	13	1847	0.007038440714672442	707	17	4947	0.003436426116838488
CUFF_NC.54	1	409235	410549	-	84	1	872	0.0011467889908256881	106	5	1062	0.004708097928436911	351	12	2962	0.004051316677920324
CUFF_NC.53	1	413681	414878	+	60	77	442	0.17420814479638008	91	2	773	0.00258732212160414	247	7	1762	0.003972758229284903
CUFF_NC.46	1	417273	417814	-	17	0	51	0.0	28	1	143	0.006993006993006993	115	1	379	0.002638522427440633
CUFF_NC.49	1	421746	425334	-	109	143	744	0.1922043010752688	95	34	601	0.056572379367720464	524	98	2839	0.03451919690031701
CUFF_NC.48	1	424665	425164	+	38	0	364	0.0	37	1	334	0.0029940119760479044	116	3	999	0.003003003003003003
CUFF_NC.45	1	425557	426435	+	25	2	142	0.014084507042253521	16	0	92	0.0	89	1	372	0.002688172043010753
CUFF_NC.47	1	435444	435889	+	11	0	81	0.0	31	2	202	0.009900990099009901	81	1	434	0.002304147465437788
CUFF_NC.50	1	442462	442900	+	22	0	227	0.0	22	1	250	0.004	117	7	1104	0.006340579710144928
CUFF_NC.52	1	446824	448464	+	62	240	506	0.4743083003952569	75	191	664	0.2876506024096386	303	307	2101	0.14612089481199428
CUFF_NC.51	1	463998	464582	+	75	2	621	0.00322061191626409	40	2	350	0.005714285714285714	132	6	904	0.00663716814159292
CUFF_NC.55	1	482013	483177	-	85	3	930	0.0032258064516129032	53	1	566	0.0017667844522968198	253	11	2364	0.004653130287648054
CUFF_NC.59	1	512866	513261	+	27	192	262	0.732824427480916	15	62	161	0.38509316770186336	82	297	718	0.4136490250696379
CUFF_NC.60	1	514888	515295	+	25	1	306	0.0032679738562091504	21	1	239	0.0041841004184100415	79	9	688	0.01308139534883721
