gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	19	0	197	0.0	24	0	191	0.0	173	4	1342	0.0029806259314456036
CUFF_NC.4	1	33820	36039	+	86	150	852	0.176056338028169	173	13	2005	0.006483790523690773	563	33	5242	0.00629530713468142
CUFF_NC.2	1	45074	46980	+	115	16	1717	0.009318578916715201	108	3	1398	0.002145922746781116	487	21	5080	0.004133858267716535
CUFF_NC.3	1	51977	52743	-	70	0	461	0.0	60	0	399	0.0	176	12	1309	0.009167303284950344
CUFF_NC.9	1	63146	64476	+	56	3	704	0.004261363636363636	61	2	776	0.002577319587628866	296	8	3175	0.0025196850393700786
CUFF_NC.10	1	67285	67782	+	78	2	694	0.002881844380403458	30	2	311	0.006430868167202572	113	6	780	0.007692307692307693
CUFF_NC.5	1	69606	71157	+	77	85	828	0.10265700483091787	54	4	545	0.007339449541284404	386	22	3301	0.006664647076643442
CUFF_NC.8	1	73084	73716	-	19	0	88	0.0	61	1	271	0.0036900369003690036	191	2	691	0.002894356005788712
CUFF_NC.12	1	75366	76624	-	173	6	867	0.006920415224913495	92	2	432	0.004629629629629629	244	6	1350	0.0044444444444444444
CUFF_NC.13	1	77837	78333	+	28	0	522	0.0	13	0	141	0.0	103	9	1301	0.006917755572636433
CUFF_NC.6	1	86737	87289	+	89	0	298	0.0	42	1	161	0.006211180124223602	108	2	469	0.0042643923240938165
CUFF_NC.18	1	89402	91722	-	65	5	422	0.011848341232227487	135	11	1232	0.008928571428571428	557	23	3853	0.005969374513366208
CUFF_NC.19	1	95040	96380	-	71	58	629	0.09220985691573927	84	5	818	0.006112469437652812	337	15	2923	0.005131713992473486
CUFF_NC.11	1	100800	101866	-	39	4	349	0.011461318051575931	48	4	710	0.005633802816901409	269	14	2008	0.0069721115537848604
CUFF_NC.7	1	104712	105333	+	64	0	225	0.0	61	1	198	0.005050505050505051	140	0	430	0.0
CUFF_NC.15	1	116797	118774	-	260	5	1290	0.003875968992248062	142	2	599	0.00333889816360601	414	9	1811	0.004969630038652678
CUFF_NC.14	1	119083	119969	-	38	1	481	0.002079002079002079	23	0	263	0.0	196	7	1988	0.0035211267605633804
CUFF_NC.20	1	121456	123494	+	103	595	911	0.6531284302963776	169	7	1512	0.004629629629629629	467	23	3337	0.0068924183398261915
CUFF_NC.21	1	133006	133474	+	21	1	121	0.008264462809917356	22	2	179	0.0111731843575419	123	2	599	0.00333889816360601
CUFF_NC.16	1	141174	141695	+	15	0	83	0.0	11	0	64	0.0	127	3	614	0.004885993485342019
CUFF_NC.17	1	154589	156159	+	162	2	1174	0.0017035775127768314	72	1	418	0.0023923444976076554	302	6	1700	0.0035294117647058825
CUFF_NC.22	1	163277	166353	+	142	275	943	0.2916224814422057	177	13	1209	0.010752688172043012	750	21	4394	0.004779244424214839
CUFF_NC.25	1	180261	180962	+	47	6	797	0.0075282308657465494	20	1	450	0.0022222222222222222	157	7	1579	0.004433185560481318
CUFF_NC.26	1	182345	182786	+	25	0	243	0.0	10	0	102	0.0	83	0	473	0.0
CUFF_NC.28	1	192588	193200	+	16	0	134	0.0	35	1	231	0.004329004329004329	178	7	1440	0.004861111111111111
CUFF_NC.23	1	196107	196598	-	74	0	535	0.0	44	2	287	0.006968641114982578	122	3	583	0.005145797598627788
CUFF_NC.24	1	197887	198512	-	41	20	454	0.04405286343612335	28	2	300	0.006666666666666667	173	6	1295	0.004633204633204633
CUFF_NC.27	1	210058	210613	-	41	5	338	0.014792899408284023	35	1	361	0.002770083102493075	134	4	1107	0.0036133694670280035
CUFF_NC.29	1	219083	221145	-	249	3	1082	0.0027726432532347504	154	1	672	0.001488095238095238	471	5	2254	0.0022182786157941437
CUFF_NC.30	1	226848	227453	+	33	1	215	0.004651162790697674	36	2	155	0.012903225806451613	154	6	778	0.007712082262210797
CUFF_NC.34	1	233075	237654	+	171	610	1871	0.3260288615713522	309	27	3739	0.007221182134260497	1250	50	13596	0.0036775522212415417
CUFF_NC.31	1	238416	239453	+	70	1206	1306	0.9234303215926493	53	938	1153	0.813529921942758	303	2319	5862	0.3955987717502559
CUFF_NC.32	1	254830	257455	+	123	222	1434	0.15481171548117154	87	100	999	0.1001001001001001	520	515	5011	0.10277389742566354
CUFF_NC.58	1	283807	284180	-	28	1	120	0.008333333333333333	17	0	58	0.0	86	1	297	0.003367003367003367
CUFF_NC.33	1	294207	295108	-	42	5	292	0.017123287671232876	45	1	411	0.0024330900243309003	232	8	1664	0.004807692307692308
CUFF_NC.36	1	301346	301758	+	10	0	176	0.0	19	0	260	0.0	100	2	1261	0.0015860428231562252
CUFF_NC.35	1	308731	309427	+	54	0	494	0.0	46	2	380	0.005263157894736842	178	3	1213	0.00247320692497939
CUFF_NC.44	1	319180	319521	-	8	3	146	0.02054794520547945	24	1	269	0.0037174721189591076	88	3	684	0.0043859649122807015
CUFF_NC.37	1	341814	342849	+	47	3	432	0.006944444444444444	35	1	330	0.0030303030303030303	211	5	1663	0.003006614552014432
CUFF_NC.43	1	347638	348472	-	30	1	259	0.003861003861003861	42	1	383	0.0026109660574412533	196	4	2171	0.0018424689083371719
CUFF_NC.42	1	355746	356392	+	39	2	507	0.0039447731755424065	36	0	339	0.0	164	7	1458	0.004801097393689987
CUFF_NC.39	1	358665	360498	+	124	267	1091	0.2447296058661778	143	5	1341	0.0037285607755406414	538	16	3919	0.004082674151569278
CUFF_NC.38	1	365198	366851	-	124	7	986	0.007099391480730223	104	3	804	0.0037313432835820895	310	12	2431	0.0049362402303578775
CUFF_NC.41	1	370226	371382	+	99	6	727	0.008253094910591471	62	4	396	0.010101010101010102	280	12	2538	0.004728132387706856
CUFF_NC.40	1	371997	372411	+	28	1	382	0.002617801047120419	21	11	286	0.038461538461538464	102	110	1164	0.09450171821305842
CUFF_NC.57	1	392706	395717	-	237	66	1765	0.037393767705382434	253	7	2156	0.003246753246753247	760	19	5524	0.0034395365677045617
CUFF_NC.54	1	409235	410549	-	88	7	691	0.010130246020260492	111	4	957	0.0041797283176593526	382	7	2700	0.0025925925925925925
CUFF_NC.53	1	413681	414878	+	71	1	848	0.0011792452830188679	113	2	1085	0.0018433179723502304	305	6	2431	0.0024681201151789387
CUFF_NC.46	1	417273	417814	-	17	2	82	0.024390243902439025	31	1	240	0.004166666666666667	141	2	722	0.002770083102493075
CUFF_NC.49	1	421746	425334	-	146	1146	2335	0.49079229122055673	118	155	1332	0.11636636636636637	812	836	10730	0.07791239515377446
CUFF_NC.48	1	424665	425164	+	38	1	401	0.0024937655860349127	37	3	403	0.007444168734491315	121	7	1521	0.0046022353714661405
CUFF_NC.45	1	425557	426435	+	30	0	263	0.0	31	1	460	0.002173913043478261	167	10	1877	0.005327650506126798
CUFF_NC.47	1	435444	435889	+	12	1	97	0.010309278350515464	39	1	319	0.003134796238244514	115	2	803	0.0024906600249066002
CUFF_NC.50	1	442462	442900	+	22	0	224	0.0	22	0	246	0.0	117	3	963	0.003115264797507788
CUFF_NC.52	1	446824	448464	+	68	62	752	0.08244680851063829	86	2	772	0.0025906735751295338	355	30	3000	0.01
CUFF_NC.51	1	463998	464582	+	62	0	300	0.0	35	0	190	0.0	138	0	646	0.0
CUFF_NC.55	1	482013	483177	-	81	2	648	0.0030864197530864196	50	3	404	0.007425742574257425	258	8	1920	0.004166666666666667
