gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	20	70	218	0.3211009174311927	22	0	214	0.0	212	6	1727	0.003474232773595831
CUFF_NC.4	1	33820	36039	+	87	151	836	0.180622009569378	178	7	1663	0.004209260372820205	593	11	4727	0.0023270573302305903
CUFF_NC.2	1	45074	46980	+	104	21	1134	0.018518518518518517	100	2	1012	0.001976284584980237	416	10	3712	0.0026939655172413795
CUFF_NC.3	1	51977	52743	-	70	2	378	0.005291005291005291	56	2	293	0.006825938566552901	173	1	781	0.0012804097311139564
CUFF_NC.9	1	63146	64476	+	63	1	564	0.0017730496453900709	59	2	598	0.0033444816053511705	331	8	2209	0.0036215482118605704
CUFF_NC.10	1	67285	67782	+	62	1	415	0.0024096385542168677	23	0	184	0.0	91	6	445	0.01348314606741573
CUFF_NC.5	1	69606	71157	+	74	150	721	0.20804438280166435	49	17	462	0.0367965367965368	361	24	2630	0.009125475285171103
CUFF_NC.8	1	73084	73716	-	20	0	113	0.0	63	1	339	0.0029498525073746312	194	2	871	0.002296211251435132
CUFF_NC.12	1	75366	76624	-	187	2	1075	0.0018604651162790699	101	3	527	0.0056925996204933585	254	2	1363	0.001467351430667645
CUFF_NC.13	1	77837	78333	+	30	0	267	0.0	11	0	62	0.0	91	1	568	0.0017605633802816902
CUFF_NC.6	1	86737	87289	+	92	0	421	0.0	41	0	168	0.0	109	0	519	0.0
CUFF_NC.18	1	89402	91722	-	67	4	463	0.008639308855291577	137	8	1105	0.007239819004524887	539	15	3762	0.003987240829346092
CUFF_NC.19	1	95040	96380	-	70	111	658	0.16869300911854104	89	5	844	0.005924170616113744	329	8	2737	0.0029229082937522835
CUFF_NC.11	1	100800	101866	-	39	5	374	0.013368983957219251	49	0	501	0.0	260	5	1763	0.0028360748723766306
CUFF_NC.7	1	104712	105333	+	75	0	412	0.0	65	0	346	0.0	155	1	729	0.0013717421124828531
