gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	18	0	101	0.0	18	1	99	0.010101010101010102	142	1	829	0.0012062726176115801
CUFF_NC.4	1	33820	36039	+	73	141	534	0.2640449438202247	150	3	1124	0.0026690391459074734	469	5	2878	0.0017373175816539264
CUFF_NC.2	1	45074	46980	+	83	2	687	0.002911208151382824	76	0	538	0.0	338	9	1947	0.004622496147919877
CUFF_NC.3	1	51977	52743	-	42	0	103	0.0	37	0	101	0.0	108	0	256	0.0
CUFF_NC.9	1	63146	64476	+	58	1	558	0.0017921146953405018	57	1	625	0.0016	251	6	1909	0.003143006809848088
CUFF_NC.10	1	67285	67782	+	71	0	394	0.0	30	0	149	0.0	94	0	394	0.0
CUFF_NC.5	1	69606	71157	+	63	58	319	0.18181818181818182	41	5	237	0.02109704641350211	264	12	1300	0.009230769230769232
CUFF_NC.8	1	73084	73716	-	16	5	40	0.125	50	1	115	0.008695652173913044	137	2	262	0.007633587786259542
CUFF_NC.12	1	75366	76624	-	139	3	722	0.004155124653739612	64	1	332	0.0030120481927710845	154	0	837	0.0
CUFF_NC.13	1	77837	78333	+	21	0	205	0.0	11	0	34	0.0	63	0	338	0.0
CUFF_NC.6	1	86737	87289	+	84	0	238	0.0	33	1	119	0.008403361344537815	92	0	281	0.0
CUFF_NC.18	1	89402	91722	-	59	0	216	0.0	129	1	603	0.001658374792703151	487	3	1919	0.001563314226159458
CUFF_NC.19	1	95040	96380	-	68	106	318	0.3333333333333333	75	0	474	0.0	281	1	1508	0.000663129973474801
CUFF_NC.11	1	100800	101866	-	33	0	201	0.0	39	1	336	0.002976190476190476	177	2	967	0.002068252326783868
CUFF_NC.7	1	104712	105333	+	54	0	145	0.0	48	0	121	0.0	103	0	247	0.0
CUFF_NC.15	1	116797	118774	-	248	2	766	0.0026109660574412533	126	1	367	0.0027247956403269754	330	0	844	0.0
CUFF_NC.14	1	119083	119969	-	37	0	277	0.0	23	0	162	0.0	161	1	1034	0.0009671179883945841
CUFF_NC.20	1	121456	123494	+	95	462	623	0.7415730337078652	148	4	984	0.0040650406504065045	396	6	2382	0.0025188916876574307
CUFF_NC.21	1	133006	133474	+	8	0	30	0.0	14	0	45	0.0	38	0	118	0.0
CUFF_NC.16	1	141174	141695	+	9	0	30	0.0	6	0	14	0.0	76	1	202	0.0049504950495049506
CUFF_NC.17	1	154589	156159	+	155	2	755	0.0026490066225165563	66	1	265	0.0037735849056603774	277	4	1138	0.0035149384885764497
CUFF_NC.22	1	163277	166353	+	128	193	671	0.28763040238450077	149	2	741	0.002699055330634278	576	6	2569	0.0023355391202802647
CUFF_NC.25	1	180261	180962	+	33	1	370	0.002702702702702703	15	0	185	0.0	101	1	793	0.0012610340479192938
CUFF_NC.26	1	182345	182786	+	16	0	83	0.0	7	0	32	0.0	41	0	147	0.0
CUFF_NC.28	1	192588	193200	+	13	0	41	0.0	30	1	90	0.011111111111111112	149	3	410	0.007317073170731708
CUFF_NC.23	1	196107	196598	-	62	1	204	0.004901960784313725	36	0	108	0.0	84	1	204	0.004901960784313725
CUFF_NC.24	1	197887	198512	-	37	36	212	0.16981132075471697	21	0	135	0.0	129	3	687	0.004366812227074236
CUFF_NC.27	1	210058	210613	-	31	1	114	0.008771929824561403	29	1	165	0.006060606060606061	109	0	572	0.0
CUFF_NC.29	1	219083	221145	-	229	1	577	0.0017331022530329288	141	1	341	0.002932551319648094	399	7	1138	0.006151142355008787
CUFF_NC.30	1	226848	227453	+	30	0	84	0.0	34	0	96	0.0	137	1	395	0.002531645569620253
CUFF_NC.34	1	233075	237654	+	149	415	728	0.570054945054945	273	2	1386	0.001443001443001443	1026	13	4987	0.0026067776218167233
CUFF_NC.31	1	238416	239453	+	69	717	768	0.93359375	53	458	542	0.8450184501845018	294	1038	2810	0.3693950177935943
CUFF_NC.32	1	254830	257455	+	113	172	726	0.2369146005509642	75	61	547	0.11151736745886655	432	200	2399	0.08336807002917883
CUFF_NC.58	1	283807	284180	-	28	0	62	0.0	17	0	39	0.0	76	0	156	0.0
CUFF_NC.33	1	294207	295108	-	37	0	135	0.0	41	0	183	0.0	171	4	664	0.006024096385542169
CUFF_NC.36	1	301346	301758	+	6	0	56	0.0	12	0	125	0.0	53	0	471	0.0
CUFF_NC.35	1	308731	309427	+	46	0	186	0.0	33	0	136	0.0	133	5	596	0.008389261744966443
CUFF_NC.44	1	319180	319521	-	5	0	73	0.0	13	0	166	0.0	34	0	342	0.0
CUFF_NC.37	1	341814	342849	+	41	0	171	0.0	32	0	125	0.0	178	1	592	0.0016891891891891893
CUFF_NC.43	1	347638	348472	-	17	0	76	0.0	25	1	63	0.015873015873015872	107	2	527	0.003795066413662239
CUFF_NC.42	1	355746	356392	+	42	1	215	0.004651162790697674	40	1	175	0.005714285714285714	122	1	408	0.0024509803921568627
CUFF_NC.39	1	358665	360498	+	102	34	371	0.09164420485175202	109	1	441	0.0022675736961451248	388	4	1285	0.0031128404669260703
CUFF_NC.38	1	365198	366851	-	93	1	411	0.0024330900243309003	80	0	349	0.0	248	1	885	0.0011299435028248588
CUFF_NC.41	1	370226	371382	+	67	1	286	0.0034965034965034965	33	0	123	0.0	186	0	730	0.0
CUFF_NC.40	1	371997	372411	+	27	0	135	0.0	18	6	113	0.05309734513274336	85	66	510	0.12941176470588237
CUFF_NC.57	1	392706	395717	-	163	42	572	0.07342657342657342	185	4	696	0.005747126436781609	531	3	1976	0.0015182186234817814
CUFF_NC.54	1	409235	410549	-	73	8	308	0.025974025974025976	87	1	411	0.0024330900243309003	291	6	1087	0.005519779208831647
CUFF_NC.53	1	413681	414878	+	57	0	342	0.0	89	2	479	0.0041753653444676405	212	2	1090	0.001834862385321101
CUFF_NC.46	1	417273	417814	-	8	1	21	0.047619047619047616	22	0	74	0.0	58	1	190	0.005263157894736842
CUFF_NC.49	1	421746	425334	-	127	277	712	0.3890449438202247	95	33	436	0.07568807339449542	549	209	2709	0.07715023994093761
CUFF_NC.48	1	424665	425164	+	35	1	263	0.0038022813688212928	33	1	216	0.004629629629629629	100	2	740	0.002702702702702703
CUFF_NC.45	1	425557	426435	+	25	0	87	0.0	28	0	196	0.0	110	2	515	0.003883495145631068
CUFF_NC.47	1	435444	435889	+	7	0	42	0.0	32	0	139	0.0	83	0	355	0.0
CUFF_NC.50	1	442462	442900	+	19	0	109	0.0	20	0	126	0.0	102	0	535	0.0
CUFF_NC.52	1	446824	448464	+	51	12	272	0.04411764705882353	72	0	389	0.0	274	5	1152	0.004340277777777778
CUFF_NC.51	1	463998	464582	+	55	0	135	0.0	30	1	67	0.014925373134328358	105	0	280	0.0
CUFF_NC.55	1	482013	483177	-	75	0	408	0.0	50	1	205	0.004878048780487805	221	3	981	0.0030581039755351682
CUFF_NC.59	1	512866	513261	+	28	211	303	0.6963696369636964	17	59	160	0.36875	92	285	728	0.3914835164835165
CUFF_NC.60	1	514888	515295	+	19	1	222	0.0045045045045045045	21	0	167	0.0	68	0	437	0.0
CUFF_NC.70	1	523944	530099	-	343	306	1593	0.192090395480226	341	2	1580	0.0012658227848101266	1157	5	4690	0.0010660980810234541
