gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	16	0	134	0.0	22	2	175	0.011428571428571429	191	9	1219	0.007383100902378999
CUFF_NC.4	1	33820	36039	+	83	37	531	0.0696798493408663	172	9	1146	0.007853403141361256	562	11	3431	0.0032060623724861556
CUFF_NC.2	1	45074	46980	+	109	4	766	0.005221932114882507	101	3	668	0.004491017964071856	444	21	2523	0.008323424494649227
CUFF_NC.3	1	51977	52743	-	69	1	277	0.0036101083032490976	53	1	226	0.004424778761061947	169	1	691	0.001447178002894356
CUFF_NC.9	1	63146	64476	+	65	2	492	0.0040650406504065045	64	3	492	0.006097560975609756	326	18	2221	0.00810445745159838
CUFF_NC.10	1	67285	67782	+	72	5	426	0.011737089201877934	28	0	174	0.0	97	7	457	0.015317286652078774
CUFF_NC.5	1	69606	71157	+	70	46	533	0.08630393996247655	48	3	346	0.008670520231213872	359	6	2317	0.002589555459646094
CUFF_NC.8	1	73084	73716	-	16	0	58	0.0	54	2	201	0.009950248756218905	155	2	477	0.0041928721174004195
CUFF_NC.12	1	75366	76624	-	167	2	644	0.003105590062111801	88	2	309	0.006472491909385114	222	7	917	0.007633587786259542
CUFF_NC.13	1	77837	78333	+	34	8	305	0.02622950819672131	16	0	94	0.0	125	9	837	0.010752688172043012
CUFF_NC.6	1	86737	87289	+	91	1	330	0.0030303030303030303	41	1	150	0.006666666666666667	111	1	383	0.0026109660574412533
CUFF_NC.18	1	89402	91722	-	68	3	352	0.008522727272727272	146	6	1019	0.005888125613346418	593	30	3492	0.00859106529209622
CUFF_NC.19	1	95040	96380	-	70	30	398	0.07537688442211055	85	2	489	0.00408997955010225	341	5	1799	0.0027793218454697055
CUFF_NC.11	1	100800	101866	-	41	3	265	0.011320754716981131	52	2	422	0.004739336492890996	288	18	1708	0.01053864168618267
CUFF_NC.7	1	104712	105333	+	69	1	182	0.005494505494505495	62	3	153	0.0196078431372549	140	6	353	0.0169971671388102
CUFF_NC.15	1	116797	118774	-	261	3	1119	0.002680965147453083	142	0	544	0.0	399	6	1645	0.00364741641337386
CUFF_NC.14	1	119083	119969	-	39	7	360	0.019444444444444445	23	0	225	0.0	207	22	1726	0.012746234067207415
CUFF_NC.20	1	121456	123494	+	114	382	636	0.60062893081761	181	4	1012	0.003952569169960474	515	9	2449	0.0036749693752552064
CUFF_NC.21	1	133006	133474	+	20	2	67	0.029850746268656716	20	0	76	0.0	110	0	293	0.0
CUFF_NC.16	1	141174	141695	+	15	2	85	0.023529411764705882	11	0	53	0.0	142	5	652	0.007668711656441718
CUFF_NC.17	1	154589	156159	+	179	9	780	0.011538461538461539	81	8	317	0.025236593059936908	364	13	1451	0.00895933838731909
CUFF_NC.22	1	163277	166353	+	151	108	723	0.14937759336099585	183	5	840	0.005952380952380952	797	17	3196	0.005319148936170213
CUFF_NC.25	1	180261	180962	+	47	6	325	0.018461538461538463	23	1	185	0.005405405405405406	156	4	677	0.005908419497784343
CUFF_NC.26	1	182345	182786	+	17	0	86	0.0	6	0	22	0.0	42	0	101	0.0
CUFF_NC.28	1	192588	193200	+	16	2	79	0.02531645569620253	33	1	169	0.005917159763313609	167	10	835	0.011976047904191617
CUFF_NC.23	1	196107	196598	-	73	0	218	0.0	43	1	130	0.007692307692307693	125	1	335	0.0029850746268656717
CUFF_NC.24	1	197887	198512	-	43	22	270	0.08148148148148149	31	0	186	0.0	175	3	860	0.0034883720930232558
CUFF_NC.27	1	210058	210613	-	42	7	242	0.028925619834710745	35	0	251	0.0	138	1	783	0.001277139208173691
CUFF_NC.29	1	219083	221145	-	256	8	807	0.009913258983890954	157	7	509	0.0137524557956778	470	26	1691	0.01537551744529864
CUFF_NC.30	1	226848	227453	+	36	0	123	0.0	38	0	126	0.0	166	0	440	0.0
CUFF_NC.34	1	233075	237654	+	164	278	1003	0.27716849451645065	303	8	1847	0.004331348132106118	1208	42	6877	0.006107314235858659
CUFF_NC.31	1	238416	239453	+	66	424	488	0.8688524590163934	48	289	371	0.7789757412398922	272	567	2171	0.26116996775679413
CUFF_NC.32	1	254830	257455	+	126	220	886	0.24830699774266365	92	156	747	0.20883534136546184	469	255	3234	0.07884972170686456
