gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	0	78	0.0	20	0	76	0.0	166	0	659	0.0
CUFF_NC.4	1	33820	36039	+	79	58	609	0.09523809523809523	166	3	1355	0.002214022140221402	546	13	3762	0.0034556087187666137
CUFF_NC.2	1	45074	46980	+	96	5	765	0.006535947712418301	88	2	623	0.0032102728731942215	349	8	2235	0.0035794183445190158
CUFF_NC.3	1	51977	52743	-	68	2	284	0.007042253521126761	55	0	251	0.0	160	2	660	0.0030303030303030303
CUFF_NC.9	1	63146	64476	+	46	1	628	0.0015923566878980893	52	1	638	0.001567398119122257	247	8	1982	0.004036326942482341
CUFF_NC.10	1	67285	67782	+	62	2	303	0.006600660066006601	25	0	140	0.0	93	1	377	0.002652519893899204
CUFF_NC.5	1	69606	71157	+	73	53	525	0.10095238095238095	51	2	269	0.007434944237918215	375	11	1943	0.005661348430262481
CUFF_NC.8	1	73084	73716	-	15	0	55	0.0	46	2	165	0.012121212121212121	145	1	423	0.002364066193853428
CUFF_NC.12	1	75366	76624	-	173	3	884	0.003393665158371041	97	1	456	0.0021929824561403508	245	4	1212	0.0033003300330033004
CUFF_NC.13	1	77837	78333	+	34	0	332	0.0	15	0	88	0.0	115	4	841	0.0047562425683709865
CUFF_NC.6	1	86737	87289	+	89	1	273	0.003663003663003663	40	0	134	0.0	102	1	364	0.0027472527472527475
CUFF_NC.18	1	89402	91722	-	62	2	330	0.006060606060606061	134	1	918	0.0010893246187363835	556	9	3265	0.0027565084226646246
CUFF_NC.19	1	95040	96380	-	73	47	384	0.12239583333333333	84	2	481	0.004158004158004158	351	8	1647	0.004857316332726169
CUFF_NC.11	1	100800	101866	-	40	1	195	0.005128205128205128	50	1	451	0.0022172949002217295	268	3	1227	0.0024449877750611247
CUFF_NC.7	1	104712	105333	+	60	0	211	0.0	56	1	200	0.005	120	1	383	0.0026109660574412533
CUFF_NC.15	1	116797	118774	-	251	8	1167	0.006855184233076264	136	1	530	0.0018867924528301887	326	6	1362	0.004405286343612335
CUFF_NC.14	1	119083	119969	-	40	0	430	0.0	25	0	313	0.0	222	5	2079	0.002405002405002405
CUFF_NC.20	1	121456	123494	+	112	587	798	0.7355889724310777	179	7	1348	0.0051928783382789315	506	10	3239	0.0030873726458783574
CUFF_NC.21	1	133006	133474	+	15	0	68	0.0	19	0	106	0.0	93	0	283	0.0
CUFF_NC.16	1	141174	141695	+	15	0	95	0.0	11	0	86	0.0	142	0	771	0.0
CUFF_NC.17	1	154589	156159	+	153	5	932	0.00536480686695279	69	1	378	0.0026455026455026454	290	6	1403	0.0042765502494654314
CUFF_NC.22	1	163277	166353	+	143	266	730	0.3643835616438356	179	6	937	0.0064034151547491995	739	19	3294	0.005768063145112325
CUFF_NC.25	1	180261	180962	+	40	1	474	0.002109704641350211	20	2	278	0.007194244604316547	143	8	985	0.008121827411167513
CUFF_NC.26	1	182345	182786	+	22	0	114	0.0	7	0	38	0.0	70	1	211	0.004739336492890996
CUFF_NC.28	1	192588	193200	+	14	0	80	0.0	33	0	152	0.0	157	7	794	0.008816120906801008
CUFF_NC.23	1	196107	196598	-	65	1	242	0.004132231404958678	40	0	134	0.0	95	2	302	0.006622516556291391
CUFF_NC.24	1	197887	198512	-	43	2	299	0.006688963210702341	29	0	207	0.0	168	3	980	0.003061224489795918
CUFF_NC.27	1	210058	210613	-	41	1	219	0.0045662100456621	35	1	221	0.004524886877828055	132	5	735	0.006802721088435374
CUFF_NC.29	1	219083	221145	-	243	0	787	0.0	153	0	492	0.0	450	9	1618	0.005562422744128554
CUFF_NC.30	1	226848	227453	+	33	0	154	0.0	32	1	134	0.007462686567164179	143	3	714	0.004201680672268907
CUFF_NC.34	1	233075	237654	+	162	604	1100	0.5490909090909091	292	14	2215	0.006320541760722348	1135	36	7672	0.0046923879040667365
CUFF_NC.31	1	238416	239453	+	69	768	808	0.9504950495049505	50	527	645	0.8170542635658915	270	1048	3343	0.313490876458271
CUFF_NC.32	1	254830	257455	+	137	139	1051	0.13225499524262607	98	108	766	0.1409921671018277	512	366	3675	0.09959183673469388
