gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	13	10	145	0.06896551724137931	20	1	181	0.0055248618784530384	143	5	1217	0.004108463434675432
CUFF_NC.4	1	33820	36039	+	72	121	607	0.19934102141680396	155	6	1253	0.004788507581803671	469	15	3211	0.004671441918405481
CUFF_NC.2	1	45074	46980	+	97	5	793	0.006305170239596469	91	2	742	0.0026954177897574125	369	13	2479	0.0052440500201694235
CUFF_NC.3	1	51977	52743	-	68	0	255	0.0	52	0	213	0.0	163	3	723	0.004149377593360996
CUFF_NC.9	1	63146	64476	+	47	2	432	0.004629629629629629	53	1	484	0.002066115702479339	285	12	1988	0.006036217303822937
CUFF_NC.10	1	67285	67782	+	70	3	436	0.006880733944954129	26	2	176	0.011363636363636364	99	4	578	0.006920415224913495
CUFF_NC.5	1	69606	71157	+	69	70	508	0.1377952755905512	44	4	338	0.011834319526627219	309	12	2008	0.00597609561752988
CUFF_NC.8	1	73084	73716	-	16	0	73	0.0	49	1	207	0.004830917874396135	134	1	475	0.002105263157894737
CUFF_NC.12	1	75366	76624	-	116	3	585	0.005128205128205128	64	0	268	0.0	158	4	778	0.005141388174807198
CUFF_NC.13	1	77837	78333	+	26	2	307	0.006514657980456026	12	0	76	0.0	95	0	605	0.0
CUFF_NC.6	1	86737	87289	+	83	0	239	0.0	35	0	116	0.0	98	2	323	0.006191950464396285
CUFF_NC.18	1	89402	91722	-	64	19	369	0.051490514905149054	132	2	923	0.0021668472372697724	551	16	3065	0.0052202283849918435
CUFF_NC.19	1	95040	96380	-	68	90	411	0.21897810218978103	74	3	550	0.005454545454545455	266	9	1809	0.004975124378109453
CUFF_NC.11	1	100800	101866	-	41	2	261	0.007662835249042145	49	5	463	0.01079913606911447	246	7	1362	0.005139500734214391
CUFF_NC.7	1	104712	105333	+	47	0	170	0.0	42	1	152	0.006578947368421052	94	2	283	0.007067137809187279
CUFF_NC.15	1	116797	118774	-	247	2	855	0.0023391812865497076	138	2	486	0.00411522633744856	338	6	1308	0.0045871559633027525
CUFF_NC.14	1	119083	119969	-	42	0	406	0.0	26	3	231	0.012987012987012988	216	2	1559	0.0012828736369467607
CUFF_NC.20	1	121456	123494	+	96	567	752	0.7539893617021277	158	6	1223	0.004905968928863451	439	13	2838	0.0045806906272022555
CUFF_NC.21	1	133006	133474	+	20	1	109	0.009174311926605505	20	1	142	0.007042253521126761	91	2	349	0.0057306590257879654
CUFF_NC.16	1	141174	141695	+	14	0	64	0.0	11	0	51	0.0	116	2	530	0.0037735849056603774
CUFF_NC.17	1	154589	156159	+	144	4	975	0.0041025641025641026	67	0	379	0.0	279	5	1434	0.003486750348675035
CUFF_NC.22	1	163277	166353	+	148	444	948	0.46835443037974683	181	5	1085	0.004608294930875576	746	22	3972	0.0055387713997985906
CUFF_NC.25	1	180261	180962	+	43	2	480	0.004166666666666667	19	1	253	0.003952569169960474	143	2	1174	0.0017035775127768314
CUFF_NC.26	1	182345	182786	+	21	0	147	0.0	7	0	57	0.0	44	1	251	0.00398406374501992
CUFF_NC.28	1	192588	193200	+	13	2	76	0.02631578947368421	28	0	137	0.0	150	3	773	0.0038809831824062097
CUFF_NC.23	1	196107	196598	-	63	1	292	0.003424657534246575	36	0	163	0.0	72	0	321	0.0
CUFF_NC.24	1	197887	198512	-	40	3	274	0.010948905109489052	28	1	140	0.007142857142857143	154	1	785	0.0012738853503184713
CUFF_NC.27	1	210058	210613	-	32	0	234	0.0	28	1	221	0.004524886877828055	108	4	743	0.005383580080753701
CUFF_NC.29	1	219083	221145	-	211	3	724	0.004143646408839779	125	1	458	0.002183406113537118	368	7	1590	0.00440251572327044
CUFF_NC.30	1	226848	227453	+	37	0	188	0.0	33	0	148	0.0	144	6	632	0.00949367088607595
CUFF_NC.34	1	233075	237654	+	156	659	1153	0.5715524718126627	291	21	2167	0.009690816797415782	1054	38	7157	0.005309487215313679
CUFF_NC.31	1	238416	239453	+	65	547	632	0.865506329113924	48	385	526	0.7319391634980988	284	753	2726	0.27622890682318413
CUFF_NC.32	1	254830	257455	+	119	183	1000	0.183	81	110	778	0.14138817480719795	442	221	3245	0.06810477657935285
CUFF_NC.58	1	283807	284180	-	33	0	107	0.0	19	0	70	0.0	76	0	234	0.0
CUFF_NC.33	1	294207	295108	-	45	0	207	0.0	46	0	304	0.0	228	4	1163	0.0034393809114359416
CUFF_NC.36	1	301346	301758	+	9	0	73	0.0	15	0	109	0.0	71	3	573	0.005235602094240838
CUFF_NC.35	1	308731	309427	+	43	0	281	0.0	30	1	197	0.005076142131979695	133	3	679	0.004418262150220913
CUFF_NC.44	1	319180	319521	-	7	48	111	0.43243243243243246	16	1	169	0.005917159763313609	40	3	403	0.007444168734491315
CUFF_NC.37	1	341814	342849	+	41	2	216	0.009259259259259259	26	0	132	0.0	172	1	719	0.0013908205841446453
CUFF_NC.43	1	347638	348472	-	27	1	119	0.008403361344537815	34	1	139	0.007194244604316547	144	6	759	0.007905138339920948
CUFF_NC.42	1	355746	356392	+	33	2	263	0.0076045627376425855	31	3	204	0.014705882352941176	128	7	530	0.013207547169811321
CUFF_NC.39	1	358665	360498	+	116	71	572	0.12412587412587413	122	2	675	0.002962962962962963	439	8	1842	0.004343105320304018
CUFF_NC.38	1	365198	366851	-	93	0	464	0.0	73	0	349	0.0	201	7	1143	0.006124234470691163
CUFF_NC.41	1	370226	371382	+	79	0	359	0.0	44	0	215	0.0	225	5	1078	0.00463821892393321
CUFF_NC.40	1	371997	372411	+	32	2	198	0.010101010101010102	16	1	99	0.010101010101010102	72	0	425	0.0
CUFF_NC.57	1	392706	395717	-	197	60	897	0.06688963210702341	211	6	1026	0.005847953216374269	607	14	2654	0.0052750565184626974
CUFF_NC.54	1	409235	410549	-	77	1	439	0.002277904328018223	97	1	548	0.0018248175182481751	338	7	1641	0.0042656916514320535
CUFF_NC.53	1	413681	414878	+	51	6	160	0.0375	76	1	264	0.003787878787878788	230	3	748	0.004010695187165776
CUFF_NC.46	1	417273	417814	-	14	0	43	0.0	25	0	119	0.0	82	1	345	0.002898550724637681
CUFF_NC.49	1	421746	425334	-	107	219	708	0.3093220338983051	87	34	494	0.06882591093117409	519	150	2860	0.05244755244755245
CUFF_NC.48	1	424665	425164	+	36	2	302	0.006622516556291391	37	2	271	0.007380073800738007	123	6	892	0.006726457399103139
CUFF_NC.45	1	425557	426435	+	28	28	158	0.17721518987341772	29	23	167	0.1377245508982036	142	36	972	0.037037037037037035
CUFF_NC.47	1	435444	435889	+	8	1	63	0.015873015873015872	35	0	230	0.0	80	2	589	0.003395585738539898
CUFF_NC.50	1	442462	442900	+	22	0	167	0.0	22	1	200	0.005	116	2	818	0.0024449877750611247
CUFF_NC.52	1	446824	448464	+	61	280	493	0.5679513184584178	71	102	500	0.204	298	132	1962	0.0672782874617737
CUFF_NC.51	1	463998	464582	+	71	0	238	0.0	41	0	138	0.0	136	2	485	0.004123711340206186
CUFF_NC.55	1	482013	483177	-	78	1	411	0.0024330900243309003	49	0	275	0.0	229	3	1224	0.0024509803921568627
CUFF_NC.59	1	512866	513261	+	25	181	231	0.7835497835497836	13	56	118	0.4745762711864407	78	147	484	0.3037190082644628
CUFF_NC.60	1	514888	515295	+	25	1	248	0.004032258064516129	23	1	168	0.005952380952380952	95	3	475	0.00631578947368421
CUFF_NC.70	1	523944	530099	-	333	370	2001	0.18490754622688654	331	6	1921	0.0031233732431025507	1095	15	5580	0.002688172043010753
CUFF_NC.71	1	525592	531975	-	331	503	2095	0.24009546539379475	351	7	2186	0.003202195791399817	1136	20	5771	0.0034656038814763475
CUFF_NC.72	1	528007	534109	-	322	729	1947	0.37442218798151	348	13	2097	0.00619933237958989	1154	16	5912	0.0027063599458728013
CUFF_NC.62	1	538375	544045	-	181	307	1589	0.19320327249842667	230	60	1934	0.031023784901758014	1021	451	6330	0.07124802527646129
CUFF_NC.64	1	547818	551699	-	95	0	488	0.0	60	0	298	0.0	304	8	1528	0.005235602094240838
CUFF_NC.68	1	556826	558761	-	97	2	382	0.005235602094240838	99	3	350	0.008571428571428572	406	4	1440	0.002777777777777778
CUFF_NC.61	1	559734	560251	+	10	0	75	0.0	12	0	102	0.0	110	3	637	0.004709576138147566
CUFF_NC.66	1	564136	564745	-	37	0	123	0.0	32	0	106	0.0	94	3	388	0.007731958762886598
CUFF_NC.67	1	565230	565784	-	48	0	163	0.0	29	0	95	0.0	114	0	409	0.0
CUFF_NC.63	1	568739	570386	-	172	3	863	0.0034762456546929316	94	4	458	0.008733624454148471	277	5	1275	0.00392156862745098
CUFF_NC.73	1	588007	589390	-	130	1	590	0.001694915254237288	85	5	443	0.011286681715575621	317	26	1618	0.016069221260815822
CUFF_NC.76	1	591664	593419	-	92	3	692	0.004335260115606936	70	0	477	0.0	263	9	1238	0.007269789983844911
CUFF_NC.74	1	594729	596073	+	56	15	379	0.0395778364116095	96	1	526	0.0019011406844106464	308	4	1529	0.002616088947024199
CUFF_NC.75	1	597522	598135	+	27	2	246	0.008130081300813009	27	1	242	0.004132231404958678	71	4	619	0.006462035541195477
CUFF_NC.77	1	599765	600204	+	18	0	96	0.0	34	0	201	0.0	113	0	558	0.0
