gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	18	6	134	0.04477611940298507	20	0	111	0.0	158	3	757	0.003963011889035667
CUFF_NC.4	1	33820	36039	+	79	85	484	0.1756198347107438	162	4	1137	0.003518029903254178	509	16	2780	0.0057553956834532375
CUFF_NC.2	1	45074	46980	+	105	5	957	0.00522466039707419	92	2	714	0.0028011204481792717	363	2	2369	0.0008442380751371887
CUFF_NC.3	1	51977	52743	-	64	1	200	0.005	48	0	152	0.0	123	0	353	0.0
CUFF_NC.9	1	63146	64476	+	46	1	561	0.0017825311942959	47	2	580	0.0034482758620689655	195	5	1618	0.0030902348578491965
CUFF_NC.10	1	67285	67782	+	62	0	424	0.0	24	1	190	0.005263157894736842	70	2	447	0.0044742729306487695
CUFF_NC.5	1	69606	71157	+	62	54	384	0.140625	43	0	280	0.0	232	3	1278	0.002347417840375587
CUFF_NC.8	1	73084	73716	-	18	0	52	0.0	56	2	177	0.011299435028248588	144	0	359	0.0
CUFF_NC.12	1	75366	76624	-	152	2	558	0.0035842293906810036	75	0	267	0.0	188	2	672	0.002976190476190476
CUFF_NC.13	1	77837	78333	+	28	1	259	0.003861003861003861	11	0	40	0.0	76	4	417	0.009592326139088728
CUFF_NC.6	1	86737	87289	+	93	0	319	0.0	40	1	141	0.0070921985815602835	108	2	356	0.0056179775280898875
CUFF_NC.18	1	89402	91722	-	56	0	239	0.0	114	2	689	0.002902757619738752	419	8	2024	0.003952569169960474
CUFF_NC.19	1	95040	96380	-	62	62	369	0.16802168021680217	72	1	431	0.002320185614849188	246	1	1482	0.0006747638326585695
CUFF_NC.11	1	100800	101866	-	35	25	242	0.10330578512396695	45	0	523	0.0	221	0	1329	0.0
CUFF_NC.7	1	104712	105333	+	63	2	198	0.010101010101010102	54	0	164	0.0	117	0	338	0.0
CUFF_NC.15	1	116797	118774	-	258	3	1234	0.0024311183144246355	136	0	547	0.0	318	6	1215	0.0049382716049382715
CUFF_NC.14	1	119083	119969	-	37	1	273	0.003663003663003663	23	0	155	0.0	179	5	1066	0.004690431519699813
CUFF_NC.20	1	121456	123494	+	89	320	622	0.5144694533762058	143	3	1030	0.002912621359223301	373	7	2203	0.0031774852473899226
CUFF_NC.21	1	133006	133474	+	11	8	66	0.12121212121212122	19	1	93	0.010752688172043012	57	16	246	0.06504065040650407
CUFF_NC.16	1	141174	141695	+	11	0	39	0.0	9	0	31	0.0	81	0	265	0.0
CUFF_NC.17	1	154589	156159	+	172	1	1141	0.0008764241893076249	78	0	421	0.0	306	6	1572	0.003816793893129771
CUFF_NC.22	1	163277	166353	+	134	157	662	0.23716012084592145	155	4	757	0.005284015852047556	619	7	2526	0.0027711797307996833
CUFF_NC.25	1	180261	180962	+	48	0	603	0.0	21	1	315	0.0031746031746031746	149	9	1166	0.007718696397941681
CUFF_NC.26	1	182345	182786	+	28	0	214	0.0	9	0	47	0.0	72	0	289	0.0
CUFF_NC.28	1	192588	193200	+	10	0	35	0.0	27	0	100	0.0	131	0	397	0.0
CUFF_NC.23	1	196107	196598	-	57	0	229	0.0	32	0	116	0.0	43	0	138	0.0
CUFF_NC.24	1	197887	198512	-	40	0	210	0.0	29	0	111	0.0	132	3	578	0.005190311418685121
CUFF_NC.27	1	210058	210613	-	33	1	165	0.006060606060606061	26	1	196	0.00510204081632653	97	1	539	0.0018552875695732839
CUFF_NC.29	1	219083	221145	-	233	1	821	0.001218026796589525	138	0	455	0.0	400	4	1438	0.0027816411682892906
CUFF_NC.30	1	226848	227453	+	34	0	123	0.0	39	0	114	0.0	141	2	478	0.0041841004184100415
CUFF_NC.34	1	233075	237654	+	157	371	767	0.48370273794002605	265	4	1289	0.0031031807602792862	989	18	4456	0.004039497307001795
CUFF_NC.31	1	238416	239453	+	70	1037	1128	0.9193262411347518	53	720	883	0.8154020385050963	304	1446	4332	0.3337950138504155
CUFF_NC.32	1	254830	257455	+	122	176	775	0.2270967741935484	80	59	577	0.1022530329289428	412	246	2513	0.09789096697174691
CUFF_NC.58	1	283807	284180	-	30	0	110	0.0	15	0	57	0.0	67	2	216	0.009259259259259259
CUFF_NC.33	1	294207	295108	-	43	1	162	0.006172839506172839	41	1	223	0.004484304932735426	192	0	780	0.0
CUFF_NC.36	1	301346	301758	+	8	0	50	0.0	15	0	75	0.0	62	6	373	0.0160857908847185
CUFF_NC.35	1	308731	309427	+	48	0	261	0.0	32	0	212	0.0	141	3	705	0.00425531914893617
CUFF_NC.44	1	319180	319521	-	7	0	104	0.0	16	0	145	0.0	44	0	380	0.0
CUFF_NC.37	1	341814	342849	+	41	0	155	0.0	29	0	103	0.0	166	3	546	0.005494505494505495
CUFF_NC.43	1	347638	348472	-	20	0	115	0.0	30	0	102	0.0	140	2	695	0.0028776978417266188
CUFF_NC.42	1	355746	356392	+	39	1	268	0.0037313432835820895	30	2	192	0.010416666666666666	137	4	487	0.008213552361396304
CUFF_NC.39	1	358665	360498	+	114	228	547	0.41681901279707495	129	1	668	0.0014970059880239522	424	8	1728	0.004629629629629629
