gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	22	6	197	0.030456852791878174	24	1	194	0.005154639175257732	196	3	1423	0.0021082220660576245
CUFF_NC.4	1	33820	36039	+	80	222	723	0.3070539419087137	164	3	1461	0.002053388090349076	554	16	4389	0.003645477329687856
CUFF_NC.2	1	45074	46980	+	105	4	1029	0.003887269193391642	100	3	868	0.0034562211981566822	427	18	3189	0.005644402634054563
CUFF_NC.3	1	51977	52743	-	69	0	312	0.0	60	1	283	0.0035335689045936395	176	0	821	0.0
CUFF_NC.9	1	63146	64476	+	61	0	584	0.0	68	2	653	0.0030627871362940277	329	7	2611	0.002680965147453083
CUFF_NC.10	1	67285	67782	+	81	0	450	0.0	31	0	196	0.0	122	0	570	0.0
CUFF_NC.5	1	69606	71157	+	78	97	692	0.14017341040462428	53	14	472	0.029661016949152543	367	29	2707	0.010712966383450314
CUFF_NC.8	1	73084	73716	-	18	1	88	0.011363636363636364	58	1	328	0.003048780487804878	170	3	794	0.003778337531486146
CUFF_NC.12	1	75366	76624	-	182	1	1024	0.0009765625	101	1	506	0.001976284584980237	267	3	1447	0.002073255010366275
CUFF_NC.13	1	77837	78333	+	30	1	355	0.0028169014084507044	15	0	102	0.0	108	4	819	0.004884004884004884
CUFF_NC.6	1	86737	87289	+	94	3	307	0.009771986970684038	42	1	151	0.006622516556291391	111	1	371	0.0026954177897574125
CUFF_NC.18	1	89402	91722	-	68	0	442	0.0	141	3	1125	0.0026666666666666666	574	5	3782	0.0013220518244315177
CUFF_NC.19	1	95040	96380	-	73	148	593	0.24957841483979765	88	4	738	0.005420054200542005	363	7	2571	0.0027226760015558148
CUFF_NC.11	1	100800	101866	-	41	0	310	0.0	51	5	469	0.010660980810234541	265	5	1579	0.0031665611146295125
CUFF_NC.7	1	104712	105333	+	78	1	239	0.0041841004184100415	70	0	226	0.0	172	1	512	0.001953125
CUFF_NC.15	1	116797	118774	-	263	2	1210	0.001652892561983471	143	3	577	0.005199306759098787	383	7	1565	0.0044728434504792336
CUFF_NC.14	1	119083	119969	-	39	0	414	0.0	24	1	246	0.0040650406504065045	216	4	1616	0.0024752475247524753
CUFF_NC.20	1	121456	123494	+	113	573	859	0.6670547147846333	179	8	1385	0.005776173285198556	519	9	3310	0.002719033232628399
CUFF_NC.21	1	133006	133474	+	20	0	93	0.0	23	0	134	0.0	120	0	446	0.0
CUFF_NC.16	1	141174	141695	+	15	0	110	0.0	11	0	72	0.0	148	2	748	0.00267379679144385
CUFF_NC.17	1	154589	156159	+	156	2	1036	0.0019305019305019305	71	0	395	0.0	300	6	1653	0.003629764065335753
CUFF_NC.22	1	163277	166353	+	152	373	895	0.41675977653631285	188	6	1070	0.005607476635514018	820	16	4191	0.00381770460510618
CUFF_NC.25	1	180261	180962	+	45	0	480	0.0	21	0	215	0.0	139	2	1287	0.001554001554001554
CUFF_NC.26	1	182345	182786	+	33	1	189	0.005291005291005291	12	0	94	0.0	90	3	427	0.00702576112412178
CUFF_NC.28	1	192588	193200	+	15	1	93	0.010752688172043012	37	1	206	0.0048543689320388345	161	2	934	0.0021413276231263384
