gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	21	44	131	0.33587786259541985	22	0	92	0.0	165	5	781	0.006402048655569782
CUFF_NC.4	1	33820	36039	+	75	127	636	0.19968553459119498	161	5	1426	0.0035063113604488078	453	6	3398	0.0017657445556209534
CUFF_NC.2	1	45074	46980	+	97	7	912	0.007675438596491228	91	0	756	0.0	363	17	2918	0.005825908156271419
CUFF_NC.3	1	51977	52743	-	63	1	313	0.003194888178913738	42	2	203	0.009852216748768473	103	3	365	0.00821917808219178
CUFF_NC.9	1	63146	64476	+	51	2	440	0.004545454545454545	47	1	420	0.002380952380952381	199	6	1430	0.004195804195804196
CUFF_NC.10	1	67285	67782	+	51	5	478	0.010460251046025104	19	1	207	0.004830917874396135	66	0	535	0.0
CUFF_NC.5	1	69606	71157	+	64	63	487	0.1293634496919918	44	5	277	0.018050541516245487	255	7	1338	0.00523168908819133
CUFF_NC.8	1	73084	73716	-	17	1	86	0.011627906976744186	56	0	282	0.0	139	1	587	0.0017035775127768314
CUFF_NC.12	1	75366	76624	-	167	5	1663	0.003006614552014432	83	2	757	0.002642007926023778	187	6	1500	0.004
CUFF_NC.13	1	77837	78333	+	16	0	137	0.0	6	1	23	0.043478260869565216	48	0	200	0.0
CUFF_NC.6	1	86737	87289	+	89	4	898	0.004454342984409799	34	4	328	0.012195121951219513	102	2	864	0.0023148148148148147
CUFF_NC.18	1	89402	91722	-	49	2	281	0.0071174377224199285	119	1	849	0.001177856301531213	403	16	2569	0.006228104320747372
CUFF_NC.19	1	95040	96380	-	60	144	535	0.2691588785046729	73	3	645	0.004651162790697674	251	9	1834	0.004907306434023991
CUFF_NC.11	1	100800	101866	-	37	1	264	0.003787878787878788	44	2	401	0.004987531172069825	200	4	1183	0.0033812341504649195
CUFF_NC.7	1	104712	105333	+	76	4	612	0.006535947712418301	66	4	499	0.008016032064128256	142	9	919	0.009793253536452665
CUFF_NC.15	1	116797	118774	-	257	8	2963	0.0026999662504218697	134	8	1492	0.005361930294906166	306	16	2900	0.005517241379310344
CUFF_NC.14	1	119083	119969	-	36	2	212	0.009433962264150943	21	0	118	0.0	161	5	662	0.0075528700906344415
CUFF_NC.20	1	121456	123494	+	100	772	1006	0.7673956262425448	155	9	1515	0.005940594059405941	393	22	3505	0.006276747503566334
CUFF_NC.21	1	133006	133474	+	12	1	93	0.010752688172043012	15	3	110	0.02727272727272727	63	2	275	0.007272727272727273
CUFF_NC.16	1	141174	141695	+	8	0	33	0.0	4	0	21	0.0	54	1	175	0.005714285714285714
