gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	14	2	109	0.01834862385321101	19	1	136	0.007352941176470588	149	6	896	0.006696428571428571
CUFF_NC.4	1	33820	36039	+	81	122	593	0.2057335581787521	162	5	1391	0.0035945363048166786	489	10	3283	0.003045994517209869
CUFF_NC.2	1	45074	46980	+	104	2	953	0.002098635886673662	93	1	806	0.0012406947890818859	408	10	2927	0.0034164673727365906
CUFF_NC.3	1	51977	52743	-	51	1	236	0.00423728813559322	46	1	239	0.0041841004184100415	142	2	646	0.0030959752321981426
CUFF_NC.9	1	63146	64476	+	48	1	544	0.001838235294117647	48	1	620	0.0016129032258064516	215	5	1996	0.00250501002004008
CUFF_NC.10	1	67285	67782	+	70	0	414	0.0	29	0	221	0.0	96	0	514	0.0
CUFF_NC.5	1	69606	71157	+	51	82	338	0.24260355029585798	37	25	257	0.09727626459143969	251	49	1365	0.035897435897435895
CUFF_NC.8	1	73084	73716	-	12	0	65	0.0	45	0	215	0.0	140	1	538	0.0018587360594795538
CUFF_NC.12	1	75366	76624	-	137	3	666	0.0045045045045045045	65	0	304	0.0	171	1	775	0.0012903225806451613
CUFF_NC.13	1	77837	78333	+	26	1	354	0.002824858757062147	11	0	84	0.0	97	4	716	0.00558659217877095
CUFF_NC.6	1	86737	87289	+	68	0	175	0.0	25	0	59	0.0	70	0	208	0.0
CUFF_NC.18	1	89402	91722	-	56	2	262	0.007633587786259542	115	2	767	0.002607561929595828	480	5	2502	0.0019984012789768186
CUFF_NC.19	1	95040	96380	-	68	75	464	0.16163793103448276	73	2	511	0.003913894324853229	243	5	1405	0.0035587188612099642
CUFF_NC.11	1	100800	101866	-	36	0	251	0.0	44	3	431	0.0069605568445475635	216	10	1343	0.007446016381236039
CUFF_NC.7	1	104712	105333	+	53	0	169	0.0	46	0	147	0.0	94	1	279	0.0035842293906810036
CUFF_NC.15	1	116797	118774	-	214	1	653	0.0015313935681470138	111	1	289	0.0034602076124567475	309	6	1065	0.005633802816901409
CUFF_NC.14	1	119083	119969	-	38	1	348	0.0028735632183908046	22	2	188	0.010638297872340425	178	8	1278	0.006259780907668232
CUFF_NC.20	1	121456	123494	+	103	566	661	0.8562783661119516	166	4	1057	0.003784295175023652	438	8	2258	0.00354295837023915
CUFF_NC.21	1	133006	133474	+	12	0	68	0.0	14	0	85	0.0	54	1	225	0.0044444444444444444
CUFF_NC.16	1	141174	141695	+	17	0	73	0.0	11	0	51	0.0	141	2	509	0.003929273084479371
CUFF_NC.17	1	154589	156159	+	137	3	816	0.003676470588235294	59	0	295	0.0	235	4	1098	0.0036429872495446266
CUFF_NC.22	1	163277	166353	+	134	300	787	0.3811944091486658	159	3	853	0.0035169988276670576	654	17	3037	0.005597629239380968
CUFF_NC.25	1	180261	180962	+	40	1	584	0.0017123287671232876	19	0	299	0.0	108	4	1264	0.0031645569620253164
CUFF_NC.26	1	182345	182786	+	25	1	188	0.005319148936170213	10	0	65	0.0	68	0	337	0.0
CUFF_NC.28	1	192588	193200	+	14	2	100	0.02	29	1	194	0.005154639175257732	161	2	939	0.002129925452609159
CUFF_NC.23	1	196107	196598	-	58	1	422	0.002369668246445498	33	1	214	0.004672897196261682	60	2	319	0.006269592476489028
CUFF_NC.24	1	197887	198512	-	38	18	231	0.07792207792207792	26	1	169	0.005917159763313609	148	3	745	0.004026845637583893
CUFF_NC.27	1	210058	210613	-	37	2	252	0.007936507936507936	31	1	240	0.004166666666666667	117	3	753	0.00398406374501992
CUFF_NC.29	1	219083	221145	-	213	3	811	0.0036991368680641184	135	2	507	0.0039447731755424065	417	9	1655	0.005438066465256798
CUFF_NC.30	1	226848	227453	+	27	1	98	0.01020408163265306	32	1	118	0.00847457627118644	121	2	356	0.0056179775280898875
CUFF_NC.34	1	233075	237654	+	159	555	1277	0.4346123727486296	293	9	2495	0.0036072144288577155	1117	30	8551	0.003508361595135072
CUFF_NC.31	1	238416	239453	+	74	799	906	0.8818984547461368	58	498	733	0.679399727148704	302	506	3268	0.15483476132190943
CUFF_NC.32	1	254830	257455	+	118	227	953	0.23819517313746066	85	110	694	0.1585014409221902	458	242	3125	0.07744
CUFF_NC.58	1	283807	284180	-	28	1	103	0.009708737864077669	16	0	59	0.0	67	0	213	0.0
CUFF_NC.33	1	294207	295108	-	36	1	182	0.005494505494505495	41	2	248	0.008064516129032258	182	2	1053	0.001899335232668566
CUFF_NC.36	1	301346	301758	+	10	0	89	0.0	17	2	157	0.012738853503184714	89	0	686	0.0
CUFF_NC.35	1	308731	309427	+	49	1	257	0.0038910505836575876	35	1	193	0.0051813471502590676	154	1	699	0.001430615164520744
CUFF_NC.44	1	319180	319521	-	8	1	89	0.011235955056179775	20	0	100	0.0	57	3	319	0.009404388714733543
CUFF_NC.37	1	341814	342849	+	42	2	270	0.007407407407407408	30	1	155	0.0064516129032258064	196	8	1081	0.0074005550416281225
CUFF_NC.43	1	347638	348472	-	27	0	177	0.0	38	0	169	0.0	180	6	982	0.006109979633401222
CUFF_NC.42	1	355746	356392	+	42	0	349	0.0	33	0	222	0.0	134	7	753	0.009296148738379814
CUFF_NC.39	1	358665	360498	+	123	148	699	0.2117310443490701	136	3	856	0.0035046728971962616	516	11	2484	0.004428341384863124
CUFF_NC.38	1	365198	366851	-	93	1	531	0.0018832391713747645	82	2	482	0.004149377593360996	194	5	1278	0.003912363067292645
CUFF_NC.41	1	370226	371382	+	91	0	362	0.0	61	0	232	0.0	264	5	1073	0.004659832246039142
CUFF_NC.40	1	371997	372411	+	29	1	223	0.004484304932735426	23	1	202	0.0049504950495049506	107	83	875	0.09485714285714286
CUFF_NC.57	1	392706	395717	-	203	61	996	0.06124497991967871	224	1	1136	0.0008802816901408451	681	12	3192	0.0037593984962406013
CUFF_NC.54	1	409235	410549	-	82	1	463	0.0021598272138228943	97	0	646	0.0	328	8	1807	0.004427227448810182
CUFF_NC.53	1	413681	414878	+	52	0	287	0.0	81	0	409	0.0	210	5	1051	0.004757373929590866
CUFF_NC.46	1	417273	417814	-	12	0	40	0.0	23	0	138	0.0	112	1	367	0.0027247956403269754
CUFF_NC.49	1	421746	425334	-	139	329	887	0.370913190529876	101	47	560	0.08392857142857142	670	208	3486	0.05966724039013196
CUFF_NC.48	1	424665	425164	+	37	0	316	0.0	36	0	271	0.0	117	6	1004	0.00597609561752988
CUFF_NC.45	1	425557	426435	+	30	1	150	0.006666666666666667	28	1	178	0.0056179775280898875	139	4	672	0.005952380952380952
CUFF_NC.47	1	435444	435889	+	12	1	54	0.018518518518518517	35	0	203	0.0	90	1	527	0.0018975332068311196
CUFF_NC.50	1	442462	442900	+	19	0	132	0.0	20	0	142	0.0	97	1	591	0.001692047377326565
CUFF_NC.52	1	446824	448464	+	52	0	302	0.0	77	1	397	0.0025188916876574307	290	4	1204	0.0033222591362126247
CUFF_NC.51	1	463998	464582	+	66	0	215	0.0	37	0	110	0.0	123	2	371	0.005390835579514825
CUFF_NC.55	1	482013	483177	-	73	0	479	0.0	45	3	278	0.01079136690647482	215	5	1355	0.0036900369003690036
CUFF_NC.59	1	512866	513261	+	27	190	268	0.7089552238805971	17	78	152	0.5131578947368421	89	286	676	0.4230769230769231
CUFF_NC.60	1	514888	515295	+	16	1	160	0.00625	16	0	132	0.0	57	2	357	0.0056022408963585435
CUFF_NC.70	1	523944	530099	-	350	322	1830	0.17595628415300546	330	7	1804	0.003880266075388027	1148	19	5321	0.0035707573764330014
CUFF_NC.71	1	525592	531975	-	336	295	1673	0.1763299462044232	332	6	1771	0.0033879164313946925	1083	14	4766	0.0029374737725556023
CUFF_NC.72	1	528007	534109	-	292	64	1437	0.04453723034098817	297	3	1511	0.001985440105890139	988	18	4401	0.00408997955010225
CUFF_NC.62	1	538375	544045	-	161	78	1576	0.04949238578680203	226	12	2078	0.005774783445620789	934	33	6053	0.005451842061787543
CUFF_NC.64	1	547818	551699	-	105	4	715	0.005594405594405594	66	0	318	0.0	339	10	1813	0.005515719801434087
CUFF_NC.65	1	550120	550546	-	2	2	2	1.0	1	0	1	0.0	12	1	12	0.08333333333333333
CUFF_NC.68	1	556826	558761	-	92	1	342	0.0029239766081871343	83	0	328	0.0	368	3	1352	0.0022189349112426036
CUFF_NC.61	1	559734	560251	+	9	0	43	0.0	15	0	72	0.0	91	1	373	0.002680965147453083
CUFF_NC.66	1	564136	564745	-	38	0	144	0.0	33	1	134	0.007462686567164179	93	3	382	0.007853403141361256
CUFF_NC.67	1	565230	565784	-	55	1	185	0.005405405405405406	31	0	117	0.0	126	4	429	0.009324009324009324
CUFF_NC.63	1	568739	570386	-	132	0	812	0.0	76	1	442	0.0022624434389140274	221	5	1153	0.004336513443191674
CUFF_NC.73	1	588007	589390	-	116	0	545	0.0	79	2	374	0.0053475935828877	289	4	1447	0.0027643400138217
CUFF_NC.76	1	591664	593419	-	110	2	899	0.002224694104560623	82	2	628	0.0031847133757961785	331	7	1724	0.004060324825986079
CUFF_NC.74	1	594729	596073	+	56	3	313	0.009584664536741214	98	3	518	0.005791505791505791	296	10	1349	0.007412898443291327
CUFF_NC.75	1	597522	598135	+	28	3	221	0.013574660633484163	31	1	208	0.004807692307692308	70	2	482	0.004149377593360996
CUFF_NC.77	1	599765	600204	+	20	62	132	0.4696969696969697	32	5	229	0.021834061135371178	105	4	671	0.005961251862891207
CUFF_NC.78	1	610701	611509	+	63	1	245	0.004081632653061225	40	3	135	0.022222222222222223	196	2	783	0.002554278416347382
CUFF_NC.79	1	617987	619403	-	126	4	774	0.00516795865633075	68	0	428	0.0	154	0	972	0.0
CUFF_NC.80	1	622046	622369	-	19	1	110	0.00909090909090909	15	0	101	0.0	62	1	403	0.0024813895781637717
CUFF_NC.83	1	632744	633122	-	10	0	48	0.0	19	0	94	0.0	62	1	332	0.0030120481927710845
CUFF_NC.90	1	640236	640825	-	24	110	114	0.9649122807017544	5	12	42	0.2857142857142857	91	65	318	0.20440251572327045
CUFF_NC.89	1	641448	642563	+	64	1	489	0.002044989775051125	47	0	289	0.0	212	9	1400	0.0064285714285714285
CUFF_NC.81	1	653973	654416	+	31	0	114	0.0	23	0	71	0.0	94	1	223	0.004484304932735426
CUFF_NC.84	1	658696	661410	+	122	2	645	0.0031007751937984496	108	2	623	0.0032102728731942215	651	17	3280	0.005182926829268293
CUFF_NC.85	1	659555	662333	+	134	3	689	0.0043541364296081275	96	2	540	0.003703703703703704	632	16	3114	0.005138086062941554
CUFF_NC.82	1	663236	663656	+	17	0	43	0.0	18	0	55	0.0	95	3	315	0.009523809523809525
CUFF_NC.86	1	665248	666402	+	49	3	232	0.01293103448275862	26	0	98	0.0	224	4	798	0.005012531328320802
CUFF_NC.87	1	675516	676334	-	35	9	118	0.07627118644067797	41	1	139	0.007194244604316547	203	1	680	0.0014705882352941176
CUFF_NC.88	1	693076	693540	-	9	0	53	0.0	14	2	59	0.03389830508474576	55	3	179	0.01675977653631285
CUFF_NC.91	1	705921	706616	+	40	0	215	0.0	36	1	162	0.006172839506172839	121	3	491	0.006109979633401222
CUFF_NC.93	1	731716	732702	+	38	63	503	0.12524850894632206	39	4	669	0.005979073243647235	121	4	1299	0.003079291762894534
CUFF_NC.94	1	742835	743218	-	18	90	141	0.6382978723404256	16	0	137	0.0	101	3	768	0.00390625
CUFF_NC.92	1	769606	770629	-	57	1	465	0.002150537634408602	46	2	364	0.005494505494505495	211	4	1348	0.002967359050445104
CUFF_NC.96	1	792040	792527	+	8	39	52	0.75	6	10	37	0.2702702702702703	40	20	307	0.06514657980456026
CUFF_NC.97	1	792753	793059	+	18	11	140	0.07857142857142857	15	2	112	0.017857142857142856	50	1	289	0.0034602076124567475
CUFF_NC.95	1	813492	814238	-	34	2	200	0.01	34	1	174	0.005747126436781609	159	6	819	0.007326007326007326
CUFF_NC.99	1	820959	821299	-	9	1	53	0.018867924528301886	19	0	103	0.0	93	2	467	0.004282655246252677
CUFF_NC.98	1	822863	823948	+	33	11	283	0.038869257950530034	61	4	576	0.006944444444444444	120	7	909	0.007700770077007701
CUFF_NC.102	1	827723	828094	-	11	11	28	0.39285714285714285	18	0	48	0.0	84	0	227	0.0
CUFF_NC.103	1	842641	845302	+	104	1	382	0.002617801047120419	120	4	391	0.010230179028132993	499	11	1959	0.005615109749872384
CUFF_NC.104	1	843756	844262	+	22	0	39	0.0	16	0	35	0.0	68	1	184	0.005434782608695652
CUFF_NC.101	1	852139	854239	-	155	3	699	0.004291845493562232	123	3	538	0.0055762081784386614	263	1	1013	0.0009871668311944718
CUFF_NC.100	1	866098	866818	+	24	1	241	0.004149377593360996	33	0	338	0.0	123	4	849	0.004711425206124852
CUFF_NC.105	1	871636	872739	-	89	2	397	0.005037783375314861	71	0	336	0.0	271	7	969	0.007223942208462332
CUFF_NC.109	1	882129	882853	+	14	109	232	0.4698275862068966	32	0	394	0.0	90	2	717	0.002789400278940028
CUFF_NC.118	1	905255	905896	+	27	0	147	0.0	28	0	140	0.0	149	2	517	0.0038684719535783366
CUFF_NC.108	1	923855	924181	-	13	0	57	0.0	4	0	13	0.0	44	1	154	0.006493506493506494
CUFF_NC.107	1	930609	932087	+	83	3	535	0.005607476635514018	55	1	338	0.0029585798816568047	277	11	1355	0.008118081180811807
CUFF_NC.110	1	941685	942629	+	30	17	189	0.08994708994708994	50	1	458	0.002183406113537118	164	1	1011	0.0009891196834817012
CUFF_NC.117	1	948980	949396	+	11	0	70	0.0	28	1	183	0.00546448087431694	90	0	448	0.0
CUFF_NC.111	1	957115	958329	+	98	0	534	0.0	68	2	402	0.004975124378109453	242	5	1335	0.003745318352059925
CUFF_NC.112	1	959892	960676	+	29	2	317	0.006309148264984227	22	0	220	0.0	159	4	1636	0.0024449877750611247
CUFF_NC.113	1	967645	968734	+	122	0	553	0.0	67	1	255	0.00392156862745098	222	2	785	0.0025477707006369425
