gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	26	19	175	0.10857142857142857	27	0	171	0.0	223	9	1303	0.006907137375287797
CUFF_NC.4	1	33820	36039	+	86	88	572	0.15384615384615385	178	4	1199	0.003336113427856547	598	17	3724	0.004564983888292159
CUFF_NC.2	1	45074	46980	+	102	4	681	0.005873715124816446	97	1	635	0.0015748031496062992	430	10	2321	0.004308487720809996
CUFF_NC.3	1	51977	52743	-	51	0	268	0.0	42	1	188	0.005319148936170213	145	3	655	0.004580152671755725
CUFF_NC.9	1	63146	64476	+	61	1	422	0.002369668246445498	64	2	518	0.003861003861003861	351	10	1968	0.00508130081300813
CUFF_NC.10	1	67285	67782	+	69	2	336	0.005952380952380952	29	0	129	0.0	99	0	421	0.0
CUFF_NC.5	1	69606	71157	+	69	22	402	0.05472636815920398	52	1	334	0.0029940119760479044	361	6	2090	0.0028708133971291866
CUFF_NC.8	1	73084	73716	-	17	1	73	0.0136986301369863	54	0	229	0.0	162	1	617	0.0016207455429497568
CUFF_NC.12	1	75366	76624	-	179	2	651	0.0030721966205837174	96	2	313	0.006389776357827476	247	2	1178	0.001697792869269949
CUFF_NC.13	1	77837	78333	+	27	2	244	0.00819672131147541	12	0	76	0.0	96	6	664	0.009036144578313253
CUFF_NC.6	1	86737	87289	+	86	1	279	0.0035842293906810036	35	1	106	0.009433962264150943	98	2	398	0.005025125628140704
CUFF_NC.18	1	89402	91722	-	69	6	368	0.016304347826086956	142	4	963	0.004153686396677051	604	11	3364	0.0032699167657550534
CUFF_NC.19	1	95040	96380	-	74	55	456	0.1206140350877193	84	5	545	0.009174311926605505	346	6	1959	0.0030627871362940277
CUFF_NC.11	1	100800	101866	-	42	2	236	0.00847457627118644	53	3	423	0.0070921985815602835	245	9	1329	0.006772009029345372
CUFF_NC.7	1	104712	105333	+	70	1	223	0.004484304932735426	63	1	184	0.005434782608695652	157	0	406	0.0
CUFF_NC.15	1	116797	118774	-	266	5	1186	0.0042158516020236085	145	1	558	0.0017921146953405018	370	7	1609	0.00435052827843381
CUFF_NC.14	1	119083	119969	-	36	0	311	0.0	23	0	146	0.0	204	9	1397	0.006442376521116679
CUFF_NC.20	1	121456	123494	+	110	369	702	0.5256410256410257	177	5	1156	0.004325259515570935	508	12	2744	0.004373177842565598
CUFF_NC.21	1	133006	133474	+	20	27	74	0.36486486486486486	25	2	99	0.020202020202020204	139	3	434	0.0069124423963133645
CUFF_NC.16	1	141174	141695	+	15	0	88	0.0	10	0	75	0.0	131	3	718	0.004178272980501393
CUFF_NC.17	1	154589	156159	+	187	2	954	0.0020964360587002098	86	4	363	0.011019283746556474	368	7	1620	0.004320987654320987
CUFF_NC.22	1	163277	166353	+	150	130	648	0.2006172839506173	181	3	783	0.0038314176245210726	795	12	3181	0.003772398616787174
CUFF_NC.25	1	180261	180962	+	46	2	412	0.0048543689320388345	24	1	231	0.004329004329004329	162	5	1084	0.004612546125461255
CUFF_NC.26	1	182345	182786	+	17	1	190	0.005263157894736842	9	0	88	0.0	42	0	427	0.0
CUFF_NC.28	1	192588	193200	+	16	0	99	0.0	35	4	195	0.020512820512820513	178	6	1078	0.0055658627087198514
CUFF_NC.23	1	196107	196598	-	71	1	252	0.003968253968253968	42	0	140	0.0	97	0	313	0.0
CUFF_NC.24	1	197887	198512	-	42	0	252	0.0	30	0	141	0.0	167	7	797	0.00878293601003764
CUFF_NC.27	1	210058	210613	-	42	1	166	0.006024096385542169	35	1	198	0.005050505050505051	137	2	634	0.0031545741324921135
CUFF_NC.29	1	219083	221145	-	240	5	808	0.006188118811881188	150	2	518	0.003861003861003861	463	8	1744	0.0045871559633027525
