gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	14	22	136	0.16176470588235295	16	3	134	0.022388059701492536	133	2	988	0.0020242914979757085
CUFF_NC.4	1	33820	36039	+	64	99	551	0.17967332123411978	136	1	1196	0.0008361204013377926	395	11	2907	0.003783969728242174
CUFF_NC.2	1	45074	46980	+	96	4	866	0.004618937644341801	80	2	643	0.003110419906687403	318	11	2161	0.005090236001850995
CUFF_NC.3	1	51977	52743	-	32	0	124	0.0	33	0	140	0.0	87	1	272	0.003676470588235294
CUFF_NC.9	1	63146	64476	+	46	4	445	0.008988764044943821	44	0	522	0.0	176	4	1577	0.0025364616360177552
CUFF_NC.10	1	67285	67782	+	45	0	353	0.0	19	1	141	0.0070921985815602835	54	0	354	0.0
CUFF_NC.5	1	69606	71157	+	52	26	419	0.06205250596658711	32	1	244	0.004098360655737705	205	4	1253	0.0031923383878691143
CUFF_NC.8	1	73084	73716	-	14	0	29	0.0	47	0	99	0.0	125	0	261	0.0
CUFF_NC.12	1	75366	76624	-	135	3	651	0.004608294930875576	65	0	303	0.0	151	8	743	0.010767160161507403
CUFF_NC.13	1	77837	78333	+	23	0	244	0.0	9	0	43	0.0	76	1	468	0.002136752136752137
CUFF_NC.6	1	86737	87289	+	50	0	143	0.0	23	0	71	0.0	57	0	183	0.0
CUFF_NC.18	1	89402	91722	-	55	6	191	0.031413612565445025	107	11	702	0.01566951566951567	403	12	1995	0.006015037593984963
CUFF_NC.19	1	95040	96380	-	51	55	363	0.15151515151515152	61	1	476	0.0021008403361344537	205	7	1527	0.0045841519318926
CUFF_NC.11	1	100800	101866	-	32	37	241	0.15352697095435686	42	1	458	0.002183406113537118	175	4	1262	0.003169572107765452
CUFF_NC.7	1	104712	105333	+	61	1	110	0.00909090909090909	46	0	83	0.0	108	0	185	0.0
CUFF_NC.15	1	116797	118774	-	202	2	934	0.0021413276231263384	107	1	386	0.0025906735751295338	241	1	1012	0.0009881422924901185
CUFF_NC.14	1	119083	119969	-	35	0	355	0.0	23	0	205	0.0	171	3	1229	0.0024410089503661514
CUFF_NC.20	1	121456	123494	+	84	504	636	0.7924528301886793	137	2	993	0.002014098690835851	376	9	2123	0.004239284032030146
CUFF_NC.21	1	133006	133474	+	16	8	44	0.18181818181818182	20	0	69	0.0	73	0	251	0.0
CUFF_NC.16	1	141174	141695	+	10	0	48	0.0	7	0	38	0.0	76	1	326	0.003067484662576687
CUFF_NC.17	1	154589	156159	+	140	3	895	0.0033519553072625698	66	1	316	0.0031645569620253164	264	1	1171	0.0008539709649871904
CUFF_NC.22	1	163277	166353	+	121	294	687	0.4279475982532751	137	0	807	0.0	537	4	2552	0.001567398119122257
CUFF_NC.25	1	180261	180962	+	34	1	502	0.00199203187250996	14	0	266	0.0	90	2	936	0.002136752136752137
CUFF_NC.26	1	182345	182786	+	19	0	141	0.0	8	0	55	0.0	47	0	220	0.0
CUFF_NC.28	1	192588	193200	+	14	0	45	0.0	26	1	101	0.009900990099009901	118	0	345	0.0
CUFF_NC.23	1	196107	196598	-	56	0	229	0.0	30	0	103	0.0	50	0	134	0.0
CUFF_NC.24	1	197887	198512	-	25	1	89	0.011235955056179775	22	0	90	0.0	70	1	182	0.005494505494505495
CUFF_NC.27	1	210058	210613	-	28	1	178	0.0056179775280898875	26	0	210	0.0	92	0	572	0.0
CUFF_NC.29	1	219083	221145	-	188	0	566	0.0	119	0	378	0.0	335	2	1185	0.0016877637130801688
CUFF_NC.30	1	226848	227453	+	19	0	38	0.0	22	0	67	0.0	71	0	161	0.0
CUFF_NC.34	1	233075	237654	+	133	276	664	0.41566265060240964	242	4	1287	0.003108003108003108	877	18	4276	0.00420954162768943
CUFF_NC.31	1	238416	239453	+	66	648	685	0.945985401459854	52	431	536	0.8041044776119403	296	701	2498	0.2806244995996797
CUFF_NC.32	1	254830	257455	+	113	230	789	0.2915082382762991	76	102	604	0.16887417218543047	414	381	2769	0.13759479956663057
CUFF_NC.58	1	283807	284180	-	28	0	48	0.0	15	0	25	0.0	59	0	101	0.0
CUFF_NC.33	1	294207	295108	-	31	0	134	0.0	35	0	225	0.0	141	3	791	0.0037926675094816687
CUFF_NC.36	1	301346	301758	+	7	1	38	0.02631578947368421	13	0	102	0.0	56	2	442	0.004524886877828055
CUFF_NC.35	1	308731	309427	+	39	0	219	0.0	30	0	190	0.0	114	0	613	0.0
CUFF_NC.44	1	319180	319521	-	7	0	105	0.0	14	0	199	0.0	35	1	470	0.002127659574468085
CUFF_NC.37	1	341814	342849	+	34	0	193	0.0	29	0	145	0.0	153	1	679	0.0014727540500736377
CUFF_NC.43	1	347638	348472	-	27	0	97	0.0	33	0	94	0.0	148	2	617	0.0032414910858995136
CUFF_NC.42	1	355746	356392	+	35	2	297	0.006734006734006734	28	0	188	0.0	99	1	472	0.00211864406779661
CUFF_NC.39	1	358665	360498	+	84	274	578	0.4740484429065744	105	1	800	0.00125	356	4	1993	0.002007024586051179
CUFF_NC.38	1	365198	366851	-	73	2	367	0.005449591280653951	57	2	335	0.005970149253731343	167	1	847	0.0011806375442739079
CUFF_NC.41	1	370226	371382	+	77	1	301	0.0033222591362126247	47	1	166	0.006024096385542169	174	4	818	0.004889975550122249
CUFF_NC.40	1	371997	372411	+	21	2	173	0.011560693641618497	15	4	152	0.02631578947368421	69	96	591	0.16243654822335024
CUFF_NC.57	1	392706	395717	-	135	21	745	0.028187919463087248	155	3	899	0.0033370411568409346	434	8	2120	0.0037735849056603774
CUFF_NC.54	1	409235	410549	-	77	9	311	0.028938906752411574	90	1	416	0.002403846153846154	298	3	1091	0.002749770852428964
CUFF_NC.53	1	413681	414878	+	50	12	458	0.026200873362445413	80	0	588	0.0	192	1	1300	0.0007692307692307692
