gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	20	0	144	0.0	25	1	158	0.006329113924050633	207	2	1258	0.001589825119236884
CUFF_NC.4	1	33820	36039	+	76	65	586	0.11092150170648464	168	3	1346	0.002228826151560178	506	12	3437	0.0034914169333721268
CUFF_NC.2	1	45074	46980	+	100	10	927	0.010787486515641856	90	1	712	0.0014044943820224719	382	15	2642	0.005677517032551098
CUFF_NC.3	1	51977	52743	-	60	2	255	0.00784313725490196	47	0	206	0.0	138	1	562	0.0017793594306049821
CUFF_NC.9	1	63146	64476	+	45	2	497	0.004024144869215292	54	3	627	0.004784688995215311	272	8	2084	0.003838771593090211
CUFF_NC.10	1	67285	67782	+	81	1	441	0.0022675736961451248	32	0	219	0.0	121	1	553	0.0018083182640144665
CUFF_NC.5	1	69606	71157	+	74	28	593	0.047217537942664416	47	4	385	0.01038961038961039	300	3	2177	0.0013780431786862655
CUFF_NC.8	1	73084	73716	-	18	0	48	0.0	52	1	148	0.006756756756756757	151	3	357	0.008403361344537815
CUFF_NC.12	1	75366	76624	-	151	3	766	0.0039164490861618795	76	0	369	0.0	191	5	927	0.005393743257820928
CUFF_NC.13	1	77837	78333	+	25	0	270	0.0	10	0	76	0.0	84	2	645	0.0031007751937984496
CUFF_NC.6	1	86737	87289	+	94	2	346	0.005780346820809248	42	0	155	0.0	118	1	390	0.002564102564102564
CUFF_NC.18	1	89402	91722	-	62	3	366	0.00819672131147541	130	1	991	0.0010090817356205853	519	11	3335	0.003298350824587706
CUFF_NC.19	1	95040	96380	-	69	91	488	0.1864754098360656	81	3	677	0.004431314623338257	312	9	2214	0.0040650406504065045
CUFF_NC.11	1	100800	101866	-	31	1	282	0.0035460992907801418	42	2	444	0.0045045045045045045	209	7	1421	0.0049261083743842365
CUFF_NC.7	1	104712	105333	+	59	0	225	0.0	56	0	195	0.0	127	1	401	0.0024937655860349127
CUFF_NC.15	1	116797	118774	-	252	9	1317	0.00683371298405467	133	1	579	0.0017271157167530224	340	8	1569	0.005098789037603569
CUFF_NC.14	1	119083	119969	-	37	3	388	0.007731958762886598	22	0	266	0.0	192	4	1729	0.002313475997686524
CUFF_NC.20	1	121456	123494	+	109	666	896	0.7433035714285714	169	2	1398	0.001430615164520744	459	19	3406	0.005578391074574281
CUFF_NC.21	1	133006	133474	+	19	15	82	0.18292682926829268	22	0	109	0.0	112	2	383	0.005221932114882507
