gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	25	0	177	0.0	26	0	210	0.0	235	6	1523	0.003939592908732764
CUFF_NC.4	1	33820	36039	+	92	75	722	0.1038781163434903	189	6	1500	0.004	631	19	4673	0.004065910549967901
CUFF_NC.2	1	45074	46980	+	101	5	711	0.007032348804500703	97	4	704	0.005681818181818182	440	16	2791	0.00573271228950197
CUFF_NC.3	1	51977	52743	-	70	1	393	0.002544529262086514	57	1	315	0.0031746031746031746	171	4	1006	0.003976143141153081
CUFF_NC.9	1	63146	64476	+	64	1	453	0.002207505518763797	61	0	485	0.0	333	6	2319	0.00258732212160414
CUFF_NC.10	1	67285	67782	+	77	2	474	0.004219409282700422	27	1	185	0.005405405405405406	119	4	645	0.006201550387596899
CUFF_NC.5	1	69606	71157	+	59	11	358	0.030726256983240222	37	1	259	0.003861003861003861	348	14	2054	0.006815968841285297
CUFF_NC.8	1	73084	73716	-	20	0	119	0.0	63	1	366	0.00273224043715847	198	7	1012	0.00691699604743083
CUFF_NC.12	1	75366	76624	-	191	1	1326	0.0007541478129713424	101	0	690	0.0	266	14	1627	0.008604794099569761
CUFF_NC.13	1	77837	78333	+	29	0	197	0.0	15	1	81	0.012345679012345678	93	1	508	0.001968503937007874
CUFF_NC.6	1	86737	87289	+	92	2	576	0.003472222222222222	34	0	190	0.0	99	0	628	0.0
CUFF_NC.18	1	89402	91722	-	68	5	499	0.01002004008016032	138	5	1110	0.0045045045045045045	595	13	4105	0.003166869671132765
CUFF_NC.19	1	95040	96380	-	76	75	624	0.1201923076923077	90	2	738	0.0027100271002710027	367	8	2622	0.0030511060259344014
CUFF_NC.11	1	100800	101866	-	42	5	309	0.016181229773462782	55	2	366	0.00546448087431694	316	4	1605	0.0024922118380062306
CUFF_NC.7	1	104712	105333	+	76	3	423	0.0070921985815602835	70	1	361	0.002770083102493075	167	3	820	0.003658536585365854
CUFF_NC.15	1	116797	118774	-	287	7	1851	0.0037817396002160996	158	4	1020	0.00392156862745098	441	14	2491	0.005620232838217583
CUFF_NC.14	1	119083	119969	-	37	3	299	0.010033444816053512	24	0	156	0.0	229	7	1468	0.004768392370572207
CUFF_NC.20	1	121456	123494	+	119	575	795	0.7232704402515723	190	4	1297	0.0030840400925212026	582	15	3597	0.004170141784820684
CUFF_NC.21	1	133006	133474	+	22	21	114	0.18421052631578946	26	0	142	0.0	133	1	584	0.0017123287671232876
CUFF_NC.16	1	141174	141695	+	16	0	132	0.0	11	1	89	0.011235955056179775	148	3	1111	0.0027002700270027003
CUFF_NC.17	1	154589	156159	+	189	16	1363	0.01173881144534116	85	2	607	0.0032948929159802307	386	7	2430	0.002880658436213992
CUFF_NC.22	1	163277	166353	+	162	250	1125	0.2222222222222222	198	8	1331	0.006010518407212622	878	21	5317	0.0039495956366372015
CUFF_NC.25	1	180261	180962	+	53	2	413	0.004842615012106538	25	1	192	0.005208333333333333	187	5	1281	0.0039032006245121
CUFF_NC.26	1	182345	182786	+	33	1	187	0.0053475935828877	12	0	76	0.0	104	2	523	0.0038240917782026767
CUFF_NC.28	1	192588	193200	+	16	2	129	0.015503875968992248	35	1	259	0.003861003861003861	178	8	1338	0.005979073243647235
