gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	21	0	165	0.0	23	2	158	0.012658227848101266	204	7	1263	0.0055423594615993665
CUFF_NC.4	1	33820	36039	+	86	110	658	0.16717325227963525	185	6	1445	0.004152249134948097	566	27	3777	0.007148530579825258
CUFF_NC.2	1	45074	46980	+	92	2	824	0.0024271844660194173	91	1	741	0.001349527665317139	399	21	2686	0.00781831720029784
CUFF_NC.3	1	51977	52743	-	70	0	314	0.0	58	3	279	0.010752688172043012	160	0	629	0.0
CUFF_NC.9	1	63146	64476	+	57	2	413	0.004842615012106538	60	2	427	0.00468384074941452	276	10	1632	0.006127450980392157
CUFF_NC.10	1	67285	67782	+	76	3	396	0.007575757575757576	27	0	162	0.0	119	2	580	0.0034482758620689655
CUFF_NC.5	1	69606	71157	+	55	52	352	0.14772727272727273	37	7	292	0.023972602739726026	293	13	1679	0.007742703990470518
CUFF_NC.8	1	73084	73716	-	20	10	94	0.10638297872340426	60	5	248	0.020161290322580645	190	4	632	0.006329113924050633
CUFF_NC.12	1	75366	76624	-	169	4	1067	0.0037488284910965324	79	0	497	0.0	221	6	1187	0.005054759898904802
CUFF_NC.13	1	77837	78333	+	22	1	150	0.006666666666666667	10	0	25	0.0	52	1	219	0.0045662100456621
CUFF_NC.6	1	86737	87289	+	90	3	488	0.006147540983606557	33	0	173	0.0	101	0	505	0.0
CUFF_NC.18	1	89402	91722	-	66	11	409	0.02689486552567237	137	11	1003	0.010967098703888335	560	17	3283	0.005178190679256778
CUFF_NC.19	1	95040	96380	-	69	61	506	0.12055335968379446	83	3	601	0.004991680532445923	309	11	1936	0.005681818181818182
CUFF_NC.11	1	100800	101866	-	41	9	278	0.03237410071942446	48	3	380	0.007894736842105263	257	10	1382	0.00723589001447178
CUFF_NC.7	1	104712	105333	+	74	2	388	0.005154639175257732	68	1	334	0.0029940119760479044	153	1	630	0.0015873015873015873
