gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	19	2	113	0.017699115044247787	22	0	118	0.0	157	0	909	0.0
CUFF_NC.4	1	33820	36039	+	71	82	558	0.14695340501792115	144	5	1236	0.0040453074433656954	459	13	3251	0.003998769609350969
CUFF_NC.2	1	45074	46980	+	78	9	686	0.013119533527696793	74	4	528	0.007575757575757576	301	25	1681	0.0148720999405116
CUFF_NC.3	1	51977	52743	-	62	3	250	0.012	48	2	193	0.010362694300518135	149	6	536	0.011194029850746268
CUFF_NC.9	1	63146	64476	+	57	5	502	0.0099601593625498	63	1	473	0.0021141649048625794	277	6	1741	0.0034462952326249283
CUFF_NC.10	1	67285	67782	+	53	4	326	0.012269938650306749	22	0	153	0.0	65	1	316	0.0031645569620253164
CUFF_NC.5	1	69606	71157	+	39	18	280	0.06428571428571428	24	2	199	0.010050251256281407	211	0	1244	0.0
CUFF_NC.8	1	73084	73716	-	18	2	51	0.0392156862745098	56	0	159	0.0	158	1	346	0.002890173410404624
CUFF_NC.12	1	75366	76624	-	173	0	722	0.0	83	0	340	0.0	215	5	845	0.005917159763313609
CUFF_NC.13	1	77837	78333	+	18	0	196	0.0	11	1	38	0.02631578947368421	64	1	315	0.0031746031746031746
CUFF_NC.6	1	86737	87289	+	76	0	224	0.0	35	0	109	0.0	91	2	308	0.006493506493506494
CUFF_NC.18	1	89402	91722	-	63	6	268	0.022388059701492536	130	3	811	0.0036991368680641184	526	11	2494	0.004410585404971933
CUFF_NC.19	1	95040	96380	-	65	95	444	0.21396396396396397	76	1	631	0.001584786053882726	282	5	1869	0.002675227394328518
CUFF_NC.11	1	100800	101866	-	36	13	224	0.05803571428571429	46	2	340	0.0058823529411764705	252	6	1215	0.0049382716049382715
CUFF_NC.7	1	104712	105333	+	58	1	187	0.0053475935828877	54	0	151	0.0	95	0	254	0.0
CUFF_NC.15	1	116797	118774	-	250	4	1097	0.0036463081130355514	129	0	457	0.0	320	4	1256	0.0031847133757961785
CUFF_NC.14	1	119083	119969	-	36	1	368	0.002717391304347826	23	1	183	0.00546448087431694	193	7	1325	0.005283018867924529
CUFF_NC.20	1	121456	123494	+	105	566	753	0.751660026560425	164	4	1144	0.0034965034965034965	438	7	2853	0.0024535576586049773
CUFF_NC.21	1	133006	133474	+	14	0	46	0.0	19	0	83	0.0	80	0	232	0.0
CUFF_NC.16	1	141174	141695	+	13	0	56	0.0	11	1	58	0.017241379310344827	120	7	460	0.015217391304347827
CUFF_NC.17	1	154589	156159	+	157	3	836	0.0035885167464114833	70	1	303	0.0033003300330033004	299	6	1257	0.00477326968973747
CUFF_NC.22	1	163277	166353	+	143	286	743	0.38492597577388965	164	5	848	0.00589622641509434	677	8	2836	0.0028208744710860366
CUFF_NC.25	1	180261	180962	+	38	0	455	0.0	16	2	215	0.009302325581395349	112	4	1004	0.00398406374501992
CUFF_NC.26	1	182345	182786	+	27	2	159	0.012578616352201259	8	0	57	0.0	56	1	280	0.0035714285714285713
CUFF_NC.28	1	192588	193200	+	15	0	85	0.0	35	0	155	0.0	164	2	754	0.002652519893899204
CUFF_NC.23	1	196107	196598	-	64	3	297	0.010101010101010102	36	0	151	0.0	92	1	254	0.003937007874015748
CUFF_NC.24	1	197887	198512	-	33	0	88	0.0	21	0	72	0.0	94	1	207	0.004830917874396135
CUFF_NC.27	1	210058	210613	-	41	0	189	0.0	33	1	197	0.005076142131979695	128	3	627	0.004784688995215311
CUFF_NC.29	1	219083	221145	-	225	0	765	0.0	141	1	472	0.00211864406779661	414	6	1433	0.00418702023726448
CUFF_NC.30	1	226848	227453	+	25	0	40	0.0	28	2	54	0.037037037037037035	112	0	166	0.0
CUFF_NC.34	1	233075	237654	+	151	443	909	0.48734873487348734	279	12	1836	0.006535947712418301	1064	38	6314	0.006018371872030409
CUFF_NC.31	1	238416	239453	+	68	660	690	0.9565217391304348	53	519	626	0.829073482428115	266	710	2668	0.2661169415292354
CUFF_NC.32	1	254830	257455	+	125	84	881	0.09534619750283768	85	57	651	0.08755760368663594	449	236	2533	0.09317015396762732
CUFF_NC.58	1	283807	284180	-	34	0	141	0.0	19	0	80	0.0	93	3	298	0.010067114093959731
CUFF_NC.33	1	294207	295108	-	43	1	175	0.005714285714285714	40	1	231	0.004329004329004329	187	4	929	0.004305705059203444
CUFF_NC.36	1	301346	301758	+	9	1	71	0.014084507042253521	16	0	120	0.0	75	4	605	0.006611570247933884
CUFF_NC.35	1	308731	309427	+	55	2	295	0.006779661016949152	41	3	209	0.014354066985645933	166	7	718	0.009749303621169917
CUFF_NC.44	1	319180	319521	-	7	0	111	0.0	21	1	210	0.004761904761904762	54	0	468	0.0
CUFF_NC.37	1	341814	342849	+	44	3	242	0.012396694214876033	31	0	146	0.0	191	7	793	0.008827238335435058
CUFF_NC.43	1	347638	348472	-	25	0	108	0.0	37	3	115	0.02608695652173913	155	2	714	0.0028011204481792717
CUFF_NC.42	1	355746	356392	+	44	1	309	0.003236245954692557	39	1	215	0.004651162790697674	161	7	579	0.012089810017271158
CUFF_NC.39	1	358665	360498	+	121	169	634	0.2665615141955836	133	4	809	0.004944375772558714	484	14	2282	0.006134969325153374
CUFF_NC.38	1	365198	366851	-	104	5	470	0.010638297872340425	83	1	344	0.0029069767441860465	221	5	1073	0.004659832246039142
CUFF_NC.41	1	370226	371382	+	86	2	375	0.005333333333333333	54	0	228	0.0	233	7	1058	0.006616257088846881
CUFF_NC.40	1	371997	372411	+	32	1	183	0.00546448087431694	17	0	93	0.0	93	4	395	0.010126582278481013
CUFF_NC.57	1	392706	395717	-	199	33	925	0.03567567567567568	206	3	962	0.0031185031185031187	574	7	2612	0.002679938744257274
CUFF_NC.54	1	409235	410549	-	79	3	373	0.00804289544235925	94	2	492	0.0040650406504065045	316	12	1485	0.00808080808080808
CUFF_NC.53	1	413681	414878	+	56	9	221	0.04072398190045249	86	0	302	0.0	214	1	695	0.0014388489208633094
CUFF_NC.46	1	417273	417814	-	13	0	39	0.0	26	0	140	0.0	96	1	379	0.002638522427440633
CUFF_NC.49	1	421746	425334	-	118	211	680	0.31029411764705883	100	26	450	0.057777777777777775	591	106	2802	0.03783012134189864
CUFF_NC.48	1	424665	425164	+	37	1	263	0.0038022813688212928	37	2	237	0.008438818565400843	121	4	916	0.004366812227074236
CUFF_NC.45	1	425557	426435	+	29	0	106	0.0	28	1	150	0.006666666666666667	126	2	678	0.0029498525073746312
CUFF_NC.47	1	435444	435889	+	8	0	38	0.0	30	1	195	0.005128205128205128	73	4	448	0.008928571428571428
CUFF_NC.50	1	442462	442900	+	16	0	50	0.0	14	2	72	0.027777777777777776	64	1	256	0.00390625
CUFF_NC.52	1	446824	448464	+	59	51	347	0.14697406340057637	77	4	421	0.009501187648456057	305	13	1316	0.009878419452887538
CUFF_NC.51	1	463998	464582	+	69	2	265	0.007547169811320755	37	0	130	0.0	126	2	431	0.004640371229698376
CUFF_NC.55	1	482013	483177	-	73	3	464	0.00646551724137931	49	1	280	0.0035714285714285713	226	3	1328	0.002259036144578313
CUFF_NC.59	1	512866	513261	+	15	43	109	0.3944954128440367	15	23	116	0.19827586206896552	71	92	435	0.21149425287356322
CUFF_NC.60	1	514888	515295	+	17	0	209	0.0	16	2	163	0.012269938650306749	52	1	481	0.002079002079002079
CUFF_NC.70	1	523944	530099	-	373	235	1686	0.13938315539739027	352	9	1548	0.005813953488372093	1166	30	4603	0.00651748859439496
CUFF_NC.71	1	525592	531975	-	372	249	1764	0.141156462585034	378	11	1828	0.006017505470459519	1211	29	4860	0.005967078189300412
CUFF_NC.72	1	528007	534109	-	357	368	1725	0.21333333333333335	356	11	1809	0.006080707573244887	1161	29	4869	0.005956048469911686
CUFF_NC.62	1	538375	544045	-	173	189	1461	0.1293634496919918	232	59	1782	0.03310886644219978	955	196	5367	0.03651947084032048
CUFF_NC.64	1	547818	551699	-	142	259	987	0.2624113475177305	78	33	395	0.08354430379746836	492	211	2443	0.08636921817437576
CUFF_NC.65	1	550120	550546	-	9	35	37	0.9459459459459459	4	9	19	0.47368421052631576	40	36	146	0.2465753424657534
CUFF_NC.68	1	556826	558761	-	99	3	350	0.008571428571428572	96	0	349	0.0	411	2	1390	0.0014388489208633094
CUFF_NC.61	1	559734	560251	+	9	0	54	0.0	12	0	66	0.0	93	2	378	0.005291005291005291
CUFF_NC.66	1	564136	564745	-	49	2	169	0.011834319526627219	45	1	173	0.005780346820809248	131	3	441	0.006802721088435374
CUFF_NC.67	1	565230	565784	-	49	0	222	0.0	29	0	106	0.0	110	2	547	0.003656307129798903
CUFF_NC.63	1	568739	570386	-	186	3	891	0.003367003367003367	107	3	470	0.006382978723404255	319	3	1291	0.0023237800154918666
CUFF_NC.73	1	588007	589390	-	104	0	433	0.0	61	2	268	0.007462686567164179	244	10	1015	0.009852216748768473
CUFF_NC.76	1	591664	593419	-	104	4	828	0.004830917874396135	71	2	515	0.003883495145631068	276	9	1390	0.006474820143884892
CUFF_NC.74	1	594729	596073	+	56	2	269	0.007434944237918215	90	2	421	0.004750593824228029	293	3	1242	0.0024154589371980675
CUFF_NC.75	1	597522	598135	+	29	0	225	0.0	38	0	273	0.0	117	2	658	0.00303951367781155
CUFF_NC.77	1	599765	600204	+	16	1	81	0.012345679012345678	29	1	153	0.006535947712418301	100	2	448	0.004464285714285714
CUFF_NC.78	1	610701	611509	+	68	3	315	0.009523809523809525	46	1	221	0.004524886877828055	210	1	988	0.0010121457489878543
CUFF_NC.79	1	617987	619403	-	172	1	715	0.0013986013986013986	90	5	377	0.013262599469496022	227	4	982	0.004073319755600814
CUFF_NC.80	1	622046	622369	-	17	0	115	0.0	14	0	99	0.0	66	0	451	0.0
CUFF_NC.83	1	632744	633122	-	13	0	41	0.0	20	0	53	0.0	59	1	208	0.004807692307692308
CUFF_NC.90	1	640236	640825	-	18	132	151	0.8741721854304636	5	26	67	0.3880597014925373	78	72	382	0.18848167539267016
CUFF_NC.89	1	641448	642563	+	59	3	513	0.005847953216374269	41	3	203	0.014778325123152709	177	2	1142	0.0017513134851138354
CUFF_NC.81	1	653973	654416	+	35	1	183	0.00546448087431694	30	1	133	0.007518796992481203	105	1	395	0.002531645569620253
CUFF_NC.84	1	658696	661410	+	126	4	759	0.005270092226613966	112	8	803	0.009962640099626401	669	31	4105	0.007551766138855055
CUFF_NC.85	1	659555	662333	+	136	5	768	0.006510416666666667	102	7	703	0.00995732574679943	657	13	3689	0.0035239902412577935
CUFF_NC.82	1	663236	663656	+	23	3	76	0.039473684210526314	22	0	87	0.0	104	2	346	0.005780346820809248
CUFF_NC.86	1	665248	666402	+	48	0	237	0.0	30	0	114	0.0	221	5	859	0.005820721769499418
CUFF_NC.87	1	675516	676334	-	37	22	206	0.10679611650485436	42	1	215	0.004651162790697674	218	10	1146	0.008726003490401396
CUFF_NC.88	1	693076	693540	-	11	0	68	0.0	15	0	73	0.0	75	1	303	0.0033003300330033004
CUFF_NC.91	1	705921	706616	+	35	1	360	0.002777777777777778	31	0	289	0.0	117	4	898	0.004454342984409799
CUFF_NC.93	1	731716	732702	+	48	3	640	0.0046875	51	2	780	0.002564102564102564	170	3	1704	0.0017605633802816902
CUFF_NC.94	1	742835	743218	-	17	67	102	0.6568627450980392	16	0	94	0.0	110	1	652	0.0015337423312883436
CUFF_NC.92	1	769606	770629	-	57	3	327	0.009174311926605505	45	2	279	0.007168458781362007	220	6	1020	0.0058823529411764705
CUFF_NC.96	1	792040	792527	+	8	22	23	0.9565217391304348	5	39	43	0.9069767441860465	38	40	177	0.22598870056497175
CUFF_NC.97	1	792753	793059	+	22	304	530	0.5735849056603773	14	60	357	0.16806722689075632	59	109	1239	0.08797417271993543
CUFF_NC.95	1	813492	814238	-	37	0	330	0.0	35	2	206	0.009708737864077669	167	4	1077	0.003714020427112349
CUFF_NC.99	1	820959	821299	-	9	0	65	0.0	14	0	112	0.0	78	2	509	0.003929273084479371
CUFF_NC.98	1	822863	823948	+	42	56	367	0.15258855585831063	80	2	651	0.0030721966205837174	197	1	1055	0.0009478672985781991
CUFF_NC.102	1	827723	828094	-	14	3	38	0.07894736842105263	24	1	65	0.015384615384615385	101	3	277	0.010830324909747292
CUFF_NC.103	1	842641	845302	+	107	8	589	0.013582342954159592	126	1	523	0.0019120458891013384	563	13	2757	0.004715270221254987
CUFF_NC.104	1	843756	844262	+	24	0	61	0.0	20	0	61	0.0	78	1	283	0.0035335689045936395
CUFF_NC.101	1	852139	854239	-	172	6	766	0.007832898172323759	135	0	570	0.0	313	3	1263	0.0023752969121140144
CUFF_NC.100	1	866098	866818	+	18	2	273	0.007326007326007326	28	5	380	0.013157894736842105	115	12	1001	0.011988011988011988
CUFF_NC.105	1	871636	872739	-	89	19	460	0.041304347826086954	70	3	352	0.008522727272727272	279	8	1152	0.006944444444444444
CUFF_NC.109	1	882129	882853	+	16	56	243	0.23045267489711935	30	1	437	0.002288329519450801	92	3	782	0.0038363171355498722
CUFF_NC.118	1	905255	905896	+	26	1	100	0.01	29	0	111	0.0	129	3	404	0.007425742574257425
CUFF_NC.107	1	930609	932087	+	71	2	493	0.004056795131845842	39	0	281	0.0	197	3	944	0.0031779661016949155
CUFF_NC.110	1	941685	942629	+	30	6	167	0.03592814371257485	54	0	432	0.0	167	3	1046	0.0028680688336520078
CUFF_NC.117	1	948980	949396	+	11	0	33	0.0	28	0	88	0.0	102	2	293	0.006825938566552901
CUFF_NC.111	1	957115	958329	+	96	4	514	0.007782101167315175	63	3	378	0.007936507936507936	220	18	1173	0.015345268542199489
CUFF_NC.112	1	959892	960676	+	29	22	268	0.08208955223880597	22	0	220	0.0	157	7	1457	0.004804392587508579
CUFF_NC.113	1	967645	968734	+	110	4	401	0.00997506234413965	53	3	170	0.01764705882352941	176	5	526	0.009505703422053232
CUFF_NC.116	1	976096	978048	+	79	2	648	0.0030864197530864196	43	1	288	0.003472222222222222	268	10	1705	0.005865102639296188
CUFF_NC.115	1	979746	980312	+	33	93	147	0.6326530612244898	50	1	241	0.004149377593360996	149	15	575	0.02608695652173913
CUFF_NC.114	1	982543	983713	+	69	1	403	0.0024813895781637717	51	0	284	0.0	150	2	969	0.0020639834881320948
CUFF_NC.127	1	1028278	1029016	+	90	3	505	0.005940594059405941	67	0	295	0.0	158	3	748	0.004010695187165776
CUFF_NC.120	1	1047139	1048124	+	52	261	311	0.8392282958199357	76	0	432	0.0	279	9	1338	0.006726457399103139
CUFF_NC.121	1	1057787	1059407	-	103	30	519	0.057803468208092484	113	2	580	0.0034482758620689655	389	9	1737	0.0051813471502590676
CUFF_NC.122	1	1100093	1100559	-	26	0	115	0.0	24	1	109	0.009174311926605505	110	3	469	0.006396588486140725
CUFF_NC.126	1	1115138	1115771	-	22	1	126	0.007936507936507936	39	0	204	0.0	148	3	681	0.004405286343612335
CUFF_NC.125	1	1120224	1122526	+	119	4	918	0.004357298474945534	65	4	371	0.01078167115902965	356	7	1910	0.0036649214659685864
CUFF_NC.141	1	1145855	1148889	+	82	2	422	0.004739336492890996	77	3	420	0.007142857142857143	419	5	1637	0.0030543677458766036
CUFF_NC.123	1	1167552	1168870	+	93	4	629	0.006359300476947536	79	1	481	0.002079002079002079	227	8	1183	0.006762468300929839
CUFF_NC.124	1	1176545	1177625	+	71	5	335	0.014925373134328358	69	1	355	0.0028169014084507044	277	8	1262	0.006339144215530904
CUFF_NC.128	1	1185672	1187044	+	74	271	425	0.6376470588235295	95	1	514	0.0019455252918287938	314	11	1640	0.006707317073170732
CUFF_NC.130	1	1194178	1196948	+	104	203	870	0.23333333333333334	64	153	515	0.2970873786407767	540	1507	4912	0.306799674267101
