gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	21	10	172	0.05813953488372093	24	0	157	0.0	171	4	1058	0.003780718336483932
CUFF_NC.4	1	33820	36039	+	77	80	594	0.13468013468013468	167	3	1299	0.0023094688221709007	517	21	3526	0.005955757231990925
CUFF_NC.2	1	45074	46980	+	103	25	741	0.033738191632928474	96	4	605	0.006611570247933884	405	10	2116	0.004725897920604915
CUFF_NC.3	1	51977	52743	-	69	3	301	0.009966777408637873	56	2	288	0.006944444444444444	173	5	919	0.00544069640914037
CUFF_NC.9	1	63146	64476	+	55	2	530	0.0037735849056603774	53	2	533	0.00375234521575985	261	5	1961	0.0025497195308516064
CUFF_NC.10	1	67285	67782	+	48	0	328	0.0	19	2	131	0.015267175572519083	69	2	331	0.006042296072507553
CUFF_NC.5	1	69606	71157	+	65	173	654	0.26452599388379205	45	117	443	0.26410835214446954	321	442	3062	0.14435009797517961
CUFF_NC.8	1	73084	73716	-	17	8	56	0.14285714285714285	51	0	174	0.0	150	1	373	0.002680965147453083
CUFF_NC.12	1	75366	76624	-	184	3	828	0.0036231884057971015	96	1	409	0.0024449877750611247	259	5	1182	0.004230118443316413
CUFF_NC.13	1	77837	78333	+	24	0	285	0.0	10	0	67	0.0	85	1	523	0.0019120458891013384
CUFF_NC.6	1	86737	87289	+	89	2	227	0.00881057268722467	39	0	107	0.0	106	0	270	0.0
CUFF_NC.18	1	89402	91722	-	69	2	367	0.005449591280653951	140	0	992	0.0	583	20	3402	0.005878894767783657
CUFF_NC.19	1	95040	96380	-	68	92	452	0.20353982300884957	84	4	573	0.006980802792321117	289	9	1807	0.004980630879911455
CUFF_NC.11	1	100800	101866	-	35	20	207	0.0966183574879227	49	1	344	0.0029069767441860465	238	8	1084	0.007380073800738007
CUFF_NC.7	1	104712	105333	+	60	0	164	0.0	52	0	147	0.0	117	3	310	0.00967741935483871
CUFF_NC.15	1	116797	118774	-	238	2	965	0.002072538860103627	122	1	434	0.002304147465437788	301	7	1142	0.006129597197898424
CUFF_NC.14	1	119083	119969	-	35	1	299	0.0033444816053511705	21	1	205	0.004878048780487805	181	3	1418	0.0021156558533145277
CUFF_NC.20	1	121456	123494	+	95	606	752	0.8058510638297872	155	9	1217	0.007395234182415777	416	8	2682	0.002982848620432513
CUFF_NC.21	1	133006	133474	+	15	0	74	0.0	19	0	114	0.0	101	1	339	0.0029498525073746312
CUFF_NC.16	1	141174	141695	+	15	1	96	0.010416666666666666	11	0	76	0.0	129	3	747	0.004016064257028112
CUFF_NC.17	1	154589	156159	+	169	1	885	0.0011299435028248588	74	0	335	0.0	358	3	1444	0.002077562326869806
