gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	15	2	113	0.017699115044247787	20	0	112	0.0	144	0	773	0.0
CUFF_NC.4	1	33820	36039	+	76	118	556	0.21223021582733814	165	6	1222	0.004909983633387889	508	25	3108	0.008043758043758044
CUFF_NC.2	1	45074	46980	+	74	3	677	0.004431314623338257	75	8	518	0.015444015444015444	310	15	1756	0.008542141230068337
CUFF_NC.3	1	51977	52743	-	48	0	117	0.0	39	0	111	0.0	117	1	271	0.0036900369003690036
CUFF_NC.9	1	63146	64476	+	50	3	398	0.007537688442211055	47	4	494	0.008097165991902834	218	7	1625	0.0043076923076923075
CUFF_NC.10	1	67285	67782	+	54	1	275	0.0036363636363636364	22	1	134	0.007462686567164179	82	3	366	0.00819672131147541
CUFF_NC.5	1	69606	71157	+	41	32	250	0.128	28	0	196	0.0	220	1	1212	0.0008250825082508251
CUFF_NC.8	1	73084	73716	-	15	0	51	0.0	44	0	135	0.0	106	0	271	0.0
CUFF_NC.12	1	75366	76624	-	142	0	585	0.0	76	0	305	0.0	177	1	667	0.0014992503748125937
CUFF_NC.13	1	77837	78333	+	14	1	149	0.006711409395973154	7	0	31	0.0	40	0	244	0.0
CUFF_NC.6	1	86737	87289	+	56	0	112	0.0	19	0	39	0.0	67	1	117	0.008547008547008548
CUFF_NC.18	1	89402	91722	-	58	0	179	0.0	124	2	586	0.0034129692832764505	450	5	1794	0.002787068004459309
CUFF_NC.19	1	95040	96380	-	63	49	379	0.12928759894459102	74	3	539	0.0055658627087198514	269	1	1657	0.0006035003017501509
CUFF_NC.11	1	100800	101866	-	26	2	183	0.01092896174863388	34	4	375	0.010666666666666666	169	12	1059	0.0113314447592068
CUFF_NC.7	1	104712	105333	+	49	0	117	0.0	41	0	99	0.0	82	1	182	0.005494505494505495
CUFF_NC.15	1	116797	118774	-	226	10	857	0.011668611435239206	122	6	388	0.015463917525773196	290	6	1051	0.005708848715509039
CUFF_NC.14	1	119083	119969	-	31	1	295	0.003389830508474576	19	2	196	0.01020408163265306	146	8	1210	0.006611570247933884
CUFF_NC.20	1	121456	123494	+	98	447	631	0.7083993660855784	149	0	999	0.0	392	6	2238	0.002680965147453083
CUFF_NC.21	1	133006	133474	+	19	0	79	0.0	22	0	99	0.0	74	1	258	0.003875968992248062
CUFF_NC.16	1	141174	141695	+	11	0	57	0.0	11	0	57	0.0	99	0	466	0.0
CUFF_NC.17	1	154589	156159	+	145	4	785	0.005095541401273885	63	1	290	0.0034482758620689655	283	1	1242	0.0008051529790660225
CUFF_NC.22	1	163277	166353	+	134	319	615	0.5186991869918699	158	2	776	0.002577319587628866	621	16	2499	0.006402561024409764
CUFF_NC.25	1	180261	180962	+	36	0	471	0.0	14	0	231	0.0	124	0	1071	0.0
CUFF_NC.26	1	182345	182786	+	20	0	157	0.0	8	0	57	0.0	48	4	244	0.01639344262295082
CUFF_NC.28	1	192588	193200	+	12	0	38	0.0	28	0	86	0.0	124	2	406	0.0049261083743842365
CUFF_NC.23	1	196107	196598	-	55	0	207	0.0	31	0	96	0.0	60	1	199	0.005025125628140704
CUFF_NC.24	1	197887	198512	-	37	26	247	0.10526315789473684	24	0	157	0.0	135	1	672	0.001488095238095238
CUFF_NC.27	1	210058	210613	-	34	0	202	0.0	27	0	213	0.0	104	2	639	0.003129890453834116
CUFF_NC.29	1	219083	221145	-	203	0	593	0.0	128	0	401	0.0	376	1	1238	0.0008077544426494346
CUFF_NC.30	1	226848	227453	+	33	1	138	0.007246376811594203	35	1	121	0.008264462809917356	137	4	496	0.008064516129032258
CUFF_NC.34	1	233075	237654	+	148	530	949	0.5584826132771338	277	13	1794	0.007246376811594203	1074	32	6408	0.004993757802746567
CUFF_NC.31	1	238416	239453	+	72	984	1040	0.9461538461538461	54	599	700	0.8557142857142858	302	1873	4459	0.42004933841668535
CUFF_NC.32	1	254830	257455	+	116	253	974	0.2597535934291581	83	182	729	0.2496570644718793	419	576	3466	0.1661858049624928
CUFF_NC.58	1	283807	284180	-	28	0	93	0.0	17	0	59	0.0	59	0	205	0.0
CUFF_NC.33	1	294207	295108	-	39	0	167	0.0	40	1	223	0.004484304932735426	176	2	817	0.0024479804161566705
CUFF_NC.36	1	301346	301758	+	9	0	93	0.0	16	0	178	0.0	79	3	708	0.00423728813559322
CUFF_NC.35	1	308731	309427	+	46	0	238	0.0	29	0	170	0.0	122	1	507	0.0019723865877712033
CUFF_NC.44	1	319180	319521	-	7	1	88	0.011363636363636364	16	0	155	0.0	38	1	378	0.0026455026455026454
CUFF_NC.37	1	341814	342849	+	41	1	171	0.005847953216374269	24	0	110	0.0	169	1	697	0.0014347202295552368
CUFF_NC.43	1	347638	348472	-	26	0	106	0.0	30	0	115	0.0	135	0	609	0.0
CUFF_NC.42	1	355746	356392	+	46	453	506	0.8952569169960475	42	305	426	0.715962441314554	185	288	1205	0.23900414937759337
CUFF_NC.39	1	358665	360498	+	118	229	555	0.4126126126126126	131	3	711	0.004219409282700422	485	12	1998	0.006006006006006006
CUFF_NC.38	1	365198	366851	-	90	0	407	0.0	74	0	298	0.0	185	1	859	0.0011641443538998836
CUFF_NC.41	1	370226	371382	+	68	0	304	0.0	45	1	206	0.0048543689320388345	198	4	1001	0.003996003996003996
CUFF_NC.40	1	371997	372411	+	27	0	176	0.0	14	0	87	0.0	62	2	337	0.005934718100890208
CUFF_NC.57	1	392706	395717	-	175	62	730	0.08493150684931507	192	3	941	0.003188097768331562	511	3	2398	0.0012510425354462051
CUFF_NC.54	1	409235	410549	-	71	0	314	0.0	95	1	414	0.0024154589371980675	295	1	1139	0.000877963125548727
CUFF_NC.53	1	413681	414878	+	57	0	405	0.0	95	3	537	0.00558659217877095	232	5	1131	0.004420866489832007
CUFF_NC.46	1	417273	417814	-	10	0	27	0.0	19	0	83	0.0	64	3	237	0.012658227848101266
CUFF_NC.49	1	421746	425334	-	123	376	800	0.47	101	84	481	0.17463617463617465	559	416	3160	0.13164556962025317
CUFF_NC.48	1	424665	425164	+	37	1	252	0.003968253968253968	38	0	231	0.0	111	2	760	0.002631578947368421
CUFF_NC.45	1	425557	426435	+	22	0	57	0.0	26	4	133	0.03007518796992481	114	6	401	0.014962593516209476
CUFF_NC.47	1	435444	435889	+	8	0	35	0.0	22	0	113	0.0	62	1	290	0.0034482758620689655
CUFF_NC.50	1	442462	442900	+	9	0	37	0.0	7	1	49	0.02040816326530612	37	0	232	0.0
CUFF_NC.52	1	446824	448464	+	67	377	614	0.6140065146579805	71	198	565	0.3504424778761062	302	405	2216	0.18276173285198555
CUFF_NC.51	1	463998	464582	+	38	7	90	0.07777777777777778	16	1	36	0.027777777777777776	85	3	187	0.016042780748663103
CUFF_NC.55	1	482013	483177	-	70	0	346	0.0	44	0	233	0.0	218	1	1026	0.0009746588693957114
CUFF_NC.59	1	512866	513261	+	24	123	164	0.75	17	44	102	0.43137254901960786	84	105	391	0.26854219948849106
CUFF_NC.60	1	514888	515295	+	22	2	173	0.011560693641618497	20	3	124	0.024193548387096774	77	5	382	0.013089005235602094
CUFF_NC.70	1	523944	530099	-	330	524	1580	0.33164556962025316	302	8	1546	0.00517464424320828	1022	15	4281	0.00350385423966363
CUFF_NC.71	1	525592	531975	-	331	643	1689	0.38069863824748373	331	7	1815	0.003856749311294766	1010	18	4467	0.004029550033579583
CUFF_NC.72	1	528007	534109	-	317	579	1519	0.38117182356813695	334	8	1644	0.004866180048661801	1059	21	4453	0.004715921850437907
CUFF_NC.62	1	538375	544045	-	176	245	1334	0.18365817091454273	229	117	1720	0.06802325581395349	921	331	4893	0.06764765992233804
CUFF_NC.64	1	547818	551699	-	109	21	574	0.036585365853658534	64	3	272	0.011029411764705883	337	23	1437	0.016005567153792623
CUFF_NC.65	1	550120	550546	-	3	3	3	1.0	0	0	0		6	0	6	0.0
CUFF_NC.68	1	556826	558761	-	99	3	336	0.008928571428571428	86	0	304	0.0	389	16	1232	0.012987012987012988
CUFF_NC.61	1	559734	560251	+	10	0	58	0.0	17	0	90	0.0	107	1	479	0.0020876826722338203
CUFF_NC.66	1	564136	564745	-	40	0	99	0.0	43	0	94	0.0	106	1	339	0.0029498525073746312
CUFF_NC.67	1	565230	565784	-	60	0	178	0.0	36	0	105	0.0	137	0	329	0.0
CUFF_NC.63	1	568739	570386	-	150	4	680	0.0058823529411764705	82	4	351	0.011396011396011397	253	7	977	0.007164790174002047
CUFF_NC.73	1	588007	589390	-	111	4	467	0.008565310492505354	78	1	327	0.0030581039755351682	287	8	1204	0.006644518272425249
CUFF_NC.76	1	591664	593419	-	96	1	701	0.0014265335235378032	63	2	421	0.004750593824228029	251	6	1191	0.005037783375314861
CUFF_NC.74	1	594729	596073	+	50	10	262	0.03816793893129771	84	2	405	0.0049382716049382715	264	5	1138	0.004393673110720563
CUFF_NC.75	1	597522	598135	+	32	0	166	0.0	35	1	149	0.006711409395973154	107	1	379	0.002638522427440633
CUFF_NC.77	1	599765	600204	+	17	16	79	0.20253164556962025	30	2	155	0.012903225806451613	97	4	430	0.009302325581395349
CUFF_NC.78	1	610701	611509	+	61	0	158	0.0	38	0	110	0.0	195	0	599	0.0
CUFF_NC.79	1	617987	619403	-	158	6	678	0.008849557522123894	80	4	409	0.009779951100244499	189	9	906	0.009933774834437087
CUFF_NC.80	1	622046	622369	-	17	0	102	0.0	14	0	90	0.0	65	1	412	0.0024271844660194173
CUFF_NC.83	1	632744	633122	-	7	0	38	0.0	17	0	122	0.0	50	0	363	0.0
CUFF_NC.90	1	640236	640825	-	8	14	22	0.6363636363636364	2	2	11	0.18181818181818182	28	7	82	0.08536585365853659
CUFF_NC.89	1	641448	642563	+	47	0	210	0.0	30	0	114	0.0	133	2	713	0.002805049088359046
CUFF_NC.81	1	653973	654416	+	31	0	103	0.0	28	1	98	0.01020408163265306	103	0	301	0.0
CUFF_NC.84	1	658696	661410	+	125	13	673	0.019316493313521546	112	1	599	0.001669449081803005	666	11	3265	0.0033690658499234303
CUFF_NC.85	1	659555	662333	+	128	13	716	0.018156424581005588	93	2	612	0.0032679738562091504	606	17	3280	0.005182926829268293
CUFF_NC.82	1	663236	663656	+	20	0	48	0.0	20	1	60	0.016666666666666666	98	0	252	0.0
CUFF_NC.86	1	665248	666402	+	47	3	247	0.012145748987854251	26	1	114	0.008771929824561403	187	3	740	0.004054054054054054
CUFF_NC.87	1	675516	676334	-	35	0	153	0.0	38	0	188	0.0	199	2	861	0.0023228803716608595
CUFF_NC.88	1	693076	693540	-	11	1	77	0.012987012987012988	17	0	96	0.0	59	1	238	0.004201680672268907
CUFF_NC.91	1	705921	706616	+	34	2	297	0.006734006734006734	31	0	239	0.0	99	2	818	0.0024449877750611247
CUFF_NC.93	1	731716	732702	+	48	6	702	0.008547008547008548	49	4	788	0.005076142131979695	163	9	1720	0.005232558139534884
CUFF_NC.94	1	742835	743218	-	18	70	90	0.7777777777777778	16	0	80	0.0	115	3	627	0.004784688995215311
CUFF_NC.92	1	769606	770629	-	50	0	299	0.0	36	0	252	0.0	167	7	965	0.007253886010362694
CUFF_NC.96	1	792040	792527	+	13	388	421	0.9216152019002375	9	339	374	0.9064171122994652	74	994	1448	0.68646408839779
CUFF_NC.97	1	792753	793059	+	14	0	110	0.0	11	0	95	0.0	35	2	266	0.007518796992481203
CUFF_NC.95	1	813492	814238	-	37	0	259	0.0	37	0	166	0.0	184	6	890	0.006741573033707865
