gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	12	0	86	0.0	15	0	69	0.0	131	2	654	0.0030581039755351682
CUFF_NC.4	1	33820	36039	+	67	108	446	0.242152466367713	138	3	970	0.003092783505154639	400	6	2311	0.0025962786672436176
CUFF_NC.2	1	45074	46980	+	80	2	674	0.002967359050445104	67	0	565	0.0	284	5	1864	0.002682403433476395
CUFF_NC.3	1	51977	52743	-	46	0	123	0.0	38	0	112	0.0	76	0	200	0.0
CUFF_NC.9	1	63146	64476	+	39	1	463	0.0021598272138228943	40	0	446	0.0	178	5	1441	0.0034698126301179735
CUFF_NC.10	1	67285	67782	+	44	1	336	0.002976190476190476	18	2	161	0.012422360248447204	65	0	395	0.0
CUFF_NC.5	1	69606	71157	+	55	29	352	0.08238636363636363	36	2	220	0.00909090909090909	205	2	1051	0.0019029495718363464
CUFF_NC.8	1	73084	73716	-	13	0	32	0.0	34	0	94	0.0	88	0	219	0.0
CUFF_NC.12	1	75366	76624	-	119	1	532	0.0018796992481203006	57	0	248	0.0	147	2	630	0.0031746031746031746
CUFF_NC.13	1	77837	78333	+	20	0	202	0.0	6	0	31	0.0	51	0	327	0.0
CUFF_NC.6	1	86737	87289	+	67	0	157	0.0	36	2	75	0.02666666666666667	76	0	158	0.0
CUFF_NC.18	1	89402	91722	-	53	26	217	0.11981566820276497	111	4	617	0.006482982171799027	399	7	1807	0.00387382401770891
CUFF_NC.19	1	95040	96380	-	62	90	361	0.24930747922437674	69	2	524	0.003816793893129771	241	1	1503	0.0006653359946773121
CUFF_NC.11	1	100800	101866	-	25	1	184	0.005434782608695652	31	5	405	0.012345679012345678	144	4	1031	0.0038797284190106693
CUFF_NC.7	1	104712	105333	+	42	0	99	0.0	36	0	84	0.0	61	0	149	0.0
CUFF_NC.15	1	116797	118774	-	191	2	670	0.0029850746268656717	91	0	271	0.0	203	0	685	0.0
CUFF_NC.14	1	119083	119969	-	33	1	245	0.004081632653061225	20	1	123	0.008130081300813009	151	2	736	0.002717391304347826
CUFF_NC.20	1	121456	123494	+	87	336	556	0.60431654676259	140	3	834	0.0035971223021582736	337	3	1827	0.0016420361247947454
CUFF_NC.21	1	133006	133474	+	17	0	65	0.0	18	0	87	0.0	53	1	181	0.0055248618784530384
CUFF_NC.16	1	141174	141695	+	8	0	41	0.0	6	0	29	0.0	83	0	297	0.0
CUFF_NC.17	1	154589	156159	+	131	2	715	0.002797202797202797	59	0	249	0.0	210	0	788	0.0
CUFF_NC.22	1	163277	166353	+	114	99	455	0.2175824175824176	118	1	506	0.001976284584980237	440	3	1624	0.0018472906403940886
CUFF_NC.25	1	180261	180962	+	32	0	418	0.0	17	1	246	0.0040650406504065045	98	2	721	0.0027739251040221915
CUFF_NC.26	1	182345	182786	+	15	0	127	0.0	7	0	38	0.0	38	0	181	0.0
CUFF_NC.28	1	192588	193200	+	8	0	34	0.0	19	0	72	0.0	85	5	277	0.018050541516245487
CUFF_NC.23	1	196107	196598	-	49	0	223	0.0	27	1	120	0.008333333333333333	53	1	134	0.007462686567164179
CUFF_NC.24	1	197887	198512	-	30	2	153	0.013071895424836602	18	0	95	0.0	93	2	391	0.005115089514066497
CUFF_NC.27	1	210058	210613	-	34	0	168	0.0	29	1	167	0.005988023952095809	101	3	521	0.005758157389635317
CUFF_NC.29	1	219083	221145	-	176	1	534	0.0018726591760299626	94	0	305	0.0	304	2	971	0.0020597322348094747
CUFF_NC.30	1	226848	227453	+	15	0	39	0.0	11	0	46	0.0	46	1	118	0.00847457627118644
CUFF_NC.34	1	233075	237654	+	134	450	761	0.5913272010512484	248	267	1484	0.17991913746630728	868	37	5072	0.007294952681388012
CUFF_NC.31	1	238416	239453	+	57	531	552	0.9619565217391305	46	408	504	0.8095238095238095	256	834	2396	0.34808013355592654
CUFF_NC.32	1	254830	257455	+	116	120	714	0.16806722689075632	79	106	547	0.19378427787934185	374	271	1890	0.1433862433862434
CUFF_NC.58	1	283807	284180	-	23	0	79	0.0	12	0	48	0.0	45	0	142	0.0
CUFF_NC.33	1	294207	295108	-	35	0	109	0.0	39	1	204	0.004901960784313725	146	1	676	0.0014792899408284023
CUFF_NC.36	1	301346	301758	+	8	0	37	0.0	12	0	74	0.0	52	0	349	0.0
CUFF_NC.35	1	308731	309427	+	47	0	197	0.0	31	0	162	0.0	117	0	470	0.0
CUFF_NC.44	1	319180	319521	-	7	0	80	0.0	12	0	143	0.0	24	0	314	0.0
CUFF_NC.37	1	341814	342849	+	34	0	134	0.0	23	0	95	0.0	144	0	442	0.0
CUFF_NC.43	1	347638	348472	-	25	0	91	0.0	29	0	101	0.0	137	3	517	0.005802707930367505
CUFF_NC.42	1	355746	356392	+	33	0	188	0.0	29	0	130	0.0	74	1	274	0.0036496350364963502
CUFF_NC.39	1	358665	360498	+	100	60	466	0.12875536480686695	101	2	543	0.003683241252302026	328	2	1355	0.0014760147601476014
CUFF_NC.38	1	365198	366851	-	81	0	311	0.0	71	1	287	0.003484320557491289	151	2	620	0.0032258064516129032
CUFF_NC.41	1	370226	371382	+	55	0	214	0.0	37	0	151	0.0	114	2	548	0.0036496350364963502
CUFF_NC.40	1	371997	372411	+	18	0	136	0.0	8	0	64	0.0	48	1	279	0.0035842293906810036
CUFF_NC.57	1	392706	395717	-	171	27	698	0.03868194842406877	175	2	768	0.0026041666666666665	459	3	1824	0.001644736842105263
CUFF_NC.54	1	409235	410549	-	52	0	245	0.0	65	2	330	0.006060606060606061	192	0	866	0.0
CUFF_NC.53	1	413681	414878	+	32	14	134	0.1044776119402985	55	2	189	0.010582010582010581	117	0	408	0.0
CUFF_NC.46	1	417273	417814	-	10	1	17	0.058823529411764705	16	0	65	0.0	57	0	170	0.0
CUFF_NC.49	1	421746	425334	-	88	200	514	0.38910505836575876	71	36	287	0.1254355400696864	368	112	1727	0.06485234510712218
CUFF_NC.48	1	424665	425164	+	32	0	217	0.0	30	1	172	0.005813953488372093	108	3	622	0.00482315112540193
CUFF_NC.45	1	425557	426435	+	26	0	61	0.0	22	0	147	0.0	106	2	536	0.0037313432835820895
CUFF_NC.47	1	435444	435889	+	9	0	33	0.0	23	0	141	0.0	51	1	344	0.0029069767441860465
CUFF_NC.50	1	442462	442900	+	9	0	44	0.0	9	0	67	0.0	45	0	247	0.0
CUFF_NC.52	1	446824	448464	+	42	0	226	0.0	56	1	284	0.0035211267605633804	185	1	691	0.001447178002894356
CUFF_NC.51	1	463998	464582	+	39	0	81	0.0	25	0	47	0.0	81	0	184	0.0
CUFF_NC.55	1	482013	483177	-	73	0	447	0.0	46	0	297	0.0	205	1	1131	0.0008841732979664014
CUFF_NC.59	1	512866	513261	+	20	105	158	0.6645569620253164	12	45	113	0.39823008849557523	68	179	535	0.33457943925233646
CUFF_NC.60	1	514888	515295	+	14	1	139	0.007194244604316547	12	0	110	0.0	35	0	304	0.0
CUFF_NC.70	1	523944	530099	-	329	621	1571	0.3952896244430299	309	39	1541	0.025308241401687217	965	18	3997	0.004503377533149862
CUFF_NC.71	1	525592	531975	-	327	575	1621	0.35471930906847626	330	39	1760	0.02215909090909091	968	15	4069	0.0036864094372081593
CUFF_NC.72	1	528007	534109	-	304	234	1484	0.15768194070080863	308	2	1575	0.0012698412698412698	922	11	3762	0.0029239766081871343
CUFF_NC.62	1	538375	544045	-	110	29	982	0.029531568228105907	132	3	1068	0.0028089887640449437	513	8	2789	0.0028684116170670493
CUFF_NC.64	1	547818	551699	-	126	134	834	0.1606714628297362	70	11	307	0.035830618892508145	389	124	1827	0.06787082649151614
CUFF_NC.65	1	550120	550546	-	3	7	7	1.0	2	2	2	1.0	18	19	49	0.3877551020408163
CUFF_NC.68	1	556826	558761	-	82	0	282	0.0	81	2	255	0.00784313725490196	298	2	881	0.0022701475595913734
CUFF_NC.61	1	559734	560251	+	7	0	20	0.0	13	2	31	0.06451612903225806	99	14	247	0.05668016194331984
CUFF_NC.66	1	564136	564745	-	30	0	97	0.0	30	0	117	0.0	75	0	273	0.0
CUFF_NC.67	1	565230	565784	-	52	0	131	0.0	27	1	57	0.017543859649122806	120	2	292	0.00684931506849315
CUFF_NC.63	1	568739	570386	-	113	0	735	0.0	57	0	336	0.0	161	4	772	0.0051813471502590676
CUFF_NC.73	1	588007	589390	-	95	0	490	0.0	56	0	271	0.0	193	4	885	0.004519774011299435
CUFF_NC.76	1	591664	593419	-	86	2	731	0.0027359781121751026	56	3	435	0.006896551724137931	170	1	1077	0.0009285051067780873
CUFF_NC.74	1	594729	596073	+	38	1	213	0.004694835680751174	69	1	316	0.0031645569620253164	192	1	951	0.0010515247108307045
CUFF_NC.75	1	597522	598135	+	23	0	196	0.0	25	2	215	0.009302325581395349	63	1	445	0.0022471910112359553
CUFF_NC.77	1	599765	600204	+	11	45	74	0.6081081081081081	25	17	118	0.1440677966101695	64	2	316	0.006329113924050633
