gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	19	2	91	0.02197802197802198	21	0	113	0.0	179	5	860	0.005813953488372093
CUFF_NC.4	1	33820	36039	+	79	69	444	0.1554054054054054	154	8	939	0.008519701810436636	516	27	2592	0.010416666666666666
CUFF_NC.2	1	45074	46980	+	103	12	600	0.02	91	3	481	0.006237006237006237	392	2	1946	0.0010277492291880781
CUFF_NC.3	1	51977	52743	-	55	1	164	0.006097560975609756	48	0	160	0.0	150	5	569	0.008787346221441126
CUFF_NC.9	1	63146	64476	+	48	4	305	0.013114754098360656	53	0	372	0.0	262	4	1420	0.0028169014084507044
CUFF_NC.10	1	67285	67782	+	66	0	188	0.0	26	0	93	0.0	98	1	266	0.0037593984962406013
CUFF_NC.5	1	69606	71157	+	66	56	390	0.14358974358974358	47	4	292	0.0136986301369863	309	5	1804	0.002771618625277162
CUFF_NC.8	1	73084	73716	-	15	0	54	0.0	52	0	182	0.0	134	2	436	0.0045871559633027525
CUFF_NC.12	1	75366	76624	-	114	2	477	0.0041928721174004195	59	0	233	0.0	164	2	785	0.0025477707006369425
CUFF_NC.13	1	77837	78333	+	24	0	178	0.0	10	0	45	0.0	82	1	452	0.0022123893805309734
CUFF_NC.6	1	86737	87289	+	64	0	93	0.0	30	0	51	0.0	85	0	137	0.0
CUFF_NC.18	1	89402	91722	-	66	6	301	0.019933554817275746	134	4	781	0.005121638924455826	549	4	2501	0.001599360255897641
CUFF_NC.19	1	95040	96380	-	64	32	312	0.10256410256410256	77	4	387	0.0103359173126615	298	8	1348	0.005934718100890208
CUFF_NC.11	1	100800	101866	-	40	11	178	0.06179775280898876	47	0	291	0.0	267	2	929	0.002152852529601722
CUFF_NC.7	1	104712	105333	+	40	1	91	0.01098901098901099	34	0	89	0.0	77	2	166	0.012048192771084338
CUFF_NC.15	1	116797	118774	-	218	2	561	0.0035650623885918	125	1	301	0.0033222591362126247	322	0	988	0.0
CUFF_NC.14	1	119083	119969	-	36	0	219	0.0	20	0	121	0.0	186	2	1086	0.001841620626151013
CUFF_NC.20	1	121456	123494	+	101	306	448	0.6830357142857143	157	4	733	0.005457025920873124	448	13	1788	0.00727069351230425
CUFF_NC.21	1	133006	133474	+	18	9	41	0.21951219512195122	20	0	64	0.0	86	0	203	0.0
CUFF_NC.16	1	141174	141695	+	16	0	82	0.0	11	0	73	0.0	148	3	698	0.004297994269340974
CUFF_NC.17	1	154589	156159	+	148	1	504	0.001984126984126984	65	0	187	0.0	311	0	759	0.0
