gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	18	6	135	0.044444444444444446	22	0	125	0.0	189	2	1001	0.001998001998001998
CUFF_NC.4	1	33820	36039	+	77	157	539	0.2912801484230056	164	15	1196	0.01254180602006689	537	8	3282	0.002437538086532602
CUFF_NC.2	1	45074	46980	+	99	1	715	0.0013986013986013986	92	3	599	0.005008347245409015	402	1	2275	0.00043956043956043956
CUFF_NC.3	1	51977	52743	-	48	1	153	0.006535947712418301	47	0	163	0.0	146	1	547	0.0018281535648994515
CUFF_NC.9	1	63146	64476	+	53	2	490	0.004081632653061225	62	1	518	0.0019305019305019305	286	3	1847	0.0016242555495397943
CUFF_NC.10	1	67285	67782	+	70	0	339	0.0	28	0	169	0.0	89	1	393	0.002544529262086514
CUFF_NC.5	1	69606	71157	+	77	48	472	0.1016949152542373	54	0	323	0.0	359	11	1992	0.005522088353413655
CUFF_NC.8	1	73084	73716	-	17	1	60	0.016666666666666666	54	1	166	0.006024096385542169	145	0	456	0.0
CUFF_NC.12	1	75366	76624	-	140	1	562	0.0017793594306049821	78	1	274	0.0036496350364963502	203	1	1012	0.0009881422924901185
CUFF_NC.13	1	77837	78333	+	30	1	337	0.002967359050445104	15	0	92	0.0	111	3	765	0.00392156862745098
CUFF_NC.6	1	86737	87289	+	89	1	192	0.005208333333333333	40	1	98	0.01020408163265306	113	0	249	0.0
CUFF_NC.18	1	89402	91722	-	68	0	321	0.0	142	3	885	0.003389830508474576	569	5	2994	0.0016700066800267202
CUFF_NC.19	1	95040	96380	-	71	98	422	0.23222748815165878	87	0	537	0.0	334	7	1925	0.0036363636363636364
CUFF_NC.11	1	100800	101866	-	34	0	198	0.0	45	0	345	0.0	245	1	1178	0.0008488964346349745
CUFF_NC.7	1	104712	105333	+	48	0	116	0.0	44	0	107	0.0	105	0	244	0.0
CUFF_NC.15	1	116797	118774	-	259	1	1044	0.0009578544061302681	137	2	521	0.003838771593090211	353	5	1603	0.0031191515907673115
CUFF_NC.14	1	119083	119969	-	40	2	388	0.005154639175257732	24	1	217	0.004608294930875576	206	5	1652	0.003026634382566586
CUFF_NC.20	1	121456	123494	+	102	474	766	0.618798955613577	167	5	1284	0.003894080996884735	460	3	2779	0.0010795250089960418
CUFF_NC.21	1	133006	133474	+	18	0	55	0.0	24	0	83	0.0	118	1	287	0.003484320557491289
CUFF_NC.16	1	141174	141695	+	15	0	67	0.0	11	1	62	0.016129032258064516	132	1	566	0.0017667844522968198
