gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	20	24	181	0.13259668508287292	26	1	195	0.005128205128205128	226	7	1583	0.004421983575489577
CUFF_NC.4	1	33820	36039	+	86	130	776	0.16752577319587628	174	8	1744	0.0045871559633027525	564	22	4479	0.004911810672025006
CUFF_NC.2	1	45074	46980	+	103	53	952	0.05567226890756303	97	4	842	0.004750593824228029	418	14	3132	0.004469987228607918
CUFF_NC.3	1	51977	52743	-	70	0	310	0.0	54	3	254	0.011811023622047244	169	3	631	0.004754358161648178
CUFF_NC.9	1	63146	64476	+	63	1	580	0.0017241379310344827	65	3	626	0.004792332268370607	338	13	2315	0.005615550755939525
CUFF_NC.10	1	67285	67782	+	73	3	565	0.005309734513274336	29	0	222	0.0	100	6	661	0.009077155824508321
CUFF_NC.5	1	69606	71157	+	70	37	581	0.06368330464716007	45	4	365	0.010958904109589041	305	13	2016	0.006448412698412698
CUFF_NC.8	1	73084	73716	-	19	0	90	0.0	57	1	273	0.003663003663003663	172	5	676	0.0073964497041420114
CUFF_NC.12	1	75366	76624	-	185	8	1152	0.006944444444444444	101	2	582	0.003436426116838488	249	7	1363	0.005135730007336757
CUFF_NC.13	1	77837	78333	+	25	1	270	0.003703703703703704	11	1	69	0.014492753623188406	87	4	645	0.006201550387596899
CUFF_NC.6	1	86737	87289	+	93	0	410	0.0	42	0	170	0.0	114	0	468	0.0
CUFF_NC.18	1	89402	91722	-	66	51	419	0.12171837708830549	138	7	923	0.007583965330444204	569	18	3394	0.005303476723629935
CUFF_NC.19	1	95040	96380	-	71	2	522	0.0038314176245210726	88	3	660	0.004545454545454545	341	11	2263	0.004860804242156429
CUFF_NC.11	1	100800	101866	-	40	3	328	0.009146341463414634	50	2	468	0.004273504273504274	248	5	1538	0.003250975292587776
CUFF_NC.7	1	104712	105333	+	77	4	429	0.009324009324009324	69	3	351	0.008547008547008548	170	2	761	0.002628120893561104
CUFF_NC.15	1	116797	118774	-	268	5	1368	0.003654970760233918	142	2	716	0.002793296089385475	360	9	1717	0.0052417006406523005
CUFF_NC.14	1	119083	119969	-	42	2	433	0.004618937644341801	27	0	237	0.0	215	6	1523	0.003939592908732764
CUFF_NC.20	1	121456	123494	+	115	628	877	0.7160775370581528	177	20	1441	0.013879250520471894	514	28	3424	0.008177570093457943
CUFF_NC.21	1	133006	133474	+	20	46	124	0.3709677419354839	25	1	154	0.006493506493506494	107	4	431	0.009280742459396751
CUFF_NC.16	1	141174	141695	+	14	1	88	0.011363636363636364	11	1	76	0.013157894736842105	126	3	706	0.00424929178470255
CUFF_NC.17	1	154589	156159	+	181	12	1140	0.010526315789473684	81	2	422	0.004739336492890996	346	8	1730	0.004624277456647399
CUFF_NC.22	1	163277	166353	+	141	264	892	0.29596412556053814	165	5	1002	0.00499001996007984	705	24	3710	0.00646900269541779
CUFF_NC.25	1	180261	180962	+	43	1	477	0.0020964360587002098	18	1	221	0.004524886877828055	149	2	1081	0.0018501387604070306
CUFF_NC.26	1	182345	182786	+	26	0	132	0.0	9	0	48	0.0	73	1	234	0.004273504273504274
CUFF_NC.28	1	192588	193200	+	16	0	79	0.0	34	0	148	0.0	169	3	699	0.004291845493562232
CUFF_NC.23	1	196107	196598	-	76	4	449	0.008908685968819599	45	0	250	0.0	121	1	412	0.0024271844660194173
CUFF_NC.24	1	197887	198512	-	43	3	363	0.008264462809917356	29	2	246	0.008130081300813009	161	5	1078	0.00463821892393321
CUFF_NC.27	1	210058	210613	-	41	0	245	0.0	36	0	215	0.0	135	3	792	0.003787878787878788
CUFF_NC.29	1	219083	221145	-	249	3	1213	0.00247320692497939	157	3	765	0.00392156862745098	448	12	2289	0.005242463958060288
CUFF_NC.30	1	226848	227453	+	33	1	149	0.006711409395973154	34	0	164	0.0	150	4	628	0.006369426751592357
CUFF_NC.34	1	233075	237654	+	167	561	1171	0.47907771135781385	295	14	2093	0.006688963210702341	1169	44	7246	0.006072315760419542
CUFF_NC.31	1	238416	239453	+	70	661	692	0.9552023121387283	53	452	562	0.8042704626334519	304	511	2736	0.18676900584795322
CUFF_NC.32	1	254830	257455	+	132	232	958	0.24217118997912318	94	99	698	0.14183381088825214	524	243	3326	0.07306073361395068
CUFF_NC.58	1	283807	284180	-	36	0	184	0.0	19	2	96	0.020833333333333332	102	3	384	0.0078125
CUFF_NC.33	1	294207	295108	-	45	0	228	0.0	47	3	309	0.009708737864077669	229	7	1282	0.00546021840873635
CUFF_NC.36	1	301346	301758	+	10	1	87	0.011494252873563218	20	0	157	0.0	99	3	706	0.00424929178470255
CUFF_NC.35	1	308731	309427	+	58	0	340	0.0	47	0	278	0.0	180	5	920	0.005434782608695652
CUFF_NC.44	1	319180	319521	-	10	20	83	0.24096385542168675	17	0	188	0.0	64	4	438	0.0091324200913242
CUFF_NC.37	1	341814	342849	+	45	1	312	0.003205128205128205	38	1	218	0.0045871559633027525	205	13	1116	0.011648745519713262
CUFF_NC.43	1	347638	348472	-	28	2	160	0.0125	36	5	188	0.026595744680851064	175	7	831	0.00842358604091456
CUFF_NC.42	1	355746	356392	+	39	0	241	0.0	36	1	195	0.005128205128205128	139	3	531	0.005649717514124294
CUFF_NC.39	1	358665	360498	+	123	321	748	0.42914438502673796	145	4	904	0.004424778761061947	536	16	2897	0.005522954780807732
CUFF_NC.38	1	365198	366851	-	126	3	725	0.004137931034482759	111	3	624	0.004807692307692308	307	7	1452	0.0048209366391184574
CUFF_NC.41	1	370226	371382	+	92	1	549	0.0018214936247723133	57	0	346	0.0	275	7	1478	0.004736129905277402
CUFF_NC.40	1	371997	372411	+	31	2	205	0.00975609756097561	21	3	166	0.018072289156626505	111	8	582	0.013745704467353952
CUFF_NC.57	1	392706	395717	-	231	186	1259	0.14773629864972201	257	6	1477	0.004062288422477996	737	19	3807	0.004990806409246125
CUFF_NC.54	1	409235	410549	-	86	2	521	0.003838771593090211	104	3	658	0.004559270516717325	366	14	1890	0.007407407407407408
CUFF_NC.53	1	413681	414878	+	70	24	557	0.04308797127468582	111	8	819	0.009768009768009768	327	6	1858	0.0032292787944025836
CUFF_NC.46	1	417273	417814	-	15	0	54	0.0	28	1	158	0.006329113924050633	116	2	442	0.004524886877828055
CUFF_NC.49	1	421746	425334	-	141	475	1023	0.46432062561094817	106	63	639	0.09859154929577464	701	364	4212	0.08641975308641975
CUFF_NC.48	1	424665	425164	+	38	3	284	0.01056338028169014	37	1	258	0.003875968992248062	117	9	875	0.010285714285714285
CUFF_NC.45	1	425557	426435	+	29	1	163	0.006134969325153374	30	0	241	0.0	143	4	874	0.004576659038901602
CUFF_NC.47	1	435444	435889	+	12	0	91	0.0	39	2	276	0.007246376811594203	104	0	680	0.0
CUFF_NC.50	1	442462	442900	+	22	0	201	0.0	22	1	213	0.004694835680751174	117	5	966	0.005175983436853002
CUFF_NC.52	1	446824	448464	+	64	342	594	0.5757575757575758	84	160	678	0.2359882005899705	356	294	2691	0.10925306577480491
CUFF_NC.51	1	463998	464582	+	78	0	301	0.0	42	1	170	0.0058823529411764705	143	1	550	0.0018181818181818182
CUFF_NC.55	1	482013	483177	-	84	1	654	0.0015290519877675841	56	2	367	0.005449591280653951	282	7	1655	0.004229607250755287
CUFF_NC.59	1	512866	513261	+	29	252	318	0.7924528301886793	17	62	171	0.36257309941520466	97	203	731	0.2777017783857729
CUFF_NC.60	1	514888	515295	+	24	1	260	0.0038461538461538464	25	3	227	0.013215859030837005	106	4	630	0.006349206349206349
CUFF_NC.70	1	523944	530099	-	405	685	2791	0.2454317448943031	399	8	2663	0.0030041306796845663	1421	31	7907	0.0039205767041861645
CUFF_NC.71	1	525592	531975	-	405	676	2818	0.23988644428672817	441	9	3008	0.0029920212765957447	1431	45	8112	0.005547337278106509
CUFF_NC.72	1	528007	534109	-	386	265	2590	0.10231660231660232	415	7	2809	0.002491990032039872	1403	33	8117	0.004065541456203031
CUFF_NC.62	1	538375	544045	-	189	303	1665	0.18198198198198198	243	97	2006	0.04835493519441675	1089	421	6734	0.06251856251856251
CUFF_NC.64	1	547818	551699	-	190	377	1426	0.2643758765778401	113	75	689	0.10885341074020319	704	302	4341	0.06956922368117945
CUFF_NC.65	1	550120	550546	-	9	15	15	1.0	7	5	13	0.38461538461538464	61	22	173	0.12716763005780346
CUFF_NC.68	1	556826	558761	-	123	3	597	0.005025125628140704	120	5	598	0.008361204013377926	517	13	2113	0.006152389966871746
CUFF_NC.61	1	559734	560251	+	9	0	59	0.0	14	0	84	0.0	129	4	607	0.006589785831960461
CUFF_NC.66	1	564136	564745	-	49	1	237	0.004219409282700422	46	1	207	0.004830917874396135	139	4	617	0.006482982171799027
CUFF_NC.67	1	565230	565784	-	58	2	334	0.005988023952095809	35	2	209	0.009569377990430622	137	2	635	0.0031496062992125984
CUFF_NC.63	1	568739	570386	-	194	8	1254	0.006379585326953748	106	4	630	0.006349206349206349	338	15	1703	0.008807985907222548
CUFF_NC.73	1	588007	589390	-	117	2	600	0.0033333333333333335	71	4	395	0.010126582278481013	251	3	1335	0.0022471910112359553
CUFF_NC.76	1	591664	593419	-	117	9	969	0.009287925696594427	86	5	600	0.008333333333333333	357	8	1827	0.004378762999452655
CUFF_NC.74	1	594729	596073	+	63	0	409	0.0	106	3	689	0.0043541364296081275	370	14	2042	0.0068560235063663075
CUFF_NC.75	1	597522	598135	+	39	15	266	0.05639097744360902	42	1	236	0.00423728813559322	134	1	654	0.0015290519877675841
CUFF_NC.77	1	599765	600204	+	18	40	148	0.2702702702702703	33	0	248	0.0	116	1	667	0.0014992503748125937
CUFF_NC.78	1	610701	611509	+	70	4	504	0.007936507936507936	48	0	328	0.0	229	7	1514	0.004623513870541612
CUFF_NC.79	1	617987	619403	-	193	6	1191	0.005037783375314861	106	4	641	0.0062402496099844	281	9	1481	0.006076975016880486
CUFF_NC.80	1	622046	622369	-	19	1	161	0.006211180124223602	15	0	132	0.0	64	3	534	0.0056179775280898875
CUFF_NC.83	1	632744	633122	-	14	0	89	0.0	25	3	221	0.013574660633484163	86	6	669	0.008968609865470852
CUFF_NC.90	1	640236	640825	-	24	125	133	0.9398496240601504	5	9	51	0.17647058823529413	94	62	364	0.17032967032967034
CUFF_NC.89	1	641448	642563	+	66	1	413	0.002421307506053269	42	0	216	0.0	200	9	1116	0.008064516129032258
CUFF_NC.81	1	653973	654416	+	37	2	215	0.009302325581395349	34	1	178	0.0056179775280898875	114	1	604	0.0016556291390728477
CUFF_NC.84	1	658696	661410	+	132	2	828	0.0024154589371980675	116	4	825	0.0048484848484848485	709	25	4300	0.005813953488372093
CUFF_NC.85	1	659555	662333	+	140	3	862	0.0034802784222737818	108	5	746	0.006702412868632708	698	22	4169	0.005277044854881266
CUFF_NC.82	1	663236	663656	+	22	0	72	0.0	24	0	90	0.0	116	0	386	0.0
CUFF_NC.86	1	665248	666402	+	59	16	325	0.04923076923076923	37	0	159	0.0	289	12	1227	0.009779951100244499
CUFF_NC.87	1	675516	676334	-	38	7	215	0.03255813953488372	43	0	247	0.0	225	10	1168	0.008561643835616438
CUFF_NC.88	1	693076	693540	-	11	1	72	0.013888888888888888	16	0	76	0.0	104	7	313	0.022364217252396165
CUFF_NC.91	1	705921	706616	+	45	1	386	0.0025906735751295338	39	0	357	0.0	176	7	1143	0.006124234470691163
CUFF_NC.93	1	731716	732702	+	60	127	670	0.18955223880597014	57	5	755	0.006622516556291391	218	17	1859	0.00914470145239376
CUFF_NC.94	1	742835	743218	-	18	128	135	0.9481481481481482	16	0	121	0.0	117	4	780	0.005128205128205128
CUFF_NC.92	1	769606	770629	-	60	1	429	0.002331002331002331	42	1	309	0.003236245954692557	200	6	1299	0.004618937644341801
CUFF_NC.96	1	792040	792527	+	13	95	98	0.9693877551020408	10	58	77	0.7532467532467533	79	125	505	0.24752475247524752
CUFF_NC.97	1	792753	793059	+	22	0	172	0.0	14	1	117	0.008547008547008548	55	0	417	0.0
CUFF_NC.95	1	813492	814238	-	38	0	278	0.0	36	0	235	0.0	186	6	1136	0.00528169014084507
CUFF_NC.99	1	820959	821299	-	10	0	68	0.0	20	0	126	0.0	105	1	580	0.0017241379310344827
CUFF_NC.98	1	822863	823948	+	41	0	330	0.0	80	2	687	0.002911208151382824	177	3	1138	0.0026362038664323375
