gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	5	136	0.03676470588235294	20	1	152	0.006578947368421052	168	4	979	0.0040858018386108275
CUFF_NC.4	1	33820	36039	+	74	102	704	0.14488636363636365	157	5	1569	0.0031867431485022306	487	22	4115	0.0053462940461725394
CUFF_NC.2	1	45074	46980	+	104	3	1129	0.002657218777679362	95	3	907	0.0033076074972436605	404	11	3163	0.0034777110338286435
CUFF_NC.3	1	51977	52743	-	69	0	297	0.0	56	0	272	0.0	155	3	627	0.004784688995215311
CUFF_NC.9	1	63146	64476	+	46	1	709	0.0014104372355430183	54	0	825	0.0	250	18	2834	0.006351446718419196
CUFF_NC.10	1	67285	67782	+	65	2	425	0.004705882352941176	29	1	193	0.0051813471502590676	82	0	509	0.0
CUFF_NC.5	1	69606	71157	+	69	95	714	0.1330532212885154	47	1	441	0.0022675736961451248	335	24	2585	0.009284332688588007
CUFF_NC.8	1	73084	73716	-	19	1	85	0.011764705882352941	57	0	235	0.0	175	3	593	0.00505902192242833
CUFF_NC.12	1	75366	76624	-	177	3	891	0.003367003367003367	93	0	397	0.0	232	5	1104	0.004528985507246377
CUFF_NC.13	1	77837	78333	+	21	0	335	0.0	9	0	65	0.0	65	1	638	0.001567398119122257
CUFF_NC.6	1	86737	87289	+	89	0	248	0.0	42	0	125	0.0	107	0	314	0.0
CUFF_NC.18	1	89402	91722	-	67	2	326	0.006134969325153374	133	6	1005	0.005970149253731343	539	10	3189	0.0031357792411414237
CUFF_NC.19	1	95040	96380	-	67	29	428	0.06775700934579439	76	4	579	0.0069084628670120895	292	14	1872	0.007478632478632479
CUFF_NC.11	1	100800	101866	-	36	1	283	0.0035335689045936395	47	3	541	0.005545286506469501	240	4	1561	0.0025624599615631004
CUFF_NC.7	1	104712	105333	+	69	1	276	0.0036231884057971015	64	1	232	0.004310344827586207	140	0	454	0.0
CUFF_NC.15	1	116797	118774	-	253	3	1195	0.002510460251046025	134	1	501	0.001996007984031936	339	3	1445	0.0020761245674740486
CUFF_NC.14	1	119083	119969	-	39	1	425	0.002352941176470588	25	0	274	0.0	202	2	1731	0.0011554015020219526
CUFF_NC.20	1	121456	123494	+	105	535	914	0.5853391684901532	158	10	1371	0.007293946024799417	431	28	3005	0.009317803660565723
CUFF_NC.21	1	133006	133474	+	14	14	82	0.17073170731707318	20	1	107	0.009345794392523364	80	0	322	0.0
CUFF_NC.16	1	141174	141695	+	14	0	90	0.0	11	1	64	0.015625	122	3	567	0.005291005291005291
