gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	18	2	111	0.018018018018018018	22	0	125	0.0	186	3	1154	0.0025996533795493936
CUFF_NC.4	1	33820	36039	+	83	79	796	0.0992462311557789	176	6	1686	0.0035587188612099642	560	22	4330	0.005080831408775982
CUFF_NC.2	1	45074	46980	+	103	4	974	0.004106776180698152	98	4	852	0.004694835680751174	391	11	3142	0.003500954805856143
CUFF_NC.3	1	51977	52743	-	68	0	481	0.0	54	2	302	0.006622516556291391	158	9	651	0.013824884792626729
CUFF_NC.9	1	63146	64476	+	60	1	497	0.002012072434607646	62	0	506	0.0	260	8	1795	0.004456824512534819
CUFF_NC.10	1	67285	67782	+	78	0	673	0.0	32	0	275	0.0	106	3	866	0.003464203233256351
CUFF_NC.5	1	69606	71157	+	59	85	509	0.16699410609037327	40	5	296	0.016891891891891893	240	8	1512	0.005291005291005291
CUFF_NC.8	1	73084	73716	-	19	0	139	0.0	56	0	452	0.0	164	4	1034	0.0038684719535783366
CUFF_NC.12	1	75366	76624	-	181	6	1669	0.0035949670461354103	98	2	756	0.0026455026455026454	229	9	1716	0.005244755244755245
CUFF_NC.13	1	77837	78333	+	22	0	177	0.0	7	0	32	0.0	54	2	323	0.006191950464396285
CUFF_NC.6	1	86737	87289	+	91	4	964	0.004149377593360996	38	0	372	0.0	105	3	1094	0.002742230347349177
CUFF_NC.18	1	89402	91722	-	57	46	472	0.09745762711864407	119	0	1076	0.0	456	21	3558	0.005902192242833052
CUFF_NC.19	1	95040	96380	-	70	137	631	0.21711568938193343	84	2	787	0.0025412960609911056	322	11	2530	0.004347826086956522
CUFF_NC.11	1	100800	101866	-	39	2	326	0.006134969325153374	47	0	487	0.0	231	8	1627	0.004917025199754148
CUFF_NC.7	1	104712	105333	+	71	3	709	0.004231311706629055	61	1	588	0.0017006802721088435	128	2	1102	0.0018148820326678765
CUFF_NC.15	1	116797	118774	-	271	12	2930	0.004095563139931741	143	4	1497	0.0026720106880427524	364	10	3165	0.00315955766192733
CUFF_NC.14	1	119083	119969	-	37	2	382	0.005235602094240838	24	0	225	0.0	176	5	1281	0.0039032006245121
CUFF_NC.20	1	121456	123494	+	114	885	1097	0.8067456700091158	179	12	1639	0.007321537522879805	498	15	4017	0.0037341299477221808
CUFF_NC.21	1	133006	133474	+	13	50	96	0.5208333333333334	17	0	130	0.0	76	3	360	0.008333333333333333
CUFF_NC.16	1	141174	141695	+	11	1	68	0.014705882352941176	8	1	41	0.024390243902439025	90	2	400	0.005
CUFF_NC.17	1	154589	156159	+	186	13	1963	0.006622516556291391	83	2	853	0.0023446658851113715	365	9	3085	0.002917341977309562
CUFF_NC.22	1	163277	166353	+	144	493	1125	0.43822222222222224	179	5	1379	0.0036258158085569255	719	32	4574	0.006996064713598601
CUFF_NC.25	1	180261	180962	+	37	2	423	0.004728132387706856	15	0	167	0.0	108	5	940	0.005319148936170213
CUFF_NC.26	1	182345	182786	+	24	2	143	0.013986013986013986	8	1	36	0.027777777777777776	46	2	185	0.010810810810810811
