gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	21	1	148	0.006756756756756757	21	0	111	0.0	159	1	932	0.001072961373390558
CUFF_NC.4	1	33820	36039	+	75	89	572	0.1555944055944056	163	5	1336	0.0037425149700598802	512	11	3475	0.0031654676258992807
CUFF_NC.2	1	45074	46980	+	97	4	922	0.004338394793926247	86	1	721	0.0013869625520110957	341	4	2578	0.0015515903801396431
CUFF_NC.3	1	51977	52743	-	56	1	153	0.006535947712418301	49	0	157	0.0	151	2	424	0.0047169811320754715
CUFF_NC.9	1	63146	64476	+	51	3	508	0.005905511811023622	48	2	500	0.004	244	8	1693	0.004725339633786178
CUFF_NC.10	1	67285	67782	+	52	1	381	0.0026246719160104987	21	0	164	0.0	66	1	376	0.0026595744680851063
CUFF_NC.5	1	69606	71157	+	64	17	409	0.04156479217603912	38	1	280	0.0035714285714285713	261	4	1526	0.002621231979030144
CUFF_NC.8	1	73084	73716	-	15	0	53	0.0	53	1	183	0.00546448087431694	150	0	402	0.0
CUFF_NC.12	1	75366	76624	-	152	1	718	0.001392757660167131	79	0	331	0.0	178	3	892	0.0033632286995515697
CUFF_NC.13	1	77837	78333	+	29	0	247	0.0	12	0	60	0.0	104	1	522	0.0019157088122605363
CUFF_NC.6	1	86737	87289	+	80	1	148	0.006756756756756757	38	0	64	0.0	99	0	178	0.0
CUFF_NC.18	1	89402	91722	-	59	0	281	0.0	124	0	738	0.0	492	8	2449	0.0032666394446712946
CUFF_NC.19	1	95040	96380	-	71	74	476	0.15546218487394958	87	4	550	0.007272727272727273	314	1	1884	0.0005307855626326964
CUFF_NC.11	1	100800	101866	-	42	0	268	0.0	47	1	459	0.002178649237472767	252	5	1410	0.0035460992907801418
CUFF_NC.7	1	104712	105333	+	67	0	143	0.0	56	0	116	0.0	144	0	278	0.0
CUFF_NC.15	1	116797	118774	-	234	2	805	0.002484472049689441	122	1	361	0.002770083102493075	315	2	1099	0.0018198362147406734
CUFF_NC.14	1	119083	119969	-	38	0	340	0.0	23	0	183	0.0	184	3	1339	0.0022404779686333084
CUFF_NC.20	1	121456	123494	+	93	536	680	0.788235294117647	152	2	1175	0.001702127659574468	399	10	2458	0.0040683482506102524
CUFF_NC.21	1	133006	133474	+	14	7	90	0.07777777777777778	20	1	119	0.008403361344537815	100	2	321	0.006230529595015576
CUFF_NC.16	1	141174	141695	+	15	0	63	0.0	11	0	48	0.0	139	2	509	0.003929273084479371
CUFF_NC.17	1	154589	156159	+	150	4	904	0.004424778761061947	67	0	304	0.0	294	2	1400	0.0014285714285714286
CUFF_NC.22	1	163277	166353	+	144	165	607	0.27182866556836904	168	5	736	0.006793478260869565	698	17	2745	0.006193078324225865
CUFF_NC.25	1	180261	180962	+	38	1	549	0.0018214936247723133	17	0	282	0.0	99	2	1174	0.0017035775127768314
CUFF_NC.26	1	182345	182786	+	16	0	160	0.0	7	0	55	0.0	53	2	294	0.006802721088435374
CUFF_NC.28	1	192588	193200	+	13	0	71	0.0	28	1	127	0.007874015748031496	144	2	661	0.0030257186081694403
CUFF_NC.23	1	196107	196598	-	52	0	204	0.0	30	0	104	0.0	48	0	186	0.0
CUFF_NC.24	1	197887	198512	-	37	0	253	0.0	23	0	155	0.0	128	4	677	0.005908419497784343
CUFF_NC.27	1	210058	210613	-	37	0	241	0.0	32	0	235	0.0	123	4	718	0.005571030640668524
CUFF_NC.29	1	219083	221145	-	244	1	729	0.0013717421124828531	143	1	487	0.002053388090349076	441	4	1456	0.0027472527472527475
CUFF_NC.30	1	226848	227453	+	31	0	158	0.0	33	0	88	0.0	125	1	451	0.0022172949002217295
CUFF_NC.34	1	233075	237654	+	147	407	871	0.4672789896670494	266	5	1750	0.002857142857142857	979	18	6024	0.00298804780876494
CUFF_NC.31	1	238416	239453	+	65	649	688	0.9433139534883721	47	433	495	0.8747474747474747	276	1382	3042	0.4543063773833005
CUFF_NC.32	1	254830	257455	+	122	291	1006	0.28926441351888665	93	142	830	0.1710843373493976	489	434	3580	0.1212290502793296
CUFF_NC.58	1	283807	284180	-	37	0	116	0.0	21	0	64	0.0	88	0	214	0.0
CUFF_NC.33	1	294207	295108	-	46	2	210	0.009523809523809525	51	2	327	0.0061162079510703364	255	5	1302	0.0038402457757296467
CUFF_NC.36	1	301346	301758	+	10	0	116	0.0	19	0	161	0.0	92	1	769	0.0013003901170351106
CUFF_NC.35	1	308731	309427	+	54	0	357	0.0	44	0	247	0.0	164	0	830	0.0
CUFF_NC.44	1	319180	319521	-	12	1	136	0.007352941176470588	20	0	215	0.0	90	1	572	0.0017482517482517483
CUFF_NC.37	1	341814	342849	+	49	0	261	0.0	41	0	175	0.0	227	2	1030	0.001941747572815534
CUFF_NC.43	1	347638	348472	-	29	0	128	0.0	35	0	171	0.0	155	5	923	0.005417118093174431
CUFF_NC.42	1	355746	356392	+	38	0	281	0.0	32	2	170	0.011764705882352941	150	1	616	0.0016233766233766235
CUFF_NC.39	1	358665	360498	+	104	106	564	0.1879432624113475	123	5	683	0.007320644216691069	447	6	1932	0.003105590062111801
CUFF_NC.38	1	365198	366851	-	106	3	541	0.005545286506469501	88	1	462	0.0021645021645021645	267	7	1329	0.005267118133935289
CUFF_NC.41	1	370226	371382	+	85	0	372	0.0	47	0	246	0.0	251	9	1286	0.006998444790046656
CUFF_NC.40	1	371997	372411	+	31	0	131	0.0	14	0	60	0.0	68	0	257	0.0
CUFF_NC.57	1	392706	395717	-	208	72	1021	0.07051909892262488	224	9	1130	0.007964601769911504	656	15	3068	0.0048891786179921775
CUFF_NC.54	1	409235	410549	-	85	4	388	0.010309278350515464	103	1	487	0.002053388090349076	343	3	1423	0.0021082220660576245
CUFF_NC.53	1	413681	414878	+	62	18	523	0.03441682600382409	100	0	705	0.0	238	2	1525	0.0013114754098360656
CUFF_NC.46	1	417273	417814	-	16	0	44	0.0	21	0	74	0.0	80	0	316	0.0
CUFF_NC.49	1	421746	425334	-	109	305	792	0.3851010101010101	84	39	466	0.08369098712446352	553	267	3139	0.08505893596686843
CUFF_NC.48	1	424665	425164	+	35	0	282	0.0	34	1	246	0.0040650406504065045	116	3	829	0.0036188178528347406
CUFF_NC.45	1	425557	426435	+	29	0	114	0.0	29	1	182	0.005494505494505495	139	3	752	0.003989361702127659
CUFF_NC.47	1	435444	435889	+	12	0	70	0.0	39	0	214	0.0	103	0	515	0.0
CUFF_NC.50	1	442462	442900	+	22	0	117	0.0	22	0	129	0.0	117	1	552	0.0018115942028985507
CUFF_NC.52	1	446824	448464	+	49	332	412	0.8058252427184466	63	102	437	0.2334096109839817	263	213	1724	0.12354988399071926
CUFF_NC.51	1	463998	464582	+	57	0	132	0.0	35	0	85	0.0	118	1	250	0.004
CUFF_NC.55	1	482013	483177	-	84	1	393	0.002544529262086514	51	1	240	0.004166666666666667	251	2	1131	0.0017683465959328027
CUFF_NC.59	1	512866	513261	+	29	366	453	0.8079470198675497	15	123	233	0.5278969957081545	84	559	1148	0.48693379790940766
CUFF_NC.60	1	514888	515295	+	25	0	207	0.0	21	0	152	0.0	81	0	420	0.0
CUFF_NC.70	1	523944	530099	-	369	338	1889	0.17893065113816833	356	1	1865	0.0005361930294906167	1144	8	5418	0.0014765596160944998
CUFF_NC.71	1	525592	531975	-	372	324	1985	0.1632241813602015	391	1	2131	0.0004692632566870014	1166	10	5555	0.0018001800180018
CUFF_NC.72	1	528007	534109	-	353	135	1848	0.07305194805194805	376	2	2016	0.000992063492063492	1154	11	5260	0.002091254752851711
CUFF_NC.62	1	538375	544045	-	134	37	1246	0.02969502407704655	187	6	1452	0.004132231404958678	775	14	4296	0.0032588454376163874
CUFF_NC.64	1	547818	551699	-	156	354	1239	0.2857142857142857	91	98	542	0.18081180811808117	563	577	3266	0.17666870789957134
CUFF_NC.65	1	550120	550546	-	9	34	35	0.9714285714285714	4	15	19	0.7894736842105263	29	81	158	0.5126582278481012
CUFF_NC.68	1	556826	558761	-	96	1	437	0.002288329519450801	101	1	409	0.0024449877750611247	411	11	1520	0.007236842105263158
CUFF_NC.61	1	559734	560251	+	8	0	63	0.0	16	0	107	0.0	108	5	630	0.007936507936507936
CUFF_NC.66	1	564136	564745	-	37	0	128	0.0	34	0	135	0.0	95	0	337	0.0
CUFF_NC.67	1	565230	565784	-	57	1	253	0.003952569169960474	34	0	152	0.0	134	2	564	0.0035460992907801418
CUFF_NC.63	1	568739	570386	-	146	2	863	0.002317497103128621	80	2	441	0.0045351473922902496	243	2	1251	0.0015987210231814548
CUFF_NC.73	1	588007	589390	-	118	2	508	0.003937007874015748	83	1	381	0.0026246719160104987	284	1	1367	0.000731528895391368
CUFF_NC.76	1	591664	593419	-	91	1	775	0.0012903225806451613	58	1	478	0.0020920502092050207	210	3	1389	0.0021598272138228943
CUFF_NC.74	1	594729	596073	+	64	0	372	0.0	99	2	447	0.0044742729306487695	319	7	1328	0.005271084337349397
CUFF_NC.75	1	597522	598135	+	32	0	203	0.0	36	1	207	0.004830917874396135	105	0	536	0.0
CUFF_NC.77	1	599765	600204	+	17	19	95	0.2	30	1	158	0.006329113924050633	95	1	429	0.002331002331002331
CUFF_NC.78	1	610701	611509	+	61	0	161	0.0	44	0	114	0.0	193	2	643	0.003110419906687403
CUFF_NC.79	1	617987	619403	-	170	1	706	0.00141643059490085	99	0	433	0.0	235	4	957	0.0041797283176593526
CUFF_NC.80	1	622046	622369	-	20	0	126	0.0	16	0	111	0.0	78	2	513	0.003898635477582846
CUFF_NC.83	1	632744	633122	-	14	0	44	0.0	23	0	64	0.0	73	0	206	0.0
CUFF_NC.90	1	640236	640825	-	8	36	47	0.7659574468085106	2	1	23	0.043478260869565216	41	14	157	0.08917197452229299
CUFF_NC.89	1	641448	642563	+	43	1	413	0.002421307506053269	30	0	160	0.0	159	3	1077	0.002785515320334262
CUFF_NC.81	1	653973	654416	+	35	0	167	0.0	32	0	142	0.0	102	3	423	0.0070921985815602835
CUFF_NC.84	1	658696	661410	+	122	3	751	0.0039946737683089215	112	1	779	0.0012836970474967907	663	11	3880	0.0028350515463917525
CUFF_NC.85	1	659555	662333	+	129	3	773	0.0038809831824062097	102	1	713	0.001402524544179523	629	13	3623	0.0035881865857024567
CUFF_NC.82	1	663236	663656	+	20	3	49	0.061224489795918366	21	0	62	0.0	102	2	317	0.006309148264984227
CUFF_NC.86	1	665248	666402	+	54	0	224	0.0	28	0	106	0.0	246	1	878	0.0011389521640091116
CUFF_NC.87	1	675516	676334	-	31	2	162	0.012345679012345678	36	1	187	0.0053475935828877	205	2	919	0.002176278563656148
CUFF_NC.88	1	693076	693540	-	10	0	114	0.0	17	1	120	0.008333333333333333	74	3	495	0.006060606060606061
