gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	19	0	169	0.0	22	0	103	0.0	155	3	882	0.003401360544217687
CUFF_NC.4	1	33820	36039	+	72	243	698	0.34813753581661894	158	7	1541	0.004542504866969501	490	15	3665	0.004092769440654843
CUFF_NC.2	1	45074	46980	+	102	24	929	0.02583423035522067	97	2	770	0.0025974025974025974	365	9	2802	0.0032119914346895075
CUFF_NC.3	1	51977	52743	-	66	0	319	0.0	46	1	218	0.0045871559633027525	124	4	433	0.009237875288683603
CUFF_NC.9	1	63146	64476	+	55	2	460	0.004347826086956522	56	1	538	0.0018587360594795538	212	8	1538	0.005201560468140442
CUFF_NC.10	1	67285	67782	+	59	4	523	0.0076481835564053535	23	1	248	0.004032258064516129	78	8	598	0.013377926421404682
CUFF_NC.5	1	69606	71157	+	52	46	304	0.1513157894736842	33	9	182	0.04945054945054945	180	3	681	0.004405286343612335
CUFF_NC.8	1	73084	73716	-	14	2	97	0.020618556701030927	53	1	375	0.0026666666666666666	133	3	857	0.003500583430571762
CUFF_NC.12	1	75366	76624	-	166	2	1562	0.0012804097311139564	86	2	753	0.0026560424966799467	203	5	1428	0.0035014005602240898
CUFF_NC.13	1	77837	78333	+	20	0	138	0.0	6	0	30	0.0	52	0	232	0.0
CUFF_NC.6	1	86737	87289	+	87	2	1003	0.0019940179461615153	31	1	374	0.00267379679144385	97	1	985	0.0010152284263959391
CUFF_NC.18	1	89402	91722	-	43	0	252	0.0	89	3	642	0.004672897196261682	340	11	1891	0.005817028027498678
CUFF_NC.19	1	95040	96380	-	62	193	514	0.3754863813229572	69	3	535	0.005607476635514018	218	6	1378	0.0043541364296081275
CUFF_NC.11	1	100800	101866	-	41	1	356	0.0028089887640449437	45	2	457	0.00437636761487965	214	7	1656	0.004227053140096618
CUFF_NC.7	1	104712	105333	+	70	3	643	0.004665629860031105	59	0	540	0.0	113	4	961	0.004162330905306972
CUFF_NC.15	1	116797	118774	-	256	7	2626	0.0026656511805026656	130	5	1264	0.003955696202531646	302	8	2521	0.0031733439111463705
CUFF_NC.14	1	119083	119969	-	29	1	188	0.005319148936170213	20	0	105	0.0	142	4	627	0.006379585326953748
CUFF_NC.20	1	121456	123494	+	106	681	904	0.7533185840707964	170	5	1288	0.0038819875776397515	428	13	2944	0.004415760869565217
CUFF_NC.21	1	133006	133474	+	17	31	67	0.4626865671641791	18	0	77	0.0	66	2	181	0.011049723756906077
CUFF_NC.16	1	141174	141695	+	8	0	33	0.0	7	0	16	0.0	64	0	211	0.0
CUFF_NC.17	1	154589	156159	+	171	10	1714	0.005834305717619603	76	1	734	0.0013623978201634877	287	16	2709	0.005906238464377999
CUFF_NC.22	1	163277	166353	+	131	556	1019	0.5456329735034348	154	7	1189	0.005887300252312868	576	15	3680	0.004076086956521739
CUFF_NC.25	1	180261	180962	+	38	3	434	0.0069124423963133645	16	1	178	0.0056179775280898875	136	3	993	0.0030211480362537764
CUFF_NC.26	1	182345	182786	+	25	1	121	0.008264462809917356	8	0	23	0.0	50	2	146	0.0136986301369863
CUFF_NC.28	1	192588	193200	+	16	1	75	0.013333333333333334	27	1	130	0.007692307692307693	134	3	515	0.005825242718446602
CUFF_NC.23	1	196107	196598	-	59	2	641	0.0031201248049922	35	1	331	0.0030211480362537764	66	2	382	0.005235602094240838
CUFF_NC.24	1	197887	198512	-	38	24	237	0.10126582278481013	24	0	150	0.0	130	4	706	0.0056657223796034
CUFF_NC.27	1	210058	210613	-	33	2	340	0.0058823529411764705	25	2	212	0.009433962264150943	95	1	814	0.0012285012285012285
CUFF_NC.29	1	219083	221145	-	247	5	2451	0.002039983680130559	153	2	1378	0.001451378809869376	443	21	3730	0.005630026809651474
CUFF_NC.30	1	226848	227453	+	23	0	86	0.0	35	1	134	0.007462686567164179	94	0	289	0.0
CUFF_NC.34	1	233075	237654	+	138	561	890	0.6303370786516854	255	11	1652	0.006658595641646489	886	28	5043	0.005552250644457664
CUFF_NC.31	1	238416	239453	+	67	627	654	0.9587155963302753	52	432	519	0.8323699421965318	275	487	2230	0.21838565022421524
CUFF_NC.32	1	254830	257455	+	126	132	763	0.17300131061598953	87	86	561	0.1532976827094474	390	138	1885	0.07320954907161804
CUFF_NC.58	1	283807	284180	-	30	1	210	0.004761904761904762	18	0	97	0.0	69	1	349	0.0028653295128939827
CUFF_NC.33	1	294207	295108	-	36	1	276	0.0036231884057971015	39	0	396	0.0	182	7	1234	0.005672609400324149
CUFF_NC.36	1	301346	301758	+	7	0	23	0.0	15	1	88	0.011363636363636364	55	3	373	0.00804289544235925
CUFF_NC.35	1	308731	309427	+	51	2	400	0.005	38	0	278	0.0	153	1	896	0.0011160714285714285
CUFF_NC.44	1	319180	319521	-	8	0	68	0.0	18	0	141	0.0	62	1	342	0.0029239766081871343
CUFF_NC.37	1	341814	342849	+	37	0	145	0.0	27	0	111	0.0	134	4	462	0.008658008658008658
CUFF_NC.43	1	347638	348472	-	26	0	110	0.0	35	0	139	0.0	136	2	513	0.003898635477582846
CUFF_NC.42	1	355746	356392	+	41	3	349	0.008595988538681949	37	0	278	0.0	104	0	613	0.0
CUFF_NC.39	1	358665	360498	+	122	295	921	0.32030401737242126	135	2	1160	0.0017241379310344827	424	16	3119	0.005129849310676499
CUFF_NC.38	1	365198	366851	-	102	4	711	0.005625879043600563	83	0	608	0.0	169	0	875	0.0
CUFF_NC.41	1	370226	371382	+	80	0	370	0.0	54	1	260	0.0038461538461538464	200	6	799	0.007509386733416771
CUFF_NC.40	1	371997	372411	+	28	1	210	0.004761904761904762	18	1	90	0.011111111111111112	68	0	329	0.0
CUFF_NC.57	1	392706	395717	-	218	298	1452	0.20523415977961432	230	11	1571	0.007001909611712286	613	21	4130	0.005084745762711864
CUFF_NC.54	1	409235	410549	-	79	7	679	0.010309278350515464	100	3	854	0.00351288056206089	334	9	2420	0.00371900826446281
CUFF_NC.53	1	413681	414878	+	52	160	367	0.4359673024523161	91	2	679	0.0029455081001472753	224	6	1443	0.004158004158004158
CUFF_NC.46	1	417273	417814	-	9	0	36	0.0	20	1	95	0.010526315789473684	46	1	181	0.0055248618784530384
CUFF_NC.49	1	421746	425334	-	89	35	525	0.06666666666666667	76	7	472	0.014830508474576272	390	48	1791	0.02680067001675042
CUFF_NC.48	1	424665	425164	+	38	1	358	0.002793296089385475	34	2	303	0.006600660066006601	108	5	812	0.006157635467980296
CUFF_NC.45	1	425557	426435	+	20	0	70	0.0	20	1	130	0.007692307692307693	70	1	417	0.002398081534772182
CUFF_NC.47	1	435444	435889	+	9	0	58	0.0	23	6	156	0.038461538461538464	68	7	406	0.017241379310344827
CUFF_NC.50	1	442462	442900	+	18	0	179	0.0	19	2	183	0.01092896174863388	92	4	848	0.0047169811320754715
CUFF_NC.52	1	446824	448464	+	49	6	285	0.021052631578947368	65	3	336	0.008928571428571428	203	11	921	0.011943539630836048
CUFF_NC.51	1	463998	464582	+	76	3	503	0.005964214711729622	40	2	255	0.00784313725490196	139	9	724	0.012430939226519336
CUFF_NC.55	1	482013	483177	-	73	3	842	0.0035629453681710215	43	1	489	0.002044989775051125	206	10	2006	0.004985044865403789
CUFF_NC.59	1	512866	513261	+	13	42	90	0.4666666666666667	12	21	92	0.22826086956521738	72	92	369	0.24932249322493225
CUFF_NC.60	1	514888	515295	+	16	0	215	0.0	14	0	172	0.0	46	6	471	0.012738853503184714
CUFF_NC.70	1	523944	530099	-	361	740	2878	0.2571230020847811	326	13	2765	0.004701627486437613	1024	33	7347	0.00449162923642303
CUFF_NC.71	1	525592	531975	-	368	910	2992	0.30414438502673796	364	13	3120	0.004166666666666667	1034	32	7428	0.004308023694130318
CUFF_NC.72	1	528007	534109	-	344	812	2884	0.2815533980582524	348	7	2972	0.0023553162853297443	979	28	7235	0.0038700760193503803
CUFF_NC.62	1	538375	544045	-	144	147	1414	0.10396039603960396	193	21	1803	0.011647254575707155	659	66	5312	0.012424698795180723
CUFF_NC.64	1	547818	551699	-	119	79	907	0.08710033076074973	65	16	434	0.03686635944700461	331	96	1802	0.05327413984461709
CUFF_NC.65	1	550120	550546	-	3	5	5	1.0	0	0	0		8	8	27	0.2962962962962963
CUFF_NC.68	1	556826	558761	-	105	1	536	0.0018656716417910447	98	4	503	0.007952286282306162	368	7	1709	0.004095962551199532
CUFF_NC.61	1	559734	560251	+	4	0	18	0.0	7	0	30	0.0	35	0	112	0.0
CUFF_NC.66	1	564136	564745	-	47	2	345	0.005797101449275362	42	0	362	0.0	102	1	759	0.0013175230566534915
CUFF_NC.67	1	565230	565784	-	59	3	450	0.006666666666666667	32	1	300	0.0033333333333333335	121	8	814	0.009828009828009828
CUFF_NC.63	1	568739	570386	-	200	8	1780	0.0044943820224719105	114	4	840	0.004761904761904762	317	14	1977	0.0070814365199797676
CUFF_NC.73	1	588007	589390	-	121	3	836	0.0035885167464114833	73	1	521	0.0019193857965451055	242	6	1334	0.004497751124437781
CUFF_NC.76	1	591664	593419	-	110	6	1327	0.00452147701582517	71	2	725	0.002758620689655172	254	8	2020	0.0039603960396039604
CUFF_NC.74	1	594729	596073	+	53	1	449	0.0022271714922048997	94	1	882	0.0011337868480725624	288	13	2280	0.005701754385964913
CUFF_NC.75	1	597522	598135	+	31	2	328	0.006097560975609756	30	0	357	0.0	82	0	754	0.0
CUFF_NC.77	1	599765	600204	+	15	76	169	0.44970414201183434	28	2	226	0.008849557522123894	80	2	555	0.0036036036036036037
CUFF_NC.78	1	610701	611509	+	63	19	691	0.027496382054992764	41	2	420	0.004761904761904762	185	7	1543	0.004536616979909268
CUFF_NC.79	1	617987	619403	-	186	9	1899	0.004739336492890996	96	3	966	0.003105590062111801	243	13	2073	0.006271104679208876
CUFF_NC.80	1	622046	622369	-	19	0	173	0.0	15	0	155	0.0	64	3	424	0.007075471698113208
CUFF_NC.83	1	632744	633122	-	11	0	64	0.0	18	0	83	0.0	57	0	231	0.0
CUFF_NC.90	1	640236	640825	-	12	21	21	1.0	2	3	6	0.5	50	23	101	0.22772277227722773
CUFF_NC.89	1	641448	642563	+	57	1	624	0.0016025641025641025	40	0	340	0.0	158	4	1325	0.0030188679245283017
CUFF_NC.81	1	653973	654416	+	36	1	263	0.0038022813688212928	33	1	206	0.0048543689320388345	103	3	573	0.005235602094240838
CUFF_NC.84	1	658696	661410	+	116	4	772	0.0051813471502590676	102	2	803	0.0024906600249066002	555	8	3987	0.00200652119388011
CUFF_NC.85	1	659555	662333	+	130	7	942	0.0074309978768577496	94	1	660	0.0015151515151515152	561	10	3760	0.0026595744680851063
CUFF_NC.82	1	663236	663656	+	15	1	34	0.029411764705882353	17	0	45	0.0	86	3	236	0.012711864406779662
