gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	13	1	79	0.012658227848101266	17	0	83	0.0	137	0	668	0.0
CUFF_NC.4	1	33820	36039	+	73	65	451	0.14412416851441243	154	3	992	0.0030241935483870967	459	7	2364	0.002961082910321489
CUFF_NC.2	1	45074	46980	+	90	5	702	0.007122507122507123	83	1	571	0.0017513134851138354	344	6	1946	0.003083247687564234
CUFF_NC.3	1	51977	52743	-	47	0	110	0.0	36	0	97	0.0	119	0	294	0.0
CUFF_NC.9	1	63146	64476	+	58	2	512	0.00390625	60	2	452	0.004424778761061947	282	5	1445	0.0034602076124567475
CUFF_NC.10	1	67285	67782	+	57	0	252	0.0	23	0	108	0.0	74	0	301	0.0
CUFF_NC.5	1	69606	71157	+	60	22	419	0.05250596658711217	41	4	270	0.014814814814814815	258	25	1385	0.018050541516245487
CUFF_NC.8	1	73084	73716	-	13	2	24	0.08333333333333333	39	1	90	0.011111111111111112	118	1	238	0.004201680672268907
CUFF_NC.12	1	75366	76624	-	153	2	587	0.0034071550255536627	72	0	260	0.0	190	2	736	0.002717391304347826
CUFF_NC.13	1	77837	78333	+	27	2	200	0.01	12	0	46	0.0	91	3	495	0.006060606060606061
CUFF_NC.6	1	86737	87289	+	82	0	235	0.0	39	0	120	0.0	107	1	282	0.0035460992907801418
CUFF_NC.18	1	89402	91722	-	57	1	205	0.004878048780487805	117	4	551	0.007259528130671506	460	13	1681	0.007733491969066032
CUFF_NC.19	1	95040	96380	-	62	44	369	0.11924119241192412	73	3	482	0.006224066390041493	250	1	1369	0.0007304601899196494
CUFF_NC.11	1	100800	101866	-	37	9	259	0.03474903474903475	42	5	472	0.01059322033898305	219	24	1332	0.018018018018018018
CUFF_NC.7	1	104712	105333	+	56	0	182	0.0	51	0	150	0.0	106	0	318	0.0
CUFF_NC.15	1	116797	118774	-	259	7	1037	0.006750241080038573	133	2	467	0.004282655246252677	341	9	1172	0.007679180887372013
CUFF_NC.14	1	119083	119969	-	36	2	274	0.0072992700729927005	23	1	162	0.006172839506172839	180	10	1031	0.009699321047526674
CUFF_NC.20	1	121456	123494	+	101	505	681	0.7415565345080763	153	4	1071	0.003734827264239029	416	12	2414	0.004971002485501243
CUFF_NC.21	1	133006	133474	+	12	1	38	0.02631578947368421	16	2	63	0.031746031746031744	75	8	184	0.043478260869565216
CUFF_NC.16	1	141174	141695	+	11	0	31	0.0	11	0	32	0.0	95	0	250	0.0
CUFF_NC.17	1	154589	156159	+	156	2	876	0.00228310502283105	66	4	316	0.012658227848101266	281	19	1189	0.0159798149705635
CUFF_NC.22	1	163277	166353	+	146	265	646	0.4102167182662539	172	7	808	0.008663366336633664	742	24	2740	0.008759124087591242
CUFF_NC.25	1	180261	180962	+	36	1	462	0.0021645021645021645	19	0	239	0.0	106	4	815	0.0049079754601227
CUFF_NC.26	1	182345	182786	+	23	0	116	0.0	10	0	34	0.0	66	0	171	0.0
CUFF_NC.28	1	192588	193200	+	14	0	59	0.0	31	0	127	0.0	156	1	547	0.0018281535648994515
CUFF_NC.23	1	196107	196598	-	56	1	220	0.004545454545454545	31	0	91	0.0	76	0	189	0.0
CUFF_NC.24	1	197887	198512	-	38	0	137	0.0	24	0	89	0.0	130	2	379	0.005277044854881266
CUFF_NC.27	1	210058	210613	-	32	1	149	0.006711409395973154	25	0	100	0.0	102	1	355	0.0028169014084507044
CUFF_NC.29	1	219083	221145	-	202	9	612	0.014705882352941176	129	9	392	0.02295918367346939	366	14	997	0.014042126379137413
CUFF_NC.30	1	226848	227453	+	28	0	61	0.0	24	0	55	0.0	129	1	229	0.004366812227074236
CUFF_NC.34	1	233075	237654	+	147	302	704	0.4289772727272727	255	6	1317	0.004555808656036446	1031	30	4653	0.006447453255963894
CUFF_NC.31	1	238416	239453	+	72	867	912	0.9506578947368421	55	516	599	0.8614357262103506	304	1493	3785	0.3944517833553501
CUFF_NC.32	1	254830	257455	+	107	142	717	0.19804741980474197	75	98	584	0.1678082191780822	405	216	2329	0.09274366680978961
CUFF_NC.58	1	283807	284180	-	21	0	73	0.0	10	0	41	0.0	44	1	142	0.007042253521126761
CUFF_NC.33	1	294207	295108	-	44	1	194	0.005154639175257732	45	0	263	0.0	226	3	1018	0.0029469548133595285
CUFF_NC.36	1	301346	301758	+	9	0	47	0.0	16	0	86	0.0	75	3	402	0.007462686567164179
CUFF_NC.35	1	308731	309427	+	47	1	205	0.004878048780487805	38	1	175	0.005714285714285714	136	0	463	0.0
CUFF_NC.44	1	319180	319521	-	7	0	119	0.0	19	0	166	0.0	47	0	445	0.0
CUFF_NC.37	1	341814	342849	+	43	0	173	0.0	32	0	129	0.0	186	2	591	0.00338409475465313
CUFF_NC.43	1	347638	348472	-	26	1	85	0.011764705882352941	36	0	91	0.0	171	2	564	0.0035460992907801418
CUFF_NC.42	1	355746	356392	+	33	1	326	0.003067484662576687	30	1	227	0.004405286343612335	135	3	629	0.0047694753577106515
CUFF_NC.39	1	358665	360498	+	113	148	581	0.2547332185886403	123	6	696	0.008620689655172414	471	27	1971	0.0136986301369863
CUFF_NC.38	1	365198	366851	-	102	9	512	0.017578125	83	6	412	0.014563106796116505	193	11	742	0.014824797843665768
CUFF_NC.41	1	370226	371382	+	77	0	222	0.0	47	0	144	0.0	213	2	707	0.002828854314002829
CUFF_NC.40	1	371997	372411	+	29	0	175	0.0	14	0	80	0.0	72	0	346	0.0
CUFF_NC.57	1	392706	395717	-	195	142	968	0.14669421487603307	204	3	944	0.0031779661016949155	528	9	2330	0.0038626609442060085
CUFF_NC.54	1	409235	410549	-	81	0	294	0.0	98	2	381	0.005249343832020997	308	1	1000	0.001
CUFF_NC.53	1	413681	414878	+	62	1	397	0.0025188916876574307	103	3	541	0.005545286506469501	248	2	1048	0.0019083969465648854
CUFF_NC.46	1	417273	417814	-	15	0	39	0.0	25	0	75	0.0	89	1	250	0.004
CUFF_NC.49	1	421746	425334	-	116	237	573	0.41361256544502617	96	52	372	0.13978494623655913	593	269	2452	0.10970636215334421
CUFF_NC.48	1	424665	425164	+	36	1	148	0.006756756756756757	36	2	143	0.013986013986013986	108	13	444	0.02927927927927928
CUFF_NC.45	1	425557	426435	+	19	0	64	0.0	23	0	132	0.0	88	1	311	0.003215434083601286
CUFF_NC.47	1	435444	435889	+	10	0	34	0.0	27	1	97	0.010309278350515464	72	1	234	0.004273504273504274
CUFF_NC.50	1	442462	442900	+	10	0	18	0.0	8	0	18	0.0	49	0	100	0.0
CUFF_NC.52	1	446824	448464	+	44	14	214	0.06542056074766354	48	3	215	0.013953488372093023	233	9	875	0.010285714285714285
CUFF_NC.51	1	463998	464582	+	52	0	158	0.0	34	0	107	0.0	115	0	271	0.0
CUFF_NC.55	1	482013	483177	-	84	2	421	0.004750593824228029	55	1	244	0.004098360655737705	267	3	1062	0.002824858757062147
CUFF_NC.59	1	512866	513261	+	26	273	356	0.7668539325842697	16	98	193	0.5077720207253886	87	450	929	0.48439181916038754
CUFF_NC.60	1	514888	515295	+	20	0	172	0.0	20	0	118	0.0	73	1	336	0.002976190476190476
CUFF_NC.70	1	523944	530099	-	358	289	1757	0.1644849174729653	349	5	1663	0.003006614552014432	1182	27	4653	0.005802707930367505
