gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	0	105	0.0	21	1	88	0.011363636363636364	136	2	602	0.0033222591362126247
CUFF_NC.4	1	33820	36039	+	71	22	363	0.06060606060606061	139	2	829	0.0024125452352231603	443	3	2228	0.0013464991023339318
CUFF_NC.2	1	45074	46980	+	97	9	506	0.017786561264822136	90	5	426	0.011737089201877934	401	3	1600	0.001875
CUFF_NC.3	1	51977	52743	-	61	0	163	0.0	43	0	145	0.0	145	2	486	0.00411522633744856
CUFF_NC.9	1	63146	64476	+	41	0	297	0.0	50	0	386	0.0	235	4	1268	0.0031545741324921135
CUFF_NC.10	1	67285	67782	+	58	1	221	0.004524886877828055	23	0	88	0.0	81	1	263	0.0038022813688212928
CUFF_NC.5	1	69606	71157	+	44	23	223	0.1031390134529148	34	0	157	0.0	235	6	1036	0.005791505791505791
CUFF_NC.8	1	73084	73716	-	17	0	37	0.0	49	1	108	0.009259259259259259	157	0	327	0.0
CUFF_NC.12	1	75366	76624	-	135	0	417	0.0	65	1	184	0.005434782608695652	175	1	596	0.0016778523489932886
CUFF_NC.13	1	77837	78333	+	22	1	228	0.0043859649122807015	8	0	41	0.0	67	2	409	0.004889975550122249
CUFF_NC.6	1	86737	87289	+	51	0	99	0.0	19	0	53	0.0	58	0	121	0.0
CUFF_NC.18	1	89402	91722	-	54	0	168	0.0	117	1	517	0.0019342359767891683	480	8	1782	0.004489337822671156
CUFF_NC.19	1	95040	96380	-	58	0	229	0.0	67	2	340	0.0058823529411764705	293	2	1212	0.0016501650165016502
CUFF_NC.11	1	100800	101866	-	32	2	123	0.016260162601626018	41	1	271	0.0036900369003690036	206	4	818	0.004889975550122249
CUFF_NC.7	1	104712	105333	+	40	0	73	0.0	42	0	75	0.0	87	0	152	0.0
CUFF_NC.15	1	116797	118774	-	201	1	565	0.0017699115044247787	95	1	243	0.00411522633744856	264	2	794	0.0025188916876574307
CUFF_NC.14	1	119083	119969	-	30	0	149	0.0	19	1	88	0.011363636363636364	175	0	694	0.0
CUFF_NC.20	1	121456	123494	+	89	183	400	0.4575	143	3	699	0.004291845493562232	406	6	1702	0.0035252643948296123
CUFF_NC.21	1	133006	133474	+	11	0	23	0.0	17	1	50	0.02	61	1	142	0.007042253521126761
