gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	0	0	0		26	1	344	0.0029069767441860465	257	15	3341	0.004489673750374139
CUFF_NC.4	1	33820	36039	+	0	0	0		189	9	2781	0.003236245954692557	631	32	8848	0.003616636528028933
CUFF_NC.2	1	45074	46980	+	0	0	0		108	3	1474	0.0020352781546811396	531	23	6927	0.0033203406958279198
CUFF_NC.3	1	51977	52743	-	0	0	0		60	2	888	0.0022522522522522522	184	6	2713	0.0022115739034279398
CUFF_NC.9	1	63146	64476	+	0	0	0		68	3	1010	0.0029702970297029703	361	18	5131	0.0035080880919898657
CUFF_NC.10	1	67285	67782	+	0	0	0		32	1	426	0.002347417840375587	123	3	1556	0.0019280205655526992
CUFF_NC.5	1	69606	71157	+	0	0	0		55	7	807	0.008674101610904586	417	39	5975	0.0065271966527196655
CUFF_NC.8	1	73084	73716	-	0	0	0		63	1	737	0.0013568521031207597	198	13	2414	0.005385252692626346
CUFF_NC.12	1	75366	76624	-	0	0	0		103	1	1101	0.0009082652134423251	275	16	3253	0.004918536735321242
CUFF_NC.13	1	77837	78333	+	0	0	0		17	1	216	0.004629629629629629	124	9	1637	0.005497861942577886
CUFF_NC.6	1	86737	87289	+	0	0	0		43	4	412	0.009708737864077669	111	3	1087	0.0027598896044158236
CUFF_NC.18	1	89402	91722	-	0	0	0		146	9	2270	0.003964757709251102	616	28	9350	0.002994652406417112
CUFF_NC.19	1	95040	96380	-	0	0	0		90	6	1379	0.00435097897026831	371	18	5117	0.0035176861442251317
CUFF_NC.11	1	100800	101866	-	0	0	0		57	4	720	0.005555555555555556	319	8	3487	0.002294235732721537
CUFF_NC.7	1	104712	105333	+	0	0	0		70	3	701	0.0042796005706134095	172	4	1555	0.002572347266881029
CUFF_NC.15	1	116797	118774	-	0	0	0		153	2	1566	0.001277139208173691	440	13	4096	0.003173828125
CUFF_NC.14	1	119083	119969	-	0	0	0		27	1	453	0.002207505518763797	243	10	3521	0.0028401022436807723
CUFF_NC.20	1	121456	123494	+	0	0	0		191	4	2152	0.0018587360594795538	593	17	6350	0.0026771653543307085
CUFF_NC.21	1	133006	133474	+	0	0	0		27	2	378	0.005291005291005291	147	1	1684	0.0005938242280285036
CUFF_NC.16	1	141174	141695	+	0	0	0		11	1	207	0.004830917874396135	148	11	2776	0.003962536023054755
CUFF_NC.17	1	154589	156159	+	0	0	0		90	3	994	0.0030181086519114686	424	20	4369	0.004577706569008927
CUFF_NC.22	1	163277	166353	+	0	0	0		202	9	2709	0.0033222591362126247	913	44	11660	0.0037735849056603774
CUFF_NC.25	1	180261	180962	+	0	0	0		25	1	267	0.003745318352059925	199	9	2151	0.0041841004184100415
CUFF_NC.26	1	182345	182786	+	0	0	0		11	0	112	0.0	94	2	981	0.0020387359836901123
CUFF_NC.28	1	192588	193200	+	0	0	0		35	1	504	0.001984126984126984	177	5	2561	0.001952362358453729
CUFF_NC.23	1	196107	196598	-	0	0	0		45	2	552	0.0036231884057971015	125	2	1224	0.0016339869281045752
CUFF_NC.24	1	197887	198512	-	0	0	0		31	2	392	0.00510204081632653	181	9	2178	0.004132231404958678
CUFF_NC.27	1	210058	210613	-	0	0	0		36	3	557	0.005385996409335727	139	8	1958	0.0040858018386108275
CUFF_NC.29	1	219083	221145	-	0	0	0		167	7	1851	0.0037817396002160996	526	25	5855	0.004269854824935952
