gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	4	143	0.027972027972027972	21	0	154	0.0	192	6	1173	0.005115089514066497
CUFF_NC.4	1	33820	36039	+	85	244	761	0.32063074901445465	171	9	1713	0.005253940455341506	544	7	4393	0.0015934441156385158
CUFF_NC.2	1	45074	46980	+	99	1	1000	0.001	90	4	845	0.004733727810650888	413	11	3224	0.003411910669975186
CUFF_NC.3	1	51977	52743	-	67	2	274	0.0072992700729927005	56	3	251	0.01195219123505976	166	1	812	0.0012315270935960591
CUFF_NC.9	1	63146	64476	+	57	0	692	0.0	60	2	782	0.0025575447570332483	317	5	2433	0.002055076037813399
CUFF_NC.10	1	67285	67782	+	66	1	412	0.0024271844660194173	25	0	178	0.0	106	2	489	0.00408997955010225
CUFF_NC.5	1	69606	71157	+	67	73	592	0.12331081081081081	43	4	374	0.0106951871657754	330	11	2554	0.004306969459671104
CUFF_NC.8	1	73084	73716	-	16	0	51	0.0	57	0	167	0.0	162	1	376	0.0026595744680851063
CUFF_NC.12	1	75366	76624	-	165	2	895	0.0022346368715083797	78	1	405	0.0024691358024691358	199	3	1245	0.0024096385542168677
CUFF_NC.13	1	77837	78333	+	32	1	408	0.0024509803921568627	16	1	94	0.010638297872340425	122	3	923	0.0032502708559046588
CUFF_NC.6	1	86737	87289	+	83	0	298	0.0	39	0	144	0.0	110	1	365	0.0027397260273972603
CUFF_NC.18	1	89402	91722	-	64	0	369	0.0	132	5	1083	0.0046168051708217915	542	19	3571	0.005320638476617194
CUFF_NC.19	1	95040	96380	-	69	87	535	0.16261682242990655	79	3	771	0.0038910505836575876	319	7	2518	0.0027799841143764893
CUFF_NC.11	1	100800	101866	-	38	1	320	0.003125	49	1	532	0.0018796992481203006	236	9	1687	0.005334914048606995
CUFF_NC.7	1	104712	105333	+	55	0	198	0.0	48	1	166	0.006024096385542169	122	5	408	0.012254901960784314
CUFF_NC.15	1	116797	118774	-	251	3	1271	0.0023603461841070024	133	1	601	0.0016638935108153079	353	3	1808	0.00165929203539823
CUFF_NC.14	1	119083	119969	-	41	3	438	0.00684931506849315	26	1	281	0.0035587188612099642	231	6	1784	0.0033632286995515697
CUFF_NC.20	1	121456	123494	+	109	442	761	0.580814717477004	173	4	1323	0.0030234315948601664	496	6	3069	0.0019550342130987292
CUFF_NC.21	1	133006	133474	+	14	0	56	0.0	17	0	99	0.0	87	1	302	0.0033112582781456954
CUFF_NC.16	1	141174	141695	+	15	1	81	0.012345679012345678	11	0	65	0.0	144	1	627	0.001594896331738437
CUFF_NC.17	1	154589	156159	+	166	1	1036	0.0009652509652509653	74	2	386	0.0051813471502590676	333	6	1690	0.0035502958579881655
CUFF_NC.22	1	163277	166353	+	153	501	1008	0.49702380952380953	186	6	1225	0.004897959183673469	807	21	4684	0.0044833475661827495
CUFF_NC.25	1	180261	180962	+	49	2	720	0.002777777777777778	23	2	384	0.005208333333333333	158	7	1509	0.004638833664678595
CUFF_NC.26	1	182345	182786	+	18	0	154	0.0	9	0	73	0.0	61	1	350	0.002857142857142857
CUFF_NC.28	1	192588	193200	+	15	0	108	0.0	32	0	198	0.0	159	6	995	0.006030150753768844
CUFF_NC.23	1	196107	196598	-	67	0	288	0.0	40	2	146	0.0136986301369863	107	1	280	0.0035714285714285713
CUFF_NC.24	1	197887	198512	-	41	2	270	0.007407407407407408	28	1	147	0.006802721088435374	170	2	787	0.0025412960609911056
CUFF_NC.27	1	210058	210613	-	40	1	282	0.0035460992907801418	35	0	295	0.0	137	5	912	0.005482456140350877
CUFF_NC.29	1	219083	221145	-	240	1	798	0.0012531328320802004	149	0	546	0.0	432	3	1762	0.00170261066969353
CUFF_NC.30	1	226848	227453	+	22	0	58	0.0	27	0	90	0.0	111	1	250	0.004
CUFF_NC.34	1	233075	237654	+	158	690	1337	0.5160807778608826	296	19	2678	0.007094846900672144	1170	29	9532	0.003042383550146874
CUFF_NC.31	1	238416	239453	+	72	967	1007	0.9602780536246276	54	799	896	0.8917410714285714	290	1703	4498	0.3786127167630058
CUFF_NC.32	1	254830	257455	+	128	300	1207	0.24855012427506215	92	165	902	0.18292682926829268	499	348	4390	0.07927107061503418
CUFF_NC.58	1	283807	284180	-	36	1	114	0.008771929824561403	20	0	71	0.0	95	2	253	0.007905138339920948
CUFF_NC.33	1	294207	295108	-	39	1	243	0.00411522633744856	42	2	305	0.006557377049180328	209	3	1384	0.002167630057803468
CUFF_NC.36	1	301346	301758	+	9	1	107	0.009345794392523364	19	0	162	0.0	85	6	811	0.007398273736128237
CUFF_NC.35	1	308731	309427	+	56	0	290	0.0	41	1	214	0.004672897196261682	164	5	772	0.006476683937823834
CUFF_NC.44	1	319180	319521	-	12	0	134	0.0	22	0	227	0.0	83	0	560	0.0
CUFF_NC.37	1	341814	342849	+	54	2	400	0.005	44	1	284	0.0035211267605633804	243	10	1639	0.006101281269066504
CUFF_NC.43	1	347638	348472	-	28	0	149	0.0	35	0	142	0.0	182	0	926	0.0
CUFF_NC.42	1	355746	356392	+	46	2	400	0.005	42	0	290	0.0	176	2	1145	0.0017467248908296944
CUFF_NC.39	1	358665	360498	+	112	7	554	0.01263537906137184	124	0	682	0.0	458	6	2001	0.0029985007496251873
CUFF_NC.38	1	365198	366851	-	105	1	693	0.001443001443001443	92	0	547	0.0	255	4	1574	0.0025412960609911056
CUFF_NC.41	1	370226	371382	+	82	4	434	0.009216589861751152	55	1	286	0.0034965034965034965	238	3	1424	0.002106741573033708
CUFF_NC.40	1	371997	372411	+	26	0	167	0.0	17	0	84	0.0	88	3	400	0.0075
CUFF_NC.57	1	392706	395717	-	210	66	1116	0.05913978494623656	227	6	1224	0.004901960784313725	654	11	3506	0.0031374786081003994
CUFF_NC.54	1	409235	410549	-	74	0	328	0.0	94	2	506	0.003952569169960474	309	4	1267	0.0031570639305445935
CUFF_NC.53	1	413681	414878	+	67	1	546	0.0018315018315018315	102	6	783	0.007662835249042145	314	3	1960	0.001530612244897959
CUFF_NC.46	1	417273	417814	-	14	0	34	0.0	26	0	121	0.0	117	1	356	0.0028089887640449437
CUFF_NC.49	1	421746	425334	-	109	300	845	0.35502958579881655	93	34	572	0.05944055944055944	603	214	3865	0.05536869340232859
