gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	15	1	76	0.013157894736842105	18	1	69	0.014492753623188406	169	1	653	0.0015313935681470138
CUFF_NC.4	1	33820	36039	+	78	168	607	0.27677100494233936	168	1	1234	0.0008103727714748784	472	19	3113	0.006103437198843559
CUFF_NC.2	1	45074	46980	+	101	1	806	0.0012406947890818859	89	3	661	0.0045385779122541605	341	7	2407	0.0029081844619858743
CUFF_NC.3	1	51977	52743	-	63	0	274	0.0	45	1	193	0.0051813471502590676	110	1	381	0.0026246719160104987
CUFF_NC.9	1	63146	64476	+	56	0	396	0.0	49	1	407	0.002457002457002457	220	3	1326	0.0022624434389140274
CUFF_NC.10	1	67285	67782	+	67	1	517	0.0019342359767891683	24	3	203	0.014778325123152709	98	2	666	0.003003003003003003
CUFF_NC.5	1	69606	71157	+	54	32	305	0.10491803278688525	34	2	196	0.01020408163265306	196	11	916	0.012008733624454149
CUFF_NC.8	1	73084	73716	-	13	2	54	0.037037037037037035	43	0	147	0.0	105	1	363	0.0027548209366391185
CUFF_NC.12	1	75366	76624	-	176	5	1415	0.0035335689045936395	94	2	644	0.003105590062111801	200	6	1298	0.004622496147919877
CUFF_NC.13	1	77837	78333	+	22	0	97	0.0	6	0	19	0.0	52	0	130	0.0
CUFF_NC.6	1	86737	87289	+	91	3	718	0.004178272980501393	39	2	308	0.006493506493506494	105	2	738	0.0027100271002710027
CUFF_NC.18	1	89402	91722	-	48	0	212	0.0	109	3	538	0.0055762081784386614	364	9	1701	0.005291005291005291
CUFF_NC.19	1	95040	96380	-	61	146	492	0.2967479674796748	74	1	622	0.001607717041800643	260	7	1719	0.004072134962187318
CUFF_NC.11	1	100800	101866	-	40	1	264	0.003787878787878788	47	2	373	0.005361930294906166	231	6	1229	0.004882017900732303
CUFF_NC.7	1	104712	105333	+	76	0	338	0.0	62	1	274	0.0036496350364963502	144	2	534	0.003745318352059925
CUFF_NC.15	1	116797	118774	-	257	7	2185	0.003203661327231121	135	5	1111	0.004500450045004501	298	9	2247	0.004005340453938585
CUFF_NC.14	1	119083	119969	-	33	0	227	0.0	22	0	130	0.0	149	2	646	0.0030959752321981426
CUFF_NC.20	1	121456	123494	+	110	595	753	0.7901726427622842	165	5	1122	0.004456327985739751	441	20	2570	0.007782101167315175
CUFF_NC.21	1	133006	133474	+	16	1	103	0.009708737864077669	19	1	111	0.009009009009009009	59	2	235	0.00851063829787234
CUFF_NC.16	1	141174	141695	+	9	0	32	0.0	6	0	23	0.0	64	1	186	0.005376344086021506
CUFF_NC.17	1	154589	156159	+	171	6	1391	0.004313443565780014	75	2	594	0.003367003367003367	307	12	2101	0.005711565920990005
CUFF_NC.22	1	163277	166353	+	129	395	815	0.48466257668711654	147	4	925	0.004324324324324324	549	10	2812	0.0035561877667140826
CUFF_NC.25	1	180261	180962	+	34	0	278	0.0	17	0	111	0.0	112	3	669	0.004484304932735426
CUFF_NC.26	1	182345	182786	+	24	0	70	0.0	6	0	12	0.0	42	0	85	0.0
CUFF_NC.28	1	192588	193200	+	14	0	55	0.0	33	0	90	0.0	125	2	421	0.004750593824228029
CUFF_NC.23	1	196107	196598	-	61	3	675	0.0044444444444444444	34	0	371	0.0	67	0	434	0.0
CUFF_NC.24	1	197887	198512	-	36	13	162	0.08024691358024691	23	0	103	0.0	122	6	459	0.013071895424836602
CUFF_NC.27	1	210058	210613	-	38	1	278	0.0035971223021582736	32	0	187	0.0	114	4	668	0.005988023952095809
CUFF_NC.29	1	219083	221145	-	256	2	1958	0.0010214504596527069	155	3	1130	0.002654867256637168	452	10	2927	0.0034164673727365906
CUFF_NC.30	1	226848	227453	+	25	0	68	0.0	33	1	71	0.014084507042253521	100	1	248	0.004032258064516129
CUFF_NC.34	1	233075	237654	+	145	399	694	0.5749279538904899	247	10	1208	0.008278145695364239	870	19	4077	0.004660289428501349
CUFF_NC.31	1	238416	239453	+	70	474	494	0.9595141700404858	53	342	424	0.8066037735849056	304	448	2057	0.2177929022848809
