gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	4	102	0.0392156862745098	21	2	117	0.017094017094017096	182	5	966	0.005175983436853002
CUFF_NC.4	1	33820	36039	+	79	41	426	0.09624413145539906	169	6	964	0.006224066390041493	562	14	2745	0.005100182149362477
CUFF_NC.2	1	45074	46980	+	92	2	577	0.0034662045060658577	89	0	472	0.0	373	7	1732	0.0040415704387990765
CUFF_NC.3	1	51977	52743	-	56	3	162	0.018518518518518517	46	0	173	0.0	149	3	498	0.006024096385542169
CUFF_NC.9	1	63146	64476	+	59	2	455	0.004395604395604396	56	1	488	0.0020491803278688526	300	3	1752	0.0017123287671232876
CUFF_NC.10	1	67285	67782	+	68	2	281	0.0071174377224199285	25	0	130	0.0	93	0	342	0.0
CUFF_NC.5	1	69606	71157	+	52	27	241	0.11203319502074689	38	0	187	0.0	306	6	1436	0.004178272980501393
CUFF_NC.8	1	73084	73716	-	14	3	41	0.07317073170731707	43	0	140	0.0	112	3	323	0.009287925696594427
CUFF_NC.12	1	75366	76624	-	150	1	504	0.001984126984126984	71	1	214	0.004672897196261682	189	2	623	0.0032102728731942215
CUFF_NC.13	1	77837	78333	+	22	0	140	0.0	10	0	33	0.0	80	1	272	0.003676470588235294
CUFF_NC.6	1	86737	87289	+	71	1	133	0.007518796992481203	27	0	52	0.0	74	0	131	0.0
CUFF_NC.18	1	89402	91722	-	65	0	219	0.0	132	0	617	0.0	537	6	2119	0.002831524303916942
CUFF_NC.19	1	95040	96380	-	72	78	397	0.1964735516372796	85	7	515	0.013592233009708738	332	8	1748	0.004576659038901602
CUFF_NC.11	1	100800	101866	-	41	1	176	0.005681818181818182	50	1	313	0.003194888178913738	257	7	1061	0.006597549481621112
CUFF_NC.7	1	104712	105333	+	56	0	140	0.0	50	1	124	0.008064516129032258	109	1	242	0.004132231404958678
CUFF_NC.15	1	116797	118774	-	198	3	582	0.005154639175257732	99	0	259	0.0	283	2	827	0.0024183796856106408
CUFF_NC.14	1	119083	119969	-	33	0	219	0.0	19	1	130	0.007692307692307693	185	3	1006	0.002982107355864811
CUFF_NC.20	1	121456	123494	+	101	366	535	0.6841121495327103	163	5	873	0.0057273768613974796	413	6	2057	0.002916869227029655
CUFF_NC.21	1	133006	133474	+	14	8	38	0.21052631578947367	20	0	53	0.0	82	1	163	0.006134969325153374
CUFF_NC.16	1	141174	141695	+	17	1	82	0.012195121951219513	11	0	59	0.0	143	2	659	0.0030349013657056147
CUFF_NC.17	1	154589	156159	+	158	2	632	0.0031645569620253164	71	1	244	0.004098360655737705	295	2	1086	0.001841620626151013
CUFF_NC.22	1	163277	166353	+	143	205	501	0.4091816367265469	171	4	631	0.006339144215530904	714	11	2302	0.0047784535186794095
CUFF_NC.25	1	180261	180962	+	41	0	393	0.0	18	0	189	0.0	121	6	812	0.007389162561576354
