gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	20	22	160	0.1375	24	2	167	0.011976047904191617	194	1	1295	0.0007722007722007722
CUFF_NC.4	1	33820	36039	+	82	124	728	0.17032967032967034	180	7	1607	0.0043559427504667085	570	14	4071	0.0034389584868582657
CUFF_NC.2	1	45074	46980	+	113	42	1142	0.03677758318739054	106	2	945	0.0021164021164021165	451	9	3368	0.002672209026128266
CUFF_NC.3	1	51977	52743	-	60	0	337	0.0	55	2	346	0.005780346820809248	152	0	767	0.0
CUFF_NC.9	1	63146	64476	+	59	2	528	0.003787878787878788	58	0	557	0.0	295	2	2112	0.000946969696969697
CUFF_NC.10	1	67285	67782	+	65	0	523	0.0	24	1	236	0.00423728813559322	91	2	680	0.0029411764705882353
CUFF_NC.5	1	69606	71157	+	70	194	690	0.2811594202898551	48	138	448	0.3080357142857143	357	390	2829	0.1378579003181336
CUFF_NC.8	1	73084	73716	-	17	7	93	0.07526881720430108	57	3	291	0.010309278350515464	176	3	687	0.004366812227074236
CUFF_NC.12	1	75366	76624	-	180	3	1033	0.002904162633107454	93	0	490	0.0	252	2	1326	0.0015082956259426848
CUFF_NC.13	1	77837	78333	+	21	0	255	0.0	8	0	54	0.0	66	0	466	0.0
CUFF_NC.6	1	86737	87289	+	87	2	432	0.004629629629629629	41	0	192	0.0	106	1	468	0.002136752136752137
CUFF_NC.18	1	89402	91722	-	63	1	377	0.002652519893899204	133	4	955	0.004188481675392671	539	7	3201	0.0021868166198063107
CUFF_NC.19	1	95040	96380	-	69	107	540	0.19814814814814816	84	1	673	0.0014858841010401188	315	3	2216	0.0013537906137184115
CUFF_NC.11	1	100800	101866	-	42	20	319	0.06269592476489028	52	3	547	0.005484460694698354	281	8	1719	0.004653868528214078
CUFF_NC.7	1	104712	105333	+	68	0	396	0.0	59	1	327	0.0030581039755351682	127	3	632	0.004746835443037975
CUFF_NC.15	1	116797	118774	-	271	3	1367	0.0021945866861741038	140	0	661	0.0	354	5	1513	0.003304692663582287
CUFF_NC.14	1	119083	119969	-	38	1	291	0.003436426116838488	23	0	186	0.0	191	2	1268	0.0015772870662460567
CUFF_NC.20	1	121456	123494	+	109	622	770	0.8077922077922078	172	9	1269	0.0070921985815602835	477	10	2886	0.003465003465003465
CUFF_NC.21	1	133006	133474	+	16	0	84	0.0	18	0	112	0.0	94	2	329	0.0060790273556231
CUFF_NC.16	1	141174	141695	+	14	0	59	0.0	11	0	62	0.0	127	4	541	0.0073937153419593345
CUFF_NC.17	1	154589	156159	+	178	4	1169	0.003421727972626176	76	2	442	0.004524886877828055	338	5	1815	0.0027548209366391185
CUFF_NC.22	1	163277	166353	+	145	423	976	0.4334016393442623	182	8	1256	0.006369426751592357	757	12	4107	0.0029218407596785976
CUFF_NC.25	1	180261	180962	+	47	5	507	0.009861932938856016	23	0	256	0.0	149	2	1080	0.001851851851851852
CUFF_NC.26	1	182345	182786	+	31	13	159	0.08176100628930817	9	6	64	0.09375	82	1	339	0.0029498525073746312
CUFF_NC.28	1	192588	193200	+	16	2	100	0.02	35	0	188	0.0	178	1	873	0.001145475372279496
CUFF_NC.23	1	196107	196598	-	61	0	329	0.0	35	0	163	0.0	66	0	324	0.0
CUFF_NC.24	1	197887	198512	-	43	1	407	0.002457002457002457	30	1	261	0.0038314176245210726	164	4	1164	0.003436426116838488
CUFF_NC.27	1	210058	210613	-	42	1	324	0.0030864197530864196	36	1	282	0.0035460992907801418	139	3	955	0.0031413612565445027
CUFF_NC.29	1	219083	221145	-	248	6	1196	0.005016722408026756	154	4	726	0.005509641873278237	461	5	2081	0.002402691013935608
CUFF_NC.30	1	226848	227453	+	35	0	183	0.0	38	1	176	0.005681818181818182	134	2	583	0.003430531732418525
CUFF_NC.34	1	233075	237654	+	165	507	1174	0.43185689948892675	298	8	2234	0.0035810205908683975	1163	19	7302	0.0026020268419611066
CUFF_NC.31	1	238416	239453	+	66	478	501	0.9540918163672655	47	323	412	0.7839805825242718	289	473	2261	0.20919946926138877
CUFF_NC.32	1	254830	257455	+	121	257	1086	0.23664825046040516	87	167	852	0.1960093896713615	430	251	3153	0.07960672375515382
CUFF_NC.58	1	283807	284180	-	34	0	186	0.0	20	0	123	0.0	91	1	410	0.0024390243902439024
CUFF_NC.33	1	294207	295108	-	45	1	282	0.0035460992907801418	49	0	364	0.0	234	1	1375	0.0007272727272727272
CUFF_NC.36	1	301346	301758	+	10	0	64	0.0	17	0	121	0.0	72	1	602	0.0016611295681063123
CUFF_NC.35	1	308731	309427	+	50	0	275	0.0	38	2	209	0.009569377990430622	146	1	670	0.0014925373134328358
CUFF_NC.44	1	319180	319521	-	12	0	108	0.0	27	0	182	0.0	95	2	481	0.004158004158004158
CUFF_NC.37	1	341814	342849	+	52	1	218	0.0045871559633027525	36	0	141	0.0	199	3	719	0.004172461752433936
CUFF_NC.43	1	347638	348472	-	28	0	200	0.0	36	0	199	0.0	171	6	1001	0.005994005994005994
CUFF_NC.42	1	355746	356392	+	40	0	307	0.0	37	0	230	0.0	167	1	716	0.0013966480446927375
CUFF_NC.39	1	358665	360498	+	124	206	721	0.2857142857142857	143	4	895	0.004469273743016759	502	7	2558	0.002736512900703675
CUFF_NC.38	1	365198	366851	-	108	1	551	0.0018148820326678765	89	1	470	0.002127659574468085	238	4	1205	0.0033195020746887966
CUFF_NC.41	1	370226	371382	+	85	3	417	0.007194244604316547	54	2	269	0.007434944237918215	219	7	1170	0.005982905982905983
CUFF_NC.40	1	371997	372411	+	29	0	159	0.0	15	0	71	0.0	84	1	301	0.0033222591362126247
CUFF_NC.57	1	392706	395717	-	236	97	1256	0.07722929936305732	247	5	1368	0.003654970760233918	715	15	3518	0.004263786242183059
CUFF_NC.54	1	409235	410549	-	86	1	533	0.001876172607879925	106	4	717	0.005578800557880056	374	7	2053	0.0034096444227959084
CUFF_NC.53	1	413681	414878	+	54	4	313	0.012779552715654952	93	2	455	0.004395604395604396	255	1	1217	0.0008216926869350862
CUFF_NC.46	1	417273	417814	-	16	0	74	0.0	29	0	141	0.0	141	1	402	0.0024875621890547263
CUFF_NC.49	1	421746	425334	-	111	204	826	0.2469733656174334	92	42	601	0.06988352745424292	564	141	3510	0.040170940170940174
CUFF_NC.48	1	424665	425164	+	38	0	357	0.0	35	2	295	0.006779661016949152	119	9	1057	0.008514664143803218
CUFF_NC.45	1	425557	426435	+	28	0	194	0.0	31	0	253	0.0	152	6	971	0.006179196704428424
CUFF_NC.47	1	435444	435889	+	14	0	85	0.0	42	2	308	0.006493506493506494	102	2	700	0.002857142857142857
CUFF_NC.50	1	442462	442900	+	18	1	73	0.0136986301369863	15	0	77	0.0	74	1	357	0.0028011204481792717
CUFF_NC.52	1	446824	448464	+	61	256	562	0.4555160142348754	84	91	621	0.14653784219001612	329	229	2520	0.09087301587301587
CUFF_NC.51	1	463998	464582	+	70	1	281	0.0035587188612099642	38	0	165	0.0	133	0	557	0.0
CUFF_NC.55	1	482013	483177	-	86	1	634	0.0015772870662460567	51	1	377	0.002652519893899204	279	7	1715	0.004081632653061225
CUFF_NC.59	1	512866	513261	+	28	311	362	0.8591160220994475	17	82	170	0.4823529411764706	96	319	917	0.3478735005452563
CUFF_NC.60	1	514888	515295	+	22	1	243	0.00411522633744856	19	0	184	0.0	72	2	515	0.003883495145631068
CUFF_NC.70	1	523944	530099	-	397	809	2692	0.30052005943536403	385	14	2614	0.005355776587605203	1308	16	7603	0.002104432460870709
CUFF_NC.71	1	525592	531975	-	397	731	2801	0.26097822206354876	420	16	2969	0.005389019872010778	1301	21	7912	0.002654196157735086
CUFF_NC.72	1	528007	534109	-	367	448	2578	0.17377812257564004	394	12	2827	0.004244782454899187	1272	24	7637	0.0031425952599188163
CUFF_NC.62	1	538375	544045	-	149	99	1287	0.07692307692307693	186	7	1518	0.00461133069828722	876	26	5107	0.005091051497943999
CUFF_NC.64	1	547818	551699	-	153	243	1240	0.19596774193548386	91	48	568	0.08450704225352113	534	206	3042	0.06771860618014464
CUFF_NC.65	1	550120	550546	-	5	14	14	1.0	3	3	9	0.3333333333333333	15	12	41	0.2926829268292683
CUFF_NC.68	1	556826	558761	-	115	5	681	0.007342143906020558	115	6	655	0.00916030534351145	506	5	2388	0.0020938023450586263
CUFF_NC.61	1	559734	560251	+	9	0	54	0.0	17	0	99	0.0	110	2	596	0.003355704697986577
CUFF_NC.66	1	564136	564745	-	46	0	226	0.0	46	0	238	0.0	120	0	495	0.0
CUFF_NC.67	1	565230	565784	-	57	0	272	0.0	34	1	162	0.006172839506172839	127	2	565	0.0035398230088495575
