gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	6	118	0.05084745762711865	22	0	153	0.0	173	3	1048	0.0028625954198473282
CUFF_NC.4	1	33820	36039	+	79	97	565	0.17168141592920355	154	6	1296	0.004629629629629629	487	6	3282	0.0018281535648994515
CUFF_NC.2	1	45074	46980	+	94	14	758	0.018469656992084433	91	1	628	0.0015923566878980893	379	2	2119	0.0009438414346389807
CUFF_NC.3	1	51977	52743	-	50	0	156	0.0	44	0	149	0.0	138	1	567	0.001763668430335097
CUFF_NC.9	1	63146	64476	+	51	0	442	0.0	60	1	578	0.0017301038062283738	287	4	1899	0.00210637177461822
CUFF_NC.10	1	67285	67782	+	64	0	320	0.0	25	0	136	0.0	74	0	377	0.0
CUFF_NC.5	1	69606	71157	+	68	73	458	0.15938864628820962	47	0	324	0.0	345	2	2021	0.0009896091044037606
CUFF_NC.8	1	73084	73716	-	20	3	42	0.07142857142857142	58	0	120	0.0	171	1	363	0.0027548209366391185
CUFF_NC.12	1	75366	76624	-	144	0	584	0.0	61	1	250	0.004	191	0	825	0.0
CUFF_NC.13	1	77837	78333	+	23	1	185	0.005405405405405406	10	0	35	0.0	77	0	317	0.0
CUFF_NC.6	1	86737	87289	+	72	0	176	0.0	32	0	91	0.0	86	0	201	0.0
CUFF_NC.18	1	89402	91722	-	65	1	286	0.0034965034965034965	131	1	774	0.0012919896640826874	532	4	2629	0.0015214910612400153
CUFF_NC.19	1	95040	96380	-	68	115	431	0.2668213457076566	73	4	583	0.00686106346483705	282	1	1886	0.0005302226935312832
CUFF_NC.11	1	100800	101866	-	36	15	249	0.060240963855421686	44	1	426	0.002347417840375587	214	0	1280	0.0
CUFF_NC.7	1	104712	105333	+	62	0	183	0.0	51	0	159	0.0	115	0	332	0.0
CUFF_NC.15	1	116797	118774	-	222	4	1013	0.003948667324777887	126	1	470	0.002127659574468085	292	1	1370	0.00072992700729927
CUFF_NC.14	1	119083	119969	-	39	0	414	0.0	23	0	247	0.0	206	0	1779	0.0
CUFF_NC.20	1	121456	123494	+	101	578	758	0.762532981530343	164	2	1215	0.0016460905349794238	470	5	2594	0.0019275250578257518
