gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	3	80	0.0375	19	0	81	0.0	163	2	649	0.0030816640986132513
CUFF_NC.4	1	33820	36039	+	78	140	628	0.2229299363057325	167	8	1271	0.006294256490952006	516	21	3404	0.006169212690951821
CUFF_NC.2	1	45074	46980	+	110	11	1057	0.010406811731315043	98	1	858	0.0011655011655011655	443	15	3258	0.004604051565377533
CUFF_NC.3	1	51977	52743	-	59	0	247	0.0	45	0	188	0.0	144	1	638	0.001567398119122257
CUFF_NC.9	1	63146	64476	+	48	2	607	0.0032948929159802307	54	1	646	0.0015479876160990713	251	14	2177	0.006430868167202572
CUFF_NC.10	1	67285	67782	+	67	1	394	0.0025380710659898475	29	0	161	0.0	96	3	373	0.00804289544235925
CUFF_NC.5	1	69606	71157	+	65	89	659	0.13505311077389984	42	1	431	0.002320185614849188	301	11	2456	0.004478827361563518
CUFF_NC.8	1	73084	73716	-	19	0	74	0.0	58	1	217	0.004608294930875576	175	2	566	0.0035335689045936395
CUFF_NC.12	1	75366	76624	-	168	5	830	0.006024096385542169	85	1	392	0.002551020408163265	235	12	1289	0.009309542280837859
CUFF_NC.13	1	77837	78333	+	29	0	452	0.0	16	1	121	0.008264462809917356	99	4	1003	0.003988035892323031
CUFF_NC.6	1	86737	87289	+	90	0	339	0.0	40	1	157	0.006369426751592357	116	1	411	0.0024330900243309003
CUFF_NC.18	1	89402	91722	-	62	2	397	0.005037783375314861	137	5	1141	0.0043821209465381246	538	21	3805	0.005519053876478318
CUFF_NC.19	1	95040	96380	-	64	84	493	0.17038539553752535	70	1	651	0.0015360983102918587	281	4	2205	0.0018140589569160999
CUFF_NC.11	1	100800	101866	-	34	2	192	0.010416666666666666	48	1	388	0.002577319587628866	250	4	1210	0.003305785123966942
CUFF_NC.7	1	104712	105333	+	65	0	200	0.0	56	1	167	0.005988023952095809	129	0	361	0.0
CUFF_NC.15	1	116797	118774	-	253	3	1217	0.0024650780608052587	135	2	579	0.0034542314335060447	339	9	1691	0.005322294500295683
CUFF_NC.14	1	119083	119969	-	37	2	446	0.004484304932735426	21	2	246	0.008130081300813009	191	7	1971	0.0035514967021816335
CUFF_NC.20	1	121456	123494	+	112	503	797	0.6311166875784191	176	3	1262	0.002377179080824089	478	16	3044	0.005256241787122208
CUFF_NC.21	1	133006	133474	+	18	3	63	0.047619047619047616	21	0	105	0.0	86	2	349	0.0057306590257879654
CUFF_NC.16	1	141174	141695	+	16	0	87	0.0	11	2	80	0.025	146	4	775	0.005161290322580645
CUFF_NC.17	1	154589	156159	+	149	6	1010	0.005940594059405941	69	0	386	0.0	306	5	1456	0.003434065934065934
CUFF_NC.22	1	163277	166353	+	154	114	659	0.17298937784522003	173	2	838	0.002386634844868735	721	8	2986	0.0026791694574681848
CUFF_NC.25	1	180261	180962	+	40	2	473	0.004228329809725159	20	0	283	0.0	119	7	892	0.007847533632286996
CUFF_NC.26	1	182345	182786	+	14	1	129	0.007751937984496124	6	0	45	0.0	43	3	307	0.009771986970684038
CUFF_NC.28	1	192588	193200	+	13	0	84	0.0	28	0	167	0.0	156	1	899	0.0011123470522803114
CUFF_NC.23	1	196107	196598	-	54	0	250	0.0	30	1	130	0.007692307692307693	60	2	237	0.008438818565400843
CUFF_NC.24	1	197887	198512	-	41	33	315	0.10476190476190476	28	0	221	0.0	149	2	892	0.002242152466367713
CUFF_NC.27	1	210058	210613	-	36	1	242	0.004132231404958678	34	1	266	0.0037593984962406013	129	4	833	0.004801920768307323
CUFF_NC.29	1	219083	221145	-	223	2	680	0.0029411764705882353	138	3	427	0.00702576112412178	394	1	1430	0.0006993006993006993
CUFF_NC.30	1	226848	227453	+	22	0	127	0.0	25	1	128	0.0078125	101	0	399	0.0
CUFF_NC.34	1	233075	237654	+	146	593	1173	0.505541346973572	281	10	2376	0.004208754208754209	1071	31	8601	0.0036042320660388326
CUFF_NC.31	1	238416	239453	+	64	768	824	0.9320388349514563	43	461	583	0.79073756432247	287	1203	3334	0.3608278344331134
CUFF_NC.32	1	254830	257455	+	115	275	1119	0.2457551385165326	86	178	950	0.18736842105263157	461	374	3876	0.09649122807017543
CUFF_NC.58	1	283807	284180	-	37	0	96	0.0	20	0	58	0.0	99	1	240	0.004166666666666667
CUFF_NC.33	1	294207	295108	-	44	2	184	0.010869565217391304	47	0	273	0.0	208	4	1002	0.003992015968063872
CUFF_NC.36	1	301346	301758	+	12	0	141	0.0	18	2	159	0.012578616352201259	97	4	832	0.004807692307692308
CUFF_NC.35	1	308731	309427	+	48	0	277	0.0	36	0	216	0.0	151	0	697	0.0
CUFF_NC.44	1	319180	319521	-	7	0	104	0.0	18	1	177	0.005649717514124294	47	1	447	0.0022371364653243847
CUFF_NC.37	1	341814	342849	+	49	1	303	0.0033003300330033004	35	0	147	0.0	211	2	1012	0.001976284584980237
CUFF_NC.43	1	347638	348472	-	28	1	133	0.007518796992481203	36	1	184	0.005434782608695652	155	5	1062	0.004708097928436911
CUFF_NC.42	1	355746	356392	+	45	2	312	0.00641025641025641	41	0	214	0.0	161	4	1038	0.0038535645472061657
CUFF_NC.39	1	358665	360498	+	104	141	571	0.2469352014010508	115	3	690	0.004347826086956522	418	5	2071	0.0024142926122646064
CUFF_NC.38	1	365198	366851	-	98	1	483	0.002070393374741201	91	1	423	0.002364066193853428	253	1	1165	0.0008583690987124463
CUFF_NC.41	1	370226	371382	+	89	2	477	0.0041928721174004195	55	1	281	0.0035587188612099642	250	6	1606	0.0037359900373599006
