gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	0	128	0.0	21	0	80	0.0	167	5	808	0.006188118811881188
CUFF_NC.4	1	33820	36039	+	66	219	711	0.3080168776371308	141	10	1601	0.006246096189881324	391	23	3643	0.00631347790282734
CUFF_NC.2	1	45074	46980	+	100	7	881	0.007945516458569807	88	4	717	0.005578800557880056	330	21	2709	0.007751937984496124
CUFF_NC.3	1	51977	52743	-	60	1	371	0.0026954177897574125	42	1	220	0.004545454545454545	102	2	403	0.004962779156327543
CUFF_NC.9	1	63146	64476	+	45	2	312	0.00641025641025641	43	1	328	0.003048780487804878	176	2	1139	0.001755926251097454
CUFF_NC.10	1	67285	67782	+	66	2	540	0.003703703703703704	25	2	232	0.008620689655172414	89	5	545	0.009174311926605505
CUFF_NC.5	1	69606	71157	+	57	33	476	0.06932773109243698	38	4	254	0.015748031496062992	205	10	1093	0.009149130832570906
CUFF_NC.8	1	73084	73716	-	15	0	108	0.0	50	0	363	0.0	125	1	743	0.0013458950201884253
CUFF_NC.12	1	75366	76624	-	168	8	1878	0.004259850905218318	86	5	827	0.006045949214026602	170	4	1690	0.002366863905325444
CUFF_NC.13	1	77837	78333	+	21	1	177	0.005649717514124294	8	0	23	0.0	55	1	240	0.004166666666666667
CUFF_NC.6	1	86737	87289	+	91	4	1051	0.003805899143672693	34	3	420	0.007142857142857143	105	4	976	0.004098360655737705
CUFF_NC.18	1	89402	91722	-	54	0	319	0.0	114	5	832	0.006009615384615385	398	17	2392	0.007107023411371237
CUFF_NC.19	1	95040	96380	-	60	106	592	0.17905405405405406	66	1	741	0.001349527665317139	223	10	1952	0.005122950819672131
CUFF_NC.11	1	100800	101866	-	37	0	315	0.0	43	0	422	0.0	191	7	1364	0.005131964809384164
CUFF_NC.7	1	104712	105333	+	68	3	664	0.004518072289156626	56	1	537	0.00186219739292365	114	3	1005	0.0029850746268656717
CUFF_NC.15	1	116797	118774	-	256	12	2937	0.0040858018386108275	135	4	1480	0.002702702702702703	298	9	2999	0.0030010003334444814
CUFF_NC.14	1	119083	119969	-	30	4	221	0.01809954751131222	20	1	114	0.008771929824561403	124	1	547	0.0018281535648994515
CUFF_NC.20	1	121456	123494	+	104	615	828	0.7427536231884058	147	5	1301	0.003843197540353574	375	17	2734	0.006217995610826628
CUFF_NC.21	1	133006	133474	+	13	5	146	0.03424657534246575	15	1	164	0.006097560975609756	61	3	397	0.007556675062972292
CUFF_NC.16	1	141174	141695	+	9	0	38	0.0	5	0	17	0.0	51	1	158	0.006329113924050633
CUFF_NC.17	1	154589	156159	+	176	6	1723	0.003482298316889147	76	1	762	0.0013123359580052493	294	8	2280	0.0035087719298245615
CUFF_NC.22	1	163277	166353	+	132	405	952	0.4254201680672269	161	11	1129	0.00974313551815766	576	13	3346	0.0038852361028093247
CUFF_NC.25	1	180261	180962	+	35	2	429	0.004662004662004662	14	0	188	0.0	107	5	841	0.005945303210463734
CUFF_NC.26	1	182345	182786	+	19	0	110	0.0	5	0	12	0.0	28	0	95	0.0
CUFF_NC.28	1	192588	193200	+	10	0	73	0.0	22	1	138	0.007246376811594203	94	5	471	0.010615711252653927
CUFF_NC.23	1	196107	196598	-	62	3	836	0.0035885167464114833	34	1	465	0.002150537634408602	58	2	535	0.003738317757009346
CUFF_NC.24	1	197887	198512	-	33	21	201	0.1044776119402985	19	0	153	0.0	108	1	511	0.0019569471624266144
CUFF_NC.27	1	210058	210613	-	33	0	281	0.0	26	0	195	0.0	95	6	695	0.008633093525179856
CUFF_NC.29	1	219083	221145	-	244	11	2358	0.004664970313825276	145	8	1274	0.006279434850863423	406	20	3429	0.0058326042578011085
CUFF_NC.30	1	226848	227453	+	25	0	136	0.0	31	0	142	0.0	94	1	369	0.0027100271002710027
CUFF_NC.34	1	233075	237654	+	142	464	971	0.47785787847579814	236	6	1587	0.003780718336483932	774	19	4527	0.004197039982328253
CUFF_NC.31	1	238416	239453	+	69	620	649	0.9553158705701078	53	483	586	0.8242320819112628	297	624	2532	0.24644549763033174
CUFF_NC.32	1	254830	257455	+	121	103	771	0.13359273670557717	82	58	611	0.09492635024549918	335	116	1835	0.06321525885558583
CUFF_NC.58	1	283807	284180	-	29	5	227	0.022026431718061675	16	1	102	0.00980392156862745	76	1	407	0.002457002457002457
CUFF_NC.33	1	294207	295108	-	43	1	280	0.0035714285714285713	42	1	388	0.002577319587628866	177	8	1244	0.006430868167202572
CUFF_NC.36	1	301346	301758	+	6	0	22	0.0	8	1	55	0.01818181818181818	46	4	261	0.01532567049808429
CUFF_NC.35	1	308731	309427	+	51	1	434	0.002304147465437788	39	1	312	0.003205128205128205	145	4	1000	0.004
CUFF_NC.44	1	319180	319521	-	6	1	114	0.008771929824561403	15	0	146	0.0	29	0	371	0.0
