gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	9	85	0.10588235294117647	19	1	118	0.00847457627118644	172	3	925	0.003243243243243243
CUFF_NC.4	1	33820	36039	+	81	124	500	0.248	166	6	1055	0.005687203791469194	546	8	2886	0.002772002772002772
CUFF_NC.2	1	45074	46980	+	110	0	677	0.0	99	0	575	0.0	451	8	2284	0.0035026269702276708
CUFF_NC.3	1	51977	52743	-	67	0	177	0.0	57	1	173	0.005780346820809248	158	3	541	0.005545286506469501
CUFF_NC.9	1	63146	64476	+	56	1	387	0.002583979328165375	60	3	436	0.006880733944954129	284	8	1699	0.004708652148322542
CUFF_NC.10	1	67285	67782	+	60	0	202	0.0	25	1	87	0.011494252873563218	93	0	234	0.0
CUFF_NC.5	1	69606	71157	+	68	38	366	0.10382513661202186	50	4	247	0.016194331983805668	358	7	1551	0.004513217279174726
CUFF_NC.8	1	73084	73716	-	17	1	54	0.018518518518518517	52	4	166	0.024096385542168676	159	8	449	0.017817371937639197
CUFF_NC.12	1	75366	76624	-	155	1	515	0.001941747572815534	80	2	260	0.007692307692307693	219	5	818	0.006112469437652812
CUFF_NC.13	1	77837	78333	+	29	0	249	0.0	12	0	77	0.0	99	3	573	0.005235602094240838
CUFF_NC.6	1	86737	87289	+	73	0	177	0.0	35	0	93	0.0	100	1	282	0.0035460992907801418
CUFF_NC.18	1	89402	91722	-	66	1	269	0.0037174721189591076	138	4	746	0.005361930294906166	561	6	2521	0.002380007933359778
CUFF_NC.19	1	95040	96380	-	67	22	291	0.07560137457044673	79	1	381	0.0026246719160104987	292	1	1341	0.0007457121551081282
CUFF_NC.11	1	100800	101866	-	31	17	151	0.11258278145695365	38	1	275	0.0036363636363636364	212	2	933	0.0021436227224008574
CUFF_NC.7	1	104712	105333	+	58	2	158	0.012658227848101266	48	1	135	0.007407407407407408	110	1	270	0.003703703703703704
CUFF_NC.15	1	116797	118774	-	214	4	706	0.0056657223796034	119	1	393	0.002544529262086514	340	7	1221	0.005733005733005733
CUFF_NC.14	1	119083	119969	-	35	0	318	0.0	20	1	180	0.005555555555555556	205	3	1325	0.0022641509433962265
CUFF_NC.20	1	121456	123494	+	103	306	498	0.6144578313253012	164	1	808	0.0012376237623762376	437	7	1926	0.0036344755970924196
CUFF_NC.21	1	133006	133474	+	14	1	45	0.022222222222222223	16	0	72	0.0	84	0	198	0.0
CUFF_NC.16	1	141174	141695	+	15	0	66	0.0	11	1	61	0.01639344262295082	131	1	599	0.001669449081803005
CUFF_NC.17	1	154589	156159	+	127	0	634	0.0	57	0	254	0.0	265	4	1159	0.003451251078515962
CUFF_NC.22	1	163277	166353	+	147	195	575	0.3391304347826087	182	2	696	0.0028735632183908046	843	12	2929	0.004096961420279959
CUFF_NC.25	1	180261	180962	+	43	2	340	0.0058823529411764705	22	0	185	0.0	134	2	825	0.0024242424242424242
CUFF_NC.26	1	182345	182786	+	32	0	167	0.0	10	0	70	0.0	84	2	398	0.005025125628140704
CUFF_NC.28	1	192588	193200	+	16	1	65	0.015384615384615385	34	2	132	0.015151515151515152	171	2	727	0.002751031636863824
CUFF_NC.23	1	196107	196598	-	66	4	220	0.01818181818181818	38	2	104	0.019230769230769232	101	5	250	0.02
CUFF_NC.24	1	197887	198512	-	43	39	196	0.1989795918367347	30	1	128	0.0078125	170	0	631	0.0
CUFF_NC.27	1	210058	210613	-	37	2	196	0.01020408163265306	32	2	189	0.010582010582010581	117	1	594	0.0016835016835016834
CUFF_NC.29	1	219083	221145	-	246	4	685	0.00583941605839416	148	2	411	0.004866180048661801	462	7	1265	0.005533596837944664
CUFF_NC.30	1	226848	227453	+	35	1	128	0.0078125	37	0	92	0.0	154	1	500	0.002
CUFF_NC.34	1	233075	237654	+	155	439	813	0.5399753997539976	285	8	1596	0.005012531328320802	1164	18	5802	0.0031023784901758012
CUFF_NC.31	1	238416	239453	+	60	553	620	0.8919354838709678	51	428	548	0.781021897810219	289	861	2622	0.32837528604118993
CUFF_NC.32	1	254830	257455	+	126	107	853	0.1254396248534584	86	46	584	0.07876712328767123	491	248	3149	0.07875516036837091
CUFF_NC.58	1	283807	284180	-	30	0	83	0.0	20	0	53	0.0	98	0	236	0.0
CUFF_NC.33	1	294207	295108	-	39	1	189	0.005291005291005291	37	1	210	0.004761904761904762	194	2	931	0.0021482277121374865
CUFF_NC.36	1	301346	301758	+	10	0	86	0.0	20	2	176	0.011363636363636364	106	5	662	0.0075528700906344415
CUFF_NC.35	1	308731	309427	+	43	1	185	0.005405405405405406	37	0	156	0.0	143	1	597	0.0016750418760469012
CUFF_NC.44	1	319180	319521	-	10	0	63	0.0	18	1	119	0.008403361344537815	78	3	312	0.009615384615384616
CUFF_NC.37	1	341814	342849	+	50	0	286	0.0	39	1	222	0.0045045045045045045	214	3	1083	0.002770083102493075
CUFF_NC.43	1	347638	348472	-	23	0	88	0.0	33	0	118	0.0	173	0	809	0.0
CUFF_NC.42	1	355746	356392	+	47	2	216	0.009259259259259259	40	1	131	0.007633587786259542	171	0	706	0.0
CUFF_NC.39	1	358665	360498	+	97	224	472	0.4745762711864407	102	2	482	0.004149377593360996	426	8	1820	0.004395604395604396
CUFF_NC.38	1	365198	366851	-	93	1	330	0.0030303030303030303	82	0	279	0.0	247	1	1038	0.0009633911368015414
CUFF_NC.41	1	370226	371382	+	84	2	328	0.006097560975609756	48	2	188	0.010638297872340425	230	2	1054	0.0018975332068311196
CUFF_NC.40	1	371997	372411	+	27	2	148	0.013513513513513514	18	0	121	0.0	91	35	505	0.06930693069306931
CUFF_NC.57	1	392706	395717	-	189	6	628	0.009554140127388535	203	2	693	0.002886002886002886	593	8	1936	0.004132231404958678
CUFF_NC.54	1	409235	410549	-	78	2	184	0.010869565217391304	93	1	240	0.004166666666666667	328	0	757	0.0
CUFF_NC.53	1	413681	414878	+	64	1	308	0.003246753246753247	95	2	444	0.0045045045045045045	276	4	1101	0.0036330608537693005
CUFF_NC.46	1	417273	417814	-	15	0	49	0.0	31	0	123	0.0	114	2	388	0.005154639175257732
CUFF_NC.49	1	421746	425334	-	141	437	900	0.4855555555555556	116	57	578	0.0986159169550173	743	363	4381	0.08285779502396713
CUFF_NC.48	1	424665	425164	+	36	2	192	0.010416666666666666	37	1	207	0.004830917874396135	117	7	805	0.008695652173913044
CUFF_NC.45	1	425557	426435	+	31	0	170	0.0	35	1	271	0.0036900369003690036	175	3	1008	0.002976190476190476
CUFF_NC.47	1	435444	435889	+	12	0	52	0.0	41	0	208	0.0	116	3	489	0.006134969325153374
CUFF_NC.50	1	442462	442900	+	21	2	130	0.015384615384615385	22	1	152	0.006578947368421052	113	1	589	0.001697792869269949
CUFF_NC.52	1	446824	448464	+	66	38	425	0.08941176470588236	81	3	441	0.006802721088435374	324	30	1722	0.017421602787456445
CUFF_NC.51	1	463998	464582	+	57	1	203	0.0049261083743842365	35	0	129	0.0	120	1	408	0.0024509803921568627
CUFF_NC.55	1	482013	483177	-	78	1	360	0.002777777777777778	53	0	260	0.0	237	3	1074	0.002793296089385475
CUFF_NC.59	1	512866	513261	+	26	231	296	0.7804054054054054	17	80	157	0.5095541401273885	92	329	794	0.41435768261964734
CUFF_NC.60	1	514888	515295	+	23	0	158	0.0	23	3	141	0.02127659574468085	87	2	435	0.004597701149425287
CUFF_NC.70	1	523944	530099	-	384	257	1686	0.15243179122182682	383	7	1743	0.004016064257028112	1359	35	5735	0.006102877070619006
CUFF_NC.71	1	525592	531975	-	387	232	1651	0.14052089642640825	421	11	1920	0.005729166666666666	1419	41	5729	0.007156571827544074
CUFF_NC.72	1	528007	534109	-	385	288	1755	0.1641025641025641	420	8	1976	0.004048582995951417	1465	34	6158	0.005521273140630075
CUFF_NC.62	1	538375	544045	-	195	325	1464	0.22199453551912568	247	107	1830	0.058469945355191254	1134	527	6587	0.08000607256717777
CUFF_NC.64	1	547818	551699	-	189	341	1378	0.2474600870827286	108	69	596	0.11577181208053691	736	546	4792	0.1139398998330551
CUFF_NC.65	1	550120	550546	-	9	17	25	0.68	7	5	16	0.3125	53	46	299	0.15384615384615385
CUFF_NC.68	1	556826	558761	-	109	0	434	0.0	104	0	432	0.0	457	6	1686	0.0035587188612099642
CUFF_NC.61	1	559734	560251	+	10	0	71	0.0	17	0	118	0.0	115	1	798	0.0012531328320802004
CUFF_NC.66	1	564136	564745	-	43	0	128	0.0	42	0	100	0.0	134	3	420	0.007142857142857143
CUFF_NC.67	1	565230	565784	-	54	0	180	0.0	31	0	114	0.0	128	2	452	0.004424778761061947
CUFF_NC.63	1	568739	570386	-	190	0	737	0.0	110	2	404	0.0049504950495049506	328	4	1175	0.003404255319148936
CUFF_NC.73	1	588007	589390	-	119	31	531	0.0583804143126177	84	5	417	0.011990407673860911	288	13	1504	0.008643617021276596
CUFF_NC.76	1	591664	593419	-	121	1	605	0.001652892561983471	84	2	443	0.004514672686230248	376	4	1516	0.002638522427440633
CUFF_NC.74	1	594729	596073	+	60	14	247	0.05668016194331984	99	2	351	0.005698005698005698	359	5	1141	0.0043821209465381246
CUFF_NC.75	1	597522	598135	+	33	0	156	0.0	31	1	154	0.006493506493506494	103	0	410	0.0
CUFF_NC.77	1	599765	600204	+	18	32	89	0.3595505617977528	33	1	215	0.004651162790697674	113	3	720	0.004166666666666667
CUFF_NC.78	1	610701	611509	+	55	0	179	0.0	35	0	106	0.0	174	7	741	0.009446693657219974
CUFF_NC.79	1	617987	619403	-	157	1	569	0.0017574692442882249	79	0	334	0.0	219	2	798	0.002506265664160401
CUFF_NC.80	1	622046	622369	-	20	2	139	0.014388489208633094	16	1	120	0.008333333333333333	80	0	497	0.0
CUFF_NC.83	1	632744	633122	-	16	0	55	0.0	26	0	139	0.0	116	2	442	0.004524886877828055
CUFF_NC.90	1	640236	640825	-	21	108	123	0.8780487804878049	5	10	42	0.23809523809523808	96	61	514	0.11867704280155641
CUFF_NC.89	1	641448	642563	+	64	6	395	0.015189873417721518	41	0	217	0.0	230	8	1303	0.0061396776669224865
CUFF_NC.81	1	653973	654416	+	35	0	112	0.0	28	0	85	0.0	110	0	294	0.0
CUFF_NC.84	1	658696	661410	+	124	9	719	0.012517385257301807	111	4	716	0.00558659217877095	649	13	3534	0.0036785512167515563
CUFF_NC.85	1	659555	662333	+	136	10	750	0.013333333333333334	102	4	700	0.005714285714285714	649	13	3502	0.0037121644774414622
CUFF_NC.82	1	663236	663656	+	22	8	87	0.09195402298850575	22	0	110	0.0	108	3	473	0.006342494714587738
CUFF_NC.86	1	665248	666402	+	57	6	294	0.02040816326530612	38	1	160	0.00625	299	6	1234	0.004862236628849271
CUFF_NC.87	1	675516	676334	-	37	2	164	0.012195121951219513	42	0	181	0.0	215	4	1020	0.00392156862745098
CUFF_NC.88	1	693076	693540	-	10	0	92	0.0	16	0	92	0.0	88	11	469	0.023454157782515993
CUFF_NC.91	1	705921	706616	+	40	0	297	0.0	36	1	238	0.004201680672268907	148	1	846	0.001182033096926714
CUFF_NC.93	1	731716	732702	+	53	39	434	0.08986175115207373	54	1	527	0.0018975332068311196	203	5	1299	0.003849114703618168
CUFF_NC.94	1	742835	743218	-	17	14	80	0.175	15	0	69	0.0	113	2	513	0.003898635477582846
CUFF_NC.92	1	769606	770629	-	62	1	310	0.0032258064516129032	46	1	231	0.004329004329004329	251	2	943	0.0021208907741251328
CUFF_NC.96	1	792040	792527	+	7	27	43	0.627906976744186	5	1	26	0.038461538461538464	57	30	365	0.0821917808219178
CUFF_NC.97	1	792753	793059	+	18	0	155	0.0	13	0	135	0.0	59	0	366	0.0
CUFF_NC.95	1	813492	814238	-	33	0	161	0.0	33	1	161	0.006211180124223602	177	4	802	0.004987531172069825
CUFF_NC.99	1	820959	821299	-	9	0	79	0.0	20	2	127	0.015748031496062992	103	3	633	0.004739336492890996
CUFF_NC.98	1	822863	823948	+	41	40	304	0.13157894736842105	83	2	603	0.003316749585406302	207	1	1103	0.0009066183136899365
CUFF_NC.102	1	827723	828094	-	14	18	39	0.46153846153846156	23	0	65	0.0	105	1	271	0.0036900369003690036
CUFF_NC.103	1	842641	845302	+	133	3	501	0.005988023952095809	145	1	507	0.0019723865877712033	654	15	2550	0.0058823529411764705
CUFF_NC.104	1	843756	844262	+	31	0	59	0.0	25	0	56	0.0	116	1	276	0.0036231884057971015
CUFF_NC.101	1	852139	854239	-	172	1	633	0.001579778830963665	143	1	465	0.002150537634408602	359	2	1144	0.0017482517482517483
CUFF_NC.100	1	866098	866818	+	22	36	171	0.21052631578947367	32	0	227	0.0	138	1	667	0.0014992503748125937
CUFF_NC.105	1	871636	872739	-	79	1	365	0.0027397260273972603	67	1	297	0.003367003367003367	233	3	842	0.0035629453681710215
CUFF_NC.109	1	882129	882853	+	16	51	137	0.3722627737226277	34	1	245	0.004081632653061225	107	1	486	0.00205761316872428
CUFF_NC.118	1	905255	905896	+	27	0	106	0.0	30	1	131	0.007633587786259542	140	0	456	0.0
CUFF_NC.107	1	930609	932087	+	80	2	412	0.0048543689320388345	46	3	238	0.012605042016806723	241	2	1000	0.002
CUFF_NC.110	1	941685	942629	+	33	3	173	0.017341040462427744	59	0	343	0.0	191	0	939	0.0
CUFF_NC.117	1	948980	949396	+	11	0	48	0.0	29	1	128	0.0078125	99	1	358	0.002793296089385475
CUFF_NC.111	1	957115	958329	+	93	2	332	0.006024096385542169	62	1	241	0.004149377593360996	232	3	963	0.003115264797507788
CUFF_NC.112	1	959892	960676	+	29	1	237	0.004219409282700422	21	0	176	0.0	166	5	1384	0.0036127167630057803
CUFF_NC.113	1	967645	968734	+	112	0	321	0.0	58	0	152	0.0	210	1	609	0.0016420361247947454
CUFF_NC.116	1	976096	978048	+	85	0	469	0.0	50	0	234	0.0	336	8	1665	0.004804804804804805
CUFF_NC.115	1	979746	980312	+	30	77	139	0.5539568345323741	44	0	237	0.0	143	3	607	0.004942339373970346
CUFF_NC.114	1	982543	983713	+	80	0	340	0.0	58	1	233	0.004291845493562232	238	2	976	0.0020491803278688526
CUFF_NC.127	1	1028278	1029016	+	77	0	247	0.0	56	3	160	0.01875	123	1	428	0.002336448598130841
