gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	16	4	142	0.028169014084507043	16	0	143	0.0	131	4	1138	0.0035149384885764497
CUFF_NC.4	1	33820	36039	+	74	118	622	0.18971061093247588	156	4	1381	0.002896451846488052	472	8	3431	0.002331681725444477
CUFF_NC.2	1	45074	46980	+	93	15	841	0.0178359096313912	80	3	664	0.004518072289156626	360	4	2237	0.001788109074653554
CUFF_NC.3	1	51977	52743	-	64	0	165	0.0	49	1	150	0.006666666666666667	132	0	363	0.0
CUFF_NC.9	1	63146	64476	+	43	0	461	0.0	46	0	539	0.0	205	3	1686	0.0017793594306049821
CUFF_NC.10	1	67285	67782	+	57	2	379	0.005277044854881266	26	0	153	0.0	61	0	448	0.0
CUFF_NC.5	1	69606	71157	+	66	25	436	0.05733944954128441	40	6	287	0.020905923344947737	258	5	1584	0.0031565656565656565
CUFF_NC.8	1	73084	73716	-	15	0	46	0.0	45	1	148	0.006756756756756757	145	2	364	0.005494505494505495
CUFF_NC.12	1	75366	76624	-	128	1	599	0.001669449081803005	65	0	266	0.0	170	3	730	0.00410958904109589
CUFF_NC.13	1	77837	78333	+	24	0	271	0.0	11	0	56	0.0	77	1	493	0.002028397565922921
CUFF_NC.6	1	86737	87289	+	84	0	185	0.0	40	0	93	0.0	106	0	204	0.0
CUFF_NC.18	1	89402	91722	-	60	1	240	0.004166666666666667	121	5	732	0.006830601092896175	472	5	2216	0.002256317689530686
CUFF_NC.19	1	95040	96380	-	65	1	380	0.002631578947368421	74	0	559	0.0	271	6	1707	0.0035149384885764497
CUFF_NC.11	1	100800	101866	-	35	1	247	0.004048582995951417	43	2	450	0.0044444444444444444	203	3	1245	0.0024096385542168677
CUFF_NC.7	1	104712	105333	+	49	1	116	0.008620689655172414	39	0	107	0.0	75	0	187	0.0
CUFF_NC.15	1	116797	118774	-	221	0	883	0.0	111	1	357	0.0028011204481792717	320	1	1091	0.0009165902841429881
CUFF_NC.14	1	119083	119969	-	37	1	330	0.0030303030303030303	23	0	198	0.0	189	2	1315	0.001520912547528517
CUFF_NC.20	1	121456	123494	+	100	428	636	0.6729559748427673	155	9	1073	0.008387698042870456	397	10	2435	0.004106776180698152
CUFF_NC.21	1	133006	133474	+	12	4	26	0.15384615384615385	17	0	52	0.0	65	0	168	0.0
CUFF_NC.16	1	141174	141695	+	12	1	59	0.01694915254237288	7	0	41	0.0	96	0	439	0.0
CUFF_NC.17	1	154589	156159	+	162	1	862	0.001160092807424594	66	0	288	0.0	284	4	1159	0.003451251078515962
CUFF_NC.22	1	163277	166353	+	135	244	608	0.40131578947368424	155	3	712	0.004213483146067416	619	12	2587	0.004638577502899111
CUFF_NC.25	1	180261	180962	+	33	2	529	0.003780718336483932	15	1	262	0.003816793893129771	81	5	1057	0.004730368968779565
CUFF_NC.26	1	182345	182786	+	19	0	171	0.0	9	0	54	0.0	58	0	270	0.0
CUFF_NC.28	1	192588	193200	+	12	0	57	0.0	26	0	124	0.0	134	2	629	0.003179650238473768
CUFF_NC.23	1	196107	196598	-	46	0	134	0.0	26	1	67	0.014925373134328358	42	0	113	0.0
CUFF_NC.24	1	197887	198512	-	39	0	211	0.0	29	1	130	0.007692307692307693	149	3	673	0.004457652303120356
CUFF_NC.27	1	210058	210613	-	39	0	173	0.0	33	1	168	0.005952380952380952	132	0	511	0.0
CUFF_NC.29	1	219083	221145	-	185	1	534	0.0018726591760299626	113	0	365	0.0	328	1	1038	0.0009633911368015414
CUFF_NC.30	1	226848	227453	+	23	0	98	0.0	25	0	81	0.0	104	1	354	0.002824858757062147
CUFF_NC.34	1	233075	237654	+	148	564	907	0.6218302094818081	266	7	1713	0.004086398131932283	1002	24	5951	0.004032935641068728
CUFF_NC.31	1	238416	239453	+	68	669	724	0.9240331491712708	53	520	626	0.8306709265175719	304	981	3083	0.31819656179046385
CUFF_NC.32	1	254830	257455	+	117	156	891	0.1750841750841751	78	83	700	0.11857142857142858	440	472	3092	0.15265200517464425
CUFF_NC.58	1	283807	284180	-	22	0	59	0.0	10	0	23	0.0	41	0	114	0.0
CUFF_NC.33	1	294207	295108	-	44	0	142	0.0	45	0	211	0.0	216	3	789	0.0038022813688212928
CUFF_NC.36	1	301346	301758	+	7	1	110	0.00909090909090909	14	0	170	0.0	77	2	797	0.002509410288582183
CUFF_NC.35	1	308731	309427	+	48	1	264	0.003787878787878788	36	0	218	0.0	140	0	712	0.0
CUFF_NC.44	1	319180	319521	-	11	0	123	0.0	19	0	210	0.0	66	0	504	0.0
CUFF_NC.37	1	341814	342849	+	46	0	267	0.0	40	0	177	0.0	216	2	1001	0.001998001998001998
CUFF_NC.43	1	347638	348472	-	23	0	88	0.0	29	1	101	0.009900990099009901	131	3	700	0.004285714285714286
CUFF_NC.42	1	355746	356392	+	34	4	237	0.016877637130801686	29	0	155	0.0	152	5	482	0.01037344398340249
CUFF_NC.39	1	358665	360498	+	108	70	447	0.15659955257270694	122	2	580	0.0034482758620689655	427	10	1635	0.0061162079510703364
CUFF_NC.38	1	365198	366851	-	100	3	416	0.007211538461538462	79	3	353	0.0084985835694051	221	5	1002	0.00499001996007984
