gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	20	37	120	0.30833333333333335	25	5	118	0.0423728813559322	221	6	1046	0.0057361376673040155
CUFF_NC.4	1	33820	36039	+	84	87	406	0.21428571428571427	169	6	867	0.006920415224913495	579	21	2576	0.008152173913043478
CUFF_NC.2	1	45074	46980	+	100	11	573	0.019197207678883072	95	0	485	0.0	428	10	1789	0.005589714924538848
CUFF_NC.3	1	51977	52743	-	67	1	163	0.006134969325153374	54	0	145	0.0	162	2	503	0.003976143141153081
CUFF_NC.9	1	63146	64476	+	59	2	372	0.005376344086021506	62	1	374	0.00267379679144385	289	5	1336	0.0037425149700598802
CUFF_NC.10	1	67285	67782	+	76	1	261	0.0038314176245210726	29	0	93	0.0	115	0	250	0.0
CUFF_NC.5	1	69606	71157	+	63	61	303	0.20132013201320131	45	4	209	0.019138755980861243	316	23	1412	0.016288951841359773
CUFF_NC.8	1	73084	73716	-	17	6	49	0.12244897959183673	59	0	181	0.0	172	6	450	0.013333333333333334
CUFF_NC.12	1	75366	76624	-	135	4	461	0.008676789587852495	61	0	173	0.0	209	5	721	0.006934812760055479
CUFF_NC.13	1	77837	78333	+	33	0	214	0.0	16	1	79	0.012658227848101266	111	4	649	0.0061633281972265025
CUFF_NC.6	1	86737	87289	+	73	1	141	0.0070921985815602835	31	0	55	0.0	90	0	189	0.0
CUFF_NC.18	1	89402	91722	-	69	4	276	0.014492753623188406	138	7	683	0.010248901903367497	567	13	2334	0.005569837189374464
CUFF_NC.19	1	95040	96380	-	68	35	257	0.13618677042801555	82	3	351	0.008547008547008548	312	4	1124	0.0035587188612099642
CUFF_NC.11	1	100800	101866	-	37	15	165	0.09090909090909091	51	2	290	0.006896551724137931	288	8	1158	0.0069084628670120895
CUFF_NC.7	1	104712	105333	+	69	0	141	0.0	60	0	120	0.0	125	1	245	0.004081632653061225
CUFF_NC.15	1	116797	118774	-	252	6	874	0.006864988558352402	134	0	424	0.0	368	9	1325	0.006792452830188679
CUFF_NC.14	1	119083	119969	-	37	3	192	0.015625	25	0	119	0.0	224	5	960	0.005208333333333333
CUFF_NC.20	1	121456	123494	+	106	326	481	0.6777546777546778	176	2	805	0.002484472049689441	502	11	1919	0.005732152162584679
CUFF_NC.21	1	133006	133474	+	20	11	63	0.1746031746031746	26	1	91	0.01098901098901099	117	0	333	0.0
CUFF_NC.16	1	141174	141695	+	14	1	63	0.015873015873015872	9	0	59	0.0	137	4	608	0.006578947368421052
CUFF_NC.17	1	154589	156159	+	148	1	686	0.0014577259475218659	69	0	289	0.0	291	3	1210	0.0024793388429752068
CUFF_NC.22	1	163277	166353	+	152	105	486	0.21604938271604937	186	5	613	0.008156606851549755	821	13	2521	0.005156683855612852
CUFF_NC.25	1	180261	180962	+	44	3	347	0.008645533141210375	22	2	193	0.010362694300518135	131	6	867	0.006920415224913495
CUFF_NC.26	1	182345	182786	+	25	3	154	0.01948051948051948	11	0	72	0.0	67	4	346	0.011560693641618497
CUFF_NC.28	1	192588	193200	+	16	1	86	0.011627906976744186	33	1	172	0.005813953488372093	173	4	799	0.0050062578222778474
CUFF_NC.23	1	196107	196598	-	53	1	180	0.005555555555555556	29	1	87	0.011494252873563218	54	0	140	0.0
CUFF_NC.24	1	197887	198512	-	44	38	176	0.2159090909090909	30	1	90	0.011111111111111112	166	3	558	0.005376344086021506
CUFF_NC.27	1	210058	210613	-	39	1	153	0.006535947712418301	34	0	154	0.0	131	5	523	0.009560229445506692
CUFF_NC.29	1	219083	221145	-	243	2	640	0.003125	156	2	438	0.0045662100456621	473	10	1347	0.007423904974016332
CUFF_NC.30	1	226848	227453	+	35	1	144	0.006944444444444444	31	0	70	0.0	146	4	386	0.010362694300518135
CUFF_NC.34	1	233075	237654	+	162	297	778	0.38174807197943444	291	4	1419	0.0028188865398167725	1181	32	5413	0.005911694069831886
CUFF_NC.31	1	238416	239453	+	61	450	487	0.9240246406570842	51	316	420	0.7523809523809524	287	490	1979	0.24759979787771602
CUFF_NC.32	1	254830	257455	+	129	184	736	0.25	90	66	548	0.12043795620437957	513	245	3230	0.07585139318885449
CUFF_NC.58	1	283807	284180	-	38	0	120	0.0	20	0	65	0.0	114	0	282	0.0
CUFF_NC.33	1	294207	295108	-	45	1	134	0.007462686567164179	51	0	182	0.0	252	3	828	0.0036231884057971015
CUFF_NC.36	1	301346	301758	+	8	0	77	0.0	17	0	121	0.0	80	5	566	0.0088339222614841
CUFF_NC.35	1	308731	309427	+	51	2	197	0.01015228426395939	43	3	186	0.016129032258064516	172	4	658	0.0060790273556231
CUFF_NC.44	1	319180	319521	-	10	1	70	0.014285714285714285	23	1	114	0.008771929824561403	74	2	290	0.006896551724137931
CUFF_NC.37	1	341814	342849	+	51	0	235	0.0	43	1	157	0.006369426751592357	249	8	1184	0.006756756756756757
CUFF_NC.43	1	347638	348472	-	30	0	121	0.0	40	0	158	0.0	184	7	1008	0.006944444444444444
CUFF_NC.42	1	355746	356392	+	34	0	172	0.0	32	1	136	0.007352941176470588	156	2	720	0.002777777777777778
CUFF_NC.39	1	358665	360498	+	108	136	359	0.3788300835654596	117	3	414	0.007246376811594203	456	8	1377	0.005809731299927378
CUFF_NC.38	1	365198	366851	-	115	0	357	0.0	98	1	309	0.003236245954692557	327	4	978	0.00408997955010225
CUFF_NC.41	1	370226	371382	+	83	3	293	0.010238907849829351	48	1	173	0.005780346820809248	256	3	1014	0.0029585798816568047
CUFF_NC.40	1	371997	372411	+	29	1	128	0.0078125	22	1	88	0.011363636363636364	102	0	344	0.0
CUFF_NC.57	1	392706	395717	-	211	47	600	0.07833333333333334	237	3	691	0.004341534008683068	720	12	1928	0.006224066390041493
CUFF_NC.54	1	409235	410549	-	82	2	248	0.008064516129032258	103	2	309	0.006472491909385114	349	3	984	0.003048780487804878
CUFF_NC.53	1	413681	414878	+	69	16	284	0.056338028169014086	107	2	444	0.0045045045045045045	320	3	1094	0.002742230347349177
CUFF_NC.46	1	417273	417814	-	17	0	36	0.0	32	0	90	0.0	150	2	351	0.005698005698005698
CUFF_NC.49	1	421746	425334	-	142	689	1093	0.6303751143641354	108	73	584	0.125	724	455	4871	0.0934099774173681
CUFF_NC.48	1	424665	425164	+	36	1	166	0.006024096385542169	35	0	155	0.0	110	4	498	0.008032128514056224
CUFF_NC.45	1	425557	426435	+	30	1	123	0.008130081300813009	31	1	203	0.0049261083743842365	159	8	999	0.008008008008008008
CUFF_NC.47	1	435444	435889	+	11	0	46	0.0	40	0	151	0.0	113	1	401	0.0024937655860349127
CUFF_NC.50	1	442462	442900	+	22	0	117	0.0	22	0	128	0.0	117	6	669	0.008968609865470852
CUFF_NC.52	1	446824	448464	+	63	6	430	0.013953488372093023	73	6	449	0.013363028953229399	296	25	1723	0.014509576320371444
CUFF_NC.51	1	463998	464582	+	74	2	223	0.008968609865470852	40	3	112	0.026785714285714284	129	3	411	0.0072992700729927005
CUFF_NC.55	1	482013	483177	-	80	5	320	0.015625	52	0	201	0.0	255	8	944	0.00847457627118644
CUFF_NC.59	1	512866	513261	+	25	88	124	0.7096774193548387	20	53	102	0.5196078431372549	85	73	406	0.17980295566502463
CUFF_NC.60	1	514888	515295	+	28	3	169	0.01775147928994083	23	1	123	0.008130081300813009	103	3	490	0.006122448979591836
CUFF_NC.70	1	523944	530099	-	388	446	1495	0.2983277591973244	363	12	1369	0.008765522279035792	1326	20	4510	0.004434589800443459
CUFF_NC.71	1	525592	531975	-	366	403	1400	0.28785714285714287	362	11	1329	0.008276899924755455	1277	17	4338	0.003918856615952052
CUFF_NC.72	1	528007	534109	-	313	325	1141	0.2848378615249781	302	5	1056	0.004734848484848485	1105	12	3792	0.0031645569620253164
CUFF_NC.62	1	538375	544045	-	182	183	1100	0.16636363636363635	245	55	1445	0.03806228373702422	1119	169	5269	0.03207439741886506
CUFF_NC.64	1	547818	551699	-	170	277	1021	0.2713026444662096	96	24	447	0.053691275167785234	634	181	3400	0.05323529411764706
CUFF_NC.65	1	550120	550546	-	5	30	32	0.9375	1	0	11	0.0	20	34	215	0.15813953488372093
CUFF_NC.68	1	556826	558761	-	104	1	315	0.0031746031746031746	104	0	287	0.0	469	4	1388	0.002881844380403458
CUFF_NC.61	1	559734	560251	+	10	0	50	0.0	17	2	96	0.020833333333333332	114	5	620	0.008064516129032258
CUFF_NC.66	1	564136	564745	-	42	0	108	0.0	36	0	114	0.0	95	1	310	0.0032258064516129032
CUFF_NC.67	1	565230	565784	-	54	0	189	0.0	32	1	129	0.007751937984496124	122	1	409	0.0024449877750611247
CUFF_NC.63	1	568739	570386	-	177	2	484	0.004132231404958678	92	1	278	0.0035971223021582736	285	1	800	0.00125
CUFF_NC.73	1	588007	589390	-	124	10	388	0.02577319587628866	80	6	304	0.019736842105263157	302	13	1251	0.010391686650679457
CUFF_NC.76	1	591664	593419	-	121	0	468	0.0	84	1	364	0.0027472527472527475	374	5	1429	0.0034989503149055285
CUFF_NC.74	1	594729	596073	+	62	8	208	0.038461538461538464	102	0	331	0.0	354	5	1097	0.004557885141294439
CUFF_NC.75	1	597522	598135	+	36	0	103	0.0	43	0	112	0.0	148	4	297	0.013468013468013467
CUFF_NC.77	1	599765	600204	+	17	13	63	0.20634920634920634	29	1	133	0.007518796992481203	101	0	434	0.0
CUFF_NC.78	1	610701	611509	+	68	0	214	0.0	47	0	137	0.0	224	3	757	0.003963011889035667
CUFF_NC.79	1	617987	619403	-	163	1	393	0.002544529262086514	86	2	248	0.008064516129032258	239	5	598	0.008361204013377926
CUFF_NC.80	1	622046	622369	-	19	0	83	0.0	15	0	78	0.0	64	1	327	0.0030581039755351682
CUFF_NC.83	1	632744	633122	-	16	0	45	0.0	20	0	49	0.0	109	3	274	0.010948905109489052
CUFF_NC.90	1	640236	640825	-	8	46	52	0.8846153846153846	2	4	25	0.16	41	17	215	0.07906976744186046
CUFF_NC.89	1	641448	642563	+	52	1	269	0.0037174721189591076	41	0	142	0.0	181	4	864	0.004629629629629629
CUFF_NC.81	1	653973	654416	+	38	1	160	0.00625	34	1	119	0.008403361344537815	122	7	443	0.01580135440180587
CUFF_NC.84	1	658696	661410	+	128	10	567	0.01763668430335097	118	4	541	0.0073937153419593345	689	11	3063	0.0035912504080966375
CUFF_NC.85	1	659555	662333	+	139	8	601	0.013311148086522463	105	2	514	0.0038910505836575876	665	13	3058	0.004251144538914323
CUFF_NC.82	1	663236	663656	+	20	0	62	0.0	21	0	75	0.0	106	0	299	0.0
CUFF_NC.86	1	665248	666402	+	55	1	177	0.005649717514124294	29	0	102	0.0	275	8	745	0.010738255033557046
CUFF_NC.87	1	675516	676334	-	36	0	95	0.0	43	0	107	0.0	225	4	631	0.006339144215530904
CUFF_NC.88	1	693076	693540	-	12	0	45	0.0	19	1	75	0.013333333333333334	107	2	467	0.004282655246252677
CUFF_NC.91	1	705921	706616	+	47	4	226	0.017699115044247787	39	1	165	0.006060606060606061	192	2	673	0.0029717682020802376
CUFF_NC.93	1	731716	732702	+	52	79	403	0.19602977667493796	58	4	504	0.007936507936507936	213	8	1209	0.006617038875103391
CUFF_NC.94	1	742835	743218	-	18	11	59	0.1864406779661017	16	0	48	0.0	117	0	424	0.0
CUFF_NC.92	1	769606	770629	-	70	1	254	0.003937007874015748	44	1	180	0.005555555555555556	256	2	875	0.002285714285714286
CUFF_NC.96	1	792040	792527	+	13	32	103	0.3106796116504854	9	0	76	0.0	68	23	517	0.04448742746615087
CUFF_NC.97	1	792753	793059	+	13	0	109	0.0	11	0	149	0.0	33	2	324	0.006172839506172839
CUFF_NC.95	1	813492	814238	-	39	0	226	0.0	36	0	129	0.0	185	6	814	0.007371007371007371
CUFF_NC.99	1	820959	821299	-	10	0	30	0.0	19	0	75	0.0	99	3	345	0.008695652173913044
CUFF_NC.98	1	822863	823948	+	41	0	190	0.0	87	2	436	0.0045871559633027525	233	3	799	0.0037546933667083854
CUFF_NC.102	1	827723	828094	-	16	21	62	0.3387096774193548	24	0	95	0.0	118	1	426	0.002347417840375587
CUFF_NC.103	1	842641	845302	+	134	4	439	0.009111617312072893	158	1	463	0.0021598272138228943	705	21	2273	0.009238891333040036
CUFF_NC.104	1	843756	844262	+	34	0	60	0.0	30	0	60	0.0	133	1	280	0.0035714285714285713
CUFF_NC.101	1	852139	854239	-	186	1	656	0.001524390243902439	146	2	522	0.0038314176245210726	386	6	1317	0.004555808656036446
CUFF_NC.100	1	866098	866818	+	26	33	196	0.1683673469387755	34	2	235	0.00851063829787234	149	5	702	0.007122507122507123
CUFF_NC.105	1	871636	872739	-	86	2	333	0.006006006006006006	63	4	231	0.017316017316017316	266	7	807	0.008674101610904586
CUFF_NC.109	1	882129	882853	+	14	54	124	0.43548387096774194	27	1	194	0.005154639175257732	78	3	433	0.006928406466512702
CUFF_NC.118	1	905255	905896	+	30	0	58	0.0	28	0	67	0.0	136	2	360	0.005555555555555556
CUFF_NC.108	1	923855	924181	-	8	0	36	0.0	2	0	6	0.0	55	0	230	0.0
CUFF_NC.107	1	930609	932087	+	88	1	438	0.00228310502283105	57	3	252	0.011904761904761904	273	3	1010	0.0029702970297029703
CUFF_NC.110	1	941685	942629	+	33	35	140	0.25	62	2	317	0.006309148264984227	227	5	873	0.0057273768613974796
CUFF_NC.117	1	948980	949396	+	11	0	51	0.0	27	0	150	0.0	98	0	413	0.0
CUFF_NC.111	1	957115	958329	+	104	5	389	0.012853470437017995	69	1	273	0.003663003663003663	275	2	1022	0.0019569471624266144
CUFF_NC.112	1	959892	960676	+	35	0	169	0.0	26	2	140	0.014285714285714285	215	4	1211	0.0033030553261767133
CUFF_NC.113	1	967645	968734	+	104	0	280	0.0	51	1	135	0.007407407407407408	184	4	574	0.006968641114982578
CUFF_NC.116	1	976096	978048	+	82	1	423	0.002364066193853428	54	1	237	0.004219409282700422	375	2	1788	0.0011185682326621924
CUFF_NC.115	1	979746	980312	+	27	39	70	0.5571428571428572	45	2	139	0.014388489208633094	123	2	361	0.00554016620498615
CUFF_NC.114	1	982543	983713	+	78	0	272	0.0	57	2	195	0.010256410256410256	240	3	718	0.004178272980501393
CUFF_NC.127	1	1028278	1029016	+	87	1	298	0.003355704697986577	69	3	260	0.011538461538461539	167	4	685	0.00583941605839416
CUFF_NC.120	1	1047139	1048124	+	51	122	157	0.7770700636942676	74	3	262	0.011450381679389313	292	5	910	0.005494505494505495
CUFF_NC.121	1	1057787	1059407	-	107	3	389	0.007712082262210797	115	1	390	0.002564102564102564	396	6	1177	0.005097706032285472
CUFF_NC.122	1	1100093	1100559	-	29	0	131	0.0	33	0	132	0.0	146	2	536	0.0037313432835820895
CUFF_NC.126	1	1115138	1115771	-	23	28	94	0.2978723404255319	36	1	160	0.00625	163	4	637	0.006279434850863423
CUFF_NC.125	1	1120224	1122526	+	129	1	557	0.0017953321364452424	75	1	263	0.0038022813688212928	436	7	1586	0.004413619167717529
CUFF_NC.141	1	1145855	1148889	+	99	3	528	0.005681818181818182	105	3	510	0.0058823529411764705	699	17	3624	0.004690949227373068
CUFF_NC.123	1	1167552	1168870	+	97	2	392	0.00510204081632653	86	2	340	0.0058823529411764705	304	2	1114	0.0017953321364452424
CUFF_NC.124	1	1176545	1177625	+	70	0	220	0.0	70	0	246	0.0	273	5	944	0.005296610169491525
CUFF_NC.128	1	1185672	1187044	+	74	167	289	0.5778546712802768	94	4	360	0.011111111111111112	334	9	1228	0.007328990228013029
CUFF_NC.130	1	1194178	1196948	+	124	203	742	0.27358490566037735	62	108	408	0.2647058823529412	582	650	3475	0.18705035971223022
CUFF_NC.131	1	1195443	1196953	-	80	10	330	0.030303030303030304	31	3	148	0.02027027027027027	335	7	1363	0.005135730007336757
CUFF_NC.129	1	1198032	1198475	-	21	1	193	0.0051813471502590676	19	2	202	0.009900990099009901	102	5	712	0.007022471910112359
CUFF_NC.134	1	1212386	1213136	+	48	7	176	0.03977272727272727	45	1	142	0.007042253521126761	171	2	433	0.004618937644341801
CUFF_NC.135	1	1214728	1215425	+	13	0	80	0.0	32	0	170	0.0	139	1	692	0.001445086705202312
CUFF_NC.132	1	1231501	1232254	-	10	0	37	0.0	44	1	142	0.007042253521126761	159	7	473	0.014799154334038054
CUFF_NC.133	1	1236419	1239190	-	206	1	699	0.001430615164520744	146	3	494	0.006072874493927126	639	14	2170	0.0064516129032258064
CUFF_NC.136	1	1242530	1243500	-	31	0	129	0.0	40	1	245	0.004081632653061225	227	4	1198	0.00333889816360601
CUFF_NC.138	1	1246683	1249246	+	116	4	554	0.007220216606498195	143	4	566	0.007067137809187279	650	9	2462	0.0036555645816409425
CUFF_NC.139	1	1252201	1253127	+	36	1	139	0.007194244604316547	69	4	266	0.015037593984962405	232	2	804	0.0024875621890547263
