gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	14	0	40	0.0	18	0	55	0.0	123	2	336	0.005952380952380952
CUFF_NC.4	1	33820	36039	+	58	53	180	0.29444444444444445	131	2	398	0.005025125628140704	331	3	984	0.003048780487804878
CUFF_NC.2	1	45074	46980	+	76	0	240	0.0	66	2	212	0.009433962264150943	253	13	702	0.018518518518518517
CUFF_NC.3	1	51977	52743	-	40	0	68	0.0	29	0	51	0.0	77	1	125	0.008
CUFF_NC.9	1	63146	64476	+	43	1	129	0.007751937984496124	38	1	133	0.007518796992481203	153	3	513	0.005847953216374269
CUFF_NC.10	1	67285	67782	+	50	1	166	0.006024096385542169	21	0	77	0.0	54	2	152	0.013157894736842105
CUFF_NC.5	1	69606	71157	+	43	2	152	0.013157894736842105	27	1	76	0.013157894736842105	162	5	511	0.009784735812133072
CUFF_NC.8	1	73084	73716	-	12	0	24	0.0	37	0	77	0.0	88	1	160	0.00625
CUFF_NC.12	1	75366	76624	-	144	2	326	0.006134969325153374	76	1	142	0.007042253521126761	169	3	410	0.007317073170731708
CUFF_NC.13	1	77837	78333	+	18	3	49	0.061224489795918366	6	2	11	0.18181818181818182	51	6	89	0.06741573033707865
CUFF_NC.6	1	86737	87289	+	83	1	144	0.006944444444444444	30	1	52	0.019230769230769232	97	0	181	0.0
CUFF_NC.18	1	89402	91722	-	38	1	72	0.013888888888888888	94	1	216	0.004629629629629629	355	8	740	0.010810810810810811
CUFF_NC.19	1	95040	96380	-	47	36	151	0.23841059602649006	54	1	161	0.006211180124223602	182	6	526	0.011406844106463879
CUFF_NC.11	1	100800	101866	-	28	0	73	0.0	35	1	176	0.005681818181818182	159	6	483	0.012422360248447204
CUFF_NC.7	1	104712	105333	+	55	0	113	0.0	45	0	89	0.0	78	2	163	0.012269938650306749
CUFF_NC.15	1	116797	118774	-	186	2	360	0.005555555555555556	95	3	177	0.01694915254237288	223	0	391	0.0
CUFF_NC.14	1	119083	119969	-	30	0	89	0.0	16	0	45	0.0	97	0	244	0.0
CUFF_NC.20	1	121456	123494	+	85	120	194	0.6185567010309279	130	4	326	0.012269938650306749	358	8	783	0.010217113665389528
CUFF_NC.21	1	133006	133474	+	8	0	20	0.0	13	0	31	0.0	33	0	78	0.0
CUFF_NC.16	1	141174	141695	+	6	0	10	0.0	6	0	11	0.0	49	0	83	0.0
CUFF_NC.17	1	154589	156159	+	149	3	382	0.007853403141361256	71	0	171	0.0	268	4	552	0.007246376811594203
CUFF_NC.22	1	163277	166353	+	104	90	234	0.38461538461538464	125	0	297	0.0	461	12	1020	0.011764705882352941
CUFF_NC.25	1	180261	180962	+	26	1	166	0.006024096385542169	15	1	110	0.00909090909090909	68	1	249	0.004016064257028112
CUFF_NC.26	1	182345	182786	+	8	0	12	0.0	3	0	5	0.0	23	0	30	0.0
CUFF_NC.28	1	192588	193200	+	10	0	24	0.0	20	1	51	0.0196078431372549	71	6	183	0.03278688524590164
CUFF_NC.23	1	196107	196598	-	68	2	180	0.011111111111111112	38	0	98	0.0	81	2	154	0.012987012987012988
CUFF_NC.24	1	197887	198512	-	27	0	89	0.0	17	0	78	0.0	85	1	230	0.004347826086956522
CUFF_NC.27	1	210058	210613	-	37	2	107	0.018691588785046728	29	1	80	0.0125	114	5	274	0.01824817518248175
CUFF_NC.29	1	219083	221145	-	203	0	495	0.0	117	0	264	0.0	345	0	733	0.0
