gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	22	35	176	0.19886363636363635	25	1	173	0.005780346820809248	208	3	1278	0.002347417840375587
CUFF_NC.4	1	33820	36039	+	89	190	877	0.21664766248574688	183	10	1956	0.005112474437627812	601	35	5074	0.006897910918407568
CUFF_NC.2	1	45074	46980	+	104	19	1064	0.017857142857142856	97	5	937	0.005336179295624333	390	12	3478	0.0034502587694077054
CUFF_NC.3	1	51977	52743	-	69	1	432	0.0023148148148148147	46	1	259	0.003861003861003861	149	5	645	0.007751937984496124
CUFF_NC.9	1	63146	64476	+	56	1	546	0.0018315018315018315	52	3	515	0.005825242718446602	243	5	1811	0.0027609055770292656
CUFF_NC.10	1	67285	67782	+	65	0	472	0.0	25	1	201	0.004975124378109453	98	5	522	0.009578544061302681
CUFF_NC.5	1	69606	71157	+	54	46	489	0.09406952965235174	37	5	299	0.016722408026755852	232	8	1383	0.005784526391901663
CUFF_NC.8	1	73084	73716	-	18	1	112	0.008928571428571428	55	0	356	0.0	163	3	765	0.00392156862745098
CUFF_NC.12	1	75366	76624	-	181	8	1678	0.004767580452920143	97	5	754	0.006631299734748011	239	4	1685	0.002373887240356083
CUFF_NC.13	1	77837	78333	+	22	2	198	0.010101010101010102	8	0	52	0.0	63	4	376	0.010638297872340425
CUFF_NC.6	1	86737	87289	+	93	0	968	0.0	40	2	339	0.0058997050147492625	105	4	1018	0.003929273084479371
CUFF_NC.18	1	89402	91722	-	58	3	468	0.00641025641025641	130	3	1074	0.002793296089385475	461	9	3641	0.0024718483932985444
CUFF_NC.19	1	95040	96380	-	67	56	617	0.09076175040518639	80	1	759	0.0013175230566534915	302	10	2373	0.004214075010535188
CUFF_NC.11	1	100800	101866	-	41	1	376	0.0026595744680851063	48	2	477	0.0041928721174004195	239	6	1736	0.0034562211981566822
CUFF_NC.7	1	104712	105333	+	75	3	622	0.00482315112540193	66	3	529	0.005671077504725898	142	4	1028	0.0038910505836575876
CUFF_NC.15	1	116797	118774	-	271	10	2596	0.003852080123266564	148	5	1254	0.003987240829346092	367	10	2780	0.0035971223021582736
CUFF_NC.14	1	119083	119969	-	37	0	313	0.0	24	0	209	0.0	171	6	1191	0.005037783375314861
CUFF_NC.20	1	121456	123494	+	112	715	1044	0.6848659003831418	178	10	1595	0.006269592476489028	511	18	3854	0.00467047223663726
CUFF_NC.21	1	133006	133474	+	19	27	106	0.25471698113207547	19	1	125	0.008	79	1	347	0.002881844380403458
CUFF_NC.16	1	141174	141695	+	13	0	64	0.0	9	1	38	0.02631578947368421	112	1	423	0.002364066193853428
CUFF_NC.17	1	154589	156159	+	181	7	1783	0.003925967470555244	79	2	762	0.0026246719160104987	338	16	2891	0.005534417156693186
CUFF_NC.22	1	163277	166353	+	147	191	1141	0.16739702015775634	174	8	1298	0.0061633281972265025	740	17	4640	0.003663793103448276
CUFF_NC.25	1	180261	180962	+	40	1	393	0.002544529262086514	21	1	199	0.005025125628140704	140	3	998	0.003006012024048096
CUFF_NC.26	1	182345	182786	+	24	0	115	0.0	8	0	44	0.0	46	4	217	0.018433179723502304
CUFF_NC.28	1	192588	193200	+	15	1	126	0.007936507936507936	31	0	254	0.0	146	7	881	0.007945516458569807
CUFF_NC.23	1	196107	196598	-	75	5	657	0.0076103500761035	43	1	367	0.0027247956403269754	118	3	586	0.005119453924914676
CUFF_NC.24	1	197887	198512	-	41	17	312	0.05448717948717949	30	0	167	0.0	154	6	998	0.006012024048096192
CUFF_NC.27	1	210058	210613	-	38	1	385	0.0025974025974025974	31	2	299	0.006688963210702341	121	7	1078	0.006493506493506494
CUFF_NC.29	1	219083	221145	-	261	4	2609	0.0015331544653123803	156	6	1404	0.004273504273504274	461	16	3881	0.004122648801855192
CUFF_NC.30	1	226848	227453	+	34	0	132	0.0	35	2	175	0.011428571428571429	137	1	508	0.001968503937007874
CUFF_NC.34	1	233075	237654	+	158	777	1299	0.5981524249422633	282	12	2260	0.005309734513274336	1067	26	7375	0.003525423728813559
CUFF_NC.31	1	238416	239453	+	65	565	589	0.9592529711375212	50	383	467	0.8201284796573876	246	412	2021	0.20385947550717468
CUFF_NC.32	1	254830	257455	+	133	120	1138	0.1054481546572935	93	105	813	0.12915129151291513	421	153	2714	0.056374355195283714
