gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	20	59	130	0.45384615384615384	24	3	126	0.023809523809523808	177	18	1074	0.01675977653631285
CUFF_NC.4	1	33820	36039	+	81	229	788	0.2906091370558376	173	8	1631	0.004904966278356836	536	13	4332	0.0030009233610341643
CUFF_NC.2	1	45074	46980	+	88	7	943	0.007423117709437964	89	7	874	0.008009153318077803	334	13	3121	0.004165331624479333
CUFF_NC.3	1	51977	52743	-	67	2	445	0.0044943820224719105	51	2	296	0.006756756756756757	141	4	639	0.006259780907668232
CUFF_NC.9	1	63146	64476	+	53	3	376	0.007978723404255319	52	1	379	0.002638522427440633	239	8	1630	0.0049079754601227
CUFF_NC.10	1	67285	67782	+	67	0	544	0.0	24	0	242	0.0	99	4	690	0.005797101449275362
CUFF_NC.5	1	69606	71157	+	46	2	312	0.00641025641025641	32	0	210	0.0	222	6	1150	0.0052173913043478265
CUFF_NC.8	1	73084	73716	-	14	0	99	0.0	51	5	335	0.014925373134328358	151	4	789	0.005069708491761723
CUFF_NC.12	1	75366	76624	-	172	5	1532	0.0032637075718015664	84	3	672	0.004464285714285714	214	9	1525	0.005901639344262295
CUFF_NC.13	1	77837	78333	+	17	1	160	0.00625	8	0	20	0.0	56	0	258	0.0
CUFF_NC.6	1	86737	87289	+	93	5	919	0.00544069640914037	40	1	370	0.002702702702702703	105	8	865	0.009248554913294798
CUFF_NC.18	1	89402	91722	-	43	1	255	0.00392156862745098	87	0	584	0.0	322	8	1937	0.004130098089829634
CUFF_NC.19	1	95040	96380	-	65	215	726	0.29614325068870523	77	10	844	0.011848341232227487	266	10	2426	0.004122011541632316
CUFF_NC.11	1	100800	101866	-	40	2	333	0.006006006006006006	46	0	399	0.0	234	7	1531	0.0045721750489875895
CUFF_NC.7	1	104712	105333	+	70	2	642	0.003115264797507788	61	4	571	0.0070052539404553416	131	8	992	0.008064516129032258
CUFF_NC.15	1	116797	118774	-	269	11	2670	0.004119850187265918	143	1	1352	0.0007396449704142012	357	10	2955	0.00338409475465313
CUFF_NC.14	1	119083	119969	-	32	0	261	0.0	19	0	137	0.0	134	4	878	0.004555808656036446
CUFF_NC.20	1	121456	123494	+	107	708	984	0.7195121951219512	171	13	1458	0.008916323731138546	457	27	3478	0.007763082231167337
CUFF_NC.21	1	133006	133474	+	14	0	119	0.0	16	2	125	0.016	88	0	331	0.0
CUFF_NC.16	1	141174	141695	+	11	0	36	0.0	9	0	24	0.0	90	1	259	0.003861003861003861
CUFF_NC.17	1	154589	156159	+	177	5	1792	0.0027901785714285715	77	3	767	0.003911342894393742	304	14	2829	0.00494874513962531
CUFF_NC.22	1	163277	166353	+	143	220	1148	0.1916376306620209	171	9	1390	0.006474820143884892	634	25	4367	0.00572475383558507
CUFF_NC.25	1	180261	180962	+	53	3	432	0.006944444444444444	25	1	175	0.005714285714285714	172	5	1106	0.0045207956600361665
CUFF_NC.26	1	182345	182786	+	10	0	31	0.0	6	0	17	0.0	24	0	87	0.0
CUFF_NC.28	1	192588	193200	+	13	0	64	0.0	28	1	137	0.0072992700729927005	139	5	553	0.009041591320072333
CUFF_NC.23	1	196107	196598	-	69	3	648	0.004629629629629629	41	1	355	0.0028169014084507044	101	2	507	0.0039447731755424065
CUFF_NC.24	1	197887	198512	-	35	1	250	0.004	23	1	131	0.007633587786259542	129	7	817	0.008567931456548347
CUFF_NC.27	1	210058	210613	-	38	1	335	0.0029850746268656717	29	1	267	0.003745318352059925	116	5	953	0.005246589716684155
CUFF_NC.29	1	219083	221145	-	260	9	2413	0.0037297969332780773	158	6	1354	0.004431314623338257	465	19	3818	0.00497642744892614
CUFF_NC.30	1	226848	227453	+	30	0	127	0.0	36	1	184	0.005434782608695652	122	0	479	0.0
CUFF_NC.34	1	233075	237654	+	158	691	1175	0.5880851063829787	273	13	2180	0.005963302752293578	1030	46	6808	0.006756756756756757
CUFF_NC.31	1	238416	239453	+	70	568	739	0.7686062246278755	57	435	675	0.6444444444444445	281	555	2742	0.2024070021881838
CUFF_NC.32	1	254830	257455	+	115	44	726	0.06060606060606061	81	45	525	0.08571428571428572	373	118	1822	0.06476399560922064
CUFF_NC.58	1	283807	284180	-	32	0	207	0.0	18	2	99	0.020202020202020204	85	3	364	0.008241758241758242
CUFF_NC.33	1	294207	295108	-	44	2	366	0.00546448087431694	45	4	477	0.008385744234800839	189	14	1614	0.008674101610904586
CUFF_NC.36	1	301346	301758	+	10	0	39	0.0	15	1	85	0.011764705882352941	75	3	399	0.007518796992481203
CUFF_NC.35	1	308731	309427	+	52	1	443	0.002257336343115124	42	0	320	0.0	146	7	1023	0.006842619745845552
CUFF_NC.44	1	319180	319521	-	10	0	85	0.0	26	0	143	0.0	101	3	406	0.007389162561576354
CUFF_NC.37	1	341814	342849	+	36	0	164	0.0	21	1	124	0.008064516129032258	143	5	519	0.009633911368015413
CUFF_NC.43	1	347638	348472	-	23	1	111	0.009009009009009009	32	0	129	0.0	130	1	576	0.001736111111111111
CUFF_NC.42	1	355746	356392	+	39	0	271	0.0	36	0	208	0.0	124	2	503	0.003976143141153081
