gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	1	147	0.006802721088435374	21	0	139	0.0	160	3	1037	0.0028929604628736743
CUFF_NC.4	1	33820	36039	+	73	140	603	0.23217247097844113	157	5	1378	0.00362844702467344	482	8	3688	0.0021691973969631237
CUFF_NC.2	1	45074	46980	+	96	2	904	0.0022123893805309734	90	2	730	0.0027397260273972603	393	5	2726	0.001834189288334556
CUFF_NC.3	1	51977	52743	-	49	1	200	0.005	41	0	197	0.0	123	1	550	0.0018181818181818182
CUFF_NC.9	1	63146	64476	+	51	2	563	0.003552397868561279	58	1	626	0.001597444089456869	255	5	2061	0.0024260067928190197
CUFF_NC.10	1	67285	67782	+	58	1	436	0.0022935779816513763	26	0	202	0.0	87	0	510	0.0
CUFF_NC.5	1	69606	71157	+	67	73	497	0.14688128772635814	46	5	310	0.016129032258064516	326	2	1914	0.0010449320794148381
CUFF_NC.8	1	73084	73716	-	18	2	43	0.046511627906976744	51	0	138	0.0	154	1	331	0.0030211480362537764
CUFF_NC.12	1	75366	76624	-	133	1	619	0.0016155088852988692	65	0	317	0.0	185	0	824	0.0
CUFF_NC.13	1	77837	78333	+	26	1	271	0.0036900369003690036	12	0	54	0.0	93	3	590	0.005084745762711864
CUFF_NC.6	1	86737	87289	+	71	1	236	0.00423728813559322	31	0	82	0.0	90	1	257	0.0038910505836575876
CUFF_NC.18	1	89402	91722	-	64	0	308	0.0	129	2	824	0.0024271844660194173	554	2	2759	0.0007249003262051468
CUFF_NC.19	1	95040	96380	-	68	66	386	0.17098445595854922	72	2	503	0.003976143141153081	277	6	1645	0.00364741641337386
CUFF_NC.11	1	100800	101866	-	40	15	253	0.05928853754940711	47	0	373	0.0	235	4	1225	0.0032653061224489797
CUFF_NC.7	1	104712	105333	+	47	4	132	0.030303030303030304	46	6	122	0.04918032786885246	98	20	253	0.07905138339920949
CUFF_NC.15	1	116797	118774	-	219	1	867	0.0011534025374855825	110	0	388	0.0	276	3	1112	0.002697841726618705
CUFF_NC.14	1	119083	119969	-	38	0	292	0.0	24	0	180	0.0	180	2	1222	0.0016366612111292963
CUFF_NC.20	1	121456	123494	+	97	535	694	0.770893371757925	160	5	1163	0.004299226139294927	424	5	2841	0.0017599436818021823
CUFF_NC.21	1	133006	133474	+	18	10	63	0.15873015873015872	20	0	96	0.0	99	1	273	0.003663003663003663
CUFF_NC.16	1	141174	141695	+	15	1	61	0.01639344262295082	10	0	46	0.0	137	2	500	0.004
CUFF_NC.17	1	154589	156159	+	160	0	960	0.0	68	0	345	0.0	279	4	1338	0.0029895366218236174
CUFF_NC.22	1	163277	166353	+	138	334	749	0.4459279038718291	167	2	857	0.002333722287047841	670	3	3200	0.0009375
CUFF_NC.25	1	180261	180962	+	37	0	494	0.0	17	0	246	0.0	115	6	1130	0.005309734513274336
CUFF_NC.26	1	182345	182786	+	22	1	97	0.010309278350515464	11	0	55	0.0	69	1	238	0.004201680672268907
CUFF_NC.28	1	192588	193200	+	15	0	76	0.0	34	1	144	0.006944444444444444	159	2	690	0.002898550724637681
CUFF_NC.23	1	196107	196598	-	57	0	226	0.0	34	0	117	0.0	54	0	155	0.0
CUFF_NC.24	1	197887	198512	-	38	15	233	0.06437768240343347	26	0	131	0.0	150	2	708	0.002824858757062147
CUFF_NC.27	1	210058	210613	-	35	0	248	0.0	32	0	251	0.0	116	3	769	0.0039011703511053317
CUFF_NC.29	1	219083	221145	-	222	2	735	0.0027210884353741495	135	0	470	0.0	436	3	1575	0.0019047619047619048
CUFF_NC.30	1	226848	227453	+	32	0	162	0.0	38	0	118	0.0	148	2	535	0.003738317757009346
CUFF_NC.34	1	233075	237654	+	152	352	822	0.4282238442822384	270	4	1629	0.0024554941682013503	1053	8	5865	0.0013640238704177323
CUFF_NC.31	1	238416	239453	+	69	611	664	0.9201807228915663	51	464	564	0.8226950354609929	294	804	2585	0.31102514506769824
CUFF_NC.32	1	254830	257455	+	115	180	797	0.2258469259723965	76	69	595	0.11596638655462185	470	272	2920	0.09315068493150686
CUFF_NC.58	1	283807	284180	-	35	0	123	0.0	18	0	60	0.0	89	1	267	0.003745318352059925
CUFF_NC.33	1	294207	295108	-	42	0	163	0.0	48	0	265	0.0	244	1	1142	0.0008756567425569177
CUFF_NC.36	1	301346	301758	+	10	0	89	0.0	17	0	160	0.0	75	1	696	0.0014367816091954023
CUFF_NC.35	1	308731	309427	+	56	0	264	0.0	43	0	218	0.0	172	1	796	0.001256281407035176
CUFF_NC.44	1	319180	319521	-	11	0	105	0.0	20	0	160	0.0	67	2	412	0.0048543689320388345
CUFF_NC.37	1	341814	342849	+	50	1	274	0.0036496350364963502	42	0	208	0.0	215	2	1061	0.001885014137606032
CUFF_NC.43	1	347638	348472	-	28	1	97	0.010309278350515464	34	0	83	0.0	158	1	716	0.0013966480446927375
CUFF_NC.42	1	355746	356392	+	33	1	285	0.0035087719298245615	25	0	189	0.0	126	1	606	0.0016501650165016502
CUFF_NC.39	1	358665	360498	+	112	61	562	0.10854092526690391	125	0	648	0.0	445	7	1964	0.003564154786150713
CUFF_NC.38	1	365198	366851	-	109	1	584	0.0017123287671232876	89	3	473	0.006342494714587738	260	2	1141	0.0017528483786152498
CUFF_NC.41	1	370226	371382	+	78	1	363	0.0027548209366391185	50	1	207	0.004830917874396135	216	1	1098	0.0009107468123861566
CUFF_NC.40	1	371997	372411	+	29	1	193	0.0051813471502590676	22	8	167	0.04790419161676647	107	103	680	0.1514705882352941
CUFF_NC.57	1	392706	395717	-	153	20	788	0.025380710659898477	185	1	882	0.0011337868480725624	536	6	2396	0.0025041736227045075
CUFF_NC.54	1	409235	410549	-	75	0	302	0.0	99	0	396	0.0	306	1	1153	0.0008673026886383347
CUFF_NC.53	1	413681	414878	+	72	0	486	0.0	110	0	645	0.0	287	5	1470	0.003401360544217687
CUFF_NC.46	1	417273	417814	-	16	2	33	0.06060606060606061	26	0	127	0.0	96	1	278	0.0035971223021582736
CUFF_NC.49	1	421746	425334	-	134	357	817	0.4369645042839657	101	45	495	0.09090909090909091	620	330	3515	0.09388335704125178
CUFF_NC.48	1	424665	425164	+	36	0	234	0.0	35	0	217	0.0	115	1	759	0.0013175230566534915
CUFF_NC.45	1	425557	426435	+	29	0	129	0.0	29	0	206	0.0	127	0	775	0.0
CUFF_NC.47	1	435444	435889	+	9	0	52	0.0	36	0	185	0.0	89	2	458	0.004366812227074236
CUFF_NC.50	1	442462	442900	+	21	0	148	0.0	21	1	185	0.005405405405405406	95	2	720	0.002777777777777778
