gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	12	4	94	0.0425531914893617	17	1	116	0.008620689655172414	150	5	780	0.00641025641025641
CUFF_NC.4	1	33820	36039	+	79	52	532	0.09774436090225563	172	8	1229	0.006509357200976403	520	22	3292	0.006682867557715674
CUFF_NC.2	1	45074	46980	+	96	2	890	0.0022471910112359553	87	1	780	0.001282051282051282	373	24	2733	0.008781558726673985
CUFF_NC.3	1	51977	52743	-	68	2	238	0.008403361344537815	56	0	244	0.0	166	7	734	0.009536784741144414
CUFF_NC.9	1	63146	64476	+	44	0	402	0.0	53	4	474	0.008438818565400843	269	6	1509	0.003976143141153081
CUFF_NC.10	1	67285	67782	+	67	1	424	0.0023584905660377358	27	1	200	0.005	94	0	436	0.0
CUFF_NC.5	1	69606	71157	+	58	57	403	0.141439205955335	47	6	275	0.02181818181818182	283	30	1482	0.020242914979757085
CUFF_NC.8	1	73084	73716	-	16	0	58	0.0	56	1	220	0.004545454545454545	189	3	561	0.0053475935828877
CUFF_NC.12	1	75366	76624	-	114	0	427	0.0	67	1	212	0.0047169811320754715	152	1	545	0.001834862385321101
CUFF_NC.13	1	77837	78333	+	26	2	295	0.006779661016949152	12	0	83	0.0	97	6	758	0.0079155672823219
CUFF_NC.6	1	86737	87289	+	60	0	105	0.0	22	0	45	0.0	65	0	130	0.0
CUFF_NC.18	1	89402	91722	-	53	1	246	0.0040650406504065045	114	4	693	0.005772005772005772	456	17	2304	0.007378472222222222
CUFF_NC.19	1	95040	96380	-	60	14	266	0.05263157894736842	68	1	291	0.003436426116838488	217	5	854	0.00585480093676815
CUFF_NC.11	1	100800	101866	-	33	1	202	0.0049504950495049506	35	3	503	0.005964214711729622	175	5	1136	0.0044014084507042256
CUFF_NC.7	1	104712	105333	+	53	2	151	0.013245033112582781	45	0	127	0.0	95	1	269	0.0037174721189591076
CUFF_NC.15	1	116797	118774	-	209	6	614	0.009771986970684038	115	0	304	0.0	279	6	794	0.007556675062972292
CUFF_NC.14	1	119083	119969	-	37	2	224	0.008928571428571428	23	0	129	0.0	180	4	917	0.004362050163576881
CUFF_NC.20	1	121456	123494	+	90	299	504	0.5932539682539683	146	3	936	0.003205128205128205	394	16	2093	0.007644529383659818
CUFF_NC.21	1	133006	133474	+	13	0	54	0.0	17	1	92	0.010869565217391304	67	2	295	0.006779661016949152
CUFF_NC.16	1	141174	141695	+	14	0	45	0.0	9	0	35	0.0	116	7	352	0.019886363636363636
CUFF_NC.17	1	154589	156159	+	156	2	674	0.002967359050445104	61	0	193	0.0	247	4	757	0.005284015852047556
