gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	21	24	174	0.13793103448275862	25	1	164	0.006097560975609756	190	12	1179	0.010178117048346057
CUFF_NC.4	1	33820	36039	+	84	167	639	0.26134585289514867	170	3	1426	0.0021037868162692847	579	15	3649	0.004110715264456015
CUFF_NC.2	1	45074	46980	+	100	6	860	0.0069767441860465115	97	6	713	0.008415147265077139	405	8	2526	0.003167062549485352
CUFF_NC.3	1	51977	52743	-	69	2	330	0.006060606060606061	55	1	278	0.0035971223021582736	156	5	655	0.007633587786259542
CUFF_NC.9	1	63146	64476	+	58	0	478	0.0	56	5	506	0.009881422924901186	282	2	1899	0.00105318588730911
CUFF_NC.10	1	67285	67782	+	73	2	354	0.005649717514124294	27	0	160	0.0	102	2	422	0.004739336492890996
CUFF_NC.5	1	69606	71157	+	66	27	491	0.054989816700611	43	5	310	0.016129032258064516	312	6	1972	0.0030425963488843813
CUFF_NC.8	1	73084	73716	-	19	0	53	0.0	59	2	183	0.01092896174863388	162	4	456	0.008771929824561403
CUFF_NC.12	1	75366	76624	-	152	0	641	0.0	86	1	295	0.003389830508474576	199	2	839	0.0023837902264600714
CUFF_NC.13	1	77837	78333	+	31	2	288	0.006944444444444444	14	0	65	0.0	101	5	614	0.008143322475570033
CUFF_NC.6	1	86737	87289	+	76	0	278	0.0	31	1	123	0.008130081300813009	88	3	296	0.010135135135135136
CUFF_NC.18	1	89402	91722	-	62	1	329	0.00303951367781155	132	4	897	0.004459308807134894	534	9	2975	0.0030252100840336134
CUFF_NC.19	1	95040	96380	-	73	109	503	0.21669980119284293	81	4	659	0.006069802731411229	335	14	2338	0.005988023952095809
CUFF_NC.11	1	100800	101866	-	39	1	249	0.004016064257028112	49	0	399	0.0	235	2	1336	0.0014970059880239522
CUFF_NC.7	1	104712	105333	+	70	0	239	0.0	61	0	207	0.0	131	4	379	0.010554089709762533
CUFF_NC.15	1	116797	118774	-	261	6	1158	0.0051813471502590676	138	1	525	0.0019047619047619048	364	7	1404	0.004985754985754986
CUFF_NC.14	1	119083	119969	-	37	1	324	0.0030864197530864196	23	0	202	0.0	199	4	1390	0.0028776978417266188
