gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	25	20	160	0.125	27	2	169	0.011834319526627219	206	7	1171	0.005977796754910333
CUFF_NC.4	1	33820	36039	+	82	117	566	0.2067137809187279	165	2	1242	0.001610305958132045	543	17	3277	0.0051876716509002135
CUFF_NC.2	1	45074	46980	+	89	5	774	0.006459948320413436	84	4	611	0.006546644844517185	372	14	2183	0.00641319285387082
CUFF_NC.3	1	51977	52743	-	63	1	233	0.004291845493562232	56	1	238	0.004201680672268907	160	0	650	0.0
CUFF_NC.9	1	63146	64476	+	56	1	501	0.001996007984031936	59	1	454	0.0022026431718061676	263	6	1545	0.003883495145631068
CUFF_NC.10	1	67285	67782	+	61	0	211	0.0	22	0	102	0.0	78	3	323	0.009287925696594427
CUFF_NC.5	1	69606	71157	+	72	56	476	0.11764705882352941	53	3	311	0.00964630225080386	356	12	1960	0.006122448979591836
CUFF_NC.8	1	73084	73716	-	16	1	42	0.023809523809523808	54	1	157	0.006369426751592357	161	1	403	0.0024813895781637717
CUFF_NC.12	1	75366	76624	-	150	2	585	0.003418803418803419	75	0	284	0.0	189	3	790	0.0037974683544303796
CUFF_NC.13	1	77837	78333	+	33	0	292	0.0	14	1	70	0.014285714285714285	105	0	671	0.0
CUFF_NC.6	1	86737	87289	+	79	0	202	0.0	35	0	92	0.0	94	0	243	0.0
CUFF_NC.18	1	89402	91722	-	61	5	292	0.017123287671232876	135	4	776	0.005154639175257732	523	7	2589	0.0027037466203167246
CUFF_NC.19	1	95040	96380	-	69	80	355	0.22535211267605634	81	3	488	0.006147540983606557	309	8	1817	0.004402861860209136
CUFF_NC.11	1	100800	101866	-	41	7	169	0.04142011834319527	47	1	363	0.0027548209366391185	250	5	1113	0.004492362982929021
CUFF_NC.7	1	104712	105333	+	72	1	150	0.006666666666666667	61	0	111	0.0	156	0	279	0.0
CUFF_NC.15	1	116797	118774	-	255	5	867	0.0057670126874279125	135	2	422	0.004739336492890996	375	1	1243	0.0008045052292839903
CUFF_NC.14	1	119083	119969	-	39	1	310	0.0032258064516129032	23	0	183	0.0	201	8	1438	0.005563282336578581
CUFF_NC.20	1	121456	123494	+	107	498	587	0.848381601362862	171	3	984	0.003048780487804878	479	10	2231	0.0044822949350067235
CUFF_NC.21	1	133006	133474	+	21	13	57	0.22807017543859648	26	1	75	0.013333333333333334	115	0	262	0.0
CUFF_NC.16	1	141174	141695	+	15	0	61	0.0	11	0	60	0.0	122	3	540	0.005555555555555556
CUFF_NC.17	1	154589	156159	+	164	5	841	0.005945303210463734	75	1	314	0.0031847133757961785	339	4	1344	0.002976190476190476
CUFF_NC.22	1	163277	166353	+	140	261	544	0.4797794117647059	177	4	673	0.005943536404160475	725	10	2475	0.00404040404040404
CUFF_NC.25	1	180261	180962	+	42	5	506	0.009881422924901186	21	3	295	0.010169491525423728	125	7	1069	0.006548175865294668
CUFF_NC.26	1	182345	182786	+	21	0	175	0.0	10	1	67	0.014925373134328358	72	2	356	0.0056179775280898875
CUFF_NC.28	1	192588	193200	+	16	0	88	0.0	31	0	183	0.0	165	6	1028	0.005836575875486381
CUFF_NC.23	1	196107	196598	-	63	1	248	0.004032258064516129	37	1	155	0.0064516129032258064	91	0	284	0.0
CUFF_NC.24	1	197887	198512	-	41	46	274	0.1678832116788321	26	0	157	0.0	148	5	787	0.0063532401524777635
CUFF_NC.27	1	210058	210613	-	37	1	197	0.005076142131979695	34	2	241	0.008298755186721992	132	5	705	0.0070921985815602835
CUFF_NC.29	1	219083	221145	-	241	6	650	0.009230769230769232	150	1	407	0.002457002457002457	465	5	1316	0.003799392097264438
CUFF_NC.30	1	226848	227453	+	33	0	144	0.0	38	0	119	0.0	151	1	439	0.002277904328018223
CUFF_NC.34	1	233075	237654	+	153	455	909	0.5005500550055005	294	14	1900	0.007368421052631579	1150	40	6759	0.005918035212309513
CUFF_NC.31	1	238416	239453	+	56	616	666	0.924924924924925	49	425	593	0.7166947723440135	258	737	2818	0.26153300212916963
CUFF_NC.32	1	254830	257455	+	123	103	886	0.1162528216704289	89	53	619	0.08562197092084006	486	243	3420	0.07105263157894737
CUFF_NC.58	1	283807	284180	-	31	1	106	0.009433962264150943	16	0	55	0.0	79	1	257	0.0038910505836575876
CUFF_NC.33	1	294207	295108	-	44	0	179	0.0	51	1	239	0.0041841004184100415	210	2	903	0.0022148394241417496
